Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:12:51.605538-07:00,917.7,932.2,1373.0,1064.3,782.7,531.4,1392.1,918.6,3472.2,3477.1,715.9,1019.4,479.8,3495.3,822.7,787.7,3480.7,3480.7,408.2,633.5,424.7,540.2,256.9,254.6,3473.4,3469.8,614.9,537.8,706.0,1049.6,1246.2,479.0,-7.0,21.0,-20.0,10222.0,10900.0,6110.0,2794.0,-88.0,28.0,18.0,-6.0,21.0,-13.0,10924.0,11282.0,-1916.0,-4260.0,-81.0,34.0,107.0,1.0
2022-05-08 17:12:51.846084-07:00,917.7,932.2,1373.0,1064.3,786.1,529.0,1390.3,921.1,3472.2,3477.1,715.9,1019.4,485.3,3486.8,824.4,791.9,3481.9,3483.2,412.1,637.6,424.7,540.2,256.9,254.6,3477.1,3479.5,613.3,530.6,706.0,1049.6,1246.2,479.0,-21.0,33.0,-17.0,10243.0,10873.0,6112.0,2818.0,-78.0,45.0,-25.0,-15.0,33.0,-7.0,10961.0,11260.0,-1917.0,-4225.0,-86.0,58.0,67.0,1.0
2022-05-08 17:12:51.848466-07:00,926.2,933.0,1376.6,1063.4,786.1,529.0,1390.3,921.1,3478.3,3472.2,712.6,1016.8,485.3,3486.8,824.4,791.9,3481.9,3483.2,412.1,637.6,424.7,537.0,252.3,256.9,3477.1,3479.5,613.3,530.6,709.3,1041.8,1235.5,479.0,-14.0,2.0,-7.0,10259.0,10845.0,6133.0,2822.0,-36.0,25.0,-67.0,-10.0,8.0,-6.0,10988.0,11247.0,-1896.0,-4198.0,-43.0,79.0,10.0,1.0
2022-05-08 17:12:51.849431-07:00,926.2,933.0,1376.6,1063.4,787.7,532.2,1386.6,918.6,3478.3,3472.2,712.6,1016.8,487.7,3491.7,823.5,788.6,3472.2,3477.1,409.0,636.7,424.7,537.0,252.3,256.9,3478.3,3484.4,617.3,532.2,709.3,1041.8,1235.5,479.0,8.0,-5.0,-9.0,10269.0,10825.0,6150.0,2825.0,-62.0,37.0,-14.0,-2.0,0.0,-7.0,11007.0,11239.0,-1873.0,-4176.0,-79.0,63.0,25.0,1.0
2022-05-08 17:12:51.850044-07:00,922.8,931.3,1373.0,1063.4,787.7,532.2,1386.6,918.6,3467.4,3484.4,715.1,1019.4,487.7,3491.7,823.5,788.6,3472.2,3477.1,409.0,636.7,427.0,543.4,253.1,250.8,3478.3,3484.4,617.3,532.2,709.3,1038.3,1241.7,478.2,4.0,1.0,-5.0,10286.0,10796.0,6163.0,2844.0,-71.0,52.0,-42.0,0.0,3.0,-7.0,11032.0,11225.0,-1852.0,-4160.0,-33.0,58.0,3.0,1.0
2022-05-08 17:12:51.875691-07:00,922.0,931.3,1373.0,1063.4,782.7,534.6,1386.6,908.4,3477.1,3484.4,715.1,1019.4,481.4,3497.8,823.5,784.4,3481.9,3478.3,407.5,633.5,427.0,543.4,253.1,253.8,3477.1,3485.6,628.6,534.6,709.3,1038.3,1241.7,476.6,1.0,-3.0,-11.0,10280.0,10787.0,6191.0,2839.0,30.0,30.0,-54.0,-2.0,9.0,-4.0,11034.0,11231.0,-1835.0,-4146.0,-7.0,43.0,-12.0,1.0
2022-05-08 17:12:51.905943-07:00,916.0,923.7,1370.3,1069.5,794.4,529.8,1384.8,916.0,3467.4,3477.1,711.8,1013.3,483.0,3500.2,821.9,791.9,3483.2,3475.9,407.5,636.7,423.9,542.6,256.1,254.6,3473.4,3480.7,618.1,528.2,704.4,1042.6,1240.8,477.4,-2.0,2.0,-10.0,10253.0,10780.0,6239.0,2861.0,48.0,7.0,-9.0,-4.0,7.0,-8.0,11038.0,11244.0,-1786.0,-4119.0,33.0,5.0,-37.0,1.0
2022-05-08 17:12:52.415840-07:00,916.9,922.0,1370.3,1069.5,783.6,531.4,1379.4,916.0,3472.2,3477.1,711.8,1013.3,480.6,3491.7,816.9,791.9,3483.2,3480.7,404.3,637.6,423.9,542.6,256.1,251.5,3473.4,3483.2,618.9,521.0,704.4,1042.6,1241.7,473.5,-7.0,0.0,-15.0,10237.0,10794.0,6244.0,2852.0,65.0,15.0,18.0,-5.0,11.0,-9.0,11026.0,11254.0,-1785.0,-4126.0,62.0,-37.0,-26.0,1.0
2022-05-08 17:12:52.417768-07:00,916.9,922.0,1369.4,1066.9,783.6,531.4,1374.8,910.1,3472.2,3477.1,715.9,1020.2,480.6,3491.7,815.2,786.9,3477.1,3474.6,404.3,637.6,425.5,539.4,256.1,251.5,3477.1,3488.0,618.9,521.0,709.3,1041.8,1241.7,473.5,-7.0,2.0,-1.0,10221.0,10815.0,6233.0,2856.0,15.0,-45.0,52.0,-8.0,0.0,9.0,11006.0,11266.0,-1791.0,-4145.0,25.0,-34.0,-39.0,1.0
2022-05-08 17:12:52.418395-07:00,908.4,921.1,1369.4,1066.9,779.4,528.2,1374.8,910.1,3472.2,3472.2,715.9,1020.2,485.3,3496.6,815.2,786.9,3477.1,3474.6,411.4,635.1,425.5,539.4,255.3,257.6,3477.1,3488.0,614.9,529.8,709.3,1041.8,1246.2,483.0,-2.0,0.0,9.0,10223.0,10833.0,6200.0,2850.0,26.0,-66.0,78.0,-2.0,5.0,3.0,10992.0,11274.0,-1787.0,-4162.0,59.0,3.0,-44.0,1.0
2022-05-08 17:12:52.423174-07:00,908.4,921.1,1363.0,1058.2,779.4,528.2,1372.1,916.9,3472.2,3472.2,712.6,1014.2,485.3,3496.6,821.9,784.4,3474.6,3479.5,411.4,635.1,425.5,542.6,255.3,257.6,3474.6,3478.3,614.9,529.8,706.0,1040.9,1246.2,483.0,0.0,11.0,-3.0,10203.0,10872.0,6159.0,2864.0,70.0,-5.0,145.0,-11.0,23.0,-19.0,10960.0,11302.0,-1780.0,-4173.0,127.0,-17.0,-77.0,1.0
2022-05-08 17:12:52.445600-07:00,912.7,919.4,1363.0,1058.2,786.9,524.2,1372.1,916.9,3458.9,3478.3,712.6,1014.2,484.5,3496.6,821.9,784.4,3474.6,3479.5,412.9,635.9,425.5,542.6,250.0,254.6,3474.6,3478.3,618.1,532.2,706.0,1040.9,1235.5,487.7,-23.0,7.0,-26.0,10144.0,10933.0,6121.0,2919.0,181.0,25.0,288.0,2.0,26.0,19.0,10893.0,11357.0,-1781.0,-4199.0,311.0,-20.0,-120.0,1.0
2022-05-08 17:12:52.446246-07:00,912.7,919.4,1363.0,1058.2,786.9,524.2,1372.1,916.9,3458.9,3478.3,712.6,1014.2,484.5,3496.6,821.9,784.4,3474.6,3479.5,412.9,635.9,425.5,542.6,250.0,254.6,3474.6,3478.3,618.1,532.2,706.0,1040.9,1235.5,487.7,-23.0,7.0,-26.0,10144.0,10933.0,6121.0,2919.0,181.0,25.0,288.0,2.0,26.0,19.0,10893.0,11357.0,-1781.0,-4199.0,311.0,-20.0,-120.0,1.0
2022-05-08 17:12:52.955517-07:00,910.1,909.3,1361.2,1063.4,783.6,529.8,1376.6,913.5,3472.2,3466.1,762.0,1028.8,487.7,3496.6,919.4,797.7,3471.0,3477.1,405.9,635.1,423.1,540.2,253.8,253.1,3475.9,3477.1,610.8,549.8,706.9,1047.8,1239.1,480.6,12.0,38.0,6.0,9548.0,11837.0,5273.0,3057.0,32.0,164.0,-454.0,-1.0,12.0,-11.0,10002.0,12089.0,-1882.0,-4327.0,-121.0,55.0,44.0,1.0
