Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:15:18.676217-07:00,731.5,739.7,787.7,1079.0,399.6,332.9,828.5,730.7,3468.6,3479.5,1266.7,786.1,615.7,3478.3,1231.0,895.7,3439.5,3444.3,398.1,322.8,342.9,353.7,289.0,267.6,3466.1,3456.4,494.8,436.4,483.7,889.0,660.3,479.8,9.0,-1.0,3.0,12161.0,-10920.0,1075.0,-398.0,8.0,-10.0,-2.0,11.0,-5.0,-4.0,8821.0,-12504.0,-2529.0,5280.0,9.0,-15.0,0.0,1.0
2022-05-08 17:15:18.707178-07:00,731.5,739.7,792.7,1068.6,399.6,332.9,826.9,745.5,3468.6,3479.5,1274.7,778.6,615.7,3478.3,1216.8,884.8,3434.6,3444.3,398.1,322.8,342.1,356.8,289.0,267.6,3445.5,3456.4,494.8,436.4,486.9,891.5,660.3,479.8,5.0,-4.0,3.0,12162.0,-10918.0,1074.0,-397.0,-2.0,-5.0,-4.0,10.0,-7.0,-1.0,8824.0,-12500.0,-2529.0,5283.0,9.0,-6.0,-4.0,1.0
2022-05-08 17:15:18.766762-07:00,735.6,733.2,792.7,1068.6,395.7,329.8,826.9,745.5,3468.6,3464.9,1274.7,778.6,623.0,3478.3,1216.8,884.8,3434.6,3444.3,402.0,320.5,342.1,356.8,286.7,266.8,3445.5,3456.4,493.2,437.2,486.9,891.5,668.4,501.2,5.0,-8.0,0.0,12162.0,-10918.0,1075.0,-397.0,5.0,-2.0,13.0,11.0,-11.0,2.0,8825.0,-12500.0,-2529.0,5284.0,4.0,2.0,11.0,1.0
2022-05-08 17:15:18.826352-07:00,735.6,733.2,789.4,1084.2,395.7,329.8,824.4,738.1,3468.6,3464.9,1273.9,774.5,623.0,3478.3,1216.8,896.6,3446.7,3450.4,402.0,320.5,344.5,351.4,286.7,266.8,3455.2,3461.3,493.2,437.2,479.0,885.6,668.4,501.2,4.0,-3.0,-1.0,12162.0,-10918.0,1076.0,-396.0,15.0,-12.0,4.0,10.0,-7.0,0.0,8824.0,-12500.0,-2527.0,5285.0,6.0,-1.0,8.0,1.0
2022-05-08 17:15:18.856961-07:00,736.5,737.3,789.4,1084.2,396.5,332.1,824.4,738.1,3461.3,3464.9,1273.9,774.5,623.0,3478.3,1216.8,896.6,3446.7,3450.4,398.9,326.7,344.5,351.4,280.6,269.1,3455.2,3461.3,494.8,439.6,479.0,885.6,662.7,474.3,13.0,-3.0,0.0,12168.0,-10912.0,1072.0,-392.0,7.0,-13.0,-2.0,5.0,-3.0,5.0,8830.0,-12494.0,-2531.0,5288.0,12.0,-23.0,-8.0,1.0
2022-05-08 17:15:18.918219-07:00,736.5,737.3,786.9,1069.5,396.5,332.1,824.4,739.7,3461.3,3464.9,1273.0,778.6,623.0,3478.3,1216.0,891.5,3439.5,3449.1,398.9,326.7,342.1,356.8,280.6,269.1,3456.4,3458.9,494.8,439.6,484.5,884.8,662.7,474.3,1.0,-4.0,0.0,12170.0,-10910.0,1068.0,-389.0,15.0,-7.0,-2.0,8.0,-4.0,2.0,8836.0,-12486.0,-2535.0,5294.0,19.0,-20.0,-3.0,1.0
2022-05-08 17:15:19.036352-07:00,730.7,735.6,794.4,1069.5,397.3,337.5,824.4,739.7,3467.4,3463.7,1272.1,778.6,624.6,3463.7,1216.0,891.5,3439.5,3449.1,400.4,322.8,342.1,355.3,285.9,268.3,3456.4,3458.9,499.6,437.2,484.5,889.0,663.6,483.7,4.0,-8.0,1.0,12176.0,-10904.0,1064.0,-387.0,26.0,-11.0,-6.0,12.0,-5.0,4.0,8842.0,-12481.0,-2536.0,5295.0,11.0,-7.0,2.0,1.0
2022-05-08 17:15:19.037314-07:00,730.7,735.6,794.4,1072.1,397.3,336.7,824.4,738.9,3467.4,3463.7,1272.1,776.9,624.6,3467.4,1220.4,899.1,3441.9,3449.1,400.4,322.8,344.5,355.3,285.9,268.3,3458.9,3468.6,499.6,437.2,483.7,889.0,663.6,483.7,19.0,-12.0,1.0,12187.0,-10893.0,1059.0,-383.0,32.0,-26.0,0.0,23.0,-14.0,0.0,8849.0,-12477.0,-2538.0,5293.0,18.0,-5.0,9.0,1.0
2022-05-08 17:15:19.067582-07:00,734.8,735.6,791.9,1072.1,398.9,336.7,824.4,738.9,3471.0,3460.1,1274.7,776.9,626.2,3467.4,1220.4,899.1,3441.9,3449.1,400.4,322.1,344.5,352.2,289.8,269.1,3458.9,3468.6,499.6,439.6,483.7,888.2,662.7,483.7,12.0,-3.0,0.0,12196.0,-10883.0,1050.0,-380.0,35.0,-21.0,16.0,24.0,-11.0,1.0,8858.0,-12470.0,-2538.0,5295.0,36.0,-22.0,19.0,1.0
2022-05-08 17:15:19.156147-07:00,734.8,735.6,791.9,1062.5,398.9,331.3,829.4,731.5,3471.0,3460.1,1274.7,769.5,626.2,3464.9,1217.7,892.4,3444.3,3432.2,398.1,322.1,345.2,352.2,289.8,269.1,3458.9,3451.6,490.1,439.6,488.5,888.2,662.7,483.7,1.0,1.0,-3.0,12219.0,-10859.0,1039.0,-374.0,97.0,-31.0,-7.0,7.0,-3.0,0.0,8877.0,-12450.0,-2532.0,5312.0,97.0,-50.0,12.0,1.0
2022-05-08 17:15:19.157341-07:00,732.3,727.4,799.4,1062.5,397.3,331.3,829.4,731.5,3466.1,3462.5,1266.7,769.5,623.0,3464.9,1217.7,892.4,3444.3,3432.2,398.1,323.6,345.2,354.5,285.9,265.3,3458.9,3451.6,490.1,437.2,488.5,889.0,664.4,481.4,-6.0,-1.0,1.0,12259.0,-10817.0,999.0,-366.0,198.0,-97.0,-48.0,-12.0,-2.0,-4.0,8908.0,-12422.0,-2520.0,5333.0,130.0,-27.0,13.0,1.0
2022-05-08 17:15:19.336484-07:00,732.3,727.4,799.4,1067.7,397.3,333.6,826.0,738.9,3466.1,3462.5,1266.7,772.8,623.0,3477.1,1214.2,889.0,3451.6,3437.0,401.2,323.6,342.9,354.5,285.9,265.3,3464.9,3458.9,489.3,437.2,485.3,889.0,664.4,481.4,-11.0,-21.0,-3.0,12311.0,-10762.0,961.0,-352.0,121.0,-87.0,-9.0,-1.0,-10.0,-2.0,8948.0,-12387.0,-2502.0,5354.0,77.0,-32.0,-6.0,1.0
