Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:19:16.141241-07:00,869.6,946.6,1294.5,1010.8,750.5,469.5,1495.8,969.6,3468.6,3475.9,658.7,934.7,427.8,3496.6,777.8,784.4,3477.1,3485.6,370.0,592.3,413.7,509.9,256.1,256.1,3477.1,3475.9,674.2,444.3,756.3,1063.4,1239.1,523.4,0.0,-2.0,0.0,10240.0,10128.0,6806.0,3832.0,-8.0,-5.0,-2.0,8.0,1.0,6.0,10810.0,10696.0,-2865.0,-5382.0,-1.0,1.0,-7.0,1.0
2022-05-08 17:19:16.143217-07:00,865.4,943.2,1294.5,1010.8,755.4,464.0,1495.8,969.6,3475.9,3483.2,658.7,934.7,427.0,3494.1,777.8,784.4,3477.1,3485.6,374.7,594.7,413.7,509.9,258.4,259.9,3477.1,3475.9,674.2,448.2,756.3,1063.4,1241.7,513.1,2.0,-5.0,2.0,10240.0,10129.0,6804.0,3830.0,9.0,2.0,4.0,8.0,0.0,9.0,10810.0,10696.0,-2864.0,-5383.0,1.0,1.0,-4.0,1.0
2022-05-08 17:19:16.202085-07:00,865.4,943.2,1299.8,1005.6,755.4,464.0,1499.5,969.6,3475.9,3483.2,660.3,937.3,427.0,3494.1,777.8,791.0,3477.1,3483.2,374.7,594.7,410.6,515.5,258.4,259.9,3481.9,3477.1,674.2,448.2,762.0,1063.4,1241.7,513.1,4.0,1.0,1.0,10239.0,10131.0,6803.0,3831.0,5.0,-1.0,8.0,8.0,3.0,1.0,10810.0,10696.0,-2864.0,-5383.0,5.0,1.0,6.0,1.0
2022-05-08 17:19:16.203212-07:00,863.7,944.9,1305.2,1005.6,755.4,460.8,1499.5,969.6,3479.5,3467.4,662.7,937.3,425.5,3494.1,777.8,791.0,3477.1,3483.2,368.5,593.9,410.6,510.7,258.4,256.1,3481.9,3477.1,679.9,447.4,762.0,1057.3,1233.7,518.7,-2.0,-8.0,0.0,10240.0,10131.0,6803.0,3831.0,0.0,-15.0,-7.0,5.0,-3.0,1.0,10810.0,10696.0,-2864.0,-5383.0,1.0,3.0,-4.0,1.0
2022-05-08 17:19:16.204280-07:00,863.7,944.9,1305.2,1000.5,755.4,460.8,1489.3,968.8,3479.5,3467.4,662.7,930.5,425.5,3497.8,774.5,786.1,3484.4,3462.5,373.2,593.9,415.3,510.7,258.4,256.1,3480.7,3474.6,670.9,447.4,778.6,1057.3,1233.7,518.7,0.0,-6.0,0.0,10240.0,10131.0,6802.0,3831.0,-4.0,-12.0,15.0,7.0,2.0,7.0,10810.0,10696.0,-2865.0,-5382.0,-6.0,1.0,12.0,1.0
2022-05-08 17:19:16.205507-07:00,861.2,940.7,1292.7,1000.5,752.9,460.8,1489.3,968.8,3473.4,3468.6,656.2,930.5,426.2,3497.8,774.5,786.1,3484.4,3462.5,373.2,593.9,415.3,513.9,254.6,250.8,3480.7,3474.6,670.9,449.0,778.6,1059.9,1242.6,516.3,-4.0,-5.0,0.0,10241.0,10135.0,6794.0,3832.0,-8.0,-14.0,11.0,7.0,-1.0,11.0,10812.0,10695.0,-2866.0,-5380.0,-10.0,-7.0,8.0,1.0
2022-05-08 17:19:16.206501-07:00,861.2,940.7,1292.7,1000.5,752.9,460.8,1489.3,968.8,3473.4,3468.6,656.2,930.5,426.2,3497.8,774.5,786.1,3484.4,3462.5,373.2,593.9,415.3,513.9,254.6,250.8,3480.7,3474.6,670.9,449.0,778.6,1059.9,1242.6,516.3,-4.0,-5.0,0.0,10241.0,10135.0,6794.0,3832.0,-8.0,-14.0,11.0,7.0,-1.0,11.0,10812.0,10695.0,-2866.0,-5380.0,-10.0,-7.0,8.0,1.0
2022-05-08 17:19:16.292127-07:00,865.4,937.3,1291.8,1005.6,752.9,463.2,1488.4,970.5,3474.6,3478.3,666.8,928.8,425.5,3499.0,774.5,788.6,3472.2,3477.1,369.3,593.9,409.8,512.3,254.6,253.1,3478.3,3479.5,667.6,448.2,763.7,1064.3,1228.4,514.7,2.0,-1.0,1.0,10256.0,10142.0,6771.0,3811.0,1.0,-14.0,-1.0,8.0,0.0,2.0,10814.0,10693.0,-2865.0,-5381.0,4.0,7.0,-8.0,1.0
2022-05-08 17:19:16.293287-07:00,865.4,937.3,1291.8,1005.6,755.4,471.1,1487.5,971.3,3474.6,3478.3,666.8,928.8,430.2,3489.2,776.9,786.1,3485.6,3480.7,370.0,589.9,409.8,512.3,254.6,253.1,3483.2,3472.2,670.1,445.9,763.7,1064.3,1228.4,514.7,2.0,-5.0,1.0,10258.0,10143.0,6769.0,3808.0,7.0,-18.0,-10.0,9.0,0.0,3.0,10814.0,10693.0,-2865.0,-5381.0,3.0,4.0,-6.0,1.0
2022-05-08 17:19:16.351434-07:00,861.2,952.6,1290.0,1000.5,755.4,471.1,1487.5,971.3,3473.4,3480.7,662.7,939.8,430.2,3489.2,776.9,786.1,3485.6,3480.7,370.0,589.9,411.4,512.3,256.9,250.0,3483.2,3472.2,670.1,445.9,762.9,1052.2,1234.6,519.5,-3.0,-5.0,1.0,10263.0,10145.0,6763.0,3800.0,0.0,-29.0,-4.0,8.0,-1.0,4.0,10814.0,10693.0,-2865.0,-5381.0,-1.0,5.0,-8.0,1.0
