Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:19:16.126626-07:00,710.1,787.7,730.7,1072.9,380.9,315.1,873.0,776.1,3461.3,3457.6,1238.2,767.8,594.7,3461.3,1129.6,878.0,3445.5,3451.6,392.6,313.6,329.8,328.2,296.7,279.8,3457.6,3463.7,508.3,435.7,519.5,866.3,668.4,505.1,-2.0,-8.0,-6.0,12953.0,-9967.0,914.0,699.0,-14.0,-9.0,15.0,3.0,2.0,2.0,8972.0,-10585.0,-4839.0,7244.0,-45.0,39.0,10.0,1.0
2022-05-08 17:19:16.128455-07:00,710.1,787.7,730.7,1072.9,377.8,312.0,872.1,776.1,3467.4,3457.6,1238.2,767.8,597.1,3458.9,1136.6,878.0,3445.5,3444.3,385.6,315.1,329.8,328.2,296.7,282.9,3457.6,3458.9,503.6,435.7,519.5,866.3,668.4,509.1,12.0,-5.0,2.0,12944.0,-9976.0,916.0,724.0,-44.0,-20.0,54.0,3.0,1.0,-13.0,8961.0,-10603.0,-4837.0,7233.0,-40.0,10.0,5.0,1.0
2022-05-08 17:19:16.129210-07:00,710.1,781.9,727.4,1071.2,377.8,312.0,872.1,773.6,3467.4,3469.8,1232.8,772.0,597.1,3458.9,1136.6,882.3,3443.1,3444.3,385.6,315.1,328.2,325.9,288.2,282.9,3463.7,3458.9,503.6,435.7,524.2,862.1,670.1,509.1,1.0,3.0,3.0,12938.0,-9982.0,930.0,732.0,4.0,17.0,18.0,7.0,2.0,7.0,8960.0,-10605.0,-4839.0,7231.0,13.0,-4.0,6.0,1.0
2022-05-08 17:19:16.187066-07:00,715.1,781.9,727.4,1071.2,381.7,314.4,878.0,773.6,3472.2,3469.8,1232.8,772.0,591.5,3457.6,1129.6,882.3,3443.1,3440.7,391.8,313.6,328.2,325.9,288.2,281.3,3463.7,3458.9,505.9,442.7,524.2,862.1,670.1,502.0,1.0,-5.0,5.0,12940.0,-9980.0,926.0,737.0,-7.0,-32.0,6.0,1.0,5.0,2.0,8960.0,-10605.0,-4838.0,7231.0,-20.0,8.0,1.0,1.0
2022-05-08 17:19:16.216452-07:00,715.1,785.2,726.6,1072.9,381.7,314.4,878.0,771.1,3472.2,3464.9,1240.8,771.1,591.5,3457.6,1129.6,882.3,3445.5,3440.7,391.8,313.6,323.6,330.5,291.3,281.3,3467.4,3458.9,505.9,442.7,528.2,865.4,661.1,502.0,0.0,2.0,6.0,12937.0,-9983.0,925.0,743.0,7.0,-1.0,7.0,1.0,5.0,2.0,8957.0,-10608.0,-4840.0,7228.0,-5.0,12.0,9.0,1.0
2022-05-08 17:19:16.276694-07:00,710.1,781.1,726.6,1072.9,382.5,312.0,874.7,771.1,3463.7,3472.2,1240.8,771.1,593.1,3468.6,1133.1,882.3,3445.5,3447.9,389.5,312.8,323.6,330.5,290.5,281.3,3467.4,3458.9,512.3,441.2,528.2,865.4,666.8,499.6,-6.0,4.0,3.0,12937.0,-9983.0,926.0,742.0,-6.0,-4.0,-11.0,5.0,4.0,6.0,8958.0,-10612.0,-4838.0,7223.0,-11.0,22.0,-8.0,1.0
2022-05-08 17:19:16.366506-07:00,710.1,781.1,728.2,1073.8,382.5,312.0,874.7,772.8,3463.7,3472.2,1242.6,767.0,593.1,3468.6,1123.5,878.0,3449.1,3443.1,389.5,312.8,329.8,326.7,290.5,281.3,3460.1,3457.6,512.3,441.2,529.8,863.7,666.8,499.6,-1.0,-6.0,0.0,12938.0,-9982.0,910.0,749.0,9.0,-49.0,-6.0,2.0,-1.0,1.0,8961.0,-10617.0,-4837.0,7213.0,1.0,18.0,-15.0,1.0
2022-05-08 17:19:16.367475-07:00,705.2,776.9,728.2,1073.8,382.5,315.9,874.7,772.8,3463.7,3469.8,1242.6,767.0,599.6,3472.2,1123.5,878.0,3449.1,3443.1,398.9,311.3,329.8,326.7,295.1,281.3,3460.1,3457.6,505.1,431.7,529.8,863.7,662.7,499.6,-6.0,-6.0,0.0,12943.0,-9977.0,892.0,769.0,0.0,-58.0,27.0,-1.0,2.0,3.0,8969.0,-10613.0,-4831.0,7211.0,38.0,8.0,0.0,1.0
2022-05-08 17:19:16.427042-07:00,705.2,776.9,729.0,1077.3,382.5,315.9,867.1,769.5,3463.7,3469.8,1233.7,772.8,599.6,3472.2,1129.6,878.9,3449.1,3456.4,398.9,311.3,330.5,326.7,295.1,281.3,3456.4,3461.3,505.1,431.7,528.2,860.4,662.7,499.6,8.0,0.0,0.0,12949.0,-9966.0,890.0,796.0,38.0,-33.0,45.0,4.0,1.0,-5.0,8989.0,-10597.0,-4820.0,7219.0,62.0,-5.0,-10.0,1.0
2022-05-08 17:19:16.486500-07:00,720.0,776.9,729.0,1077.3,386.4,312.8,867.1,769.5,3473.4,3473.4,1233.7,772.8,598.7,3466.1,1129.6,878.9,3449.1,3456.4,392.6,312.8,330.5,326.7,286.7,278.3,3456.4,3461.3,505.9,438.0,528.2,860.4,670.9,501.2,4.0,-11.0,6.0,12947.0,-9970.0,877.0,811.0,-20.0,-63.0,8.0,11.0,-4.0,4.0,9000.0,-10588.0,-4819.0,7218.0,42.0,3.0,-12.0,1.0
