Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:21:10.321135-07:00,698.7,771.1,684.0,1028.0,377.8,292.8,907.6,743.0,3447.9,3461.3,1106.0,757.9,585.1,3467.4,1057.3,857.9,3432.2,3446.7,387.9,309.0,328.2,321.3,272.9,275.2,3458.9,3463.7,493.2,408.2,482.2,845.3,671.7,442.7,0.0,-7.0,4.0,11995.0,-10990.0,1937.0,-147.0,4.0,-12.0,-8.0,8.0,-4.0,1.0,7992.0,-11151.0,-5871.0,6763.0,-1.0,0.0,-16.0,1.0
2022-05-08 17:21:10.322412-07:00,709.3,757.9,684.0,1028.0,371.6,299.7,907.6,743.0,3457.6,3455.2,1106.0,757.9,585.1,3464.9,1057.3,857.9,3432.2,3446.7,392.6,311.3,328.2,321.3,276.7,268.3,3458.9,3463.7,493.2,406.7,482.2,845.3,675.0,434.9,4.0,-1.0,9.0,11995.0,-10991.0,1933.0,-143.0,8.0,-8.0,-6.0,7.0,-4.0,2.0,7994.0,-11150.0,-5874.0,6761.0,10.0,-2.0,-10.0,1.0
2022-05-08 17:21:10.380838-07:00,709.3,757.9,685.6,1025.4,371.6,299.7,900.8,736.5,3457.6,3455.2,1112.1,754.6,585.1,3464.9,1061.7,862.9,3433.4,3446.7,392.6,311.3,323.6,327.5,276.7,268.3,3450.4,3457.6,493.2,406.7,477.4,844.4,675.0,434.9,0.0,-8.0,7.0,11996.0,-10991.0,1928.0,-147.0,-9.0,-6.0,-19.0,5.0,-5.0,5.0,7997.0,-11147.0,-5877.0,6759.0,-4.0,6.0,-12.0,1.0
2022-05-08 17:21:10.440607-07:00,697.9,775.3,685.6,1025.4,375.5,299.7,900.8,736.5,3467.4,3469.8,1112.1,754.6,582.6,3473.4,1061.7,862.9,3433.4,3446.7,390.3,312.0,323.6,327.5,273.7,272.1,3450.4,3457.6,493.2,409.8,477.4,844.4,669.3,430.9,1.0,2.0,2.0,11996.0,-10990.0,1926.0,-150.0,6.0,3.0,-17.0,9.0,0.0,6.0,8000.0,-11145.0,-5879.0,6758.0,-2.0,10.0,-19.0,1.0
2022-05-08 17:21:10.470250-07:00,697.9,775.3,685.6,1026.3,375.5,296.7,905.9,729.9,3467.4,3469.8,1105.1,753.8,582.6,3460.1,1057.3,862.1,3447.9,3449.1,390.3,312.0,329.8,325.9,273.7,272.1,3457.6,3461.3,485.3,409.8,476.6,845.3,669.3,430.9,-2.0,0.0,5.0,11997.0,-10991.0,1921.0,-152.0,-1.0,-15.0,-5.0,3.0,1.0,3.0,8004.0,-11144.0,-5882.0,6752.0,-4.0,15.0,-16.0,1.0
2022-05-08 17:21:10.531146-07:00,700.3,769.5,683.1,1026.3,373.2,296.7,905.9,729.9,3463.7,3467.4,1111.2,753.8,581.8,3460.1,1057.3,862.1,3447.9,3449.1,390.3,309.7,329.8,320.5,273.7,270.6,3457.6,3461.3,485.3,404.3,476.6,845.3,675.0,432.5,-10.0,-11.0,19.0,12001.0,-10987.0,1914.0,-147.0,25.0,-27.0,2.0,6.0,-8.0,27.0,8012.0,-11149.0,-5877.0,6739.0,10.0,56.0,-3.0,1.0
2022-05-08 17:21:10.590265-07:00,700.3,769.5,683.1,1024.5,373.2,296.7,912.7,724.9,3463.7,3467.4,1111.2,757.1,581.8,3469.8,1062.5,867.1,3443.1,3432.2,387.9,309.7,323.6,320.5,273.7,270.6,3452.8,3457.6,491.7,404.3,478.2,845.3,675.0,432.5,7.0,7.0,8.0,12022.0,-10966.0,1909.0,-125.0,31.0,-47.0,49.0,8.0,-2.0,3.0,8028.0,-11163.0,-5849.0,6720.0,-18.0,97.0,26.0,1.0
2022-05-08 17:21:10.650377-07:00,700.3,769.5,676.6,1024.5,370.8,296.7,912.7,724.9,3466.1,3454.0,1112.1,757.1,581.8,3469.8,1062.5,867.1,3443.1,3432.2,387.9,309.7,323.6,319.0,270.6,273.7,3452.8,3457.6,491.7,410.6,478.2,845.3,670.9,438.8,7.0,-9.0,1.0,12009.0,-10980.0,1908.0,-104.0,-60.0,-28.0,22.0,8.0,0.0,0.0,8020.0,-11200.0,-5831.0,6683.0,-55.0,107.0,16.0,1.0
2022-05-08 17:21:10.680639-07:00,700.3,769.5,676.6,1028.0,370.8,299.7,902.5,728.2,3466.1,3454.0,1112.1,752.1,581.8,3473.4,1066.0,863.7,3443.1,3428.6,384.8,309.7,325.1,319.0,270.6,273.7,3460.1,3452.8,493.2,410.6,481.4,845.3,670.9,438.8,13.0,-2.0,-8.0,11999.0,-10992.0,1904.0,-82.0,-31.0,-26.0,25.0,7.0,0.0,-15.0,8020.0,-11227.0,-5813.0,6654.0,-33.0,71.0,17.0,1.0
2022-05-08 17:21:10.741193-07:00,702.8,771.1,682.3,1028.0,373.9,299.7,902.5,728.2,3466.1,3462.5,1112.1,752.1,581.0,3473.4,1066.0,863.7,3443.1,3428.6,384.8,312.0,325.1,321.3,275.2,272.1,3460.1,3452.8,493.2,409.0,481.4,841.9,676.6,433.3,0.0,-7.0,-11.0,11993.0,-11001.0,1893.0,-66.0,-14.0,-78.0,3.0,5.0,0.0,-12.0,8019.0,-11240.0,-5806.0,6639.0,-7.0,27.0,6.0,1.0
2022-05-08 17:21:10.770215-07:00,702.8,771.1,682.3,1030.6,372.4,294.4,898.3,728.2,3466.1,3462.5,1112.1,755.4,582.6,3466.1,1060.8,862.9,3440.7,3443.1,391.8,309.7,329.8,321.3,275.2,272.1,3468.6,3447.9,490.1,409.8,480.6,841.9,676.6,433.3,1.0,0.0,-6.0,11998.0,-11001.0,1864.0,-40.0,7.0,-93.0,-4.0,8.0,-2.0,4.0,8025.0,-11235.0,-5807.0,6640.0,22.0,-16.0,-24.0,1.0
2022-05-08 17:21:10.830734-07:00,692.1,770.3,679.1,1028.0,372.4,294.4,898.3,728.2,3456.4,3462.5,1115.6,753.8,582.6,3466.1,1060.8,862.9,3440.7,3443.1,391.8,309.7,328.2,324.4,272.1,275.2,3468.6,3447.9,490.1,409.8,483.7,850.3,670.9,436.4,2.0,2.0,7.0,12006.0,-11000.0,1816.0,5.0,7.0,-175.0,9.0,1.0,2.0,-8.0,8035.0,-11224.0,-5816.0,6639.0,15.0,-16.0,-44.0,1.0
