Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:23:33.171090-07:00,772.0,759.6,762.9,1025.4,466.4,353.7,889.0,757.9,3466.1,3461.3,1299.0,790.2,706.9,3468.6,1224.8,894.9,3441.9,3439.5,384.8,311.3,328.2,322.8,292.1,292.8,3464.9,3462.5,517.9,456.9,562.6,1005.6,746.3,473.5,0.0,-4.0,0.0,13186.0,-9458.0,1630.0,1567.0,1.0,1.0,6.0,4.0,-2.0,2.0,8421.0,-9765.0,-5533.0,8459.0,-12.0,11.0,6.0,1.0
2022-05-08 17:23:33.260535-07:00,769.5,762.0,767.8,1024.5,466.4,353.7,889.0,741.4,3462.5,3462.5,1298.1,787.7,706.9,3468.6,1224.8,893.2,3435.8,3439.5,384.8,311.3,330.5,325.9,288.2,295.1,3464.9,3462.5,517.9,456.9,570.6,1013.3,748.0,479.8,-3.0,2.0,1.0,13186.0,-9458.0,1629.0,1568.0,9.0,-9.0,1.0,0.0,4.0,5.0,8421.0,-9764.0,-5534.0,8459.0,6.0,-14.0,2.0,1.0
2022-05-08 17:23:33.262096-07:00,774.5,762.0,767.8,1024.5,470.3,356.1,884.8,741.4,3467.4,3462.5,1298.1,787.7,700.3,3479.5,1224.8,893.2,3435.8,3438.2,387.2,306.7,330.5,325.9,288.2,289.0,3464.9,3458.9,518.7,449.8,570.6,1013.3,748.0,473.5,-3.0,3.0,9.0,13187.0,-9457.0,1627.0,1570.0,2.0,0.0,3.0,2.0,6.0,12.0,8420.0,-9762.0,-5536.0,8462.0,-1.0,-5.0,0.0,1.0
2022-05-08 17:23:33.351213-07:00,774.5,756.3,772.8,1026.3,470.3,356.1,884.8,737.3,3467.4,3461.3,1299.0,782.7,700.3,3479.5,1224.8,892.4,3449.1,3438.2,387.2,306.7,335.2,323.6,291.3,289.0,3454.0,3458.9,518.7,449.8,559.4,1014.2,744.7,473.5,-1.0,0.0,10.0,13187.0,-9457.0,1627.0,1570.0,-4.0,-2.0,-3.0,7.0,5.0,14.0,8418.0,-9764.0,-5537.0,8460.0,-14.0,10.0,-1.0,1.0
2022-05-08 17:23:33.410199-07:00,772.0,756.3,772.8,1026.3,473.5,354.5,889.0,737.3,3460.1,3461.3,1299.0,782.7,701.1,3477.1,1222.2,892.4,3449.1,3444.3,391.1,309.0,335.2,323.6,291.3,289.0,3454.0,3457.6,517.1,454.5,559.4,1014.2,744.7,479.8,2.0,-2.0,6.0,13187.0,-9457.0,1628.0,1569.0,-5.0,12.0,3.0,7.0,1.0,10.0,8417.0,-9769.0,-5537.0,8455.0,-13.0,12.0,3.0,1.0
2022-05-08 17:23:33.411679-07:00,772.0,762.9,767.0,1023.7,473.5,354.5,889.0,741.4,3460.1,3462.5,1294.5,781.1,701.1,3477.1,1222.2,896.6,3443.1,3444.3,391.1,309.0,335.2,325.9,289.8,289.0,3461.3,3457.6,517.1,454.5,564.2,1012.5,748.8,479.8,-1.0,0.0,1.0,13184.0,-9461.0,1634.0,1565.0,2.0,11.0,-5.0,5.0,5.0,12.0,8416.0,-9771.0,-5537.0,8454.0,1.0,7.0,3.0,1.0
2022-05-08 17:23:33.530184-07:00,773.6,762.9,767.0,1023.7,466.4,354.5,893.2,741.4,3466.1,3462.5,1294.5,781.1,703.6,3471.0,1228.4,896.6,3443.1,3439.5,390.3,308.2,335.2,325.9,289.8,286.7,3461.3,3458.9,514.7,456.1,564.2,1012.5,748.8,476.6,-2.0,0.0,0.0,13184.0,-9460.0,1635.0,1564.0,15.0,4.0,1.0,1.0,3.0,3.0,8417.0,-9768.0,-5537.0,8456.0,13.0,-15.0,3.0,1.0
2022-05-08 17:23:33.531168-07:00,773.6,757.9,765.3,1027.1,466.4,354.5,894.1,744.7,3466.1,3458.9,1285.5,793.5,703.6,3471.0,1224.8,893.2,3444.3,3440.7,390.3,308.2,332.9,322.8,290.5,286.7,3449.1,3473.4,514.7,456.1,566.6,1008.2,748.8,476.6,1.0,3.0,6.0,13185.0,-9457.0,1637.0,1567.0,3.0,8.0,17.0,3.0,5.0,8.0,8416.0,-9766.0,-5538.0,8458.0,8.0,-12.0,2.0,1.0
2022-05-08 17:23:33.590023-07:00,772.8,763.7,765.3,1027.1,469.5,356.8,894.1,744.7,3475.9,3472.2,1285.5,793.5,701.1,3467.4,1224.8,893.2,3444.3,3440.7,382.5,315.1,332.9,322.8,292.1,289.0,3449.1,3473.4,515.5,455.3,566.6,1008.2,752.9,483.7,-2.0,5.0,9.0,13186.0,-9455.0,1646.0,1568.0,-5.0,18.0,12.0,4.0,9.0,16.0,8417.0,-9763.0,-5539.0,8461.0,-11.0,-3.0,0.0,1.0
2022-05-08 17:23:33.679865-07:00,772.8,763.7,764.5,1034.9,469.5,356.8,890.7,742.2,3475.9,3472.2,1295.4,784.4,701.1,3467.4,1220.4,894.9,3432.2,3437.0,382.5,315.1,332.1,320.5,292.1,289.0,3454.0,3462.5,515.5,455.3,557.8,1009.0,752.9,483.7,4.0,2.0,7.0,13184.0,-9457.0,1653.0,1565.0,6.0,14.0,1.0,6.0,3.0,11.0,8414.0,-9768.0,-5540.0,8458.0,-10.0,17.0,-1.0,1.0
2022-05-08 17:23:33.680678-07:00,771.1,763.7,764.5,1034.9,459.3,356.1,890.7,742.2,3462.5,3457.6,1295.4,784.4,697.9,3471.0,1220.4,894.9,3432.2,3437.0,387.2,308.2,332.1,320.5,290.5,292.1,3454.0,3462.5,516.3,456.1,557.8,1009.0,748.8,470.3,0.0,-2.0,5.0,13182.0,-9459.0,1661.0,1566.0,-23.0,24.0,26.0,7.0,0.0,5.0,8411.0,-9775.0,-5542.0,8451.0,-21.0,2.0,3.0,1.0
2022-05-08 17:23:33.710232-07:00,771.1,763.7,771.1,1024.5,459.3,356.1,890.7,734.8,3462.5,3457.6,1299.0,787.7,697.9,3471.0,1223.9,891.5,3451.6,3440.7,387.2,308.2,325.9,319.7,290.5,292.1,3462.5,3452.8,516.3,456.1,559.4,1012.5,748.8,470.3,-3.0,3.0,-4.0,13178.0,-9463.0,1668.0,1566.0,21.0,-1.0,-9.0,2.0,10.0,6.0,8410.0,-9776.0,-5543.0,8451.0,14.0,-4.0,-2.0,1.0
2022-05-08 17:23:33.859827-07:00,762.9,762.0,771.1,1024.5,471.1,349.9,890.7,734.8,3468.6,3468.6,1299.0,787.7,709.3,3469.8,1223.9,891.5,3451.6,3440.7,387.9,307.4,325.9,319.7,295.1,291.3,3462.5,3452.8,517.9,454.5,559.4,1012.5,753.8,479.0,-3.0,-3.0,5.0,13180.0,-9460.0,1668.0,1565.0,-10.0,-3.0,11.0,3.0,0.0,6.0,8410.0,-9774.0,-5544.0,8452.0,-1.0,-14.0,3.0,1.0
2022-05-08 17:23:33.861263-07:00,762.9,762.0,767.8,1029.7,471.1,355.3,886.5,738.1,3468.6,3468.6,1292.7,784.4,709.3,3457.6,1226.6,894.1,3441.9,3440.7,392.6,307.4,332.1,329.0,295.1,291.3,3466.1,3457.6,514.7,454.5,554.6,1011.6,753.8,479.0,-1.0,8.0,5.0,13179.0,-9460.0,1671.0,1569.0,1.0,2.0,-1.0,5.0,5.0,15.0,8408.0,-9772.0,-5546.0,8455.0,2.0,-9.0,-1.0,1.0
2022-05-08 17:23:33.863512-07:00,768.7,759.6,765.3,1029.7,464.8,355.3,886.5,738.1,3457.6,3462.5,1286.4,784.4,701.9,3457.6,1226.6,894.1,3441.9,3440.7,392.6,311.3,332.1,320.5,289.0,290.5,3466.1,3457.6,514.7,456.1,554.6,1003.9,743.0,477.4,2.0,0.0,10.0,13179.0,-9460.0,1671.0,1569.0,-7.0,0.0,-4.0,4.0,0.0,10.0,8408.0,-9772.0,-5547.0,8455.0,-13.0,3.0,-4.0,1.0
2022-05-08 17:23:33.951169-07:00,768.7,759.6,765.3,1021.1,464.8,354.5,902.5,739.7,3457.6,3462.5,1286.4,786.1,701.9,3457.6,1218.6,893.2,3428.6,3434.6,384.8,311.3,336.7,320.5,289.0,290.5,3454.0,3443.1,517.1,456.1,565.0,1003.9,743.0,477.4,-1.0,-1.0,4.0,13176.0,-9463.0,1676.0,1565.0,-14.0,30.0,9.0,2.0,9.0,10.0,8405.0,-9774.0,-5549.0,8454.0,-13.0,2.0,-3.0,1.0
2022-05-08 17:23:33.980018-07:00,772.0,765.3,766.2,1021.1,466.4,354.5,902.5,739.7,3466.1,3468.6,1291.8,786.1,701.9,3457.6,1218.6,893.2,3428.6,3434.6,384.8,309.0,336.7,320.5,292.1,288.2,3454.0,3443.1,517.1,458.5,565.0,1015.1,737.3,479.8,-1.0,4.0,3.0,13174.0,-9466.0,1687.0,1557.0,13.0,18.0,1.0,6.0,5.0,13.0,8402.0,-9777.0,-5552.0,8452.0,-12.0,3.0,-1.0,1.0
