Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:26:34.356055-07:00,724.9,770.3,718.4,971.3,397.3,335.9,903.4,732.3,3462.5,3468.6,1194.7,763.7,626.2,3467.4,1148.0,847.8,3440.7,3441.9,385.6,305.9,329.0,315.1,280.6,263.7,3458.9,3464.9,502.8,432.5,537.0,890.7,666.8,463.2,0.0,4.0,13.0,12576.0,-10202.0,1348.0,2091.0,-176.0,43.0,-64.0,6.0,2.0,3.0,5749.0,-9018.0,-8018.0,9475.0,-140.0,22.0,-31.0,1.0
2022-05-08 17:26:34.416140-07:00,724.9,770.3,718.4,971.3,401.2,352.2,899.1,732.3,3475.9,3468.6,1194.7,763.7,623.8,3466.1,1140.1,850.3,3443.1,3443.1,387.9,305.1,329.0,315.1,280.6,263.7,3462.5,3456.4,503.6,433.3,537.0,890.7,666.8,453.7,5.0,0.0,1.0,12545.0,-10248.0,1342.0,2062.0,-64.0,63.0,-54.0,5.0,-1.0,-8.0,5736.0,-9038.0,-8046.0,9440.0,-67.0,41.0,-12.0,1.0
2022-05-08 17:26:34.446477-07:00,724.9,770.3,718.4,973.1,401.2,352.2,899.1,738.1,3475.9,3464.9,1186.7,751.3,623.8,3466.1,1140.1,846.1,3443.1,3443.1,387.9,305.1,325.1,312.0,282.9,263.7,3458.9,3456.4,503.6,433.3,537.8,889.8,670.9,453.7,1.0,-2.0,2.0,12524.0,-10280.0,1340.0,2028.0,-153.0,51.0,-69.0,5.0,-4.0,-4.0,5729.0,-9056.0,-8064.0,9411.0,-130.0,51.0,-24.0,1.0
2022-05-08 17:26:34.506823-07:00,729.0,770.3,718.4,973.1,398.9,338.3,905.9,738.1,3467.4,3464.9,1186.7,751.3,616.5,3471.0,1141.9,846.1,3443.1,3438.2,385.6,309.0,325.1,312.0,282.9,269.9,3458.9,3464.9,509.1,436.4,537.8,889.8,670.9,457.7,1.0,-3.0,1.0,12497.0,-10318.0,1338.0,2001.0,-23.0,65.0,-35.0,13.0,-5.0,-10.0,5722.0,-9078.0,-8080.0,9380.0,-41.0,41.0,-3.0,1.0
2022-05-08 17:26:34.566203-07:00,729.0,783.6,718.4,968.8,398.9,338.3,905.9,740.6,3467.4,3467.4,1186.7,762.9,616.5,3471.0,1141.9,847.0,3446.7,3438.2,385.6,309.0,327.5,314.4,284.4,269.9,3464.9,3464.9,509.1,436.4,537.8,885.6,663.6,457.7,-8.0,10.0,-4.0,12489.0,-10335.0,1341.0,1966.0,-106.0,34.0,-101.0,-9.0,6.0,-6.0,5728.0,-9089.0,-8084.0,9362.0,-51.0,41.0,-30.0,1.0
2022-05-08 17:26:34.596464-07:00,726.6,783.6,718.4,968.8,397.3,342.9,905.9,740.6,3472.2,3467.4,1186.7,762.9,619.7,3467.4,1140.1,847.0,3446.7,3449.1,388.7,310.5,327.5,314.4,284.4,260.7,3464.9,3460.1,506.7,426.2,537.8,885.6,663.6,455.3,8.0,-11.0,-4.0,12481.0,-10352.0,1316.0,1941.0,89.0,-32.0,-34.0,-1.0,1.0,-15.0,5735.0,-9105.0,-8087.0,9341.0,38.0,45.0,13.0,1.0
2022-05-08 17:26:34.656080-07:00,726.6,766.2,711.8,973.9,397.3,342.9,905.9,744.7,3472.2,3473.4,1185.0,768.7,619.7,3467.4,1140.1,847.8,3428.6,3449.1,388.7,310.5,322.1,318.2,282.9,260.7,3456.4,3460.1,506.7,426.2,539.4,885.6,665.2,455.3,-2.0,-9.0,-24.0,12499.0,-10331.0,1314.0,1936.0,10.0,-3.0,6.0,6.0,-1.0,-27.0,5755.0,-9104.0,-8069.0,9344.0,16.0,17.0,3.0,1.0
2022-05-08 17:26:34.715675-07:00,724.1,757.9,711.8,973.9,395.7,332.9,902.5,744.7,3469.8,3464.9,1185.0,768.7,626.2,3468.6,1139.2,847.8,3428.6,3432.2,385.6,307.4,322.1,318.2,282.1,259.2,3456.4,3468.6,502.0,422.3,539.4,885.6,669.3,456.9,-19.0,-6.0,-25.0,12485.0,-10343.0,1322.0,1955.0,11.0,-46.0,80.0,-10.0,18.0,-7.0,5742.0,-9113.0,-8070.0,9343.0,5.0,-24.0,38.0,1.0
2022-05-08 17:26:34.746346-07:00,724.1,757.9,718.4,967.1,395.7,332.9,893.2,739.7,3469.8,3464.9,1189.4,760.4,626.2,3468.6,1137.5,847.8,3441.9,3446.7,385.6,307.4,330.5,310.5,282.1,259.2,3450.4,3457.6,502.0,422.3,541.0,883.9,669.3,456.9,-10.0,22.0,-20.0,12488.0,-10328.0,1313.0,2021.0,7.0,-154.0,80.0,-11.0,6.0,-17.0,5724.0,-9111.0,-8071.0,9355.0,-9.0,-51.0,6.0,1.0
2022-05-08 17:26:34.806137-07:00,732.3,762.0,718.4,967.1,400.4,329.8,893.2,739.7,3468.6,3461.3,1189.4,760.4,622.2,3473.4,1137.5,847.8,3441.9,3446.7,385.6,309.0,330.5,310.5,279.8,264.5,3450.4,3457.6,519.5,430.9,541.0,883.9,662.7,454.5,-18.0,3.0,-6.0,12498.0,-10310.0,1279.0,2076.0,52.0,-160.0,25.0,-4.0,5.0,0.0,5718.0,-9097.0,-8073.0,9371.0,43.0,-33.0,-6.0,1.0
2022-05-08 17:26:34.865586-07:00,732.3,762.0,719.2,962.0,400.4,329.8,894.9,738.1,3468.6,3461.3,1194.7,767.0,622.2,3473.4,1141.9,852.0,3441.9,3449.1,385.6,309.0,329.8,316.7,279.8,264.5,3456.4,3463.7,519.5,430.9,533.8,886.5,662.7,454.5,6.0,-9.0,6.0,12512.0,-10286.0,1240.0,2134.0,46.0,-145.0,68.0,11.0,-1.0,-3.0,5721.0,-9088.0,-8065.0,9384.0,35.0,-11.0,14.0,1.0
2022-05-08 17:26:34.896597-07:00,723.3,766.2,719.2,962.0,393.4,335.2,894.9,738.1,3467.4,3460.1,1194.7,767.0,618.9,3467.4,1141.9,852.0,3441.9,3449.1,385.6,305.9,329.8,316.7,279.8,266.0,3456.4,3463.7,507.5,430.2,533.8,886.5,666.8,456.9,26.0,0.0,11.0,12520.0,-10264.0,1220.0,2198.0,35.0,-111.0,106.0,25.0,-3.0,-6.0,5723.0,-9090.0,-8055.0,9390.0,16.0,3.0,22.0,1.0
2022-05-08 17:26:34.986031-07:00,723.3,766.2,715.9,973.9,393.4,335.2,895.7,745.5,3467.4,3460.1,1188.5,761.2,618.9,3467.4,1136.6,847.0,3443.1,3437.0,385.6,305.9,325.9,318.2,279.8,266.0,3462.5,3468.6,507.5,430.2,535.4,884.8,666.8,456.9,6.0,-9.0,-4.0,12526.0,-10247.0,1210.0,2254.0,16.0,-111.0,103.0,11.0,0.0,-8.0,5725.0,-9095.0,-8048.0,9390.0,17.0,17.0,24.0,1.0
2022-05-08 17:26:35.016126-07:00,724.1,763.7,715.1,973.9,395.0,332.9,895.7,745.5,3469.8,3472.2,1185.9,761.2,624.6,3460.1,1136.6,847.0,3443.1,3437.0,380.9,309.0,325.9,315.9,277.5,264.5,3462.5,3468.6,500.4,433.3,535.4,887.3,664.4,454.5,-4.0,2.0,-15.0,12538.0,-10214.0,1197.0,2344.0,146.0,-187.0,175.0,-7.0,-6.0,-23.0,5734.0,-9091.0,-8026.0,9408.0,146.0,-32.0,42.0,1.0
2022-05-08 17:26:35.106204-07:00,724.1,763.7,715.1,969.6,395.0,340.6,896.6,730.7,3469.8,3472.2,1185.9,761.2,624.6,3471.0,1138.4,844.4,3443.1,3444.3,385.6,309.0,327.5,315.9,277.5,264.5,3457.6,3469.8,504.4,433.3,533.8,887.3,664.4,454.5,-19.0,39.0,-19.0,12590.0,-10133.0,1193.0,2411.0,161.0,-125.0,37.0,-6.0,20.0,-8.0,5758.0,-9051.0,-7981.0,9469.0,184.0,-82.0,-1.0,1.0
2022-05-08 17:26:35.135686-07:00,725.8,774.5,718.4,969.6,398.9,340.6,896.6,730.7,3463.7,3458.9,1185.9,761.2,625.4,3471.0,1138.4,844.4,3443.1,3444.3,385.6,309.0,327.5,315.9,280.6,263.7,3457.6,3469.8,504.4,429.4,533.8,884.8,659.5,455.3,-10.0,-4.0,6.0,12623.0,-10093.0,1144.0,2434.0,98.0,-127.0,-48.0,0.0,5.0,3.0,5774.0,-9006.0,-7966.0,9515.0,121.0,-79.0,-21.0,1.0
2022-05-08 17:26:35.165586-07:00,725.8,774.5,718.4,973.1,398.9,334.4,900.8,724.9,3463.7,3458.9,1185.9,766.2,625.4,3468.6,1137.5,852.0,3438.2,3451.6,393.4,309.0,321.3,315.9,280.6,263.7,3461.3,3461.3,505.9,429.4,537.8,884.8,659.5,455.3,5.0,0.0,15.0,12650.0,-10056.0,1126.0,2451.0,97.0,-15.0,30.0,7.0,0.0,0.0,5787.0,-8970.0,-7950.0,9554.0,113.0,-67.0,9.0,1.0
2022-05-08 17:26:35.196352-07:00,722.5,758.7,715.9,973.1,398.1,334.4,900.8,724.9,3463.7,3464.9,1202.7,766.2,623.8,3468.6,1137.5,852.0,3438.2,3451.6,393.4,305.1,321.3,316.7,276.0,262.2,3461.3,3461.3,505.9,432.5,537.8,892.4,666.8,453.0,4.0,24.0,-1.0,12667.0,-10033.0,1137.0,2457.0,44.0,-7.0,-3.0,5.0,5.0,1.0,5796.0,-8951.0,-7934.0,9580.0,56.0,-11.0,12.0,1.0
2022-05-08 17:26:35.256273-07:00,722.5,758.7,715.9,966.2,398.1,336.7,906.7,718.4,3463.7,3464.9,1202.7,764.5,623.8,3472.2,1143.6,852.8,3446.7,3444.3,388.7,305.1,330.5,316.7,276.0,262.2,3464.9,3462.5,505.9,432.5,537.0,892.4,666.8,453.0,-8.0,-9.0,0.0,12672.0,-10030.0,1126.0,2447.0,-5.0,-1.0,-38.0,0.0,4.0,-5.0,5801.0,-8948.0,-7928.0,9584.0,6.0,4.0,-2.0,1.0
2022-05-08 17:26:35.286263-07:00,722.5,772.0,718.4,966.2,395.7,336.7,906.7,718.4,3467.4,3457.6,1185.0,764.5,622.2,3472.2,1143.6,852.8,3446.7,3444.3,388.7,307.4,330.5,317.4,272.1,266.8,3464.9,3462.5,505.9,427.8,537.0,887.3,659.5,456.9,-10.0,3.0,-15.0,12671.0,-10033.0,1132.0,2436.0,1.0,38.0,-1.0,-4.0,0.0,-10.0,5798.0,-8948.0,-7929.0,9586.0,-3.0,-18.0,12.0,1.0
2022-05-08 17:26:35.346310-07:00,722.5,772.0,718.4,968.8,395.7,335.9,900.0,719.2,3467.4,3457.6,1185.0,763.7,626.2,3468.6,1134.9,852.8,3449.1,3441.9,389.5,309.7,330.5,317.4,272.1,266.8,3462.5,3452.8,501.2,427.8,537.0,887.3,659.5,456.9,-4.0,-6.0,-7.0,12666.0,-10040.0,1136.0,2435.0,-29.0,-19.0,6.0,1.0,-10.0,-4.0,5791.0,-8946.0,-7935.0,9587.0,-18.0,-17.0,3.0,1.0
2022-05-08 17:26:35.406213-07:00,724.9,760.4,714.2,966.2,395.7,335.9,900.0,719.2,3469.8,3462.5,1185.9,765.3,626.2,3468.6,1134.9,852.8,3449.1,3441.9,389.5,309.7,326.7,315.1,283.6,267.6,3462.5,3452.8,501.2,427.8,535.4,888.2,664.4,458.5,-3.0,0.0,7.0,12661.0,-10045.0,1132.0,2440.0,-20.0,-3.0,1.0,1.0,2.0,-3.0,5784.0,-8942.0,-7940.0,9590.0,-8.0,-29.0,5.0,1.0
2022-05-08 17:26:35.436002-07:00,724.9,760.4,714.2,966.2,398.9,336.7,895.7,720.8,3469.8,3462.5,1185.9,765.3,623.8,3469.8,1137.5,857.0,3449.1,3447.9,387.9,312.0,326.7,315.1,283.6,267.6,3462.5,3464.9,491.7,431.7,535.4,888.2,664.4,458.5,0.0,16.0,-14.0,12666.0,-10041.0,1140.0,2428.0,11.0,72.0,-37.0,6.0,10.0,-18.0,5780.0,-8933.0,-7940.0,9601.0,13.0,-44.0,-14.0,1.0
2022-05-08 17:26:35.496379-07:00,720.0,759.6,713.4,965.4,398.9,336.7,895.7,720.8,3467.4,3469.8,1180.6,761.2,623.8,3469.8,1137.5,857.0,3449.1,3447.9,387.9,312.0,323.6,312.8,276.0,265.3,3462.5,3464.9,491.7,431.7,537.0,882.3,665.2,459.3,-10.0,-4.0,5.0,12661.0,-10056.0,1151.0,2384.0,-35.0,94.0,-77.0,-4.0,-6.0,-1.0,5777.0,-8919.0,-7952.0,9606.0,12.0,-46.0,-14.0,1.0
2022-05-08 17:26:35.616220-07:00,720.0,759.6,713.4,965.4,393.4,334.4,897.4,712.6,3467.4,3469.8,1180.6,761.2,627.8,3458.9,1136.6,850.3,3446.7,3451.6,384.8,305.1,323.6,312.8,276.0,265.3,3463.7,3466.1,500.4,434.9,537.0,882.3,665.2,459.3,-13.0,-11.0,19.0,12654.0,-10075.0,1166.0,2334.0,-52.0,97.0,-52.0,4.0,-3.0,18.0,5771.0,-8908.0,-7958.0,9615.0,-43.0,-2.0,0.0,1.0
2022-05-08 17:26:35.617382-07:00,724.9,757.9,711.8,967.1,393.4,334.4,897.4,712.6,3475.9,3462.5,1188.5,769.5,627.8,3458.9,1136.6,850.3,3446.7,3451.6,384.8,305.1,327.5,308.2,281.3,263.0,3463.7,3466.1,500.4,434.9,544.2,883.9,663.6,454.5,0.0,6.0,9.0,12657.0,-10076.0,1188.0,2304.0,30.0,97.0,-27.0,3.0,0.0,0.0,5765.0,-8920.0,-7959.0,9607.0,-15.0,40.0,27.0,1.0
2022-05-08 17:26:35.646532-07:00,725.8,757.9,711.8,967.1,395.7,338.3,886.5,716.7,3469.8,3462.5,1188.5,769.5,623.8,3474.6,1133.1,853.7,3444.3,3440.7,385.6,315.9,327.5,308.2,281.3,263.7,3469.8,3460.1,495.6,430.9,544.2,883.9,663.6,458.5,-7.0,-5.0,-6.0,12655.0,-10082.0,1209.0,2275.0,-39.0,46.0,-13.0,0.0,0.0,-3.0,5762.0,-8944.0,-7955.0,9589.0,-70.0,70.0,16.0,1.0
2022-05-08 17:26:35.706294-07:00,725.8,762.0,716.7,968.8,395.7,338.3,886.5,711.8,3469.8,3467.4,1180.6,758.7,623.8,3474.6,1133.1,851.1,3447.9,3440.7,385.6,315.9,327.5,309.7,277.5,263.7,3471.0,3460.1,495.6,430.9,538.6,890.7,673.3,458.5,-2.0,-3.0,-15.0,12645.0,-10096.0,1216.0,2265.0,-21.0,25.0,-12.0,0.0,1.0,-17.0,5760.0,-8976.0,-7955.0,9561.0,-47.0,69.0,15.0,1.0
2022-05-08 17:26:35.735858-07:00,728.2,762.0,716.7,968.8,396.5,331.3,887.3,711.8,3469.8,3467.4,1180.6,758.7,623.0,3468.6,1135.7,851.1,3447.9,3438.2,387.2,309.7,327.5,309.7,277.5,266.0,3471.0,3462.5,496.4,428.6,538.6,890.7,673.3,453.7,-10.0,0.0,-27.0,12640.0,-10103.0,1225.0,2258.0,-8.0,22.0,-3.0,-2.0,4.0,-19.0,5759.0,-8993.0,-7953.0,9547.0,-18.0,19.0,5.0,1.0
2022-05-08 17:26:35.796319-07:00,728.2,755.4,715.1,962.0,396.5,331.3,887.3,717.5,3469.8,3467.4,1178.8,757.9,623.0,3468.6,1135.7,852.8,3440.7,3438.2,387.2,309.7,323.6,312.8,278.3,266.0,3462.5,3462.5,496.4,428.6,537.8,878.0,669.3,453.7,3.0,-1.0,-7.0,12633.0,-10112.0,1221.0,2255.0,-22.0,-16.0,-25.0,12.0,-3.0,-5.0,5753.0,-8997.0,-7960.0,9542.0,-9.0,-16.0,-8.0,1.0
2022-05-08 17:26:35.855801-07:00,721.6,755.4,715.1,962.0,397.3,335.2,878.0,717.5,3471.0,3467.4,1178.8,757.9,623.0,3479.5,1136.6,852.8,3440.7,3446.7,387.2,309.0,323.6,312.8,278.3,259.2,3462.5,3456.4,499.6,433.3,537.8,878.0,669.3,461.6,8.0,-10.0,-5.0,12636.0,-10109.0,1206.0,2261.0,37.0,-33.0,10.0,4.0,-1.0,-17.0,5755.0,-8990.0,-7962.0,9545.0,45.0,-20.0,2.0,1.0
2022-05-08 17:26:35.886332-07:00,721.6,757.1,711.8,965.4,397.3,335.2,878.0,712.6,3471.0,3474.6,1185.9,766.2,623.0,3479.5,1136.6,852.0,3440.7,3446.7,387.2,309.0,323.6,311.3,274.4,259.2,3457.6,3456.4,499.6,433.3,541.0,891.5,662.7,461.6,-8.0,1.0,-2.0,12641.0,-10101.0,1207.0,2270.0,5.0,-19.0,16.0,-1.0,3.0,-4.0,5759.0,-8974.0,-7956.0,9563.0,34.0,-31.0,-7.0,1.0
2022-05-08 17:26:35.946444-07:00,720.8,752.9,711.8,965.4,395.7,334.4,881.4,712.6,3474.6,3471.0,1185.9,766.2,626.2,3471.0,1130.5,852.0,3440.7,3444.3,385.6,302.8,323.6,311.3,280.6,260.7,3457.6,3455.2,498.8,430.9,541.0,891.5,667.6,453.7,-11.0,5.0,1.0,12645.0,-10094.0,1206.0,2281.0,21.0,-19.0,16.0,-6.0,3.0,0.0,5766.0,-8963.0,-7947.0,9575.0,38.0,-6.0,-1.0,1.0
2022-05-08 17:26:36.006249-07:00,720.8,752.9,713.4,966.2,395.7,334.4,889.0,714.2,3474.6,3471.0,1186.7,761.2,626.2,3471.0,1128.7,847.8,3450.4,3455.2,385.6,302.8,326.7,319.0,280.6,260.7,3469.8,3463.7,498.8,430.9,541.0,889.8,667.6,453.7,-3.0,11.0,-3.0,12649.0,-10089.0,1204.0,2280.0,9.0,11.0,-31.0,4.0,6.0,-1.0,5769.0,-8957.0,-7942.0,9584.0,19.0,-13.0,-3.0,1.0
2022-05-08 17:26:36.036211-07:00,715.1,754.6,713.4,966.2,391.8,339.8,889.0,714.2,3469.8,3475.9,1186.7,761.2,627.0,3473.4,1128.7,847.8,3450.4,3455.2,385.6,310.5,326.7,319.0,279.0,263.0,3469.8,3463.7,500.4,423.1,541.0,889.8,667.6,454.5,-5.0,-6.0,-3.0,12651.0,-10090.0,1193.0,2269.0,4.0,-14.0,-28.0,-1.0,4.0,-12.0,5772.0,-8954.0,-7944.0,9584.0,-7.0,8.0,-7.0,1.0
2022-05-08 17:26:36.096750-07:00,715.1,754.6,706.9,973.9,391.8,339.8,880.6,715.1,3469.8,3475.9,1181.5,757.9,627.0,3473.4,1136.6,845.3,3434.6,3445.5,385.6,310.5,320.5,315.1,279.0,263.0,3461.3,3460.1,500.4,423.1,532.2,887.3,667.6,454.5,-6.0,-1.0,-6.0,12649.0,-10094.0,1189.0,2267.0,-20.0,-9.0,-3.0,1.0,6.0,-5.0,5768.0,-8957.0,-7947.0,9580.0,-18.0,5.0,-1.0,1.0
2022-05-08 17:26:36.156245-07:00,720.8,751.3,706.9,973.9,398.1,335.2,880.6,715.1,3467.4,3466.1,1181.5,757.9,625.4,3462.5,1136.6,845.3,3434.6,3445.5,387.9,308.2,320.5,315.1,280.6,266.0,3461.3,3460.1,505.9,433.3,532.2,887.3,670.1,456.1,-5.0,0.0,-12.0,12648.0,-10095.0,1181.0,2274.0,3.0,-28.0,-4.0,-1.0,0.0,-11.0,5766.0,-8957.0,-7949.0,9580.0,7.0,-10.0,1.0,1.0
2022-05-08 17:26:36.276092-07:00,720.8,751.3,711.0,967.9,398.1,335.2,873.0,708.5,3467.4,3466.1,1179.7,760.4,625.4,3462.5,1138.4,848.6,3439.5,3443.1,387.9,308.2,322.8,313.6,280.6,266.0,3460.1,3469.8,505.9,433.3,539.4,884.8,670.1,456.1,3.0,2.0,-4.0,12649.0,-10093.0,1167.0,2282.0,12.0,-45.0,-11.0,3.0,0.0,-9.0,5765.0,-8950.0,-7949.0,9587.0,22.0,-27.0,-4.0,1.0
2022-05-08 17:26:36.305811-07:00,730.7,752.1,711.0,967.9,398.1,333.6,873.0,708.5,3455.2,3471.0,1179.7,760.4,623.8,3464.9,1138.4,848.6,3439.5,3443.1,388.7,312.0,322.8,313.6,279.0,258.4,3460.1,3469.8,494.8,426.2,539.4,884.8,665.2,452.2,-4.0,-1.0,3.0,12651.0,-10090.0,1159.0,2289.0,-1.0,-19.0,13.0,0.0,0.0,0.0,5760.0,-8944.0,-7952.0,9593.0,5.0,-13.0,6.0,1.0
2022-05-08 17:26:36.306736-07:00,730.7,752.1,713.4,965.4,398.1,331.3,882.3,713.4,3455.2,3471.0,1182.3,768.7,623.8,3462.5,1130.5,852.0,3446.7,3444.3,390.3,312.0,323.6,309.7,279.0,258.4,3463.7,3457.6,492.5,426.2,539.4,887.3,665.2,452.2,-4.0,6.0,-2.0,12651.0,-10089.0,1159.0,2293.0,2.0,-15.0,-5.0,1.0,4.0,1.0,5759.0,-8942.0,-7953.0,9594.0,-2.0,1.0,1.0,1.0
