Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:31:33.081617-07:00,701.1,777.8,801.9,953.4,394.2,367.7,1029.7,822.7,3478.3,3468.6,1437.8,812.7,715.9,3462.5,1228.4,859.5,3445.5,3439.5,385.6,309.7,327.5,318.2,294.4,272.1,3461.3,3457.6,509.1,475.0,526.6,886.5,781.9,503.6,-10.0,-1.0,1.0,12031.0,-10185.0,-1412.0,4236.0,87.0,-81.0,5.0,-1.0,7.0,-2.0,4750.0,-7382.0,-9378.0,10170.0,74.0,-51.0,-20.0,1.0
2022-05-08 17:31:33.110111-07:00,701.1,779.4,802.7,949.2,394.2,367.7,1029.7,811.0,3478.3,3467.4,1432.3,811.0,715.9,3462.5,1228.4,857.9,3444.3,3439.5,385.6,309.7,324.4,320.5,292.1,272.1,3456.4,3457.6,509.1,475.0,523.4,887.3,773.6,503.6,-8.0,2.0,2.0,12057.0,-10142.0,-1427.0,4262.0,87.0,-90.0,-14.0,2.0,1.0,4.0,4760.0,-7357.0,-9365.0,10195.0,90.0,-49.0,-26.0,1.0
2022-05-08 17:31:33.169996-07:00,697.9,779.4,802.7,949.2,385.6,368.5,1019.4,811.0,3462.5,3467.4,1432.3,811.0,713.4,3462.5,1231.0,857.9,3444.3,3443.1,384.0,309.7,324.4,320.5,292.1,269.9,3456.4,3462.5,507.5,471.1,523.4,887.3,773.6,505.1,-4.0,-8.0,17.0,12074.0,-10106.0,-1455.0,4290.0,49.0,-119.0,2.0,4.0,4.0,5.0,4772.0,-7329.0,-9355.0,10219.0,59.0,-30.0,-25.0,1.0
2022-05-08 17:31:33.200441-07:00,697.9,781.9,801.9,950.0,385.6,368.5,1019.4,815.2,3462.5,3466.1,1427.7,810.2,713.4,3462.5,1231.0,857.9,3451.6,3443.1,384.0,309.7,328.2,318.2,291.3,269.9,3458.9,3462.5,507.5,471.1,518.7,883.1,770.3,505.1,-5.0,0.0,13.0,12087.0,-10073.0,-1481.0,4321.0,48.0,-57.0,-7.0,0.0,5.0,-3.0,4783.0,-7308.0,-9343.0,10240.0,59.0,-21.0,-12.0,1.0
2022-05-08 17:31:33.260102-07:00,698.7,775.3,801.9,950.0,391.1,366.9,1028.0,815.2,3464.9,3466.1,1427.7,810.2,711.8,3473.4,1224.8,857.9,3451.6,3439.5,384.8,311.3,328.2,318.2,285.9,275.2,3458.9,3462.5,503.6,466.4,518.7,883.1,774.5,505.9,-12.0,2.0,9.0,12102.0,-10049.0,-1489.0,4332.0,50.0,-36.0,-12.0,-5.0,6.0,8.0,4793.0,-7291.0,-9332.0,10257.0,55.0,-13.0,-12.0,1.0
2022-05-08 17:31:33.290832-07:00,698.7,775.3,797.7,949.2,391.1,366.9,1028.0,811.0,3464.9,3466.1,1435.0,806.9,711.8,3473.4,1223.9,859.5,3438.2,3449.1,384.8,311.3,322.1,319.0,285.9,275.2,3460.1,3460.1,503.6,466.4,521.8,888.2,774.5,505.9,-16.0,-12.0,5.0,12109.0,-10036.0,-1498.0,4341.0,6.0,-37.0,7.0,-4.0,-3.0,6.0,4800.0,-7282.0,-9327.0,10265.0,8.0,5.0,-6.0,1.0
2022-05-08 17:31:33.350347-07:00,706.0,778.6,797.7,949.2,388.7,363.1,1028.0,811.0,3457.6,3463.7,1435.0,806.9,712.6,3473.4,1223.9,859.5,3438.2,3449.1,384.8,314.4,322.1,319.0,286.7,265.3,3460.1,3460.1,505.1,462.4,521.8,888.2,769.5,501.2,-1.0,-6.0,0.0,12104.0,-10029.0,-1513.0,4365.0,-3.0,-59.0,16.0,2.0,9.0,-17.0,4803.0,-7279.0,-9323.0,10270.0,9.0,-16.0,-3.0,1.0
2022-05-08 17:31:33.410567-07:00,706.0,778.6,797.7,953.4,388.7,363.1,1033.2,811.9,3457.6,3463.7,1427.7,809.4,712.6,3473.4,1216.8,857.9,3443.1,3439.5,384.8,314.4,327.5,321.3,286.7,265.3,3473.4,3458.9,505.1,462.4,521.0,887.3,769.5,501.2,-13.0,-4.0,0.0,12103.0,-10021.0,-1526.0,4383.0,13.0,-85.0,17.0,-3.0,0.0,0.0,4802.0,-7271.0,-9321.0,10278.0,33.0,-23.0,-4.0,1.0
2022-05-08 17:31:33.441125-07:00,700.3,776.1,797.7,953.4,387.9,370.8,1033.2,811.9,3471.0,3467.4,1427.7,809.4,710.1,3463.7,1216.8,857.9,3443.1,3439.5,384.8,310.5,327.5,321.3,291.3,268.3,3473.4,3458.9,503.6,464.0,521.0,887.3,764.5,509.9,-14.0,-5.0,10.0,12093.0,-10012.0,-1552.0,4420.0,-14.0,-100.0,34.0,-6.0,1.0,5.0,4801.0,-7264.0,-9319.0,10284.0,11.0,-10.0,-4.0,1.0
2022-05-08 17:31:33.500085-07:00,700.3,776.1,798.5,964.5,387.9,370.8,1014.2,819.4,3471.0,3467.4,1425.9,807.7,710.1,3463.7,1220.4,851.1,3437.0,3445.5,384.8,310.5,330.5,324.4,291.3,268.3,3454.0,3460.1,503.6,464.0,524.2,884.8,764.5,509.9,-19.0,4.0,6.0,12089.0,-10001.0,-1565.0,4453.0,17.0,-61.0,30.0,-7.0,8.0,3.0,4800.0,-7257.0,-9315.0,10294.0,22.0,-20.0,-4.0,1.0
