Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:33:24.561585-07:00,916.9,829.4,1248.0,934.7,687.2,442.7,1364.8,905.0,3473.4,3479.5,661.9,912.7,439.6,3494.1,894.9,749.6,3472.2,3480.7,399.6,590.7,402.8,526.6,247.0,244.7,3480.7,3483.2,589.9,452.2,720.0,1014.2,1240.8,520.3,-19.0,-3.0,6.0,9287.0,8838.0,8055.0,6260.0,-6.0,-21.0,2.0,-24.0,-8.0,0.0,11376.0,10961.0,-1988.0,-3862.0,-14.0,0.0,2.0,1.0
2022-05-08 17:33:24.591554-07:00,916.9,829.4,1248.0,934.7,692.1,435.7,1370.3,905.9,3473.4,3479.5,661.9,912.7,434.9,3497.8,896.6,752.9,3486.8,3481.9,396.5,589.9,402.8,526.6,247.0,244.7,3481.9,3478.3,589.1,455.3,720.0,1014.2,1240.8,520.3,-1.0,-2.0,8.0,9289.0,8838.0,8053.0,6259.0,3.0,-6.0,14.0,1.0,-4.0,3.0,11376.0,10961.0,-1988.0,-3862.0,-5.0,0.0,15.0,1.0
2022-05-08 17:33:24.651372-07:00,917.7,824.4,1244.4,940.7,692.1,435.7,1370.3,905.9,3471.0,3477.1,665.2,911.8,434.9,3497.8,896.6,752.1,3478.3,3481.9,396.5,589.9,408.2,522.6,247.7,247.0,3485.6,3478.3,589.1,455.3,726.6,1000.5,1243.5,513.9,9.0,2.0,4.0,9286.0,8838.0,8051.0,6267.0,-1.0,25.0,14.0,5.0,-3.0,0.0,11379.0,10961.0,-1991.0,-3854.0,7.0,15.0,16.0,1.0
2022-05-08 17:33:24.711442-07:00,918.6,824.4,1244.4,940.7,692.1,438.8,1370.3,905.9,3478.3,3477.1,665.2,911.8,438.8,3497.8,894.1,752.1,3478.3,3484.4,395.7,588.3,408.2,522.6,247.7,247.0,3485.6,3481.9,587.5,458.5,726.6,1000.5,1243.5,517.9,2.0,9.0,-11.0,9278.0,8839.0,8058.0,6270.0,0.0,8.0,-3.0,-2.0,5.0,-3.0,11377.0,10964.0,-1990.0,-3850.0,-6.0,6.0,-3.0,1.0
2022-05-08 17:33:24.741637-07:00,918.6,821.9,1243.5,933.9,692.1,438.8,1370.3,905.9,3478.3,3467.4,666.0,909.3,438.8,3497.8,894.1,748.8,3483.2,3484.4,395.7,588.3,405.9,525.0,247.0,247.0,3479.5,3481.9,587.5,458.5,722.5,1015.9,1242.6,517.9,0.0,0.0,-9.0,9281.0,8839.0,8056.0,6267.0,0.0,-22.0,-11.0,-3.0,-3.0,-8.0,11376.0,10965.0,-1990.0,-3853.0,-3.0,-15.0,-10.0,1.0
2022-05-08 17:33:24.803986-07:00,917.7,821.9,1243.5,933.9,703.6,440.4,1360.3,905.9,3478.3,3467.4,666.0,909.3,434.9,3494.1,893.2,748.8,3483.2,3477.1,393.4,586.7,405.9,525.0,247.0,243.9,3479.5,3481.9,590.7,447.4,722.5,1015.9,1242.6,521.0,0.0,-5.0,3.0,9291.0,8840.0,8047.0,6261.0,-20.0,-35.0,-4.0,-6.0,-4.0,0.0,11379.0,10958.0,-1994.0,-3861.0,-19.0,-25.0,0.0,1.0
2022-05-08 17:33:24.861410-07:00,917.7,826.9,1245.3,939.0,703.6,440.4,1360.3,907.6,3478.3,3472.2,669.3,912.7,434.9,3494.1,893.2,748.8,3479.5,3477.1,393.4,586.7,408.2,517.9,243.2,243.9,3488.0,3481.9,590.7,447.4,717.5,1010.8,1239.1,521.0,-2.0,0.0,10.0,9301.0,8840.0,8038.0,6259.0,4.0,-18.0,4.0,-6.0,0.0,3.0,11381.0,10954.0,-1995.0,-3864.0,7.0,4.0,7.0,1.0
2022-05-08 17:33:24.921402-07:00,918.6,826.9,1245.3,939.0,699.5,442.7,1356.7,907.6,3481.9,3472.2,669.3,912.7,436.4,3494.1,900.8,748.8,3479.5,3478.3,397.3,591.5,408.2,517.9,243.2,250.8,3488.0,3474.6,592.3,453.7,717.5,1010.8,1239.1,517.1,0.0,2.0,5.0,9301.0,8844.0,8037.0,6255.0,-4.0,7.0,-7.0,-3.0,-1.0,-1.0,11379.0,10956.0,-1996.0,-3864.0,0.0,7.0,-7.0,1.0
2022-05-08 17:33:24.951229-07:00,918.6,825.2,1243.5,940.7,699.5,442.7,1363.0,908.4,3481.9,3483.2,666.0,902.5,436.4,3494.1,896.6,752.9,3486.8,3483.2,397.3,591.5,404.3,522.6,243.9,250.8,3483.2,3490.5,592.3,453.7,718.4,1012.5,1244.4,517.1,3.0,-1.0,0.0,9297.0,8845.0,8040.0,6254.0,16.0,9.0,-5.0,-2.0,-3.0,-1.0,11379.0,10957.0,-1996.0,-3863.0,14.0,12.0,0.0,1.0
2022-05-08 17:33:25.011332-07:00,919.4,828.5,1243.5,940.7,695.4,441.9,1363.0,908.4,3469.8,3478.3,666.0,902.5,437.2,3491.7,896.6,752.9,3486.8,3483.2,395.0,586.7,404.3,522.6,244.7,242.4,3483.2,3490.5,594.7,452.2,718.4,1012.5,1244.4,517.1,-1.0,3.0,-3.0,9297.0,8846.0,8041.0,6254.0,-4.0,0.0,-7.0,-7.0,1.0,-4.0,11377.0,10960.0,-1994.0,-3862.0,0.0,3.0,-1.0,1.0
