Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:35:30.439936-07:00,726.6,714.2,745.5,1023.7,430.9,342.9,857.0,715.1,3478.3,3463.7,1357.6,738.9,650.5,3464.9,1334.1,865.4,3440.7,3444.3,380.2,317.4,325.1,317.4,312.0,260.7,3461.3,3460.1,513.1,456.9,527.4,904.2,698.7,509.1,-11.0,-2.0,2.0,12668.0,-9795.0,-398.0,3444.0,-5.0,-126.0,91.0,-6.0,-6.0,10.0,4444.0,-6318.0,-9325.0,11037.0,-19.0,4.0,16.0,1.0
2022-05-08 17:35:30.440845-07:00,729.9,715.9,745.5,1023.7,430.2,342.9,857.0,715.1,3457.6,3464.9,1357.6,738.9,639.2,3466.1,1334.1,865.4,3440.7,3444.3,382.5,313.6,325.1,317.4,305.1,256.9,3461.3,3460.1,511.5,456.1,527.4,904.2,700.3,526.6,-1.0,4.0,0.0,12658.0,-9784.0,-418.0,3508.0,0.0,-138.0,89.0,2.0,-1.0,0.0,4440.0,-6321.0,-9322.0,11039.0,3.0,-4.0,13.0,1.0
2022-05-08 17:35:30.441774-07:00,729.9,715.9,743.9,1021.1,430.2,342.9,852.8,715.9,3457.6,3464.9,1355.8,748.0,639.2,3466.1,1331.4,863.7,3449.1,3438.2,382.5,313.6,321.3,325.9,305.1,256.9,3461.3,3447.9,511.5,456.1,525.8,896.6,700.3,526.6,2.0,8.0,3.0,12653.0,-9775.0,-436.0,3549.0,6.0,-104.0,37.0,1.0,-6.0,5.0,4437.0,-6321.0,-9322.0,11041.0,-6.0,-12.0,4.0,1.0
2022-05-08 17:35:30.443543-07:00,726.6,716.7,743.9,1021.1,431.7,342.1,852.8,715.9,3469.8,3455.2,1355.8,748.0,646.5,3466.1,1331.4,863.7,3449.1,3438.2,377.8,311.3,321.3,325.9,311.3,256.9,3461.3,3447.9,509.9,455.3,525.8,896.6,701.1,507.5,-1.0,2.0,8.0,12648.0,-9766.0,-460.0,3589.0,-9.0,-109.0,62.0,2.0,-3.0,9.0,4436.0,-6321.0,-9323.0,11040.0,-20.0,9.0,9.0,1.0
2022-05-08 17:35:30.589730-07:00,726.6,716.7,748.0,1021.1,431.7,342.1,861.2,712.6,3469.8,3455.2,1361.2,738.9,646.5,3466.1,1334.1,861.2,3437.0,3450.4,377.8,311.3,320.5,322.8,311.3,256.9,3460.1,3452.8,509.9,455.3,521.0,909.3,701.1,507.5,0.0,0.0,-6.0,12635.0,-9761.0,-481.0,3647.0,-24.0,-142.0,100.0,2.0,-5.0,0.0,4433.0,-6333.0,-9326.0,11032.0,-29.0,26.0,17.0,1.0
2022-05-08 17:35:30.590649-07:00,730.7,711.8,741.4,1021.1,431.7,346.8,861.2,712.6,3468.6,3466.1,1358.5,738.9,647.3,3468.6,1334.1,861.2,3437.0,3450.4,383.3,315.1,320.5,322.1,312.0,255.3,3460.1,3452.8,505.9,455.3,521.0,903.4,702.8,509.9,-8.0,-5.0,-14.0,12618.0,-9750.0,-513.0,3728.0,7.0,-250.0,132.0,1.0,-2.0,0.0,4433.0,-6346.0,-9327.0,11024.0,-13.0,23.0,12.0,1.0
2022-05-08 17:35:30.591853-07:00,730.7,711.8,741.4,1020.2,431.7,342.9,861.2,711.8,3468.6,3466.1,1358.5,738.9,647.3,3472.2,1324.1,860.4,3440.7,3440.7,382.5,315.1,314.4,322.1,312.0,255.3,3466.1,3463.7,511.5,455.3,525.0,903.4,702.8,509.9,-2.0,-21.0,-8.0,12597.0,-9725.0,-571.0,3852.0,29.0,-332.0,176.0,-3.0,-17.0,-8.0,4434.0,-6353.0,-9328.0,11018.0,6.0,14.0,13.0,1.0
2022-05-08 17:35:30.649972-07:00,730.7,722.5,744.7,1020.2,433.3,342.9,861.2,711.8,3469.8,3468.6,1363.9,738.9,648.1,3472.2,1324.1,860.4,3440.7,3440.7,382.5,319.0,314.4,325.9,309.0,261.4,3466.1,3463.7,511.5,454.5,525.0,900.0,700.3,509.1,4.0,7.0,-12.0,12583.0,-9679.0,-634.0,4004.0,37.0,-363.0,176.0,5.0,-5.0,-11.0,4434.0,-6353.0,-9318.0,11027.0,52.0,-18.0,12.0,1.0
2022-05-08 17:35:30.769979-07:00,730.7,722.5,744.7,1023.7,433.3,339.0,873.8,711.0,3469.8,3468.6,1363.9,738.1,648.1,3474.6,1323.2,868.8,3445.5,3444.3,384.0,319.0,319.0,325.9,309.0,261.4,3457.6,3457.6,515.5,454.5,525.8,900.0,700.3,509.1,4.0,-3.0,9.0,12574.0,-9628.0,-704.0,4141.0,97.0,-268.0,120.0,-9.0,-11.0,-14.0,4436.0,-6340.0,-9305.0,11045.0,91.0,-67.0,11.0,1.0
2022-05-08 17:35:30.770967-07:00,728.2,724.9,750.5,1023.7,436.4,339.0,873.8,711.0,3467.4,3467.4,1366.6,738.1,644.0,3474.6,1323.2,868.8,3445.5,3444.3,384.0,321.3,319.0,322.8,308.2,256.1,3457.6,3457.6,515.5,457.7,525.8,896.6,693.8,509.1,4.0,17.0,24.0,12582.0,-9576.0,-732.0,4229.0,97.0,-100.0,78.0,-1.0,0.0,7.0,4422.0,-6310.0,-9283.0,11085.0,92.0,-87.0,34.0,1.0
