Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:37:05.527091-07:00,875.5,944.9,1298.1,998.7,675.8,488.5,1453.4,991.9,3471.0,3478.3,720.8,934.7,422.3,3499.0,850.3,863.7,3483.2,3481.9,391.8,585.9,402.8,513.9,263.7,266.0,3475.9,3479.5,705.2,474.3,697.9,1066.0,1252.4,572.2,2.0,1.0,-6.0,10338.0,7706.0,8183.0,5934.0,0.0,0.0,-5.0,1.0,1.0,-11.0,12625.0,10023.0,-725.0,-2840.0,-3.0,3.0,-3.0,1.0
2022-05-08 17:37:05.557352-07:00,878.9,949.2,1304.3,998.7,679.1,488.5,1453.4,991.9,3473.4,3475.9,729.9,934.7,425.5,3499.0,850.3,863.7,3483.2,3481.9,391.8,582.6,402.8,516.3,259.2,261.4,3475.9,3479.5,705.2,469.5,697.9,1065.1,1244.4,568.2,5.0,7.0,3.0,10340.0,7706.0,8182.0,5932.0,3.0,-23.0,-6.0,9.0,2.0,-6.0,12625.0,10023.0,-725.0,-2840.0,-2.0,-6.0,-3.0,1.0
2022-05-08 17:37:05.616698-07:00,878.9,949.2,1304.3,1003.0,679.1,486.9,1452.5,990.2,3473.4,3475.9,729.9,935.6,425.5,3497.8,850.3,858.7,3481.9,3480.7,389.5,582.6,400.4,516.3,259.2,261.4,3479.5,3477.1,701.9,469.5,692.1,1065.1,1244.4,568.2,8.0,2.0,3.0,10342.0,7707.0,8180.0,5930.0,2.0,4.0,-11.0,6.0,-1.0,-1.0,12625.0,10023.0,-725.0,-2840.0,-2.0,3.0,-3.0,1.0
2022-05-08 17:37:05.677049-07:00,872.1,944.1,1297.2,1003.0,679.9,486.9,1452.5,990.2,3473.4,3467.4,720.8,935.6,427.0,3497.8,850.3,858.7,3481.9,3480.7,389.5,575.4,400.4,514.7,262.2,259.9,3479.5,3477.1,701.9,471.1,692.1,1062.5,1250.6,568.2,-2.0,9.0,-6.0,10345.0,7704.0,8182.0,5926.0,2.0,-16.0,-26.0,-2.0,2.0,-6.0,12624.0,10023.0,-724.0,-2841.0,-9.0,2.0,-15.0,1.0
2022-05-08 17:37:05.707428-07:00,872.1,944.1,1297.2,999.6,677.4,486.1,1454.3,985.9,3473.4,3467.4,720.8,931.3,423.9,3494.1,854.5,862.1,3481.9,3472.2,384.8,581.8,402.8,514.7,262.2,259.9,3484.4,3478.3,704.4,470.3,702.8,1062.5,1250.6,568.2,-10.0,0.0,0.0,10351.0,7699.0,8186.0,5916.0,-14.0,-23.0,-30.0,-9.0,-3.0,3.0,12623.0,10022.0,-720.0,-2851.0,-14.0,-11.0,-22.0,1.0
2022-05-08 17:37:05.767707-07:00,874.7,943.2,1297.2,1000.5,677.4,486.1,1454.3,985.9,3478.3,3478.3,725.8,929.6,423.9,3494.1,854.5,862.1,3481.9,3472.2,384.8,581.8,404.3,514.7,267.6,261.4,3484.4,3478.3,704.4,470.3,694.6,1061.7,1251.5,565.8,-1.0,-3.0,7.0,10363.0,7694.0,8181.0,5909.0,-16.0,-35.0,-18.0,-8.0,0.0,-2.0,12629.0,10012.0,-718.0,-2862.0,-38.0,-17.0,-10.0,1.0
2022-05-08 17:37:05.826810-07:00,874.7,943.2,1297.2,1000.5,681.5,490.9,1458.0,990.2,3478.3,3478.3,725.8,929.6,423.1,3502.7,857.0,857.9,3483.2,3467.4,391.8,581.8,404.3,514.7,267.6,261.4,3477.1,3474.6,699.5,474.3,694.6,1061.7,1251.5,565.8,7.0,7.0,0.0,10373.0,7686.0,8179.0,5904.0,-21.0,-3.0,-25.0,4.0,0.0,-4.0,12636.0,10002.0,-719.0,-2868.0,-19.0,-10.0,-9.0,1.0
2022-05-08 17:37:05.857094-07:00,873.8,953.4,1299.0,997.0,681.5,490.9,1458.0,990.2,3473.4,3478.3,720.0,929.6,423.1,3502.7,857.0,857.9,3483.2,3467.4,391.8,581.8,403.5,512.3,259.9,262.2,3477.1,3474.6,699.5,474.3,700.3,1059.9,1255.1,564.2,7.0,-4.0,1.0,10378.0,7679.0,8179.0,5904.0,-1.0,4.0,1.0,14.0,-4.0,1.0,12640.0,9995.0,-721.0,-2872.0,-10.0,-13.0,-2.0,1.0
2022-05-08 17:37:05.916722-07:00,873.8,953.4,1299.0,997.0,679.1,490.1,1453.4,991.9,3473.4,3478.3,720.0,929.6,422.3,3496.6,849.5,868.8,3477.1,3484.4,387.9,584.3,403.5,512.3,259.9,262.2,3478.3,3484.4,699.5,467.9,700.3,1059.9,1255.1,564.2,16.0,17.0,2.0,10381.0,7678.0,8175.0,5905.0,-10.0,0.0,-4.0,20.0,7.0,0.0,12642.0,9992.0,-725.0,-2872.0,-14.0,-14.0,2.0,1.0
2022-05-08 17:37:05.976855-07:00,871.3,952.6,1299.0,1001.3,679.1,490.1,1453.4,991.9,3473.4,3480.7,723.3,931.3,422.3,3496.6,849.5,868.8,3477.1,3484.4,387.9,584.3,400.4,513.9,261.4,263.0,3478.3,3484.4,699.5,467.9,701.1,1061.7,1250.6,569.0,10.0,7.0,0.0,10385.0,7676.0,8176.0,5902.0,-7.0,4.0,-15.0,10.0,1.0,-4.0,12643.0,9991.0,-728.0,-2872.0,-7.0,2.0,-11.0,1.0
