Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:42:36.420751-07:00,847.8,890.7,1257.8,999.6,729.0,451.4,1350.3,905.9,3474.6,3477.1,627.8,884.8,428.6,3499.0,789.4,789.4,3477.1,3474.6,384.8,577.0,400.4,494.8,252.3,244.7,3478.3,3478.3,589.1,423.9,806.0,1141.0,1288.2,566.6,-6.0,-7.0,-9.0,9280.0,8993.0,8354.0,5626.0,8.0,39.0,-14.0,-6.0,-1.0,-10.0,11041.0,10970.0,-2152.0,-4642.0,5.0,24.0,-6.0,1.0
2022-05-08 17:42:36.540987-07:00,847.8,890.7,1256.9,991.9,729.0,451.4,1344.0,903.4,3474.6,3477.1,623.8,889.0,428.6,3499.0,794.4,776.9,3478.3,3478.3,384.8,577.0,397.3,498.8,252.3,244.7,3473.4,3479.5,589.1,423.9,806.0,1141.0,1288.2,566.6,-6.0,-11.0,-19.0,9275.0,8989.0,8364.0,5625.0,-1.0,16.0,-10.0,-6.0,2.0,-12.0,11042.0,10972.0,-2148.0,-4638.0,-9.0,2.0,-5.0,1.0
2022-05-08 17:42:36.542644-07:00,844.4,889.0,1256.9,991.9,727.4,452.2,1344.0,903.4,3475.9,3475.9,623.8,889.0,429.4,3496.6,794.4,776.9,3478.3,3478.3,381.7,577.0,397.3,498.8,243.2,240.9,3473.4,3479.5,586.7,420.8,806.0,1141.0,1286.4,569.8,7.0,-12.0,-9.0,9278.0,8990.0,8362.0,5623.0,-5.0,-10.0,5.0,0.0,-2.0,-14.0,11045.0,10968.0,-2148.0,-4640.0,-12.0,-14.0,4.0,1.0
2022-05-08 17:42:36.543382-07:00,844.4,889.0,1258.7,1001.3,727.4,452.2,1349.4,911.8,3475.9,3475.9,628.6,890.7,429.4,3496.6,789.4,779.4,3480.7,3479.5,381.7,577.0,398.9,499.6,243.2,240.9,3477.1,3484.4,586.7,420.8,805.2,1154.2,1286.4,569.8,7.0,-11.0,-1.0,9283.0,8992.0,8354.0,5622.0,-14.0,-24.0,14.0,1.0,0.0,-11.0,11049.0,10962.0,-2153.0,-4642.0,-12.0,-14.0,12.0,1.0
2022-05-08 17:42:36.660305-07:00,847.8,893.2,1258.7,1001.3,728.2,452.2,1349.4,911.8,3478.3,3472.2,628.6,890.7,425.5,3502.7,789.4,779.4,3480.7,3479.5,383.3,575.4,398.9,499.6,253.8,247.0,3477.1,3484.4,585.1,427.8,805.2,1154.2,1290.9,567.4,11.0,-3.0,0.0,9288.0,8992.0,8348.0,5624.0,-13.0,-2.0,3.0,4.0,1.0,-11.0,11053.0,10958.0,-2157.0,-4640.0,-10.0,-1.0,10.0,1.0
2022-05-08 17:42:36.661210-07:00,847.8,893.2,1261.3,997.9,728.2,447.4,1353.1,907.6,3478.3,3472.2,627.0,887.3,425.5,3494.1,791.9,782.7,3472.2,3472.2,381.7,575.4,402.0,499.6,253.8,247.0,3474.6,3472.2,586.7,427.8,806.0,1142.7,1290.9,567.4,4.0,-10.0,-6.0,9289.0,8990.0,8347.0,5626.0,-25.0,9.0,5.0,-1.0,-1.0,-18.0,11056.0,10956.0,-2159.0,-4638.0,-24.0,5.0,17.0,1.0
2022-05-08 17:42:36.720401-07:00,841.1,890.7,1264.0,997.9,724.9,447.4,1353.1,907.6,3478.3,3473.4,627.8,887.3,428.6,3494.1,791.9,782.7,3472.2,3472.2,381.7,579.4,402.0,497.2,242.4,240.1,3474.6,3472.2,586.7,423.1,806.0,1140.1,1288.2,575.4,1.0,-18.0,-14.0,9295.0,8983.0,8340.0,5638.0,-49.0,2.0,22.0,-2.0,-1.0,-17.0,11073.0,10941.0,-2163.0,-4631.0,-52.0,-5.0,43.0,1.0
2022-05-08 17:42:36.750710-07:00,841.1,890.7,1264.0,993.6,724.9,446.7,1345.8,905.9,3478.3,3473.4,627.8,887.3,428.6,3497.8,791.9,779.4,3478.3,3467.4,384.0,579.4,398.9,497.2,242.4,240.1,3477.1,3488.0,585.9,423.1,806.9,1140.1,1288.2,575.4,1.0,-9.0,-17.0,9312.0,8980.0,8316.0,5652.0,-91.0,-59.0,34.0,-3.0,1.0,-21.0,11101.0,10911.0,-2176.0,-4628.0,-92.0,-36.0,53.0,1.0
2022-05-08 17:42:36.811017-07:00,852.0,888.2,1249.7,993.6,723.3,446.7,1345.8,905.9,3477.1,3477.1,624.6,887.3,430.2,3497.8,791.9,779.4,3478.3,3467.4,384.0,578.6,398.9,498.0,247.7,247.0,3477.1,3488.0,585.9,426.2,806.9,1139.2,1280.1,573.8,3.0,-1.0,0.0,9345.0,8974.0,8277.0,5661.0,-90.0,-79.0,21.0,-3.0,0.0,-13.0,11133.0,10875.0,-2189.0,-4629.0,-88.0,-36.0,42.0,1.0
2022-05-08 17:42:36.931034-07:00,852.0,888.2,1249.7,1008.2,723.3,448.2,1353.1,906.7,3477.1,3477.1,624.6,890.7,430.2,3496.6,790.2,781.9,3479.5,3477.1,379.4,578.6,398.1,498.0,247.7,247.0,3485.6,3477.1,584.3,426.2,806.0,1139.2,1280.1,573.8,-3.0,7.0,4.0,9372.0,8969.0,8249.0,5667.0,-53.0,-42.0,12.0,-6.0,2.0,-7.0,11154.0,10849.0,-2198.0,-4636.0,-45.0,-26.0,8.0,1.0
