Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:46:27.958539-07:00,675.0,686.4,680.7,967.1,384.8,334.4,798.5,733.2,3461.3,3447.9,1269.4,739.7,618.1,3469.8,1116.5,817.7,3435.8,3438.2,379.4,312.0,311.3,307.4,289.8,253.1,3471.0,3458.9,489.3,463.2,452.2,841.1,661.9,467.9,-6.0,10.0,-7.0,12146.0,-9850.0,-2054.0,4433.0,73.0,-40.0,-1.0,-4.0,14.0,5.0,7917.0,-9610.0,-6392.0,8518.0,67.0,-41.0,3.0,1.0
2022-05-08 17:46:27.959724-07:00,681.5,688.9,680.7,967.1,370.0,332.9,798.5,733.2,3469.8,3472.2,1269.4,739.7,612.5,3469.8,1116.5,817.7,3435.8,3438.2,384.0,305.9,311.3,307.4,292.8,251.5,3471.0,3458.9,488.5,450.6,452.2,841.1,658.7,467.1,-9.0,1.0,0.0,12147.0,-9842.0,-2064.0,4445.0,-6.0,-46.0,8.0,-5.0,1.0,11.0,7912.0,-9603.0,-6398.0,8526.0,-13.0,-29.0,-4.0,1.0
2022-05-08 17:46:28.018316-07:00,681.5,688.9,684.8,965.4,370.0,332.9,801.9,738.9,3469.8,3472.2,1265.8,732.3,612.5,3469.8,1117.4,831.9,3440.7,3439.5,384.0,305.9,315.9,305.9,292.8,251.5,3452.8,3469.8,488.5,450.6,448.2,841.1,658.7,467.1,-4.0,11.0,2.0,12150.0,-9831.0,-2072.0,4458.0,25.0,-45.0,-3.0,-3.0,11.0,11.0,7910.0,-9594.0,-6403.0,8534.0,11.0,-26.0,-13.0,1.0
2022-05-08 17:46:28.078548-07:00,678.2,692.1,684.8,965.4,373.2,331.3,801.9,738.9,3461.3,3462.5,1265.8,732.3,616.5,3473.4,1117.4,831.9,3440.7,3439.5,380.9,307.4,315.9,305.9,295.1,253.8,3452.8,3469.8,492.5,448.2,448.2,841.1,664.4,461.6,6.0,-2.0,11.0,12158.0,-9814.0,-2084.0,4468.0,52.0,-37.0,-11.0,11.0,2.0,14.0,7919.0,-9581.0,-6405.0,8538.0,47.0,-12.0,-16.0,1.0
2022-05-08 17:46:28.108834-07:00,678.2,692.1,681.5,962.8,373.2,331.3,799.4,737.3,3461.3,3462.5,1264.9,737.3,616.5,3473.4,1112.1,828.5,3439.5,3451.6,380.9,307.4,324.4,305.1,295.1,253.8,3456.4,3463.7,492.5,448.2,452.2,846.1,664.4,461.6,0.0,-10.0,16.0,12166.0,-9801.0,-2086.0,4474.0,5.0,-2.0,3.0,15.0,0.0,11.0,7929.0,-9573.0,-6403.0,8539.0,-1.0,17.0,-2.0,1.0
2022-05-08 17:46:28.168099-07:00,682.3,688.9,681.5,962.8,373.2,333.6,799.4,737.3,3447.9,3473.4,1264.9,737.3,610.0,3466.1,1112.1,828.5,3439.5,3451.6,375.5,306.7,324.4,305.1,289.8,249.2,3456.4,3463.7,491.7,450.6,452.2,846.1,665.2,459.3,0.0,9.0,7.0,12173.0,-9791.0,-2081.0,4478.0,26.0,7.0,6.0,6.0,7.0,7.0,7940.0,-9569.0,-6393.0,8542.0,32.0,15.0,2.0,1.0
2022-05-08 17:46:28.228379-07:00,682.3,688.9,684.8,966.2,373.2,334.4,794.4,731.5,3447.9,3473.4,1267.6,737.3,610.0,3468.6,1111.2,826.0,3439.5,3444.3,383.3,306.7,324.4,305.1,289.8,249.2,3452.8,3456.4,491.7,450.6,446.7,844.4,665.2,459.3,-10.0,-1.0,7.0,12178.0,-9788.0,-2075.0,4476.0,18.0,12.0,-3.0,-7.0,1.0,10.0,7947.0,-9569.0,-6385.0,8541.0,28.0,19.0,0.0,1.0
2022-05-08 17:46:28.258871-07:00,678.2,683.1,682.3,966.2,377.0,334.4,794.4,731.5,3466.1,3466.1,1269.4,737.3,621.4,3468.6,1111.2,826.0,3439.5,3444.3,383.3,302.0,324.4,303.6,292.1,253.8,3452.8,3456.4,491.7,454.5,446.7,843.6,674.2,462.4,-14.0,-11.0,-4.0,12186.0,-9777.0,-2064.0,4482.0,61.0,-7.0,34.0,-8.0,0.0,5.0,7960.0,-9561.0,-6372.0,8548.0,84.0,-11.0,16.0,1.0
2022-05-08 17:46:28.348559-07:00,678.2,683.1,682.3,962.8,377.0,334.4,791.9,736.5,3466.1,3466.1,1269.4,737.3,621.4,3464.9,1117.4,826.0,3435.8,3440.7,379.4,302.0,319.7,303.6,292.1,253.8,3457.6,3466.1,484.5,454.5,448.2,843.6,674.2,462.4,-6.0,-9.0,-7.0,12205.0,-9747.0,-2045.0,4504.0,138.0,-28.0,52.0,-3.0,4.0,4.0,7982.0,-9532.0,-6348.0,8577.0,165.0,-55.0,18.0,1.0
2022-05-08 17:46:28.378179-07:00,681.5,686.4,685.6,962.8,372.4,334.4,791.9,736.5,3462.5,3458.9,1261.3,737.3,616.5,3464.9,1117.4,826.0,3435.8,3440.7,379.4,307.4,319.7,307.4,293.6,253.1,3457.6,3466.1,484.5,449.8,448.2,845.3,666.0,465.6,-4.0,7.0,-5.0,12224.0,-9707.0,-2032.0,4543.0,77.0,-75.0,59.0,-1.0,4.0,6.0,8003.0,-9494.0,-6323.0,8618.0,86.0,-50.0,16.0,1.0
