Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:52:31.222292-07:00,831.1,897.4,1167.4,945.8,678.2,440.4,1376.6,860.4,3474.6,3478.3,623.8,867.1,407.5,3496.6,809.4,776.9,3484.4,3483.2,366.9,564.2,391.8,502.0,236.3,231.0,3483.2,3480.7,567.4,441.9,712.6,1032.3,1195.6,495.6,14.0,6.0,-4.0,11740.0,10532.0,4213.0,1391.0,-4.0,-12.0,-4.0,1.0,6.0,-13.0,12921.0,9886.0,243.0,-1920.0,-9.0,-10.0,-4.0,1.0
2022-05-08 17:52:31.282331-07:00,831.9,897.4,1167.4,945.8,688.0,438.8,1377.5,860.4,3469.8,3478.3,623.8,867.1,409.0,3495.3,804.4,776.9,3484.4,3474.6,365.4,565.8,391.8,502.0,236.3,226.4,3483.2,3474.6,569.0,443.5,712.6,1032.3,1195.6,486.1,9.0,0.0,-10.0,11743.0,10530.0,4210.0,1389.0,-5.0,-16.0,1.0,-2.0,0.0,-16.0,12923.0,9883.0,238.0,-1924.0,-11.0,-18.0,1.0,1.0
2022-05-08 17:52:31.341857-07:00,831.9,888.2,1174.4,943.2,688.0,438.8,1377.5,858.7,3469.8,3472.2,629.5,878.9,409.0,3495.3,804.4,785.2,3478.3,3474.6,365.4,565.8,392.6,500.4,230.2,226.4,3480.7,3474.6,569.0,443.5,718.4,1038.3,1197.4,486.1,12.0,0.0,-5.0,11750.0,10525.0,4203.0,1385.0,-21.0,-18.0,1.0,-2.0,0.0,-15.0,12928.0,9875.0,233.0,-1929.0,-20.0,-19.0,4.0,1.0
2022-05-08 17:52:31.372238-07:00,832.7,888.2,1174.4,943.2,687.2,438.8,1373.0,858.7,3475.9,3472.2,629.5,878.9,412.1,3505.1,802.7,785.2,3478.3,3478.3,366.9,565.8,392.6,500.4,230.2,233.3,3480.7,3475.9,568.2,448.2,718.4,1038.3,1197.4,492.5,13.0,4.0,-6.0,11758.0,10520.0,4195.0,1381.0,-21.0,-25.0,-3.0,2.0,1.0,-14.0,12933.0,9868.0,227.0,-1934.0,-15.0,-21.0,3.0,1.0
2022-05-08 17:52:31.462574-07:00,832.7,891.5,1175.3,944.1,687.2,438.8,1373.0,858.7,3475.9,3477.1,629.5,869.6,412.1,3505.1,802.7,777.8,3472.2,3478.3,366.9,565.8,393.4,501.2,232.5,233.3,3490.5,3475.9,568.2,448.2,713.4,1040.9,1198.2,492.5,14.0,4.0,-5.0,11769.0,10513.0,4184.0,1377.0,-35.0,-31.0,10.0,3.0,2.0,-13.0,12939.0,9859.0,220.0,-1939.0,-30.0,-21.0,7.0,1.0
2022-05-08 17:52:31.463707-07:00,831.9,891.5,1175.3,944.1,679.1,439.6,1383.9,858.7,3479.5,3477.1,629.5,869.6,414.5,3494.1,805.2,777.8,3472.2,3484.4,364.6,565.8,393.4,501.2,232.5,231.0,3490.5,3480.7,569.8,444.3,713.4,1040.9,1198.2,496.4,12.0,4.0,-11.0,11782.0,10505.0,4171.0,1371.0,-23.0,-38.0,1.0,0.0,0.0,-17.0,12947.0,9848.0,213.0,-1945.0,-28.0,-28.0,5.0,1.0
2022-05-08 17:52:31.522758-07:00,831.9,893.2,1175.3,939.0,679.1,439.6,1372.1,859.5,3479.5,3467.4,632.7,875.5,414.5,3494.1,808.5,776.9,3472.2,3478.3,364.6,565.8,389.5,501.2,232.5,231.0,3483.2,3475.9,569.8,444.3,731.5,1040.9,1203.5,496.4,22.0,7.0,0.0,11798.0,10497.0,4148.0,1363.0,-43.0,-66.0,2.0,10.0,4.0,-13.0,12958.0,9833.0,206.0,-1952.0,-34.0,-30.0,5.0,1.0
2022-05-08 17:52:31.582376-07:00,835.2,895.7,1175.3,939.0,679.1,445.9,1372.1,859.5,3467.4,3477.1,632.7,875.5,411.4,3502.7,808.5,776.9,3472.2,3478.3,366.9,568.2,389.5,501.2,232.5,228.7,3483.2,3475.9,569.8,442.7,731.5,1040.9,1193.8,493.2,16.0,4.0,3.0,11810.0,10495.0,4123.0,1350.0,-16.0,-65.0,3.0,4.0,0.0,-5.0,12965.0,9822.0,199.0,-1958.0,-22.0,-15.0,3.0,1.0
2022-05-08 17:52:31.702382-07:00,835.2,895.7,1175.3,943.2,679.1,445.9,1374.8,854.5,3467.4,3477.1,636.7,870.5,411.4,3502.7,801.0,782.7,3475.9,3474.6,366.9,568.2,396.5,502.0,232.5,228.7,3478.3,3483.2,569.8,442.7,723.3,1039.2,1193.8,493.2,7.0,5.0,6.0,11816.0,10494.0,4110.0,1342.0,7.0,-14.0,-6.0,-7.0,0.0,-6.0,12969.0,9816.0,198.0,-1959.0,0.0,-1.0,-3.0,1.0
2022-05-08 17:52:31.703354-07:00,834.4,891.5,1175.3,943.2,679.9,443.5,1374.8,854.5,3473.4,3478.3,636.7,870.5,411.4,3494.1,801.0,782.7,3475.9,3474.6,373.9,569.8,396.5,502.0,232.5,234.0,3478.3,3483.2,568.2,445.1,723.3,1039.2,1187.6,493.2,0.0,-5.0,-6.0,11817.0,10493.0,4111.0,1341.0,5.0,-4.0,0.0,-10.0,-4.0,-10.0,12969.0,9816.0,198.0,-1959.0,9.0,0.0,-5.0,1.0
