Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:52:31.214607-07:00,688.0,820.2,712.6,992.7,420.8,299.0,802.7,686.4,3457.6,3464.9,1168.2,711.0,602.8,3462.5,1069.5,825.2,3449.1,3444.3,377.8,305.1,314.4,335.9,282.9,253.1,3463.7,3463.7,476.6,406.7,435.7,811.9,617.3,460.8,14.0,-5.0,6.0,10546.0,-9903.0,-3598.0,6797.0,9.0,-27.0,12.0,7.0,0.0,1.0,8408.0,-10661.0,-5282.0,7496.0,13.0,-20.0,-2.0,1.0
2022-05-08 17:52:31.215757-07:00,688.0,816.9,713.4,994.5,420.8,299.0,802.7,677.4,3457.6,3475.9,1169.1,711.0,602.8,3462.5,1069.5,826.9,3444.3,3444.3,377.8,305.1,315.9,334.4,282.1,253.1,3466.1,3463.7,476.6,406.7,443.5,810.2,616.5,460.8,11.0,-3.0,4.0,10540.0,-9899.0,-3602.0,6809.0,6.0,-34.0,19.0,6.0,-2.0,5.0,8405.0,-10655.0,-5288.0,7503.0,6.0,-31.0,5.0,1.0
2022-05-08 17:52:31.274839-07:00,685.6,816.9,713.4,994.5,423.9,305.1,805.2,677.4,3462.5,3475.9,1169.1,711.0,597.1,3471.0,1068.6,826.9,3444.3,3438.2,380.2,303.6,315.9,334.4,282.1,253.8,3466.1,3455.2,480.6,409.0,443.5,810.2,616.5,466.4,11.0,0.0,4.0,10536.0,-9884.0,-3610.0,6833.0,26.0,-72.0,21.0,2.0,1.0,3.0,8404.0,-10642.0,-5294.0,7518.0,25.0,-49.0,4.0,1.0
2022-05-08 17:52:31.335258-07:00,685.6,814.4,714.2,985.9,423.9,305.1,801.0,672.5,3462.5,3466.1,1173.5,713.4,597.1,3471.0,1066.9,821.0,3450.4,3441.9,380.2,303.6,324.4,336.7,279.8,253.8,3463.7,3463.7,480.6,409.0,441.2,813.5,619.7,466.4,11.0,0.0,6.0,10530.0,-9867.0,-3626.0,6859.0,11.0,-81.0,14.0,2.0,3.0,3.0,8403.0,-10629.0,-5300.0,7533.0,13.0,-40.0,1.0,1.0
2022-05-08 17:52:31.395591-07:00,689.7,820.2,714.2,985.9,423.9,307.4,801.0,672.5,3471.0,3457.6,1173.5,713.4,600.4,3468.6,1066.9,821.0,3450.4,3441.9,380.2,307.4,324.4,336.7,282.1,253.8,3463.7,3463.7,479.8,404.3,441.2,813.5,620.5,466.4,15.0,0.0,9.0,10523.0,-9845.0,-3646.0,6890.0,28.0,-96.0,17.0,9.0,0.0,2.0,8404.0,-10615.0,-5305.0,7549.0,30.0,-40.0,-4.0,1.0
2022-05-08 17:52:31.425076-07:00,689.7,820.2,710.1,987.6,423.9,307.4,804.4,677.4,3471.0,3457.6,1172.6,711.8,600.4,3468.6,1064.3,830.2,3449.1,3446.7,380.2,307.4,318.2,339.0,282.1,253.8,3461.3,3463.7,479.8,404.3,433.3,812.7,620.5,466.4,13.0,4.0,13.0,10518.0,-9814.0,-3666.0,6932.0,42.0,-114.0,21.0,8.0,0.0,1.0,8410.0,-10599.0,-5305.0,7565.0,58.0,-39.0,4.0,1.0
2022-05-08 17:52:31.484874-07:00,684.8,821.9,710.1,987.6,416.1,312.0,804.4,677.4,3473.4,3457.6,1172.6,711.8,606.0,3468.6,1064.3,830.2,3449.1,3446.7,376.3,306.7,318.2,339.0,282.1,254.6,3461.3,3463.7,481.4,409.0,433.3,812.7,623.8,462.4,11.0,0.0,9.0,10518.0,-9783.0,-3680.0,6969.0,69.0,-95.0,27.0,3.0,6.0,2.0,8424.0,-10579.0,-5298.0,7582.0,88.0,-26.0,-7.0,1.0
2022-05-08 17:52:31.515243-07:00,684.8,821.9,711.8,983.3,416.1,312.0,808.5,679.1,3473.4,3457.6,1167.4,715.9,606.0,3468.6,1074.7,826.9,3432.2,3443.1,376.3,306.7,321.3,336.7,282.1,254.6,3463.7,3461.3,481.4,409.0,429.4,815.2,623.8,462.4,18.0,-4.0,13.0,10521.0,-9751.0,-3678.0,7010.0,80.0,-68.0,63.0,12.0,-2.0,2.0,8446.0,-10555.0,-5285.0,7600.0,107.0,-16.0,7.0,1.0
2022-05-08 17:52:31.575603-07:00,685.6,815.2,711.8,983.3,416.8,307.4,808.5,679.1,3458.9,3468.6,1167.4,715.9,602.8,3464.9,1074.7,826.9,3432.2,3443.1,377.8,311.3,321.3,336.7,282.9,253.8,3463.7,3461.3,485.3,411.4,429.4,815.2,627.8,465.6,8.0,0.0,9.0,10521.0,-9730.0,-3672.0,7042.0,29.0,-50.0,40.0,1.0,-4.0,5.0,8470.0,-10534.0,-5269.0,7614.0,55.0,-18.0,2.0,1.0
2022-05-08 17:52:31.634649-07:00,685.6,815.2,709.3,983.3,416.8,307.4,802.7,678.2,3458.9,3468.6,1173.5,705.2,602.8,3464.9,1072.1,817.7,3431.0,3446.7,377.8,311.3,319.0,333.6,282.9,253.8,3460.1,3460.1,485.3,411.4,434.1,812.7,627.8,465.6,5.0,-3.0,7.0,10520.0,-9711.0,-3673.0,7068.0,49.0,-55.0,35.0,-7.0,-1.0,5.0,8482.0,-10516.0,-5263.0,7629.0,61.0,-39.0,4.0,1.0
