Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 18:00:15.276016-07:00,654.6,702.8,633.5,939.0,360.7,294.4,787.7,675.0,3466.1,3478.3,1251.5,705.2,563.4,3474.6,1367.6,814.4,3444.3,3444.3,378.6,300.5,323.6,344.5,285.9,242.4,3467.4,3456.4,490.1,382.5,465.6,845.3,625.4,449.8,3.0,1.0,-29.0,10898.0,-8043.0,-1708.0,9059.0,81.0,-39.0,-22.0,-5.0,3.0,-6.0,4243.0,-4551.0,-7512.0,13164.0,95.0,8.0,-6.0,1.0
2022-05-08 18:00:15.366158-07:00,654.6,702.8,633.5,939.0,369.3,299.0,781.1,675.0,3466.1,3478.3,1251.5,705.2,561.8,3466.1,1366.6,820.2,3435.8,3439.5,378.6,296.7,323.6,344.5,285.9,242.4,3468.6,3469.8,487.7,384.8,465.6,845.3,625.4,449.8,1.0,-20.0,-5.0,10919.0,-8013.0,-1717.0,9059.0,42.0,-33.0,-15.0,-3.0,5.0,-12.0,4257.0,-4533.0,-7483.0,13182.0,62.0,-31.0,-19.0,1.0
2022-05-08 18:00:15.395708-07:00,661.9,703.6,633.5,939.0,369.3,299.0,781.1,675.0,3467.4,3457.6,1242.6,715.1,561.8,3466.1,1366.6,820.2,3435.8,3439.5,378.6,296.7,320.5,339.0,286.7,242.4,3468.6,3469.8,487.7,384.8,468.7,839.4,620.5,441.9,9.0,-8.0,-14.0,10911.0,-8004.0,-1715.0,9076.0,36.0,-42.0,70.0,0.0,-2.0,0.0,4259.0,-4518.0,-7463.0,13198.0,94.0,-23.0,30.0,1.0
2022-05-08 18:00:15.515245-07:00,661.9,703.6,633.5,939.0,369.3,289.8,785.2,679.1,3467.4,3457.6,1242.6,715.1,566.6,3468.6,1363.0,819.4,3447.9,3446.7,371.6,299.0,320.5,339.0,286.7,242.4,3460.1,3463.7,471.9,382.5,468.7,839.4,620.5,441.9,6.0,17.0,-12.0,10907.0,-7977.0,-1708.0,9106.0,46.0,-70.0,12.0,1.0,-53.0,-8.0,4258.0,-4499.0,-7432.0,13223.0,-182.0,-31.0,-82.0,1.0
2022-05-08 18:00:15.516579-07:00,654.6,701.1,635.9,943.2,369.3,289.8,785.2,679.1,3471.0,3471.0,1250.6,709.3,566.6,3468.6,1363.0,819.4,3447.9,3446.7,371.6,299.0,329.0,336.7,284.4,245.4,3460.1,3463.7,471.9,382.5,463.2,844.4,618.9,453.7,-2.0,-4.0,-6.0,10917.0,-7942.0,-1732.0,9120.0,31.0,-98.0,-23.0,-6.0,4.0,4.0,4265.0,-4483.0,-7445.0,13218.0,37.0,-29.0,-15.0,1.0
2022-05-08 18:00:15.665338-07:00,653.8,701.1,635.9,943.2,363.8,286.7,785.2,673.3,3462.5,3471.0,1250.6,709.3,565.0,3455.2,1345.8,817.7,3444.3,3444.3,375.5,298.2,329.0,336.7,284.4,242.4,3456.4,3468.6,476.6,381.7,463.2,844.4,618.9,446.7,4.0,0.0,-10.0,10920.0,-7905.0,-1751.0,9145.0,55.0,-107.0,13.0,0.0,4.0,-10.0,4270.0,-4470.0,-7433.0,13228.0,57.0,-21.0,-8.0,1.0
2022-05-08 18:00:15.725819-07:00,653.8,699.5,635.1,944.1,363.8,286.7,785.2,672.5,3462.5,3478.3,1235.5,711.0,565.0,3455.2,1345.8,817.7,3447.9,3444.3,375.5,298.2,322.8,342.9,285.9,242.4,3462.5,3468.6,476.6,381.7,477.4,843.6,614.1,446.7,9.0,4.0,-8.0,10931.0,-7871.0,-1763.0,9160.0,52.0,-62.0,-33.0,-3.0,0.0,-5.0,4274.0,-4451.0,-7420.0,13240.0,29.0,-29.0,-24.0,1.0
2022-05-08 18:00:15.726827-07:00,654.6,699.5,635.1,944.1,363.8,289.8,774.5,672.5,3473.4,3478.3,1235.5,711.0,565.0,3467.4,1345.8,817.7,3447.9,3449.1,377.8,299.7,322.8,342.9,285.9,242.4,3462.5,3464.9,475.0,380.9,477.4,843.6,614.1,448.2,16.0,-10.0,0.0,10934.0,-7874.0,-1788.0,9148.0,-87.0,31.0,-52.0,-5.0,-5.0,-9.0,4276.0,-4443.0,-7438.0,13232.0,-114.0,11.0,-33.0,1.0
2022-05-08 18:00:15.728091-07:00,654.6,702.8,635.1,944.9,363.8,289.8,774.5,671.7,3473.4,3462.5,1236.4,705.2,565.0,3467.4,1345.8,821.9,3446.7,3449.1,377.8,299.7,322.1,343.7,280.6,242.4,3457.6,3464.9,475.0,380.9,472.7,844.4,622.2,448.2,9.0,13.0,-4.0,10929.0,-7919.0,-1804.0,9112.0,-115.0,83.0,-54.0,0.0,9.0,-1.0,4277.0,-4462.0,-7487.0,13198.0,-186.0,61.0,-40.0,1.0
2022-05-08 18:00:15.729573-07:00,651.4,702.8,635.1,944.9,383.3,285.9,783.6,671.7,3468.6,3462.5,1236.4,705.2,566.6,3467.4,1332.3,821.9,3446.7,3444.3,380.9,294.4,322.1,343.7,280.6,247.7,3457.6,3468.6,472.7,384.8,472.7,844.4,622.2,448.2,25.0,38.0,-16.0,10906.0,-8019.0,-1883.0,9036.0,-420.0,100.0,-253.0,-2.0,3.0,-17.0,4276.0,-4523.0,-7605.0,13110.0,-535.0,136.0,-81.0,1.0
