Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 18:07:31.746275-07:00,648.9,675.8,663.6,922.0,354.5,293.6,794.4,706.0,3467.4,3471.0,1140.1,698.7,552.2,3469.8,1188.5,816.9,3444.3,3444.3,381.7,295.1,315.9,310.5,275.2,234.8,3457.6,3457.6,471.9,379.4,430.9,811.0,635.1,405.1,-8.0,21.0,2.0,5988.0,-6428.0,-6373.0,12274.0,3.0,2.0,-4.0,-3.0,14.0,11.0,5566.0,-6723.0,-7787.0,11472.0,5.0,-3.0,-11.0,1.0
2022-05-08 18:07:31.747345-07:00,648.9,675.8,663.6,922.0,353.0,291.3,800.2,702.8,3467.4,3471.0,1140.1,698.7,557.0,3463.7,1192.0,816.0,3438.2,3449.1,373.2,298.2,315.9,310.5,275.2,234.8,3468.6,3466.1,460.8,377.0,430.9,811.0,635.1,405.1,-5.0,6.0,7.0,5996.0,-6423.0,-6372.0,12273.0,5.0,-6.0,-21.0,0.0,0.0,10.0,5571.0,-6720.0,-7788.0,11471.0,-5.0,9.0,-16.0,1.0
2022-05-08 18:07:31.748487-07:00,648.9,677.4,674.2,925.4,353.0,291.3,800.2,702.8,3477.1,3469.8,1148.0,694.6,557.0,3463.7,1192.0,816.0,3438.2,3449.1,373.2,298.2,310.5,312.8,275.2,233.3,3468.6,3466.1,460.8,377.0,438.0,826.0,634.3,406.7,7.0,-1.0,6.0,6000.0,-6426.0,-6372.0,12270.0,-6.0,25.0,4.0,6.0,-1.0,4.0,5573.0,-6725.0,-7791.0,11465.0,-11.0,15.0,9.0,1.0
2022-05-08 18:07:31.749991-07:00,648.9,677.4,674.2,925.4,352.2,291.3,805.2,707.7,3477.1,3469.8,1148.0,694.6,553.0,3466.1,1192.0,816.9,3438.2,3444.3,375.5,302.8,310.5,312.8,275.2,233.3,3461.3,3457.6,469.5,380.2,438.0,826.0,634.3,406.7,1.0,5.0,-9.0,6001.0,-6433.0,-6372.0,12265.0,-14.0,10.0,-1.0,0.0,3.0,4.0,5571.0,-6730.0,-7791.0,11463.0,-17.0,9.0,7.0,1.0
2022-05-08 18:07:32.106106-07:00,648.9,676.6,666.8,921.1,352.2,291.3,805.2,705.2,3463.7,3471.0,1144.5,695.4,553.0,3466.1,1192.0,818.5,3443.1,3444.3,375.5,302.8,318.2,312.8,273.7,238.6,3468.6,3457.6,469.5,380.2,437.2,839.4,631.1,410.6,4.0,0.0,-4.0,6000.0,-6433.0,-6374.0,12265.0,-3.0,-3.0,6.0,1.0,-1.0,0.0,5569.0,-6731.0,-7795.0,11461.0,-3.0,-9.0,7.0,1.0
2022-05-08 18:07:32.107041-07:00,644.9,676.6,666.8,921.1,354.5,293.6,799.4,705.2,3473.4,3471.0,1144.5,695.4,553.0,3472.2,1194.7,818.5,3443.1,3451.6,380.2,299.7,318.2,312.8,273.7,236.3,3468.6,3463.7,467.1,380.9,437.2,839.4,631.1,402.8,2.0,4.0,0.0,5995.0,-6435.0,-6372.0,12267.0,-1.0,-7.0,18.0,0.0,2.0,4.0,5567.0,-6728.0,-7796.0,11463.0,3.0,-19.0,11.0,1.0
2022-05-08 18:07:32.108122-07:00,644.9,673.3,664.4,922.0,354.5,293.6,799.4,702.8,3473.4,3469.8,1143.6,699.5,553.0,3472.2,1194.7,811.0,3439.5,3451.6,380.2,299.7,314.4,317.4,275.2,236.3,3458.9,3463.7,467.1,380.9,442.7,830.2,628.6,402.8,-3.0,13.0,2.0,5994.0,-6435.0,-6371.0,12268.0,10.0,-13.0,-5.0,0.0,4.0,11.0,5563.0,-6725.0,-7798.0,11466.0,7.0,-3.0,-4.0,1.0
2022-05-08 18:07:32.109254-07:00,650.5,673.3,664.4,922.0,353.0,290.5,797.7,702.8,3471.0,3469.8,1143.6,699.5,553.8,3473.4,1187.6,811.0,3439.5,3446.7,377.0,297.4,314.4,317.4,275.2,231.7,3458.9,3461.3,472.7,375.5,442.7,830.2,628.6,405.1,0.0,1.0,7.0,5993.0,-6435.0,-6371.0,12269.0,-3.0,9.0,0.0,2.0,0.0,9.0,5563.0,-6725.0,-7798.0,11466.0,-6.0,9.0,1.0,1.0
2022-05-08 18:07:32.111088-07:00,650.5,673.3,665.2,925.4,353.0,290.5,797.7,698.7,3471.0,3468.6,1143.6,702.8,553.8,3473.4,1187.6,812.7,3444.3,3446.7,377.0,297.4,318.2,315.9,271.4,231.7,3468.6,3461.3,472.7,375.5,434.9,827.7,634.3,405.1,3.0,7.0,2.0,5996.0,-6440.0,-6368.0,12266.0,-7.0,21.0,3.0,1.0,2.0,6.0,5566.0,-6728.0,-7796.0,11464.0,-3.0,13.0,8.0,1.0
2022-05-08 18:07:32.286183-07:00,646.5,675.0,661.1,922.8,355.3,291.3,799.4,703.6,3467.4,3466.1,1137.5,697.0,548.2,3458.9,1185.0,810.2,3449.1,3449.1,373.2,300.5,311.3,315.1,270.6,237.8,3458.9,3461.3,474.3,373.2,433.3,817.7,629.5,402.0,0.0,3.0,3.0,5997.0,-6442.0,-6368.0,12265.0,2.0,8.0,-3.0,2.0,1.0,5.0,5567.0,-6730.0,-7795.0,11463.0,2.0,1.0,-1.0,1.0
