Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 18:10:28.722764-07:00,659.5,698.7,667.6,925.4,352.2,322.1,790.2,701.9,3468.6,3469.8,1154.2,690.5,541.0,3471.0,1162.1,806.0,3435.8,3446.7,380.2,296.7,324.4,312.0,285.2,235.5,3456.4,3454.0,467.9,414.5,427.8,843.6,682.3,468.7,-9.0,23.0,21.0,6160.0,-7898.0,-5259.0,11852.0,40.0,-35.0,17.0,-1.0,10.0,12.0,5035.0,-6387.0,-7849.0,11861.0,35.0,-41.0,3.0,1.0
2022-05-08 18:10:28.724801-07:00,659.5,699.5,667.6,925.4,356.8,323.6,790.2,701.9,3475.9,3468.6,1154.2,690.5,542.6,3467.4,1162.1,806.0,3435.8,3446.7,374.7,299.7,324.4,312.0,286.7,234.8,3456.4,3454.0,470.3,404.3,427.8,843.6,684.0,464.0,0.0,1.0,26.0,6164.0,-7882.0,-5251.0,11863.0,9.0,18.0,-39.0,1.0,0.0,12.0,5033.0,-6385.0,-7852.0,11861.0,-20.0,10.0,-7.0,1.0
2022-05-08 18:10:28.725528-07:00,659.5,699.5,671.7,924.5,356.8,322.1,794.4,697.0,3475.9,3468.6,1152.4,692.1,542.6,3468.6,1161.2,803.5,3445.5,3449.1,375.5,299.7,321.3,311.3,286.7,234.8,3461.3,3463.7,464.8,404.3,427.0,846.1,684.0,464.0,0.0,1.0,12.0,6184.0,-7884.0,-5241.0,11856.0,37.0,62.0,-29.0,-3.0,0.0,0.0,5039.0,-6387.0,-7845.0,11862.0,24.0,25.0,-3.0,1.0
2022-05-08 18:10:28.782634-07:00,659.5,699.5,668.4,924.5,353.7,322.1,794.4,697.0,3478.3,3462.5,1153.3,692.1,548.2,3468.6,1161.2,803.5,3445.5,3449.1,375.5,299.0,321.3,311.3,282.9,236.3,3461.3,3463.7,464.8,412.9,427.0,843.6,679.9,469.5,-8.0,-4.0,7.0,6203.0,-7896.0,-5233.0,11842.0,-21.0,52.0,-22.0,-5.0,-8.0,3.0,5045.0,-6402.0,-7843.0,11853.0,-22.0,45.0,1.0,1.0
2022-05-08 18:10:28.784038-07:00,659.5,699.5,668.4,922.0,353.7,325.1,796.0,692.1,3478.3,3462.5,1153.3,687.2,548.2,3463.7,1163.0,802.7,3454.0,3441.9,376.3,299.0,324.4,311.3,282.9,236.3,3478.3,3456.4,462.4,412.9,431.7,843.6,679.9,469.5,1.0,9.0,-12.0,6215.0,-7917.0,-5225.0,11825.0,5.0,54.0,-16.0,-6.0,6.0,-6.0,5050.0,-6412.0,-7840.0,11847.0,-2.0,20.0,-6.0,1.0
2022-05-08 18:10:28.813198-07:00,661.1,696.2,669.3,922.0,356.8,325.1,796.0,692.1,3462.5,3452.8,1146.3,687.2,542.6,3463.7,1163.0,802.7,3454.0,3441.9,376.3,300.5,324.4,312.8,283.6,235.5,3478.3,3456.4,462.4,408.2,431.7,845.3,679.9,469.5,1.0,-11.0,0.0,6225.0,-7926.0,-5229.0,11812.0,3.0,30.0,-20.0,-2.0,-3.0,-8.0,5052.0,-6415.0,-7847.0,11840.0,-10.0,-2.0,-11.0,1.0
2022-05-08 18:10:28.843055-07:00,661.1,696.2,669.3,922.0,356.8,322.8,791.9,701.1,3462.5,3452.8,1146.3,690.5,542.6,3469.8,1155.9,808.5,3440.7,3449.1,377.0,300.5,322.8,312.8,283.6,235.5,3457.6,3462.5,472.7,408.2,426.2,845.3,679.9,469.5,6.0,0.0,-4.0,6226.0,-7930.0,-5229.0,11809.0,-10.0,10.0,-4.0,-6.0,1.0,-6.0,5051.0,-6415.0,-7847.0,11840.0,-5.0,-14.0,-8.0,1.0
2022-05-08 18:10:28.903306-07:00,658.7,706.0,668.4,922.0,355.3,322.8,791.9,701.1,3466.1,3471.0,1145.4,690.5,548.2,3469.8,1155.9,808.5,3440.7,3449.1,377.0,297.4,322.8,309.7,285.2,239.3,3457.6,3462.5,472.7,407.5,426.2,841.1,679.9,467.9,-8.0,0.0,2.0,6226.0,-7931.0,-5230.0,11808.0,9.0,-20.0,8.0,0.0,0.0,8.0,5046.0,-6408.0,-7851.0,11844.0,12.0,-19.0,-4.0,1.0
2022-05-08 18:10:28.962641-07:00,658.7,706.0,668.4,918.6,355.3,323.6,796.9,692.1,3466.1,3471.0,1145.4,685.6,548.2,3462.5,1156.8,804.4,3449.1,3446.7,375.5,297.4,322.8,309.7,285.2,239.3,3466.1,3455.2,471.1,407.5,427.8,841.1,679.9,467.9,0.0,4.0,10.0,6226.0,-7922.0,-5226.0,11815.0,20.0,-16.0,0.0,0.0,5.0,0.0,5047.0,-6400.0,-7847.0,11850.0,22.0,-14.0,-10.0,1.0
2022-05-08 18:10:29.052598-07:00,657.9,696.2,666.0,920.3,353.0,323.6,796.9,692.1,3456.4,3468.6,1149.8,688.9,553.8,3462.5,1156.8,804.4,3449.1,3446.7,375.5,298.2,323.6,312.8,282.9,239.3,3466.1,3455.2,471.1,409.0,430.2,840.3,685.6,464.0,-2.0,7.0,9.0,6230.0,-7918.0,-5221.0,11818.0,3.0,12.0,-12.0,-5.0,4.0,0.0,5052.0,-6396.0,-7846.0,11851.0,-4.0,7.0,-11.0,1.0
