Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 18:17:42.704156-07:00,841.1,839.4,1353.1,944.9,741.4,498.8,1361.2,954.3,3484.4,3483.2,708.5,862.1,418.4,3507.5,851.1,767.8,3480.7,3489.2,362.3,561.0,398.9,498.8,240.9,241.6,3477.1,3474.6,569.0,521.0,760.4,1093.8,1289.1,597.1,2.0,-2.0,3.0,10596.0,11285.0,4372.0,3114.0,1.0,9.0,1.0,0.0,1.0,-6.0,12194.0,10548.0,2788.0,850.0,14.0,19.0,1.0,1.0
2022-05-08 18:17:42.764388-07:00,841.1,839.4,1353.1,949.2,741.4,494.8,1334.1,935.6,3484.4,3483.2,708.5,866.3,418.4,3505.1,847.8,765.3,3488.0,3475.9,365.4,561.0,403.5,498.8,240.9,241.6,3483.2,3479.5,566.6,521.0,764.5,1093.8,1289.1,597.1,0.0,4.0,1.0,10596.0,11285.0,4373.0,3115.0,6.0,13.0,-3.0,1.0,5.0,-3.0,12191.0,10549.0,2792.0,852.0,1.0,10.0,-8.0,1.0
2022-05-08 18:17:42.794486-07:00,836.9,841.9,1360.3,949.2,738.1,494.8,1334.1,935.6,3489.2,3477.1,711.8,866.3,419.2,3505.1,847.8,765.3,3488.0,3475.9,365.4,561.0,403.5,495.6,240.1,240.1,3483.2,3479.5,566.6,524.2,764.5,1090.3,1273.0,595.5,0.0,-3.0,4.0,10595.0,11285.0,4373.0,3116.0,8.0,1.0,6.0,2.0,1.0,-6.0,12191.0,10549.0,2793.0,852.0,2.0,8.0,-2.0,1.0
2022-05-08 18:17:42.884196-07:00,836.9,841.9,1360.3,944.1,738.1,491.7,1336.8,932.2,3489.2,3477.1,711.8,865.4,419.2,3505.1,847.8,767.8,3480.7,3483.2,364.6,561.0,398.9,495.6,240.1,240.1,3486.8,3484.4,568.2,524.2,758.7,1090.3,1273.0,595.5,0.0,0.0,3.0,10594.0,11286.0,4369.0,3120.0,-4.0,7.0,14.0,-2.0,2.0,-7.0,12191.0,10549.0,2797.0,856.0,6.0,9.0,-7.0,1.0
2022-05-08 18:17:42.886178-07:00,837.7,837.7,1361.2,944.1,743.0,491.7,1336.8,932.2,3471.0,3473.4,713.4,865.4,416.8,3505.1,847.8,767.8,3480.7,3483.2,364.6,562.6,398.9,493.2,243.9,243.9,3486.8,3484.4,568.2,518.7,758.7,1098.2,1294.5,597.1,-1.0,-1.0,3.0,10590.0,11289.0,4372.0,3120.0,13.0,7.0,-10.0,1.0,1.0,-5.0,12186.0,10553.0,2800.0,858.0,18.0,18.0,-7.0,1.0
2022-05-08 18:17:43.004167-07:00,837.7,837.7,1361.2,944.9,743.0,494.0,1338.6,934.7,3471.0,3473.4,713.4,860.4,416.8,3501.4,850.3,764.5,3484.4,3478.3,360.0,562.6,405.1,493.2,243.9,243.9,3485.6,3474.6,565.0,518.7,765.3,1098.2,1294.5,597.1,0.0,4.0,3.0,10588.0,11288.0,4375.0,3123.0,-1.0,8.0,3.0,1.0,1.0,-3.0,12181.0,10557.0,2807.0,862.0,14.0,22.0,1.0,1.0
2022-05-08 18:17:43.034819-07:00,837.7,839.4,1359.4,931.3,743.9,494.0,1338.6,934.7,3477.1,3475.9,708.5,858.7,423.1,3501.4,850.3,764.5,3484.4,3478.3,360.0,556.2,400.4,496.4,237.8,243.2,3485.6,3474.6,565.0,521.8,753.8,1086.8,1281.0,594.7,3.0,-2.0,-1.0,10586.0,11291.0,4376.0,3122.0,14.0,-3.0,-4.0,-1.0,2.0,-7.0,12175.0,10562.0,2811.0,864.0,13.0,9.0,-7.0,1.0
2022-05-08 18:17:43.036312-07:00,837.7,839.4,1359.4,931.3,750.5,496.4,1337.7,941.5,3477.1,3475.9,708.5,858.7,416.1,3505.1,853.7,767.8,3475.9,3483.2,360.7,563.4,400.4,496.4,237.8,243.2,3477.1,3484.4,569.0,525.0,753.8,1086.8,1281.0,594.7,-3.0,-1.0,4.0,10586.0,11291.0,4376.0,3122.0,-7.0,1.0,0.0,-1.0,0.0,-6.0,12175.0,10562.0,2812.0,865.0,-2.0,13.0,-3.0,1.0
2022-05-08 18:17:43.094717-07:00,839.4,837.7,1347.6,945.8,750.5,496.4,1337.7,941.5,3474.6,3474.6,710.1,858.7,416.1,3505.1,853.7,767.8,3475.9,3483.2,360.7,563.4,400.4,495.6,237.1,237.8,3477.1,3484.4,569.0,525.0,761.2,1095.6,1276.5,593.9,0.0,0.0,5.0,10586.0,11291.0,4376.0,3122.0,-4.0,1.0,1.0,0.0,2.0,-3.0,12175.0,10562.0,2812.0,865.0,2.0,5.0,0.0,1.0
2022-05-08 18:17:43.183923-07:00,839.4,837.7,1347.6,945.8,742.2,489.3,1335.0,933.9,3474.6,3474.6,710.1,858.7,421.5,3502.7,850.3,770.3,3490.5,3474.6,361.5,561.8,400.4,495.6,237.1,237.8,3477.1,3483.2,567.4,517.9,761.2,1095.6,1276.5,593.9,-1.0,2.0,4.0,10586.0,11291.0,4376.0,3122.0,3.0,7.0,1.0,0.0,2.0,0.0,12175.0,10562.0,2812.0,865.0,-8.0,-1.0,2.0,1.0
