Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 18:17:42.727353-07:00,659.5,765.3,699.5,976.5,360.0,325.1,853.7,679.9,3468.6,3479.5,1327.8,759.6,576.2,3461.3,1324.1,857.0,3435.8,3454.0,374.7,303.6,313.6,331.3,307.4,237.8,3468.6,3468.6,479.8,418.4,470.3,907.6,691.3,480.6,4.0,-1.0,8.0,10253.0,-8583.0,-5337.0,7821.0,-13.0,-2.0,0.0,0.0,-6.0,9.0,6097.0,-7909.0,-8474.0,9844.0,-37.0,65.0,-2.0,1.0
2022-05-08 18:17:42.786874-07:00,671.7,757.1,699.5,976.5,357.6,325.1,853.7,679.9,3466.1,3478.3,1327.8,759.6,581.8,3466.1,1324.1,857.0,3435.8,3454.0,377.8,303.6,313.6,331.3,307.4,237.8,3468.6,3468.6,479.8,416.8,470.3,907.6,692.1,473.5,5.0,4.0,10.0,10255.0,-8579.0,-5335.0,7823.0,16.0,-1.0,-2.0,1.0,-3.0,3.0,6110.0,-7937.0,-8460.0,9825.0,-4.0,98.0,26.0,1.0
2022-05-08 18:17:42.816874-07:00,671.7,757.1,699.5,987.6,357.6,325.1,847.0,673.3,3466.1,3478.3,1323.2,772.0,581.8,3466.1,1320.5,862.9,3451.6,3439.5,377.8,303.6,316.7,325.9,307.4,237.8,3460.1,3463.7,479.8,416.8,467.9,912.7,692.1,473.5,1.0,0.0,-1.0,10255.0,-8575.0,-5337.0,7827.0,-2.0,-31.0,0.0,-2.0,0.0,5.0,6122.0,-7962.0,-8445.0,9810.0,-16.0,83.0,17.0,1.0
2022-05-08 18:17:42.876662-07:00,659.5,753.8,699.5,987.6,357.6,325.1,847.0,673.3,3457.6,3478.3,1323.2,772.0,581.0,3472.2,1320.5,862.9,3451.6,3439.5,371.6,303.6,316.7,325.9,308.2,240.1,3460.1,3463.7,480.6,423.9,467.9,912.7,697.0,478.2,0.0,-1.0,0.0,10254.0,-8564.0,-5342.0,7836.0,22.0,-27.0,-2.0,-10.0,0.0,2.0,6133.0,-7984.0,-8431.0,9797.0,6.0,43.0,14.0,1.0
2022-05-08 18:17:42.938138-07:00,659.5,753.8,700.3,981.6,357.6,325.1,855.3,670.9,3457.6,3478.3,1331.4,764.5,581.0,3472.2,1330.5,857.0,3450.4,3441.9,371.6,303.6,319.7,328.2,308.2,240.1,3458.9,3463.7,480.6,423.9,472.7,910.1,697.0,478.2,0.0,1.0,1.0,10257.0,-8548.0,-5344.0,7848.0,40.0,-35.0,5.0,0.0,-1.0,8.0,6142.0,-7990.0,-8422.0,9795.0,18.0,21.0,2.0,1.0
2022-05-08 18:17:42.966854-07:00,668.4,757.1,700.3,981.6,363.1,324.4,855.3,670.9,3457.6,3467.4,1331.4,764.5,585.9,3474.6,1330.5,857.0,3450.4,3441.9,380.2,308.2,319.7,328.2,306.7,235.5,3458.9,3463.7,489.3,426.2,472.7,910.1,699.5,475.0,4.0,3.0,5.0,10266.0,-8524.0,-5336.0,7869.0,72.0,-35.0,12.0,-7.0,1.0,9.0,6152.0,-7979.0,-8415.0,9804.0,41.0,27.0,-10.0,1.0
2022-05-08 18:17:43.026692-07:00,668.4,757.1,697.9,986.7,363.1,321.3,857.0,676.6,3457.6,3467.4,1331.4,764.5,585.9,3468.6,1323.2,856.2,3446.7,3443.1,376.3,308.2,311.3,329.8,306.7,235.5,3454.0,3463.7,486.9,426.2,474.3,913.5,699.5,475.0,1.0,-3.0,9.0,10269.0,-8512.0,-5334.0,7878.0,11.0,-11.0,1.0,-4.0,-3.0,7.0,6160.0,-7976.0,-8407.0,9808.0,15.0,-6.0,8.0,1.0
2022-05-08 18:17:43.116824-07:00,659.5,757.1,698.7,986.7,357.6,321.3,857.0,676.6,3467.4,3473.4,1327.8,764.5,577.8,3468.6,1323.2,856.2,3446.7,3443.1,376.3,309.0,311.3,323.6,311.3,237.1,3454.0,3463.7,486.9,416.8,474.3,905.0,691.3,477.4,-2.0,4.0,6.0,10272.0,-8508.0,-5330.0,7882.0,11.0,4.0,12.0,-5.0,-1.0,18.0,6164.0,-7979.0,-8400.0,9809.0,12.0,33.0,11.0,1.0
2022-05-08 18:17:43.118903-07:00,659.5,757.1,698.7,980.7,357.6,323.6,852.8,689.7,3467.4,3473.4,1327.8,763.7,577.8,3471.0,1329.6,867.9,3456.4,3444.3,377.0,309.0,311.3,323.6,311.3,237.1,3468.6,3473.4,479.8,416.8,470.3,905.0,691.3,477.4,2.0,2.0,6.0,10271.0,-8509.0,-5329.0,7883.0,-7.0,5.0,3.0,-6.0,-2.0,15.0,6165.0,-7984.0,-8399.0,9805.0,-24.0,29.0,9.0,1.0
2022-05-08 18:17:43.176730-07:00,662.7,754.6,699.5,980.7,360.0,323.6,852.8,689.7,3468.6,3475.9,1327.8,763.7,579.4,3471.0,1329.6,867.9,3456.4,3444.3,377.0,309.0,311.3,323.6,308.2,239.3,3468.6,3473.4,479.8,421.5,470.3,905.0,693.8,476.6,2.0,0.0,2.0,10271.0,-8509.0,-5328.0,7884.0,-4.0,2.0,11.0,-6.0,-4.0,7.0,6166.0,-7989.0,-8399.0,9801.0,-16.0,25.0,6.0,1.0
