Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 18:19:22.780436-07:00,830.2,839.4,1259.6,930.5,694.6,453.7,1279.2,831.1,3472.2,3475.9,625.4,856.2,416.1,3496.6,777.8,740.6,3474.6,3478.3,372.4,561.8,400.4,479.8,236.3,240.1,3485.6,3479.5,548.2,467.9,698.7,1041.8,1227.5,549.0,1.0,3.0,0.0,10363.0,10777.0,5358.0,4023.0,9.0,-6.0,-3.0,2.0,0.0,-3.0,11875.0,10550.0,3614.0,1748.0,-4.0,3.0,-1.0,1.0
2022-05-08 18:19:22.781527-07:00,830.2,839.4,1259.6,927.1,694.6,460.8,1264.9,826.0,3472.2,3475.9,634.3,859.5,416.1,3491.7,791.9,738.9,3475.9,3483.2,372.4,561.8,402.0,479.8,236.3,240.1,3477.1,3480.7,539.4,467.9,700.3,1047.0,1227.5,549.0,-3.0,-2.0,-2.0,10360.0,10780.0,5359.0,4022.0,-12.0,5.0,0.0,0.0,-1.0,-7.0,11873.0,10552.0,3615.0,1747.0,-6.0,4.0,-2.0,1.0
2022-05-08 18:19:22.900889-07:00,816.9,836.9,1264.0,927.1,701.1,460.8,1264.9,826.0,3473.4,3473.4,630.3,859.5,412.9,3491.7,791.9,738.9,3475.9,3483.2,372.4,561.8,402.0,485.3,242.4,238.6,3477.1,3480.7,539.4,465.6,700.3,1047.8,1224.8,544.2,1.0,7.0,2.0,10362.0,10780.0,5355.0,4023.0,-11.0,-12.0,6.0,3.0,0.0,-4.0,11875.0,10550.0,3614.0,1748.0,-9.0,0.0,2.0,1.0
2022-05-08 18:19:22.901736-07:00,816.9,836.9,1264.0,927.1,701.1,457.7,1278.3,828.5,3473.4,3473.4,630.3,850.3,412.9,3503.9,783.6,741.4,3479.5,3479.5,370.8,561.8,398.1,485.3,242.4,238.6,3481.9,3477.1,543.4,465.6,698.7,1047.8,1224.8,544.2,1.0,0.0,7.0,10364.0,10778.0,5354.0,4023.0,9.0,1.0,13.0,2.0,-7.0,1.0,11876.0,10549.0,3614.0,1749.0,4.0,9.0,2.0,1.0
2022-05-08 18:19:22.990343-07:00,818.5,842.8,1265.8,927.1,692.9,457.7,1278.3,828.5,3478.3,3474.6,626.2,850.3,413.7,3503.9,783.6,741.4,3479.5,3479.5,370.8,561.8,398.1,485.3,234.8,237.8,3481.9,3477.1,543.4,468.7,698.7,1046.1,1229.3,545.0,1.0,0.0,4.0,10359.0,10785.0,5347.0,4025.0,17.0,-2.0,20.0,1.0,0.0,-7.0,11872.0,10552.0,3618.0,1750.0,13.0,13.0,3.0,1.0
2022-05-08 18:19:22.991333-07:00,818.5,842.8,1265.8,927.9,692.9,459.3,1259.6,834.4,3478.3,3474.6,626.2,859.5,413.7,3499.0,784.4,752.1,3472.2,3479.5,372.4,561.8,399.6,485.3,234.8,237.8,3479.5,3480.7,549.0,468.7,699.5,1046.1,1229.3,545.0,2.0,4.0,-2.0,10353.0,10792.0,5344.0,4027.0,12.0,-1.0,5.0,3.0,0.0,-9.0,11869.0,10553.0,3621.0,1752.0,12.0,9.0,0.0,1.0
2022-05-08 18:19:23.051002-07:00,817.7,836.1,1264.9,929.6,692.9,459.3,1259.6,834.4,3469.8,3478.3,634.3,855.3,411.4,3499.0,784.4,752.1,3472.2,3479.5,372.4,559.4,403.5,483.7,235.5,231.7,3479.5,3480.7,549.0,466.4,699.5,1044.4,1231.9,542.6,-3.0,6.0,-1.0,10348.0,10796.0,5347.0,4025.0,18.0,6.0,-3.0,-1.0,0.0,-3.0,11865.0,10558.0,3621.0,1751.0,17.0,7.0,-8.0,1.0
2022-05-08 18:19:23.080233-07:00,817.7,836.1,1264.9,929.6,694.6,456.1,1274.7,824.4,3469.8,3478.3,634.3,855.3,414.5,3500.2,784.4,744.7,3481.9,3481.9,366.9,558.6,403.5,483.7,235.5,231.7,3475.9,3488.0,547.4,467.1,699.5,1044.4,1231.9,542.6,-6.0,-2.0,0.0,10347.0,10798.0,5347.0,4024.0,-2.0,-3.0,5.0,0.0,-6.0,-1.0,11864.0,10559.0,3621.0,1750.0,-7.0,0.0,-1.0,1.0
2022-05-08 18:19:23.140405-07:00,811.0,846.1,1269.4,927.9,694.6,456.1,1274.7,824.4,3480.7,3479.5,625.4,859.5,414.5,3500.2,784.4,744.7,3481.9,3481.9,366.9,558.6,403.5,483.7,237.1,231.7,3475.9,3488.0,547.4,467.1,699.5,1049.6,1231.9,542.6,-2.0,-2.0,1.0,10348.0,10796.0,5347.0,4025.0,-16.0,-5.0,-4.0,-2.0,-5.0,-10.0,11866.0,10558.0,3621.0,1751.0,-11.0,0.0,-4.0,1.0
2022-05-08 18:19:23.200499-07:00,811.0,846.1,1269.4,927.9,692.9,455.3,1259.6,827.7,3480.7,3479.5,625.4,859.5,413.7,3507.5,785.2,745.5,3488.0,3480.7,369.3,561.0,403.5,483.7,237.1,231.7,3483.2,3485.6,544.2,466.4,699.5,1049.6,1231.9,542.6,0.0,2.0,0.0,10348.0,10795.0,5348.0,4027.0,-2.0,8.0,8.0,1.0,-4.0,-4.0,11866.0,10557.0,3621.0,1751.0,-7.0,7.0,4.0,1.0
