Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 18:19:22.727221-07:00,648.1,701.1,643.2,967.9,380.2,314.4,799.4,675.0,3466.1,3469.8,1358.5,747.2,558.6,3457.6,1325.9,869.6,3441.9,3447.9,375.5,305.9,311.3,316.7,291.3,231.0,3463.7,3458.9,515.5,433.3,467.1,875.5,680.7,443.5,2.0,-1.0,3.0,10862.0,-9800.0,-4313.0,5984.0,-6.0,37.0,14.0,2.0,0.0,4.0,6144.0,-9036.0,-8352.0,8904.0,-6.0,24.0,16.0,1.0
2022-05-08 18:19:22.757805-07:00,648.1,701.1,640.0,965.4,380.2,314.4,797.7,676.6,3466.1,3469.8,1362.1,737.3,558.6,3457.6,1337.7,868.8,3446.7,3446.7,375.5,305.9,313.6,311.3,291.3,231.0,3467.4,3457.6,515.5,433.3,471.9,871.3,680.7,443.5,4.0,0.0,-4.0,10863.0,-9805.0,-4306.0,5980.0,-2.0,13.0,5.0,-7.0,0.0,1.0,6143.0,-9041.0,-8347.0,8905.0,-3.0,8.0,10.0,1.0
2022-05-08 18:19:22.788096-07:00,638.4,704.4,640.0,965.4,377.8,310.5,797.7,676.6,3462.5,3467.4,1362.1,737.3,553.0,3467.4,1337.7,868.8,3446.7,3446.7,376.3,305.9,313.6,311.3,295.9,228.7,3467.4,3457.6,515.5,435.7,471.9,871.3,677.4,444.3,-4.0,-1.0,2.0,10863.0,-9805.0,-4305.0,5980.0,2.0,-6.0,2.0,-11.0,10.0,3.0,6143.0,-9041.0,-8346.0,8905.0,3.0,-3.0,-2.0,1.0
2022-05-08 18:19:22.848212-07:00,638.4,704.4,643.2,960.2,377.8,310.5,806.9,679.1,3462.5,3467.4,1373.0,738.1,553.0,3467.4,1335.0,865.4,3444.3,3445.5,376.3,305.9,316.7,318.2,295.9,228.7,3462.5,3466.1,515.5,435.7,468.7,875.5,677.4,444.3,0.0,0.0,6.0,10861.0,-9806.0,-4303.0,5982.0,0.0,1.0,15.0,-3.0,1.0,6.0,6142.0,-9041.0,-8346.0,8906.0,-2.0,0.0,7.0,1.0
2022-05-08 18:19:22.907607-07:00,644.9,701.1,651.4,960.2,377.0,309.7,806.9,679.1,3462.5,3469.8,1352.1,738.1,554.6,3471.0,1335.0,865.4,3444.3,3445.5,373.2,303.6,316.7,315.9,296.7,231.7,3462.5,3466.1,519.5,432.5,468.7,873.8,679.9,440.4,3.0,3.0,4.0,10861.0,-9806.0,-4302.0,5984.0,6.0,-9.0,-2.0,0.0,4.0,5.0,6143.0,-9041.0,-8345.0,8906.0,2.0,-5.0,-5.0,1.0
2022-05-08 18:19:22.938173-07:00,644.9,701.1,651.4,967.9,377.0,311.3,805.2,672.5,3462.5,3469.8,1352.1,739.7,554.6,3464.9,1333.2,868.8,3435.8,3454.0,372.4,303.6,314.4,315.9,296.7,231.7,3464.9,3468.6,516.3,432.5,468.7,873.8,679.9,440.4,4.0,-1.0,5.0,10862.0,-9805.0,-4301.0,5984.0,8.0,-7.0,-4.0,0.0,1.0,6.0,6143.0,-9041.0,-8345.0,8906.0,8.0,-1.0,-5.0,1.0
2022-05-08 18:19:22.997884-07:00,646.5,703.6,644.9,967.9,379.4,311.3,805.2,672.5,3464.9,3467.4,1353.1,739.7,554.6,3464.9,1333.2,868.8,3435.8,3454.0,372.4,300.5,314.4,318.2,294.4,229.5,3464.9,3468.6,516.3,434.9,468.7,873.8,680.7,445.9,0.0,-4.0,8.0,10863.0,-9805.0,-4301.0,5984.0,9.0,7.0,-1.0,-1.0,0.0,10.0,6143.0,-9041.0,-8345.0,8907.0,7.0,4.0,-2.0,1.0
2022-05-08 18:19:23.057638-07:00,646.5,703.6,644.9,966.2,379.4,311.3,800.2,675.0,3464.9,3467.4,1353.1,735.6,554.6,3466.1,1331.4,869.6,3444.3,3438.2,373.2,300.5,313.6,318.2,294.4,229.5,3457.6,3457.6,515.5,434.9,474.3,873.8,680.7,445.9,-2.0,-7.0,4.0,10865.0,-9801.0,-4298.0,5987.0,10.0,-2.0,11.0,-7.0,-1.0,8.0,6145.0,-9039.0,-8342.0,8910.0,18.0,-13.0,8.0,1.0
2022-05-08 18:19:23.088361-07:00,642.4,699.5,642.4,966.2,380.9,311.3,800.2,675.0,3466.1,3478.3,1357.6,735.6,555.4,3466.1,1331.4,869.6,3444.3,3438.2,373.2,299.7,313.6,318.2,294.4,231.7,3457.6,3457.6,515.5,431.7,474.3,879.7,676.6,438.8,-5.0,-5.0,2.0,10867.0,-9797.0,-4292.0,5996.0,24.0,-10.0,18.0,-13.0,1.0,5.0,6143.0,-9033.0,-8338.0,8920.0,18.0,-26.0,14.0,1.0
2022-05-08 18:19:23.148455-07:00,642.4,699.5,642.4,957.7,380.9,305.1,802.7,672.5,3466.1,3478.3,1357.6,738.9,555.4,3478.3,1335.0,868.8,3443.1,3441.9,377.0,299.7,312.0,318.2,294.4,231.7,3458.9,3466.1,518.7,431.7,467.1,879.7,676.6,438.8,-8.0,0.0,0.0,10866.0,-9790.0,-4290.0,6011.0,25.0,-30.0,19.0,-8.0,7.0,5.0,6136.0,-9027.0,-8336.0,8934.0,16.0,-37.0,6.0,1.0
