Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 18:23:40.884122-07:00,633.5,704.4,653.8,937.3,356.8,290.5,808.5,673.3,3467.4,3464.9,1123.5,711.8,537.8,3460.1,1239.1,824.4,3444.3,3451.6,377.0,300.5,321.3,322.8,279.0,227.9,3466.1,3461.3,513.9,405.9,467.9,798.5,675.0,409.0,-1.0,-6.0,-8.0,10699.0,-7831.0,-6010.0,7518.0,9.0,-24.0,2.0,-6.0,4.0,2.0,7898.0,-8924.0,-7055.0,8755.0,11.0,-6.0,-3.0,1.0
2022-05-08 18:23:40.943948-07:00,631.1,706.0,666.0,939.0,356.8,290.5,808.5,673.3,3457.6,3472.2,1124.4,714.2,537.8,3460.1,1239.1,824.4,3444.3,3451.6,377.0,300.5,322.8,325.9,279.0,227.9,3466.1,3461.3,513.9,405.9,464.8,800.2,667.6,409.8,-4.0,-4.0,-1.0,10695.0,-7827.0,-6016.0,7523.0,6.0,-16.0,-1.0,-2.0,5.0,8.0,7900.0,-8925.0,-7052.0,8754.0,18.0,15.0,0.0,1.0
2022-05-08 18:23:40.974166-07:00,627.0,706.0,666.0,939.0,353.7,297.4,801.9,666.0,3468.6,3472.2,1124.4,714.2,537.8,3478.3,1239.1,822.7,3445.5,3454.0,372.4,299.7,322.8,325.9,279.0,234.8,3456.4,3458.9,501.2,408.2,464.8,800.2,667.6,409.0,-7.0,-2.0,1.0,10694.0,-7818.0,-6021.0,7531.0,18.0,-34.0,1.0,0.0,8.0,7.0,7907.0,-8922.0,-7044.0,8758.0,22.0,32.0,-3.0,1.0
2022-05-08 18:23:41.064617-07:00,627.0,706.0,657.9,939.8,353.7,297.4,801.9,670.1,3468.6,3471.0,1118.2,711.0,537.8,3478.3,1239.1,821.0,3438.2,3454.0,372.4,299.7,316.7,330.5,278.3,234.8,3460.1,3458.9,501.2,408.2,460.8,797.7,672.5,409.0,-9.0,-7.0,16.0,10688.0,-7801.0,-6035.0,7546.0,6.0,-79.0,-6.0,-9.0,23.0,33.0,7922.0,-8913.0,-7035.0,8760.0,47.0,8.0,-18.0,1.0
2022-05-08 18:23:41.124853-07:00,633.5,706.0,657.9,939.8,357.6,293.6,809.4,670.1,3468.6,3471.0,1118.2,711.0,533.8,3464.9,1238.2,821.0,3438.2,3450.4,373.9,296.7,316.7,330.5,278.3,227.2,3460.1,3458.9,512.3,404.3,460.8,797.7,672.5,404.3,-1.0,0.0,-5.0,10680.0,-7776.0,-6063.0,7559.0,-2.0,-72.0,-38.0,1.0,8.0,2.0,7938.0,-8915.0,-7025.0,8752.0,9.0,60.0,-16.0,1.0
2022-05-08 18:23:41.126470-07:00,633.5,701.1,653.8,950.9,357.6,293.6,809.4,670.9,3468.6,3461.3,1122.6,702.8,533.8,3464.9,1238.2,824.4,3443.1,3450.4,373.9,296.7,317.4,323.6,279.0,227.2,3462.5,3458.9,512.3,404.3,464.8,800.2,675.0,404.3,-7.0,-25.0,-6.0,10690.0,-7760.0,-6075.0,7553.0,34.0,25.0,-41.0,-9.0,5.0,-1.0,7953.0,-8917.0,-7017.0,8742.0,26.0,42.0,-6.0,1.0
2022-05-08 18:23:41.184575-07:00,627.0,701.1,653.8,950.9,353.7,294.4,808.5,670.9,3467.4,3461.3,1122.6,702.8,530.6,3467.4,1234.6,824.4,3443.1,3446.7,373.9,297.4,317.4,323.6,279.0,228.7,3462.5,3451.6,504.4,406.7,464.8,800.2,675.0,407.5,-9.0,-11.0,-13.0,10696.0,-7761.0,-6066.0,7550.0,1.0,6.0,20.0,-5.0,7.0,-11.0,7960.0,-8923.0,-7006.0,8739.0,3.0,29.0,17.0,1.0
2022-05-08 18:23:41.274217-07:00,627.0,697.0,656.2,939.0,353.7,294.4,808.5,666.0,3467.4,3473.4,1119.1,709.3,530.6,3467.4,1234.6,821.0,3445.5,3446.7,373.9,297.4,319.0,326.7,276.7,228.7,3461.3,3451.6,504.4,406.7,467.9,798.5,669.3,407.5,-2.0,-10.0,-2.0,10696.0,-7754.0,-6059.0,7563.0,66.0,-25.0,12.0,-3.0,4.0,10.0,7964.0,-8923.0,-6993.0,8745.0,65.0,-2.0,25.0,1.0
2022-05-08 18:23:41.275194-07:00,631.1,716.7,656.2,939.0,353.0,295.1,804.4,666.0,3469.8,3467.4,1119.1,709.3,532.2,3462.5,1239.1,821.0,3445.5,3445.5,371.6,301.3,319.0,326.7,282.1,231.7,3461.3,3457.6,505.9,405.9,467.9,798.5,665.2,412.9,-2.0,-14.0,0.0,10696.0,-7738.0,-6054.0,7582.0,19.0,-36.0,30.0,0.0,3.0,3.0,7964.0,-8915.0,-6979.0,8765.0,21.0,-32.0,51.0,1.0
2022-05-08 18:23:41.364017-07:00,631.1,716.7,651.4,940.7,353.0,295.1,805.2,666.0,3469.8,3467.4,1126.1,709.3,532.2,3462.5,1233.7,821.9,3444.3,3441.9,371.6,301.3,315.9,330.5,282.1,231.7,3458.9,3463.7,505.9,405.9,462.4,800.2,665.2,412.9,1.0,-12.0,0.0,10689.0,-7729.0,-6048.0,7606.0,52.0,-30.0,47.0,12.0,0.0,13.0,7953.0,-8916.0,-6960.0,8789.0,51.0,9.0,87.0,1.0
