Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 18:25:10.957981-07:00,650.5,720.8,729.9,953.4,348.3,325.1,792.7,652.2,3466.1,3473.4,1123.5,701.1,533.0,3471.0,1166.5,818.5,3449.1,3445.5,373.2,306.7,312.8,307.4,287.5,232.5,3460.1,3460.1,473.5,395.0,441.2,801.0,720.0,464.0,0.0,4.0,14.0,10174.0,-7944.0,-5997.0,8115.0,60.0,-96.0,-14.0,0.0,2.0,17.0,8640.0,-10085.0,-5735.0,7694.0,51.0,-70.0,-17.0,1.0
2022-05-08 18:25:11.015512-07:00,650.5,720.8,729.9,953.4,353.7,317.4,796.0,652.2,3466.1,3473.4,1123.5,701.1,532.2,3466.1,1160.3,815.2,3447.9,3446.7,375.5,302.0,312.8,307.4,287.5,232.5,3458.9,3468.6,479.0,395.0,441.2,801.0,720.0,464.0,8.0,-5.0,14.0,10182.0,-7901.0,-6008.0,8138.0,74.0,-74.0,-21.0,10.0,-1.0,18.0,8653.0,-10054.0,-5743.0,7714.0,56.0,-53.0,-20.0,1.0
2022-05-08 18:25:11.045383-07:00,646.5,708.5,732.3,956.0,353.7,317.4,796.0,652.2,3467.4,3461.3,1129.6,706.0,532.2,3466.1,1160.3,815.2,3447.9,3446.7,375.5,302.0,315.1,312.0,284.4,225.7,3458.9,3468.6,479.0,395.0,435.7,804.4,715.9,467.1,6.0,-6.0,13.0,10188.0,-7871.0,-6013.0,8157.0,40.0,-36.0,1.0,11.0,1.0,10.0,8662.0,-10033.0,-5748.0,7727.0,18.0,-30.0,-11.0,1.0
2022-05-08 18:25:11.105598-07:00,646.5,708.5,732.3,956.0,355.3,322.1,798.5,651.4,3467.4,3461.3,1129.6,706.0,529.8,3469.8,1159.4,813.5,3444.3,3438.2,371.6,302.8,315.1,312.0,284.4,225.7,3464.9,3458.9,471.9,398.9,435.7,804.4,715.9,467.1,6.0,3.0,5.0,10194.0,-7859.0,-6008.0,8164.0,16.0,0.0,4.0,6.0,5.0,7.0,8667.0,-10025.0,-5747.0,7733.0,-5.0,3.0,0.0,1.0
2022-05-08 18:25:11.165951-07:00,644.0,711.8,734.0,953.4,355.3,322.1,798.5,651.4,3471.0,3467.4,1127.0,697.0,529.8,3469.8,1159.4,813.5,3444.3,3438.2,371.6,302.8,311.3,305.9,283.6,226.4,3464.9,3458.9,471.9,398.9,437.2,801.0,717.5,466.4,1.0,-5.0,6.0,10193.0,-7861.0,-6010.0,8162.0,-5.0,11.0,8.0,3.0,4.0,9.0,8667.0,-10028.0,-5747.0,7729.0,5.0,12.0,9.0,1.0
2022-05-08 18:25:11.195259-07:00,649.7,711.8,734.0,953.4,352.2,321.3,796.9,643.2,3457.6,3467.4,1127.0,697.0,526.6,3469.8,1163.8,815.2,3440.7,3447.9,377.0,304.3,311.3,305.9,283.6,227.9,3461.3,3455.2,477.4,392.6,437.2,801.0,717.5,464.0,0.0,4.0,10.0,10195.0,-7861.0,-6005.0,8163.0,6.0,5.0,4.0,2.0,3.0,14.0,8674.0,-10027.0,-5741.0,7728.0,1.0,20.0,0.0,1.0
2022-05-08 18:25:11.285238-07:00,649.7,705.2,738.9,948.3,352.2,321.3,796.9,650.5,3457.6,3457.6,1121.7,697.0,526.6,3469.8,1163.8,815.2,3447.9,3447.9,377.0,304.3,314.4,307.4,274.4,227.9,3460.1,3455.2,477.4,392.6,434.1,806.9,716.7,464.0,-1.0,-1.0,5.0,10195.0,-7874.0,-6001.0,8154.0,-39.0,41.0,3.0,0.0,3.0,7.0,8672.0,-10040.0,-5738.0,7715.0,-44.0,39.0,6.0,1.0
2022-05-08 18:25:11.315483-07:00,648.1,705.2,738.9,948.3,351.4,324.4,796.9,650.5,3469.8,3457.6,1121.7,697.0,531.4,3466.1,1160.3,815.2,3447.9,3441.9,380.9,301.3,314.4,307.4,274.4,224.9,3460.1,3460.1,472.7,391.8,434.1,806.9,716.7,468.7,-2.0,0.0,-1.0,10192.0,-7893.0,-6001.0,8140.0,-42.0,29.0,-3.0,-3.0,4.0,4.0,8667.0,-10057.0,-5737.0,7699.0,-38.0,37.0,2.0,1.0
2022-05-08 18:25:11.345649-07:00,648.1,711.0,734.0,951.7,351.4,324.4,796.9,651.4,3469.8,3471.0,1124.4,706.0,531.4,3466.1,1160.3,814.4,3445.5,3441.9,380.9,301.3,317.4,309.7,281.3,224.9,3461.3,3460.1,472.7,391.8,435.7,806.9,716.7,468.7,-8.0,-3.0,0.0,10187.0,-7910.0,-6002.0,8128.0,-40.0,32.0,-5.0,-6.0,0.0,7.0,8662.0,-10074.0,-5736.0,7682.0,-35.0,35.0,-2.0,1.0
2022-05-08 18:25:11.405984-07:00,647.3,711.0,734.0,951.7,348.3,323.6,795.2,651.4,3462.5,3471.0,1124.4,706.0,531.4,3463.7,1164.7,814.4,3445.5,3454.0,372.4,300.5,317.4,309.7,281.3,228.7,3461.3,3462.5,472.7,412.9,435.7,806.9,716.7,465.6,-8.0,2.0,-4.0,10183.0,-7922.0,-6003.0,8120.0,-27.0,12.0,-2.0,-5.0,6.0,5.0,8659.0,-10085.0,-5735.0,7671.0,-35.0,23.0,-10.0,1.0
