Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 13:50:41.222206-07:00,2096.7,661.9,1197.4,1540.3,1206.2,1332.3,1418.6,1498.6,3445.5,3438.2,1714.8,1518.0,1571.1,3433.4,1181.5,1615.2,3433.4,3438.2,818.5,1775.2,1214.2,680.7,1434.1,2078.5,3449.1,3451.6,832.7,1053.9,1570.2,1578.6,1359.4,1342.2,-3.0,-65.0,29.0,9128.0,13598.0,295.0,-355.0,-2.0,10.0,14.0,0.0,-54.0,0.0,11266.0,11752.0,1841.0,-159.0,-3.0,1.0,6.0,1.0
2022-05-13 13:50:41.356626-07:00,2102.7,661.9,1197.4,1540.3,1196.5,1333.2,1417.6,1498.6,3443.1,3438.2,1714.8,1518.0,1582.4,3446.7,1190.3,1615.2,3433.4,3428.6,816.9,1773.3,1214.2,680.7,1434.1,2080.6,3449.1,3441.9,829.4,1057.3,1570.2,1578.6,1359.4,1343.1,0.0,-65.0,30.0,9128.0,13598.0,294.0,-355.0,1.0,-3.0,-10.0,0.0,-49.0,-5.0,11266.0,11752.0,1841.0,-159.0,3.0,4.0,-6.0,1.0
2022-05-13 13:50:41.357836-07:00,2102.7,656.2,1189.4,1544.1,1196.5,1333.2,1417.6,1500.4,3443.1,3447.9,1712.9,1524.5,1582.4,3446.7,1190.3,1621.8,3445.5,3428.6,816.9,1773.3,1208.9,675.8,1436.9,2080.6,3445.5,3441.9,829.4,1057.3,1589.9,1572.1,1351.2,1343.1,-3.0,-74.0,26.0,9128.0,13598.0,294.0,-357.0,-3.0,-10.0,8.0,-1.0,-50.0,-4.0,11266.0,11752.0,1841.0,-159.0,-5.0,-6.0,3.0,1.0
2022-05-13 13:50:41.402559-07:00,2108.8,656.2,1189.4,1544.1,1194.7,1335.0,1411.3,1500.4,3440.7,3447.9,1712.9,1524.5,1578.6,3440.7,1184.1,1621.8,3445.5,3441.9,812.7,1778.1,1208.9,675.8,1436.9,2078.5,3445.5,3449.1,831.9,1049.6,1589.9,1572.1,1351.2,1344.0,-3.0,-60.0,29.0,9128.0,13598.0,291.0,-360.0,-8.0,-11.0,-7.0,1.0,-54.0,4.0,11266.0,11751.0,1841.0,-159.0,-13.0,-7.0,-3.0,1.0
2022-05-13 13:50:41.403663-07:00,2108.8,653.8,1184.1,1541.3,1194.7,1335.0,1420.4,1502.3,3440.7,3440.7,1717.7,1524.5,1578.6,3440.7,1189.4,1602.1,3438.2,3449.1,812.7,1778.1,1217.7,679.1,1432.3,2078.5,3449.1,3445.5,831.9,1049.6,1582.4,1572.1,1356.7,1344.0,-2.0,-70.0,34.0,9128.0,13598.0,289.0,-361.0,9.0,7.0,-4.0,0.0,-55.0,-4.0,11267.0,11751.0,1841.0,-159.0,5.0,10.0,-2.0,1.0
2022-05-13 13:50:41.445534-07:00,2096.7,653.8,1192.0,1541.3,1195.6,1339.5,1412.2,1486.6,3439.5,3445.5,1713.8,1526.4,1575.8,3454.0,1184.1,1617.1,3440.7,3438.2,809.4,1775.2,1212.4,690.5,1437.8,2070.5,3447.9,3449.1,828.5,1056.5,1586.1,1574.9,1356.7,1337.7,-5.0,-72.0,33.0,9126.0,13599.0,293.0,-359.0,6.0,1.0,2.0,-2.0,-52.0,1.0,11265.0,11752.0,1847.0,-153.0,6.0,5.0,1.0,1.0
2022-05-13 13:50:41.582357-07:00,2098.7,661.1,1192.9,1540.3,1210.6,1335.9,1401.2,1497.7,3440.7,3433.4,1704.3,1529.2,1571.1,3450.4,1183.2,1617.1,3440.7,3429.8,812.7,1779.1,1208.9,676.6,1434.1,2075.5,3443.1,3450.4,831.1,1055.6,1575.8,1572.1,1353.1,1344.0,-1.0,-58.0,27.0,9123.0,13602.0,291.0,-355.0,12.0,-2.0,13.0,0.0,-48.0,0.0,11263.0,11754.0,1847.0,-153.0,5.0,2.0,3.0,1.0
2022-05-13 13:50:41.583273-07:00,2100.7,657.0,1185.0,1541.3,1198.2,1335.9,1419.5,1483.8,3441.9,3444.3,1718.6,1520.8,1573.0,3433.4,1191.2,1618.1,3437.0,3440.7,811.0,1774.3,1214.2,679.9,1435.0,2079.5,3445.5,3444.3,822.7,1056.5,1577.7,1567.4,1346.7,1341.3,-2.0,-70.0,29.0,9122.0,13602.0,290.0,-354.0,3.0,-7.0,-1.0,1.0,-55.0,-1.0,11263.0,11754.0,1847.0,-153.0,4.0,-2.0,1.0,1.0
2022-05-13 13:50:41.672062-07:00,2105.8,658.7,1186.7,1537.6,1190.3,1335.9,1419.5,1483.8,3444.3,3433.4,1707.2,1524.5,1575.8,3433.4,1191.2,1618.1,3437.0,3440.7,811.0,1766.6,1217.7,676.6,1431.4,2077.5,3445.5,3444.3,822.7,1057.3,1578.6,1573.0,1351.2,1347.6,0.0,-64.0,33.0,9122.0,13602.0,288.0,-356.0,-2.0,-11.0,-2.0,5.0,-50.0,0.0,11263.0,11754.0,1847.0,-153.0,-3.0,-1.0,0.0,1.0
2022-05-13 13:50:41.673213-07:00,2105.8,658.7,1186.7,1537.6,1210.6,1344.9,1412.2,1495.8,3444.3,3433.4,1707.2,1524.5,1573.0,3438.2,1189.4,1618.1,3444.3,3441.9,811.0,1769.5,1217.7,676.6,1431.4,2077.5,3449.1,3444.3,821.0,1048.7,1578.6,1573.0,1351.2,1347.6,-1.0,-65.0,35.0,9122.0,13602.0,288.0,-357.0,-2.0,-6.0,11.0,1.0,-54.0,2.0,11263.0,11754.0,1847.0,-153.0,-4.0,-4.0,3.0,1.0
