Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 13:50:41.094160-07:00,1257.8,738.1,1116.5,1037.5,1053.0,877.2,1834.3,1281.0,3467.4,3463.7,1190.3,1034.0,1623.7,3478.3,1269.4,1250.6,3488.0,3481.9,763.7,1020.2,1439.6,2030.4,845.3,3037.4,3480.7,3472.2,687.2,798.5,1778.1,962.8,905.9,997.0,9.0,30.0,7.0,9681.0,-12214.0,4875.0,-1326.0,6.0,-1.0,5.0,2.0,-4.0,3.0,6669.0,-14572.0,3405.0,-144.0,3.0,-4.0,0.0,1.0
2022-05-13 13:50:41.095496-07:00,1256.9,747.2,1127.9,1034.0,1053.0,877.2,1834.3,1281.0,3471.0,3472.2,1186.7,1032.3,1623.7,3478.3,1269.4,1250.6,3488.0,3481.9,763.7,1020.2,1427.7,2026.4,841.1,3046.6,3480.7,3472.2,687.2,798.5,1771.4,963.7,905.0,1007.3,6.0,25.0,8.0,9682.0,-12214.0,4874.0,-1326.0,3.0,3.0,5.0,0.0,-5.0,5.0,6669.0,-14572.0,3405.0,-144.0,-2.0,-2.0,-4.0,1.0
2022-05-13 13:50:41.140079-07:00,1256.9,747.2,1127.9,1034.0,1052.2,888.2,1845.9,1273.9,3471.0,3472.2,1186.7,1032.3,1620.9,3463.7,1266.7,1251.5,3467.4,3483.2,760.4,1031.4,1427.7,2026.4,841.1,3046.6,3475.9,3485.6,678.2,800.2,1771.4,963.7,905.0,1007.3,13.0,32.0,14.0,9683.0,-12212.0,4879.0,-1323.0,-6.0,2.0,15.0,4.0,-5.0,1.0,6669.0,-14572.0,3405.0,-144.0,-5.0,-1.0,3.0,1.0
2022-05-13 13:50:41.186280-07:00,1262.2,755.4,1129.6,1034.0,1052.2,888.2,1845.9,1273.9,3473.4,3466.1,1181.5,1034.0,1620.9,3463.7,1266.7,1251.5,3467.4,3483.2,760.4,1031.4,1435.0,2022.4,839.4,3059.3,3475.9,3485.6,678.2,800.2,1770.4,968.8,905.9,1003.9,11.0,27.0,11.0,9683.0,-12210.0,4881.0,-1326.0,-2.0,8.0,-1.0,6.0,-5.0,4.0,6669.0,-14572.0,3405.0,-145.0,-3.0,10.0,6.0,1.0
2022-05-13 13:50:41.454332-07:00,1257.8,746.3,1128.7,1027.1,1053.0,882.3,1825.5,1292.7,3473.4,3467.4,1184.1,1036.6,1620.9,3467.4,1266.7,1256.9,3478.3,3483.2,768.7,1027.1,1436.0,2033.4,842.8,3060.4,3483.2,3477.1,680.7,806.9,1777.2,969.6,911.0,1002.2,9.0,31.0,7.0,9678.0,-12210.0,4890.0,-1336.0,-4.0,8.0,8.0,5.0,-2.0,0.0,6667.0,-14572.0,3409.0,-145.0,-3.0,1.0,5.0,1.0
2022-05-13 13:50:41.455976-07:00,1257.8,746.3,1128.7,1027.1,1055.6,874.7,1828.4,1292.7,3463.7,3467.4,1184.1,1036.6,1615.2,3467.4,1267.6,1256.9,3478.3,3481.9,757.9,1032.3,1436.0,2033.4,842.8,3050.1,3483.2,3474.6,687.2,801.9,1777.2,969.6,911.0,999.6,6.0,27.0,10.0,9670.0,-12216.0,4891.0,-1333.0,-16.0,6.0,9.0,0.0,0.0,1.0,6658.0,-14576.0,3410.0,-143.0,-19.0,1.0,5.0,1.0
2022-05-13 13:50:41.499498-07:00,1257.8,748.0,1118.2,1031.4,1055.6,874.7,1828.4,1275.6,3463.7,3478.3,1190.3,1034.0,1615.2,3467.4,1267.6,1255.1,3474.6,3481.9,757.9,1032.3,1433.2,2032.4,836.1,3050.1,3477.1,3474.6,687.2,801.9,1765.6,966.2,908.4,999.6,5.0,31.0,1.0,9672.0,-12213.0,4894.0,-1338.0,8.0,3.0,-3.0,-1.0,-4.0,3.0,6659.0,-14576.0,3410.0,-143.0,8.0,2.0,-4.0,1.0
2022-05-13 13:50:41.500905-07:00,1258.7,748.0,1118.2,1031.4,1055.6,884.8,1845.9,1275.6,3475.9,3478.3,1190.3,1034.0,1610.5,3467.4,1266.7,1255.1,3474.6,3479.5,773.6,1032.3,1433.2,2032.4,836.1,3052.4,3477.1,3479.5,680.7,809.4,1765.6,966.2,908.4,1003.9,9.0,29.0,6.0,9669.0,-12215.0,4894.0,-1332.0,-21.0,-16.0,13.0,1.0,-3.0,1.0,6656.0,-14577.0,3410.0,-143.0,-15.0,-1.0,-5.0,1.0
2022-05-13 13:50:41.589586-07:00,1258.7,757.1,1130.5,1033.2,1055.6,884.8,1845.9,1276.5,3475.9,3473.4,1181.5,1031.4,1610.5,3467.4,1266.7,1248.8,3468.6,3479.5,773.6,1032.3,1434.1,2030.4,847.8,3052.4,3481.9,3479.5,680.7,809.4,1765.6,974.8,910.1,1003.9,8.0,32.0,9.0,9674.0,-12212.0,4892.0,-1333.0,20.0,-2.0,-4.0,6.0,-3.0,7.0,6661.0,-14575.0,3409.0,-144.0,11.0,-4.0,-8.0,1.0
2022-05-13 13:50:41.589910-07:00,1258.7,757.1,1130.5,1033.2,1055.6,884.8,1845.9,1276.5,3475.9,3473.4,1181.5,1031.4,1610.5,3467.4,1266.7,1248.8,3468.6,3479.5,773.6,1032.3,1434.1,2030.4,847.8,3052.4,3481.9,3479.5,680.7,809.4,1765.6,974.8,910.1,1003.9,8.0,32.0,9.0,9674.0,-12212.0,4892.0,-1333.0,20.0,-2.0,-4.0,6.0,-3.0,7.0,6661.0,-14575.0,3409.0,-144.0,11.0,-4.0,-8.0,1.0
