Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 13:54:04.964831-07:00,2399.7,631.1,1325.9,1556.2,1066.9,1312.4,1400.3,1461.7,3444.3,3444.3,1993.5,1575.8,1571.1,3438.2,1281.9,1654.9,3439.5,3437.0,834.4,1632.2,1124.4,655.4,1444.2,1982.6,3443.1,3435.8,785.2,1033.2,1480.1,1660.6,1467.2,1260.4,0.0,-48.0,20.0,9303.0,13154.0,-1893.0,-2300.0,13.0,0.0,-5.0,3.0,-32.0,8.0,11613.0,11385.0,1983.0,-138.0,13.0,4.0,-2.0,1.0
2022-05-13 13:54:05.143043-07:00,2397.6,620.5,1318.7,1556.2,1069.5,1312.4,1401.2,1467.2,3438.2,3435.8,1993.5,1568.3,1561.8,3444.3,1273.0,1656.8,3440.7,3440.7,832.7,1626.5,1120.9,653.0,1448.8,1991.5,3446.7,3441.9,777.8,1034.0,1477.3,1657.7,1462.6,1266.7,-1.0,-46.0,19.0,9303.0,13153.0,-1894.0,-2302.0,10.0,6.0,0.0,3.0,-32.0,9.0,11612.0,11386.0,1983.0,-139.0,12.0,6.0,-1.0,1.0
2022-05-13 13:54:05.143880-07:00,2397.6,620.5,1318.7,1556.2,1069.5,1312.4,1401.2,1467.2,3438.2,3435.8,1993.5,1568.3,1561.8,3444.3,1273.0,1656.8,3440.7,3440.7,832.7,1626.5,1120.9,653.0,1448.8,1991.5,3446.7,3441.9,777.8,1034.0,1477.3,1657.7,1462.6,1266.7,-1.0,-46.0,19.0,9303.0,13153.0,-1894.0,-2302.0,10.0,6.0,0.0,3.0,-32.0,9.0,11612.0,11386.0,1983.0,-139.0,12.0,6.0,-1.0,1.0
2022-05-13 13:54:05.146402-07:00,2398.7,621.4,1329.6,1559.0,1066.0,1308.8,1398.5,1470.9,3446.7,3451.6,2001.5,1575.8,1561.8,3435.8,1269.4,1652.0,3433.4,3434.6,839.4,1635.0,1120.0,651.4,1450.6,1991.5,3452.8,3443.1,781.9,1032.3,1475.5,1649.2,1461.7,1264.9,-3.0,-48.0,25.0,9301.0,13154.0,-1897.0,-2305.0,3.0,-16.0,0.0,1.0,-34.0,10.0,11611.0,11387.0,1983.0,-139.0,3.0,-1.0,1.0,1.0
2022-05-13 13:54:05.234892-07:00,2394.5,618.9,1310.6,1563.7,1069.5,1309.7,1395.7,1455.2,3455.2,3443.1,1982.6,1575.8,1559.9,3437.0,1281.9,1653.0,3437.0,3434.6,827.7,1629.4,1119.1,655.4,1447.0,1989.5,3444.3,3441.9,777.8,1034.0,1479.2,1656.8,1470.9,1264.0,0.0,-48.0,20.0,9297.0,13156.0,-1899.0,-2306.0,3.0,5.0,-1.0,3.0,-38.0,11.0,11610.0,11388.0,1983.0,-139.0,3.0,4.0,1.0,1.0
2022-05-13 13:54:05.280285-07:00,2401.8,634.3,1319.6,1559.0,1069.5,1315.1,1397.6,1461.7,3441.9,3435.8,1988.5,1562.7,1559.0,3446.7,1273.9,1658.7,3428.6,3435.8,831.1,1627.5,1119.1,653.8,1449.7,1976.6,3443.1,3446.7,777.8,1030.6,1479.2,1661.5,1463.5,1269.4,-2.0,-46.0,18.0,9297.0,13156.0,-1899.0,-2306.0,-2.0,-4.0,-1.0,3.0,-35.0,11.0,11610.0,11388.0,1983.0,-139.0,2.0,-4.0,2.0,1.0
2022-05-13 13:54:05.595321-07:00,-2.0,-51.0,21.0,9298.0,13156.0,-1899.0,-2306.0,-3.0,-4.0,-4.0,2.0,-34.0,12.0,11610.0,11388.0,1983.0,-139.0,1.0,3.0,-2.0,1.0,-4.0,-44.0,20.0,9298.0,13156.0,-1899.0,-2306.0,3.0,5.0,0.0,3.0,-34.0,13.0,11610.0,11388.0,1983.0,-139.0,0.0,2.0,3.0,1.0,1.0,-33.0,12.0,11610.0,11388.0,1983.0,-139.0,-1.0,2.0,3.0,1.0
2022-05-13 13:54:06.225432-07:00,2395.5,623.8,1317.8,1557.1,1063.4,1305.2,1385.7,1463.5,3447.9,3440.7,1999.5,1573.9,1566.5,3439.5,1268.5,1653.0,3433.4,3429.8,835.2,1630.3,1126.1,650.5,1447.9,1982.6,3438.2,3439.5,776.9,1033.2,1481.0,1651.1,1462.6,1269.4,-4.0,-54.0,20.0,9298.0,13156.0,-1899.0,-2306.0,4.0,5.0,2.0,3.0,-28.0,10.0,11610.0,11388.0,1983.0,-139.0,-2.0,-1.0,-2.0,1.0
2022-05-13 13:54:06.228338-07:00,2398.7,624.6,1310.6,1557.1,1065.1,1317.8,1385.7,1463.5,3438.2,3439.5,1993.5,1573.9,1564.6,3438.2,1268.5,1653.0,3433.4,3429.8,835.2,1631.3,1126.1,651.4,1444.2,1983.6,3438.2,3439.5,783.6,1034.0,1481.0,1654.9,1459.8,1270.3,0.0,-43.0,15.0,9296.0,13157.0,-1899.0,-2306.0,-5.0,1.0,-6.0,0.0,-31.0,9.0,11610.0,11388.0,1983.0,-139.0,2.0,-5.0,3.0,1.0
2022-05-13 13:54:06.229421-07:00,2398.7,624.6,1310.6,1554.3,1065.1,1315.1,1391.2,1461.7,3438.2,3439.5,1993.5,1571.1,1564.6,3449.1,1275.6,1658.7,3438.2,3438.2,835.2,1631.3,1120.9,651.4,1444.2,1983.6,3451.6,3441.9,776.1,1034.0,1472.7,1654.9,1459.8,1270.3,-4.0,-46.0,20.0,9295.0,13157.0,-1900.0,-2308.0,6.0,-12.0,6.0,4.0,-38.0,9.0,11612.0,11387.0,1981.0,-140.0,-9.0,-6.0,3.0,1.0
