Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 13:54:04.778156-07:00,1303.4,752.1,1160.3,1078.2,894.1,847.8,1757.0,1399.4,3468.6,3475.9,1348.5,1132.2,1760.8,3466.1,1501.4,1425.9,3472.2,3473.4,756.3,1020.2,1411.3,1962.8,912.7,3048.9,3471.0,3483.2,751.3,873.8,1778.1,1163.0,1059.9,899.1,15.0,20.0,-8.0,9951.0,-11711.0,5558.0,-1169.0,13.0,0.0,5.0,0.0,-10.0,14.0,7204.0,-14164.0,3939.0,-625.0,8.0,3.0,-1.0,1.0
2022-05-13 13:54:04.779379-07:00,1310.6,752.1,1160.3,1078.2,886.5,856.2,1761.8,1399.4,3475.9,3475.9,1348.5,1132.2,1757.0,3464.9,1491.2,1425.9,3472.2,3471.0,752.9,1020.2,1411.3,1962.8,912.7,3043.2,3471.0,3473.4,745.5,878.0,1778.1,1163.0,1059.9,898.3,13.0,19.0,0.0,9950.0,-11711.0,5559.0,-1168.0,-7.0,-10.0,13.0,-6.0,-12.0,14.0,7202.0,-14165.0,3939.0,-624.0,-12.0,-4.0,2.0,1.0
2022-05-13 13:54:04.911913-07:00,1310.6,734.8,1149.8,1086.8,886.5,856.2,1761.8,1405.8,3475.9,3464.9,1344.9,1131.4,1757.0,3464.9,1491.2,1426.8,3474.6,3471.0,752.9,1020.2,1404.0,1965.7,905.0,3043.2,3474.6,3473.4,745.5,878.0,1805.2,1153.3,1069.5,898.3,12.0,24.0,-3.0,9951.0,-11711.0,5560.0,-1166.0,7.0,11.0,-2.0,-6.0,-7.0,13.0,7201.0,-14166.0,3940.0,-624.0,-2.0,2.0,-1.0,1.0
2022-05-13 13:54:04.913769-07:00,1281.0,748.0,1149.8,1086.8,894.9,847.0,1770.4,1405.8,3473.4,3472.2,1344.9,1131.4,1757.0,3471.0,1502.3,1426.8,3474.6,3474.6,751.3,1027.1,1404.0,1965.7,912.7,3024.8,3474.6,3472.2,745.5,873.8,1805.2,1153.3,1059.1,891.5,13.0,21.0,-5.0,9951.0,-11711.0,5561.0,-1166.0,0.0,4.0,11.0,-7.0,-6.0,11.0,7201.0,-14166.0,3940.0,-625.0,-4.0,5.0,4.0,1.0
2022-05-13 13:54:04.956675-07:00,1281.0,748.0,1151.5,1083.4,894.9,847.0,1762.7,1402.1,3473.4,3472.2,1345.8,1137.5,1757.0,3471.0,1504.1,1425.9,3464.9,3477.1,751.3,1027.1,1413.1,1967.7,912.7,3024.8,3462.5,3475.9,745.5,873.8,1779.1,1157.7,1059.1,891.5,16.0,22.0,-5.0,9951.0,-11709.0,5565.0,-1163.0,0.0,-5.0,6.0,-3.0,-13.0,10.0,7197.0,-14168.0,3940.0,-624.0,-10.0,-2.0,2.0,1.0
2022-05-13 13:54:05.046623-07:00,1299.0,752.9,1151.5,1083.4,887.3,845.3,1762.7,1402.1,3457.6,3464.9,1345.8,1137.5,1757.0,3480.7,1504.1,1425.9,3464.9,3477.1,752.1,1027.1,1413.1,1967.7,904.2,3021.4,3462.5,3475.9,752.1,870.5,1779.1,1157.7,1063.4,900.0,15.0,20.0,-6.0,9954.0,-11706.0,5564.0,-1165.0,19.0,2.0,6.0,-3.0,-10.0,15.0,7198.0,-14167.0,3940.0,-624.0,12.0,-1.0,3.0,1.0
2022-05-13 13:54:05.047971-07:00,1299.0,752.9,1146.3,1082.5,887.3,845.3,1779.1,1404.0,3457.6,3464.9,1340.4,1140.1,1757.0,3480.7,1497.7,1422.2,3467.4,3474.6,752.1,1027.1,1408.5,1960.8,904.2,3021.4,3478.3,3488.0,752.1,870.5,1777.2,1159.4,1063.4,900.0,19.0,25.0,0.0,9957.0,-11703.0,5567.0,-1163.0,-1.0,10.0,10.0,-3.0,-7.0,11.0,7196.0,-14168.0,3940.0,-624.0,-10.0,5.0,7.0,1.0
2022-05-13 13:54:05.092870-07:00,1281.0,742.2,1146.3,1082.5,893.2,847.8,1779.1,1404.0,3468.6,3475.9,1340.4,1140.1,1761.8,3467.4,1497.7,1422.2,3467.4,3474.6,740.6,1014.2,1408.5,1960.8,912.7,3034.0,3478.3,3488.0,754.6,876.4,1777.2,1159.4,1063.4,900.8,14.0,18.0,-11.0,9955.0,-11702.0,5571.0,-1167.0,6.0,6.0,3.0,-3.0,-10.0,13.0,7194.0,-14169.0,3940.0,-623.0,-5.0,6.0,4.0,1.0
2022-05-13 13:54:05.180498-07:00,1281.0,742.2,1145.4,1092.9,893.2,848.6,1753.1,1401.2,3468.6,3475.9,1349.4,1135.7,1761.8,3474.6,1493.0,1418.6,3473.4,3483.2,754.6,1014.2,1405.8,1961.8,912.7,3034.0,3484.4,3483.2,748.0,876.4,1781.0,1161.2,1063.4,900.8,15.0,25.0,-12.0,9955.0,-11702.0,5571.0,-1166.0,0.0,-11.0,4.0,-4.0,-7.0,8.0,7194.0,-14169.0,3940.0,-623.0,0.0,0.0,1.0,1.0
2022-05-13 13:54:05.182245-07:00,1293.6,740.6,1148.9,1092.9,888.2,848.6,1753.1,1401.2,3472.2,3457.6,1342.2,1135.7,1758.9,3474.6,1493.0,1418.6,3473.4,3483.2,754.6,1031.4,1405.8,1958.8,906.7,3023.7,3484.4,3483.2,748.0,871.3,1781.0,1161.2,1055.6,903.4,11.0,18.0,-8.0,9957.0,-11701.0,5569.0,-1166.0,8.0,-4.0,5.0,-4.0,-12.0,11.0,7194.0,-14169.0,3940.0,-623.0,8.0,-6.0,-2.0,1.0
