Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 13:58:30.323093-07:00,2123.0,577.8,1205.3,1428.6,967.1,1231.9,1256.0,1340.4,3437.0,3443.1,1744.5,1464.4,1478.3,3439.5,1133.1,1532.0,3437.0,3439.5,784.4,1532.0,1055.6,623.8,1299.0,1823.6,3438.2,3440.7,698.7,948.3,1357.6,1463.5,1278.3,1225.7,-5.0,-38.0,10.0,9589.0,12702.0,-2687.0,-2814.0,-18.0,9.0,16.0,-1.0,-33.0,-17.0,12154.0,10808.0,1967.0,156.0,1.0,-6.0,8.0,1.0
2022-05-13 13:58:30.368579-07:00,2123.0,577.8,1216.0,1426.8,967.1,1231.9,1261.3,1330.5,3437.0,3443.1,1745.4,1463.5,1478.3,3439.5,1123.5,1521.8,3435.8,3443.1,784.4,1532.0,1055.6,624.6,1299.0,1823.6,3447.9,3446.7,698.7,948.3,1353.1,1455.2,1278.3,1225.7,-3.0,-23.0,8.0,9589.0,12702.0,-2696.0,-2805.0,40.0,-6.0,26.0,3.0,-35.0,-13.0,12148.0,10815.0,1966.0,157.0,39.0,-8.0,4.0,1.0
2022-05-13 13:58:30.369616-07:00,2114.9,577.8,1216.0,1426.8,963.7,1239.1,1261.3,1330.5,3441.9,3440.7,1745.4,1463.5,1455.2,3433.4,1123.5,1521.8,3435.8,3443.1,781.1,1529.2,1055.6,624.6,1308.8,1820.7,3447.9,3446.7,693.8,944.1,1353.1,1455.2,1268.5,1223.9,2.0,-23.0,16.0,9569.0,12716.0,-2704.0,-2805.0,35.0,-9.0,-14.0,7.0,-26.0,-15.0,12135.0,10829.0,1967.0,154.0,18.0,4.0,-9.0,1.0
2022-05-13 13:58:30.370606-07:00,2114.9,577.8,1199.1,1421.3,963.7,1231.0,1253.3,1342.2,3441.9,3440.7,1749.3,1462.6,1455.2,3431.0,1127.9,1530.1,3435.8,3439.5,786.9,1529.2,1055.6,627.0,1308.8,1820.7,3441.9,3438.2,692.9,944.1,1351.2,1462.6,1268.5,1223.9,-4.0,-31.0,10.0,9569.0,12715.0,-2705.0,-2804.0,8.0,7.0,11.0,0.0,-37.0,-13.0,12133.0,10831.0,1967.0,154.0,12.0,1.0,4.0,1.0
2022-05-13 13:58:30.372027-07:00,2125.0,589.1,1202.7,1421.3,959.4,1231.0,1253.3,1342.2,3444.3,3441.9,1741.6,1462.6,1458.9,3431.0,1127.9,1530.1,3435.8,3439.5,786.9,1530.1,1055.6,623.8,1300.7,1820.7,3441.9,3438.2,692.9,949.2,1351.2,1462.6,1273.0,1230.2,-2.0,-30.0,11.0,9565.0,12718.0,-2706.0,-2803.0,1.0,5.0,-9.0,4.0,-32.0,-17.0,12130.0,10835.0,1968.0,153.0,-4.0,1.0,-6.0,1.0
2022-05-13 13:58:30.547088-07:00,2118.9,587.5,1200.0,1419.5,963.7,1233.7,1263.1,1335.9,3433.4,3433.4,1751.2,1465.4,1453.4,3440.7,1124.4,1523.6,3439.5,3437.0,786.1,1531.0,1055.6,626.2,1295.4,1824.6,3446.7,3445.5,695.4,947.5,1349.4,1454.3,1267.6,1228.4,-2.0,-30.0,13.0,9562.0,12720.0,-2707.0,-2807.0,14.0,5.0,7.0,1.0,-35.0,-13.0,12130.0,10836.0,1969.0,150.0,9.0,8.0,0.0,1.0
2022-05-13 13:58:30.548729-07:00,2117.9,575.4,1206.2,1418.6,963.7,1233.7,1263.1,1335.9,3447.9,3435.8,1743.5,1458.0,1453.4,3440.7,1124.4,1523.6,3439.5,3437.0,786.1,1531.0,1058.2,624.6,1310.6,1826.5,3446.7,3445.5,695.4,947.5,1346.7,1456.2,1273.0,1229.3,-1.0,-29.0,8.0,9559.0,12722.0,-2707.0,-2806.0,1.0,4.0,-8.0,2.0,-30.0,-18.0,12129.0,10836.0,1969.0,151.0,-3.0,0.0,-1.0,1.0
2022-05-13 13:58:30.549733-07:00,2117.9,575.4,1206.2,1418.6,967.9,1231.9,1258.7,1346.7,3447.9,3435.8,1743.5,1458.0,1456.2,3435.8,1124.4,1526.4,3435.8,3437.0,781.1,1533.8,1058.2,624.6,1310.6,1826.5,3441.9,3433.4,688.9,952.6,1346.7,1456.2,1273.0,1229.3,-5.0,-33.0,8.0,9560.0,12721.0,-2707.0,-2807.0,-12.0,-3.0,-2.0,-3.0,-30.0,-16.0,12130.0,10835.0,1969.0,151.0,-12.0,-7.0,2.0,1.0
2022-05-13 13:58:30.744387-07:00,2119.9,572.2,1193.8,1418.6,967.9,1231.9,1258.7,1346.7,3438.2,3428.6,1749.3,1473.6,1456.2,3435.8,1124.4,1526.4,3435.8,3437.0,781.1,1533.8,1064.3,624.6,1298.1,1823.6,3441.9,3433.4,688.9,952.6,1357.6,1459.8,1270.3,1225.7,-3.0,-21.0,12.0,9560.0,12721.0,-2708.0,-2808.0,7.0,-10.0,0.0,0.0,-31.0,-14.0,12130.0,10835.0,1969.0,151.0,-2.0,0.0,-4.0,1.0
2022-05-13 13:58:30.745509-07:00,2119.9,572.2,1193.8,1418.6,962.0,1224.8,1258.7,1337.7,3438.2,3428.6,1749.3,1473.6,1458.9,3431.0,1121.7,1532.9,3439.5,3449.1,783.6,1539.4,1064.3,624.6,1298.1,1823.6,3445.5,3444.3,697.9,946.6,1357.6,1459.8,1270.3,1225.7,-4.0,-32.0,17.0,9559.0,12721.0,-2709.0,-2810.0,12.0,3.0,-6.0,2.0,-31.0,-9.0,12130.0,10835.0,1969.0,151.0,1.0,-2.0,-1.0,1.0
