Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 14:04:14.425780-07:00,1149.8,706.0,1051.3,962.8,767.8,777.8,1570.2,1204.4,3463.7,3469.8,1168.2,968.8,1436.9,3467.4,1320.5,1216.8,3478.3,3474.6,824.4,1163.8,1517.1,2092.6,860.4,2733.7,3483.2,3488.0,670.9,783.6,1530.1,984.2,928.8,775.3,20.0,25.0,19.0,9300.0,-10358.0,7793.0,-3731.0,30.0,26.0,-17.0,-2.0,-11.0,-1.0,7357.0,-14482.0,2107.0,360.0,29.0,-3.0,4.0,1.0
2022-05-13 14:04:14.511149-07:00,1148.9,706.0,1051.3,962.8,775.3,780.3,1570.2,1204.4,3472.2,3469.8,1168.2,968.8,1442.4,3467.4,1324.1,1216.8,3478.3,3473.4,832.7,1165.6,1517.1,2092.6,860.4,2737.0,3483.2,3475.9,670.1,772.8,1530.1,984.2,928.8,781.1,20.0,36.0,17.0,9303.0,-10348.0,7787.0,-3764.0,95.0,68.0,-70.0,-3.0,-10.0,1.0,7376.0,-14473.0,2107.0,358.0,74.0,-3.0,-5.0,1.0
2022-05-13 14:04:14.556177-07:00,1148.9,701.9,1065.1,985.9,775.3,780.3,1570.2,1198.2,3472.2,3471.0,1185.9,968.8,1442.4,3467.4,1324.1,1210.6,3474.6,3473.4,832.7,1165.6,1515.3,2103.7,858.7,2737.0,3489.2,3475.9,670.1,772.8,1531.0,994.5,924.5,781.1,5.0,17.0,-4.0,9306.0,-10333.0,7772.0,-3826.0,43.0,45.0,-62.0,-3.0,-12.0,3.0,7394.0,-14464.0,2107.0,355.0,-17.0,-1.0,-6.0,1.0
2022-05-13 14:04:14.601106-07:00,1152.4,701.9,1065.1,985.9,764.5,785.2,1569.3,1198.2,3464.9,3471.0,1185.9,968.8,1445.1,3478.3,1330.5,1210.6,3474.6,3483.2,838.6,1160.3,1515.3,2103.7,858.7,2731.5,3489.2,3477.1,677.4,779.4,1531.0,994.5,924.5,772.8,16.0,27.0,10.0,9297.0,-10339.0,7775.0,-3828.0,-32.0,-15.0,27.0,1.0,-12.0,0.0,7383.0,-14469.0,2107.0,357.0,-13.0,-1.0,7.0,1.0
2022-05-13 14:04:14.646113-07:00,1152.4,700.3,1054.8,988.5,764.5,785.2,1569.3,1188.5,3464.9,3475.9,1170.9,965.4,1445.1,3478.3,1330.5,1210.6,3478.3,3483.2,838.6,1160.3,1512.5,2101.7,856.2,2731.5,3462.5,3477.1,677.4,779.4,1536.6,986.7,926.2,772.8,14.0,23.0,4.0,9300.0,-10338.0,7772.0,-3830.0,50.0,-2.0,-39.0,0.0,-9.0,0.0,7387.0,-14467.0,2106.0,355.0,13.0,-5.0,-11.0,1.0
2022-05-13 14:04:14.691061-07:00,1147.1,700.3,1054.8,988.5,773.6,781.9,1570.2,1188.5,3464.9,3475.9,1170.9,965.4,1436.0,3462.5,1323.2,1210.6,3478.3,3481.9,838.6,1161.2,1512.5,2101.7,856.2,2722.7,3462.5,3483.2,670.1,778.6,1536.6,986.7,926.2,775.3,12.0,15.0,7.0,9304.0,-10339.0,7763.0,-3835.0,-31.0,-16.0,17.0,0.0,-11.0,0.0,7386.0,-14468.0,2105.0,355.0,-27.0,-2.0,2.0,1.0
2022-05-13 14:04:14.736109-07:00,1147.1,708.5,1048.7,985.0,773.6,781.9,1569.3,1195.6,3464.9,3467.4,1174.4,963.7,1436.0,3462.5,1325.0,1216.8,3472.2,3478.3,838.6,1161.2,1519.0,2103.7,853.7,2722.7,3477.1,3485.6,670.1,778.6,1532.9,990.2,926.2,775.3,12.0,26.0,13.0,9302.0,-10341.0,7767.0,-3827.0,-4.0,-5.0,-6.0,-2.0,-15.0,3.0,7379.0,-14472.0,2105.0,356.0,-2.0,-1.0,-6.0,1.0
2022-05-13 14:04:14.781206-07:00,1147.1,697.9,1048.7,985.0,776.9,780.3,1569.3,1195.6,3469.8,3469.8,1174.4,963.7,1448.8,3477.1,1325.0,1216.8,3472.2,3478.3,838.6,1161.2,1519.0,2103.7,857.0,2737.0,3477.1,3485.6,664.4,778.6,1532.9,990.2,923.7,775.3,7.0,18.0,9.0,9301.0,-10343.0,7764.0,-3830.0,-2.0,-7.0,-1.0,-4.0,-11.0,1.0,7379.0,-14472.0,2105.0,356.0,-9.0,-5.0,-1.0,1.0
2022-05-13 14:04:14.826997-07:00,1147.1,697.9,1053.0,974.8,776.9,780.3,1558.1,1181.5,3469.8,3469.8,1166.5,967.9,1448.8,3477.1,1322.3,1218.6,3469.8,3477.1,838.6,1161.2,1508.8,2097.7,857.0,2737.0,3475.9,3474.6,664.4,778.6,1540.3,983.3,923.7,775.3,15.0,19.0,13.0,9300.0,-10343.0,7765.0,-3828.0,-12.0,12.0,10.0,0.0,-11.0,0.0,7375.0,-14474.0,2105.0,357.0,-16.0,4.0,2.0,1.0
2022-05-13 14:04:14.917510-07:00,1151.5,706.9,1053.0,974.8,769.5,789.4,1558.1,1181.5,3466.1,3467.4,1166.5,967.9,1440.5,3467.4,1322.3,1218.6,3469.8,3477.1,838.6,1163.0,1508.8,2097.7,858.7,2727.1,3475.9,3474.6,658.7,776.9,1540.3,983.3,926.2,774.5,14.0,15.0,7.0,9293.0,-10346.0,7771.0,-3827.0,-15.0,11.0,2.0,2.0,-12.0,2.0,7366.0,-14478.0,2105.0,358.0,-24.0,5.0,1.0,1.0
2022-05-13 14:04:14.918519-07:00,1151.5,706.9,1047.8,979.9,769.5,789.4,1559.0,1191.2,3466.1,3467.4,1175.3,967.9,1440.5,3467.4,1318.7,1209.7,3472.2,3468.6,838.6,1163.0,1517.1,2119.9,858.7,2727.1,3466.1,3480.7,658.7,776.9,1537.6,992.7,926.2,774.5,12.0,18.0,5.0,9291.0,-10347.0,7771.0,-3828.0,11.0,-9.0,-3.0,-6.0,-13.0,0.0,7365.0,-14479.0,2104.0,358.0,7.0,-4.0,-5.0,1.0
2022-05-13 14:04:15.006061-07:00,1142.7,705.2,1048.7,979.9,770.3,776.1,1559.0,1191.2,3462.5,3467.4,1172.6,967.9,1444.2,3460.1,1318.7,1209.7,3472.2,3468.6,830.2,1161.2,1517.1,2105.8,861.2,2731.5,3466.1,3480.7,670.1,779.4,1537.6,985.0,924.5,777.8,5.0,24.0,12.0,9294.0,-10345.0,7769.0,-3830.0,1.0,-6.0,1.0,-5.0,-13.0,8.0,7367.0,-14478.0,2104.0,359.0,3.0,-3.0,-2.0,1.0
2022-05-13 14:04:15.051617-07:00,1142.7,705.2,1048.7,979.9,770.3,783.6,1574.9,1203.5,3462.5,3467.4,1172.6,973.9,1444.2,3478.3,1319.6,1221.3,3467.4,3473.4,831.1,1161.2,1519.0,2105.8,861.2,2731.5,3483.2,3479.5,668.4,779.4,1541.3,985.0,924.5,777.8,13.0,18.0,11.0,9292.0,-10346.0,7770.0,-3829.0,-5.0,12.0,1.0,-1.0,-10.0,0.0,7363.0,-14480.0,2104.0,360.0,-14.0,-2.0,-2.0,1.0
