Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 14:12:37.007179-07:00,1207.1,702.8,1099.9,1012.5,754.6,741.4,1567.4,1164.7,3467.4,3478.3,1200.0,1001.3,1457.1,3471.0,1405.8,1309.7,3469.8,3479.5,857.0,1160.3,1536.6,2135.1,1092.1,3281.3,3477.1,3473.4,697.9,777.8,1504.1,1097.3,1021.9,769.5,1.0,1.0,3.0,6805.0,-5083.0,12037.0,-7170.0,7.0,0.0,10.0,0.0,-1.0,-1.0,7028.0,-14204.0,4090.0,-742.0,6.0,-5.0,2.0,1.0
2022-05-13 14:12:37.051301-07:00,1200.9,712.6,1099.9,1012.5,754.6,744.7,1567.4,1164.7,3471.0,3473.4,1200.0,1001.3,1454.3,3468.6,1405.8,1309.7,3469.8,3479.5,857.0,1157.7,1536.6,2135.1,1099.9,3274.2,3477.1,3473.4,689.7,775.3,1504.1,1097.3,1014.2,762.9,0.0,-2.0,0.0,6804.0,-5082.0,12037.0,-7170.0,-3.0,7.0,-2.0,3.0,-4.0,-2.0,7027.0,-14205.0,4090.0,-742.0,-7.0,3.0,-1.0,1.0
2022-05-13 14:12:37.098062-07:00,1200.9,712.6,1105.1,1009.0,754.6,744.7,1570.2,1150.6,3471.0,3473.4,1193.8,993.6,1454.3,3468.6,1401.2,1311.5,3468.6,3467.4,857.0,1157.7,1543.1,2134.1,1099.9,3274.2,3463.7,3474.6,689.7,775.3,1512.5,1088.6,1014.2,762.9,4.0,4.0,3.0,6805.0,-5081.0,12036.0,-7172.0,10.0,-1.0,6.0,3.0,-2.0,-1.0,7029.0,-14204.0,4090.0,-743.0,7.0,-1.0,1.0,1.0
2022-05-13 14:12:37.142251-07:00,1213.3,705.2,1105.1,1009.0,756.3,753.8,1570.2,1150.6,3467.4,3462.5,1193.8,993.6,1451.6,3468.6,1401.2,1311.5,3468.6,3467.4,856.2,1164.7,1543.1,2134.1,1095.6,3271.8,3463.7,3474.6,690.5,775.3,1512.5,1088.6,1020.2,767.0,2.0,-1.0,2.0,6805.0,-5081.0,12036.0,-7172.0,9.0,-3.0,3.0,4.0,-2.0,0.0,7029.0,-14204.0,4090.0,-743.0,9.0,-5.0,-2.0,1.0
2022-05-13 14:12:37.231034-07:00,1213.3,705.2,1092.9,1019.4,756.3,748.0,1571.1,1153.3,3467.4,3462.5,1194.7,998.7,1451.6,3467.4,1401.2,1314.2,3464.9,3483.2,857.9,1164.7,1544.1,2135.1,1095.6,3271.8,3469.8,3464.9,691.3,775.3,1506.9,1082.5,1020.2,767.0,4.0,-1.0,5.0,6805.0,-5081.0,12035.0,-7173.0,1.0,-8.0,2.0,4.0,-5.0,0.0,7031.0,-14203.0,4090.0,-743.0,-6.0,-3.0,-3.0,1.0
2022-05-13 14:12:37.276129-07:00,1206.2,708.5,1093.8,1019.4,756.3,748.0,1571.1,1153.3,3466.1,3464.9,1192.0,998.7,1457.1,3467.4,1401.2,1314.2,3464.9,3483.2,857.9,1159.4,1544.1,2141.2,1097.3,3264.7,3469.8,3464.9,691.3,781.1,1506.9,1086.8,1017.6,761.2,6.0,4.0,6.0,6807.0,-5082.0,12034.0,-7173.0,4.0,0.0,-1.0,5.0,-3.0,-1.0,7031.0,-14203.0,4090.0,-743.0,7.0,-3.0,0.0,1.0
2022-05-13 14:12:37.321120-07:00,1206.2,708.5,1093.8,1009.9,756.3,738.1,1563.7,1154.2,3466.1,3464.9,1192.0,997.9,1457.1,3467.4,1403.0,1307.9,3475.9,3467.4,858.7,1159.4,1541.3,2141.2,1097.3,3264.7,3478.3,3469.8,692.1,781.1,1516.2,1086.8,1017.6,761.2,5.0,-3.0,6.0,6807.0,-5082.0,12034.0,-7173.0,2.0,0.0,6.0,7.0,-3.0,1.0,7031.0,-14203.0,4090.0,-743.0,5.0,0.0,4.0,1.0
2022-05-13 14:12:37.366876-07:00,1204.4,713.4,1096.4,1009.9,751.3,738.1,1563.7,1154.2,3467.4,3463.7,1195.6,997.9,1451.6,3467.4,1403.0,1307.9,3475.9,3467.4,858.7,1158.6,1541.3,2130.1,1094.7,3261.2,3478.3,3469.8,692.1,775.3,1516.2,1092.1,1019.4,763.7,3.0,0.0,9.0,6807.0,-5082.0,12034.0,-7173.0,1.0,5.0,2.0,6.0,-4.0,0.0,7031.0,-14203.0,4090.0,-743.0,1.0,1.0,4.0,1.0
2022-05-13 14:12:37.411162-07:00,1204.4,713.4,1096.4,1007.3,751.3,749.6,1570.2,1165.6,3467.4,3463.7,1195.6,997.9,1451.6,3466.1,1404.9,1315.1,3467.4,3469.8,855.3,1158.6,1532.9,2130.1,1094.7,3261.2,3464.9,3472.2,686.4,775.3,1507.8,1092.1,1019.4,763.7,-2.0,-4.0,2.0,6806.0,-5081.0,12035.0,-7173.0,-3.0,8.0,4.0,0.0,-6.0,0.0,7031.0,-14203.0,4090.0,-743.0,-4.0,-1.0,5.0,1.0
2022-05-13 14:12:37.547232-07:00,1213.3,699.5,1096.4,1006.5,764.5,749.6,1570.2,1165.6,3457.6,3455.2,1197.4,998.7,1451.6,3466.1,1404.9,1315.1,3467.4,3469.8,855.3,1157.7,1545.0,2135.1,1094.7,3286.1,3464.9,3472.2,686.4,770.3,1506.0,1085.1,1027.1,767.0,0.0,8.0,4.0,6806.0,-5079.0,12036.0,-7173.0,7.0,-3.0,7.0,-1.0,-1.0,0.0,7031.0,-14203.0,4090.0,-743.0,5.0,0.0,-2.0,1.0
2022-05-13 14:12:37.548382-07:00,1213.3,699.5,1096.4,1006.5,757.9,744.7,1563.7,1158.6,3457.6,3455.2,1197.4,998.7,1453.4,3467.4,1399.4,1308.8,3474.6,3468.6,856.2,1166.5,1545.0,2135.1,1094.7,3286.1,3473.4,3462.5,697.0,785.2,1506.0,1085.1,1027.1,767.0,6.0,-5.0,5.0,6808.0,-5080.0,12035.0,-7172.0,-1.0,-5.0,-1.0,8.0,-3.0,-1.0,7031.0,-14203.0,4090.0,-743.0,1.0,-1.0,-1.0,1.0
