Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 14:17:02.078766-07:00,1130.5,688.9,982.5,960.2,737.3,723.3,1530.1,1184.1,3472.2,3469.8,1028.0,906.7,1390.3,3467.4,1282.8,1206.2,3478.3,3475.9,909.3,1214.2,1627.5,2242.5,1041.8,3223.4,3474.6,3474.6,610.8,703.6,1483.8,983.3,912.7,744.7,7.0,2.0,-3.0,9781.0,-751.0,1590.0,-13026.0,-3.0,15.0,16.0,-1.0,3.0,7.0,14697.0,-6678.0,699.0,-2709.0,-20.0,-10.0,15.0,1.0
2022-05-13 14:17:02.079817-07:00,1130.5,688.9,982.5,960.2,735.6,721.6,1524.5,1192.0,3472.2,3469.8,1028.0,906.7,1390.3,3462.5,1277.4,1210.6,3475.9,3469.8,902.5,1216.0,1627.5,2242.5,1041.8,3223.4,3472.2,3473.4,603.6,706.0,1483.8,983.3,912.7,744.7,12.0,16.0,-7.0,9784.0,-745.0,1587.0,-13025.0,-2.0,-5.0,-5.0,0.0,12.0,8.0,14700.0,-6672.0,698.0,-2709.0,10.0,-2.0,-3.0,1.0
2022-05-13 14:17:02.080325-07:00,1134.0,687.2,991.9,954.3,735.6,721.6,1524.5,1192.0,3464.9,3464.9,1026.3,911.0,1390.3,3462.5,1277.4,1210.6,3475.9,3469.8,902.5,1216.0,1639.8,2240.4,1042.6,3234.0,3472.2,3473.4,603.6,706.0,1480.1,987.6,903.4,745.5,16.0,-3.0,2.0,9783.0,-751.0,1586.0,-13025.0,11.0,-13.0,-2.0,4.0,-4.0,6.0,14699.0,-6674.0,698.0,-2708.0,9.0,-4.0,-7.0,1.0
2022-05-13 14:17:02.123282-07:00,1134.0,687.2,991.9,954.3,735.6,726.6,1530.1,1213.3,3464.9,3464.9,1026.3,911.0,1387.5,3461.3,1275.6,1208.9,3480.7,3473.4,905.9,1210.6,1639.8,2240.4,1042.6,3234.0,3480.7,3481.9,621.4,704.4,1480.1,987.6,903.4,745.5,12.0,1.0,0.0,9783.0,-752.0,1586.0,-13025.0,-17.0,2.0,0.0,4.0,1.0,7.0,14698.0,-6676.0,699.0,-2708.0,-15.0,0.0,1.0,1.0
2022-05-13 14:17:02.169095-07:00,1134.9,692.9,991.9,951.7,735.6,726.6,1530.1,1213.3,3469.8,3473.4,1028.8,907.6,1387.5,3461.3,1275.6,1208.9,3480.7,3473.4,905.9,1210.6,1622.8,2249.7,1040.1,3238.7,3480.7,3481.9,621.4,704.4,1481.9,984.2,901.7,741.4,13.0,6.0,-5.0,9783.0,-754.0,1589.0,-13025.0,-6.0,0.0,4.0,3.0,8.0,1.0,14697.0,-6678.0,699.0,-2708.0,1.0,-1.0,-1.0,1.0
2022-05-13 14:17:02.214748-07:00,1130.5,692.9,991.9,951.7,734.8,728.2,1525.5,1188.5,3469.8,3473.4,1028.8,907.6,1390.3,3469.8,1271.2,1214.2,3478.3,3473.4,905.0,1217.7,1622.8,2249.7,1040.1,3230.5,3480.7,3474.6,610.0,708.5,1481.9,984.2,901.7,746.3,11.0,-1.0,-6.0,9783.0,-756.0,1592.0,-13024.0,-5.0,-7.0,6.0,1.0,1.0,7.0,14696.0,-6681.0,699.0,-2708.0,-6.0,-10.0,-4.0,1.0
2022-05-13 14:17:02.347414-07:00,1130.5,702.8,979.9,945.8,734.8,728.2,1525.5,1188.5,3469.8,3471.0,1027.1,905.9,1390.3,3469.8,1271.2,1217.7,3474.6,3473.4,905.0,1217.7,1626.5,2234.2,1039.2,3230.5,3488.0,3474.6,610.0,708.5,1479.2,986.7,910.1,746.3,13.0,-1.0,-3.0,9783.0,-761.0,1588.0,-13024.0,-4.0,-17.0,4.0,2.0,2.0,4.0,14696.0,-6682.0,695.0,-2706.0,5.0,-12.0,-7.0,1.0
2022-05-13 14:17:02.393460-07:00,1130.5,702.8,979.9,945.8,735.6,724.1,1525.5,1188.5,3468.6,3471.0,1027.1,905.9,1382.1,3469.8,1274.7,1217.7,3474.6,3473.4,905.9,1207.1,1626.5,2234.2,1039.2,3239.9,3488.0,3478.3,610.8,720.0,1479.2,986.7,910.1,743.0,14.0,0.0,0.0,9787.0,-763.0,1586.0,-13021.0,8.0,-5.0,10.0,5.0,0.0,8.0,14696.0,-6683.0,691.0,-2704.0,6.0,-13.0,-1.0,1.0
2022-05-13 14:17:02.394140-07:00,1130.5,691.3,996.2,958.5,735.6,724.1,1525.5,1177.9,3468.6,3475.9,1030.6,908.4,1382.1,3469.8,1274.7,1209.7,3469.8,3473.4,905.9,1207.1,1626.5,2238.4,1039.2,3239.9,3467.4,3478.3,610.8,720.0,1485.6,981.6,905.0,743.0,15.0,5.0,-3.0,9790.0,-762.0,1584.0,-13019.0,-12.0,2.0,3.0,6.0,4.0,8.0,14698.0,-6681.0,687.0,-2703.0,1.0,-10.0,-1.0,1.0
2022-05-13 14:17:02.438386-07:00,1135.7,691.3,996.2,958.5,735.6,724.9,1519.9,1177.9,3466.1,3475.9,1030.6,908.4,1391.2,3457.6,1271.2,1209.7,3469.8,3475.9,911.0,1213.3,1626.5,2238.4,1039.2,3231.7,3467.4,3471.0,606.8,699.5,1485.6,981.6,905.0,746.3,11.0,0.0,1.0,9790.0,-764.0,1587.0,-13019.0,26.0,-13.0,1.0,3.0,0.0,9.0,14697.0,-6683.0,685.0,-2702.0,10.0,-3.0,0.0,1.0
