Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 14:21:54.397828-07:00,2041.4,549.0,1079.0,1328.7,973.9,1123.5,1191.2,1266.7,3441.9,3441.9,1471.8,1305.2,1301.6,3449.1,994.5,1534.8,3428.6,3439.5,764.5,1430.5,1042.6,610.0,1226.6,1709.1,3438.2,3445.5,647.3,901.7,1285.5,1437.8,1177.9,1094.7,0.0,-1.0,1.0,6334.0,10221.0,-8941.0,-6627.0,31.0,-4.0,-1.0,0.0,7.0,2.0,7756.0,6590.0,9761.0,8342.0,14.0,1.0,0.0,1.0
2022-05-13 14:21:54.398880-07:00,2033.4,550.6,1079.0,1328.7,967.9,1116.5,1191.2,1266.7,3431.0,3446.7,1471.8,1305.2,1296.3,3443.1,994.5,1534.8,3428.6,3439.5,766.2,1433.2,1042.6,610.0,1228.4,1713.8,3438.2,3445.5,640.0,904.2,1285.5,1437.8,1180.6,1096.4,1.0,-6.0,8.0,6334.0,10222.0,-8937.0,-6630.0,-13.0,5.0,-6.0,-2.0,6.0,2.0,7755.0,6590.0,9762.0,8341.0,-13.0,-8.0,-3.0,1.0
2022-05-13 14:21:54.443032-07:00,2033.4,550.6,1081.6,1325.9,967.9,1117.4,1190.3,1267.6,3431.0,3446.7,1473.6,1307.0,1296.3,3444.3,986.7,1538.5,3434.6,3438.2,769.5,1433.2,1046.1,610.0,1228.4,1713.8,3435.8,3443.1,646.5,904.2,1287.3,1432.3,1180.6,1096.4,-1.0,7.0,0.0,6332.0,10223.0,-8938.0,-6628.0,4.0,3.0,-4.0,-5.0,11.0,3.0,7755.0,6590.0,9762.0,8341.0,7.0,-3.0,1.0,1.0
2022-05-13 14:21:54.531749-07:00,2033.4,539.4,1074.7,1325.9,978.2,1117.4,1190.3,1267.6,3437.0,3440.7,1474.6,1307.0,1298.1,3444.3,986.7,1538.5,3434.6,3438.2,769.5,1430.5,1046.1,610.0,1227.5,1711.0,3435.8,3443.1,646.5,901.7,1287.3,1431.4,1185.9,1091.2,-1.0,0.0,5.0,6331.0,10223.0,-8939.0,-6629.0,11.0,1.0,-8.0,-4.0,6.0,2.0,7755.0,6590.0,9762.0,8341.0,4.0,-1.0,-4.0,1.0
2022-05-13 14:21:54.533046-07:00,2033.4,539.4,1074.7,1330.5,978.2,1121.7,1185.9,1270.3,3437.0,3440.7,1474.6,1302.5,1298.1,3438.2,986.7,1542.2,3440.7,3433.4,766.2,1430.5,1046.1,610.0,1227.5,1711.0,3439.5,3444.3,649.7,901.7,1289.1,1431.4,1185.9,1091.2,-4.0,0.0,3.0,6331.0,10223.0,-8939.0,-6629.0,6.0,-5.0,-1.0,-6.0,6.0,6.0,7755.0,6591.0,9762.0,8341.0,6.0,1.0,-2.0,1.0
2022-05-13 14:21:54.577488-07:00,2033.4,541.0,1084.2,1330.5,976.5,1121.7,1185.9,1270.3,3441.9,3438.2,1481.9,1302.5,1301.6,3438.2,986.7,1542.2,3440.7,3433.4,766.2,1435.0,1046.1,607.6,1230.2,1708.1,3439.5,3444.3,649.7,902.5,1289.1,1433.2,1181.5,1097.3,-3.0,-4.0,4.0,6331.0,10223.0,-8939.0,-6629.0,12.0,0.0,6.0,-2.0,8.0,5.0,7755.0,6591.0,9762.0,8341.0,13.0,7.0,-1.0,1.0
2022-05-13 14:21:54.622642-07:00,2033.4,541.0,1084.2,1324.1,976.5,1124.4,1187.6,1267.6,3441.9,3438.2,1481.9,1310.6,1301.6,3445.5,995.3,1541.3,3420.1,3433.4,767.8,1435.0,1056.5,607.6,1230.2,1708.1,3440.7,3439.5,648.1,902.5,1287.3,1433.2,1181.5,1097.3,-1.0,7.0,-2.0,6327.0,10225.0,-8941.0,-6626.0,1.0,-1.0,2.0,-2.0,11.0,2.0,7753.0,6593.0,9765.0,8337.0,2.0,1.0,0.0,1.0
2022-05-13 14:21:54.757325-07:00,2032.4,546.6,1073.8,1329.6,973.1,1124.4,1187.6,1267.6,3432.2,3439.5,1471.8,1306.1,1297.2,3445.5,995.3,1541.3,3420.1,3433.4,767.8,1425.9,1047.0,608.4,1225.7,1708.1,3440.7,3439.5,648.1,899.1,1285.5,1437.8,1210.6,1100.8,0.0,4.0,0.0,6324.0,10226.0,-8943.0,-6626.0,15.0,-10.0,1.0,-5.0,10.0,-1.0,7753.0,6593.0,9765.0,8337.0,10.0,-8.0,-1.0,1.0
2022-05-13 14:21:54.758397-07:00,2032.4,546.6,1073.8,1329.6,976.5,1116.5,1192.0,1267.6,3432.2,3439.5,1471.8,1306.1,1304.3,3441.9,991.9,1545.0,3433.4,3439.5,764.5,1428.6,1047.0,608.4,1225.7,1708.1,3440.7,3441.9,640.0,907.6,1285.5,1437.8,1210.6,1100.8,4.0,0.0,0.0,6321.0,10225.0,-8945.0,-6626.0,1.0,-11.0,6.0,1.0,11.0,3.0,7752.0,6594.0,9766.0,8336.0,1.0,-3.0,0.0,1.0
2022-05-13 14:21:54.848124-07:00,2040.4,536.2,1067.7,1331.4,976.5,1116.5,1192.0,1267.6,3445.5,3439.5,1471.8,1308.8,1304.3,3441.9,991.9,1545.0,3433.4,3439.5,764.5,1428.6,1041.8,610.0,1228.4,1717.7,3440.7,3441.9,640.0,907.6,1281.9,1431.4,1178.8,1099.9,0.0,-1.0,3.0,6320.0,10225.0,-8946.0,-6626.0,25.0,-8.0,1.0,-1.0,5.0,7.0,7752.0,6594.0,9766.0,8336.0,13.0,5.0,-1.0,1.0
