Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 14:26:34.384341-07:00,1146.3,667.6,925.4,895.7,841.9,718.4,1536.6,1177.0,3462.5,3464.9,1066.9,892.4,1353.1,3461.3,1208.0,1146.3,3468.6,3472.2,1009.9,1382.1,1860.6,2617.8,1052.2,3236.4,3471.0,3473.4,606.8,746.3,1406.7,918.6,852.8,745.5,-4.0,-3.0,-2.0,4329.0,-1762.0,12662.0,-9287.0,-3.0,-6.0,0.0,0.0,3.0,-10.0,7507.0,-14486.0,1458.0,334.0,2.0,-4.0,1.0,1.0
2022-05-13 14:26:34.430182-07:00,1138.4,680.7,933.0,894.9,841.9,718.4,1536.6,1177.0,3458.9,3474.6,1061.7,892.4,1353.1,3461.3,1208.0,1146.3,3468.6,3472.2,1009.9,1382.1,1873.2,2609.1,1056.5,3237.6,3471.0,3473.4,606.8,746.3,1404.0,933.0,850.3,742.2,-6.0,-7.0,4.0,4329.0,-1762.0,12662.0,-9287.0,-1.0,-3.0,3.0,-3.0,4.0,-7.0,7507.0,-14486.0,1458.0,334.0,-2.0,-6.0,-1.0,1.0
2022-05-13 14:26:34.476776-07:00,1138.4,680.7,933.0,894.9,841.1,715.1,1530.1,1177.0,3458.9,3474.6,1061.7,892.4,1351.2,3462.5,1209.7,1150.6,3477.1,3466.1,1008.2,1381.2,1873.2,2609.1,1056.5,3237.6,3467.4,3468.6,624.6,746.3,1404.0,933.0,850.3,742.2,-4.0,-4.0,2.0,4329.0,-1762.0,12662.0,-9287.0,-4.0,6.0,5.0,0.0,4.0,-8.0,7507.0,-14486.0,1458.0,334.0,0.0,1.0,1.0,1.0
2022-05-13 14:26:34.521836-07:00,1148.9,678.2,940.7,893.2,841.1,715.1,1530.1,1177.0,3467.4,3462.5,1061.7,895.7,1351.2,3462.5,1209.7,1150.6,3477.1,3466.1,1008.2,1381.2,1864.5,2609.1,1052.2,3252.9,3467.4,3468.6,624.6,746.3,1409.4,919.4,857.0,735.6,1.0,-7.0,1.0,4328.0,-1762.0,12664.0,-9286.0,-8.0,13.0,0.0,4.0,2.0,-7.0,7506.0,-14487.0,1458.0,334.0,-5.0,2.0,5.0,1.0
2022-05-13 14:26:34.566203-07:00,1148.9,678.2,940.7,893.2,842.8,727.4,1520.8,1166.5,3468.6,3462.5,1061.7,895.7,1361.2,3471.0,1220.4,1151.5,3466.1,3478.3,1008.2,1383.0,1864.5,2609.1,1052.2,3239.9,3468.6,3473.4,610.8,751.3,1409.4,919.4,857.0,742.2,1.0,-4.0,0.0,4326.0,-1760.0,12664.0,-9286.0,-9.0,9.0,2.0,3.0,5.0,-11.0,7506.0,-14487.0,1458.0,334.0,-2.0,2.0,3.0,1.0
2022-05-13 14:26:34.611949-07:00,1148.9,668.4,937.3,894.9,842.8,727.4,1520.8,1180.6,3468.6,3468.6,1066.0,890.7,1361.2,3471.0,1220.4,1147.1,3474.6,3478.3,1008.2,1383.0,1864.5,2612.3,1053.9,3239.9,3483.2,3473.4,610.8,751.3,1404.0,916.0,856.2,742.2,-10.0,-4.0,-1.0,4325.0,-1760.0,12665.0,-9287.0,3.0,-6.0,0.0,0.0,2.0,-7.0,7506.0,-14487.0,1458.0,334.0,8.0,0.0,0.0,1.0
2022-05-13 14:26:34.700067-07:00,1139.2,668.4,937.3,894.9,838.6,725.8,1525.5,1180.6,3466.1,3468.6,1066.0,890.7,1352.1,3471.0,1210.6,1147.1,3474.6,3469.8,1002.2,1375.7,1864.5,2612.3,1053.9,3238.7,3483.2,3475.9,614.9,745.5,1404.0,916.0,856.2,737.3,-6.0,-6.0,3.0,4325.0,-1760.0,12665.0,-9287.0,4.0,0.0,1.0,-6.0,3.0,-6.0,7506.0,-14487.0,1458.0,334.0,1.0,-3.0,-1.0,1.0
2022-05-13 14:26:34.834766-07:00,1139.2,668.4,931.3,896.6,838.6,725.8,1525.5,1174.4,3466.1,3466.1,1061.7,897.4,1352.1,3471.0,1210.6,1152.4,3467.4,3469.8,1002.2,1375.7,1850.8,2625.4,1051.3,3238.7,3473.4,3475.9,614.9,745.5,1407.6,923.7,860.4,737.3,0.0,-7.0,0.0,4325.0,-1760.0,12665.0,-9287.0,-7.0,6.0,2.0,3.0,5.0,-11.0,7506.0,-14487.0,1458.0,334.0,-5.0,1.0,0.0,1.0
2022-05-13 14:26:34.882136-07:00,1146.3,668.4,931.3,896.6,838.6,729.0,1521.8,1174.4,3469.8,3466.1,1061.7,897.4,1363.0,3473.4,1209.7,1152.4,3467.4,3472.2,1008.2,1373.0,1850.8,2625.4,1051.3,3241.1,3473.4,3472.2,608.4,738.1,1407.6,923.7,860.4,738.9,-1.0,-8.0,-1.0,4325.0,-1760.0,12665.0,-9286.0,-3.0,1.0,1.0,3.0,3.0,-8.0,7505.0,-14487.0,1458.0,334.0,0.0,-5.0,-2.0,1.0
2022-05-13 14:26:34.883733-07:00,1146.3,676.6,935.6,888.2,838.6,729.0,1521.8,1182.3,3469.8,3458.9,1062.5,894.9,1363.0,3473.4,1209.7,1150.6,3467.4,3472.2,1008.2,1373.0,1866.4,2610.2,1053.0,3241.1,3472.2,3472.2,608.4,738.1,1412.2,918.6,853.7,738.9,-1.0,-5.0,4.0,4325.0,-1760.0,12665.0,-9286.0,-4.0,1.0,2.0,3.0,4.0,-10.0,7505.0,-14487.0,1458.0,334.0,-2.0,-1.0,2.0,1.0
2022-05-13 14:26:34.884421-07:00,1139.2,668.4,935.6,888.2,846.1,717.5,1529.2,1182.3,3471.0,3467.4,1062.5,894.9,1363.9,3467.4,1208.9,1150.6,3467.4,3483.2,1003.0,1381.2,1866.4,2610.2,1048.7,3228.1,3472.2,3477.1,615.7,744.7,1412.2,918.6,857.9,736.5,-2.0,-2.0,0.0,4323.0,-1758.0,12666.0,-9286.0,-12.0,21.0,4.0,1.0,6.0,-13.0,7505.0,-14487.0,1458.0,334.0,-9.0,5.0,5.0,1.0
