Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 14:40:19.464369-07:00,2018.4,559.4,1105.1,1325.9,976.5,1192.9,1364.8,1383.0,3439.5,3446.7,1530.1,1331.4,1325.0,3440.7,1054.8,1454.3,3428.6,3441.9,775.3,1404.0,920.3,569.0,1240.8,1745.4,3450.4,3444.3,692.9,916.0,1373.0,1407.6,1223.9,1040.1,7.0,3.0,-5.0,9516.0,12861.0,-2440.0,-2551.0,-2.0,4.0,-16.0,3.0,4.0,1.0,10207.0,9250.0,7227.0,5144.0,2.0,12.0,-8.0,1.0
2022-05-13 14:40:19.554728-07:00,2018.4,559.4,1104.3,1324.1,976.5,1200.0,1365.7,1379.4,3439.5,3446.7,1528.3,1336.8,1325.0,3433.4,1053.0,1456.2,3438.2,3433.4,777.8,1404.0,918.6,561.8,1240.8,1745.4,3440.7,3454.0,689.7,916.0,1363.0,1415.8,1223.9,1040.1,3.0,-4.0,-3.0,9515.0,12862.0,-2439.0,-2553.0,19.0,-15.0,3.0,8.0,-2.0,6.0,10206.0,9250.0,7227.0,5145.0,11.0,-4.0,-2.0,1.0
2022-05-13 14:40:19.556606-07:00,2023.4,563.4,1108.6,1324.1,975.6,1200.0,1365.7,1379.4,3437.0,3427.4,1530.1,1336.8,1328.7,3433.4,1053.0,1456.2,3438.2,3433.4,777.8,1401.2,918.6,566.6,1247.1,1742.6,3440.7,3454.0,689.7,911.8,1363.0,1419.5,1224.8,1037.5,1.0,7.0,4.0,9510.0,12864.0,-2445.0,-2560.0,-3.0,-29.0,-6.0,7.0,6.0,13.0,10206.0,9253.0,7226.0,5143.0,-2.0,-12.0,-4.0,1.0
2022-05-13 14:40:19.643136-07:00,2023.4,563.4,1108.6,1324.1,975.6,1198.2,1387.5,1383.0,3437.0,3427.4,1530.1,1336.8,1328.7,3443.1,1052.2,1450.6,3438.2,3429.8,771.1,1401.2,920.3,566.6,1247.1,1742.6,3444.3,3444.3,689.7,911.8,1362.1,1419.5,1224.8,1037.5,2.0,-3.0,12.0,9515.0,12858.0,-2449.0,-2563.0,-5.0,4.0,18.0,11.0,-8.0,16.0,10210.0,9252.0,7220.0,5144.0,-3.0,-3.0,8.0,1.0
2022-05-13 14:40:19.689399-07:00,2017.4,559.4,1102.5,1324.1,973.1,1198.2,1387.5,1383.0,3439.5,3439.5,1526.4,1336.8,1323.2,3443.1,1052.2,1450.6,3438.2,3429.8,771.1,1397.6,920.3,565.8,1248.8,1742.6,3444.3,3444.3,689.7,913.5,1362.1,1406.7,1229.3,1046.1,6.0,19.0,8.0,9505.0,12866.0,-2452.0,-2562.0,19.0,-2.0,-27.0,11.0,10.0,10.0,10205.0,9257.0,7224.0,5140.0,20.0,9.0,-15.0,1.0
2022-05-13 14:40:19.691470-07:00,2017.4,559.4,1102.5,1326.8,973.1,1186.7,1353.1,1387.5,3439.5,3439.5,1526.4,1339.5,1323.2,3444.3,1050.4,1461.7,3439.5,3423.7,771.1,1397.6,916.0,565.8,1248.8,1742.6,3438.2,3443.1,682.3,913.5,1360.3,1406.7,1229.3,1046.1,2.0,-12.0,4.0,9507.0,12866.0,-2441.0,-2561.0,32.0,19.0,3.0,10.0,-5.0,14.0,10205.0,9254.0,7225.0,5144.0,17.0,15.0,-3.0,1.0
2022-05-13 14:40:19.912950-07:00,2021.4,560.2,1106.0,1326.8,981.6,1186.7,1353.1,1387.5,3437.0,3434.6,1528.3,1339.5,1324.1,3444.3,1050.4,1461.7,3439.5,3423.7,771.1,1412.2,916.0,569.8,1248.8,1751.2,3438.2,3443.1,682.3,916.0,1360.3,1413.1,1239.1,1041.8,9.0,12.0,-1.0,9493.0,12877.0,-2443.0,-2557.0,-1.0,9.0,-16.0,8.0,7.0,8.0,10196.0,9259.0,7231.0,5144.0,4.0,6.0,-8.0,1.0
2022-05-13 14:40:19.915142-07:00,2021.4,560.2,1106.0,1325.9,973.1,1198.2,1360.3,1383.0,3437.0,3434.6,1528.3,1333.2,1324.1,3443.1,1050.4,1457.1,3438.2,3439.5,771.1,1407.6,911.8,569.8,1248.8,1751.2,3441.9,3435.8,688.9,911.8,1360.3,1413.1,1239.1,1041.8,4.0,-1.0,2.0,9494.0,12876.0,-2442.0,-2557.0,0.0,10.0,19.0,6.0,-2.0,6.0,10197.0,9259.0,7228.0,5146.0,1.0,-7.0,1.0,1.0
2022-05-13 14:40:19.916696-07:00,2017.4,557.8,1111.2,1324.1,973.1,1198.2,1360.3,1383.0,3440.7,3439.5,1528.3,1338.6,1324.1,3443.1,1050.4,1457.1,3438.2,3439.5,771.1,1407.6,915.2,557.8,1250.6,1748.3,3441.9,3435.8,688.9,911.8,1356.7,1414.0,1224.8,1044.4,1.0,13.0,0.0,9494.0,12876.0,-2446.0,-2556.0,18.0,-35.0,-26.0,3.0,10.0,13.0,10198.0,9258.0,7227.0,5147.0,5.0,-7.0,-11.0,1.0
2022-05-13 14:40:20.003971-07:00,2017.4,557.8,1111.2,1324.1,984.2,1193.8,1359.4,1388.5,3440.7,3439.5,1528.3,1338.6,1324.1,3437.0,1048.7,1458.9,3440.7,3437.0,776.9,1398.5,915.2,557.8,1250.6,1748.3,3438.2,3440.7,679.1,913.5,1356.7,1414.0,1224.8,1044.4,-1.0,-9.0,8.0,9492.0,12876.0,-2442.0,-2567.0,-20.0,4.0,-9.0,4.0,-1.0,11.0,10201.0,9254.0,7228.0,5146.0,-12.0,-4.0,-4.0,1.0
2022-05-13 14:40:20.047930-07:00,2017.4,558.6,1113.0,1332.3,984.2,1193.8,1359.4,1388.5,3441.9,3449.1,1527.3,1342.2,1324.1,3437.0,1048.7,1458.9,3440.7,3437.0,776.9,1398.5,915.2,561.8,1252.4,1751.2,3438.2,3440.7,679.1,913.5,1362.1,1411.3,1229.3,1043.5,2.0,20.0,-1.0,9492.0,12875.0,-2449.0,-2562.0,38.0,-22.0,1.0,9.0,3.0,13.0,10198.0,9258.0,7229.0,5145.0,30.0,2.0,-6.0,1.0
2022-05-13 14:40:20.363423-07:00,2017.4,558.6,1113.0,1332.3,984.2,1194.7,1360.3,1373.9,3441.9,3449.1,1527.3,1342.2,1317.8,3437.0,1056.5,1458.0,3434.6,3441.9,772.8,1396.7,915.2,561.8,1252.4,1751.2,3444.3,3439.5,688.9,913.5,1362.1,1411.3,1229.3,1043.5,6.0,-8.0,12.0,9489.0,12877.0,-2444.0,-2572.0,-32.0,2.0,-37.0,10.0,3.0,10.0,10201.0,9255.0,7231.0,5142.0,-24.0,-4.0,-19.0,1.0
