Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 14:40:19.518134-07:00,1071.2,690.5,1012.5,917.7,770.3,755.4,1544.1,1141.0,3464.9,3463.7,1099.0,926.2,1494.9,3475.9,1232.8,1137.5,3478.3,3472.2,1017.6,1324.1,1796.5,2438.8,1067.7,3378.0,3467.4,3467.4,670.1,786.1,1588.9,922.0,847.8,760.4,10.0,-2.0,-4.0,9292.0,-9553.0,8408.0,-4487.0,-2.0,8.0,-8.0,8.0,4.0,-6.0,7602.0,-14438.0,1347.0,601.0,-6.0,6.0,-1.0,1.0
2022-05-13 14:40:19.519091-07:00,1065.1,697.0,1011.6,917.7,771.1,755.4,1544.1,1141.0,3472.2,3464.9,1101.7,926.2,1491.2,3475.9,1232.8,1137.5,3478.3,3472.2,1017.6,1328.7,1796.5,2439.8,1076.4,3367.2,3467.4,3467.4,670.1,790.2,1588.9,918.6,842.8,765.3,9.0,-5.0,0.0,9292.0,-9553.0,8408.0,-4486.0,-9.0,-10.0,-3.0,6.0,1.0,-3.0,7601.0,-14439.0,1347.0,601.0,-4.0,-6.0,-4.0,1.0
2022-05-13 14:40:19.520115-07:00,1065.1,697.0,1011.6,910.1,773.6,751.3,1532.0,1135.7,3472.2,3464.9,1101.7,916.0,1494.0,3468.6,1239.1,1140.1,3480.7,3473.4,1013.3,1329.6,1792.6,2439.8,1076.4,3367.2,3467.4,3466.1,663.6,786.9,1600.2,918.6,842.8,765.3,5.0,-2.0,6.0,9293.0,-9554.0,8408.0,-4486.0,-9.0,-6.0,-4.0,4.0,-1.0,6.0,7602.0,-14439.0,1346.0,603.0,-6.0,-6.0,-3.0,1.0
2022-05-13 14:40:19.653129-07:00,1072.1,693.8,1012.5,912.7,773.6,751.3,1532.0,1135.7,3472.2,3471.0,1105.1,918.6,1494.0,3468.6,1239.1,1140.1,3480.7,3473.4,1013.3,1329.6,1807.1,2433.5,1071.2,3391.2,3467.4,3466.1,663.6,786.9,1592.7,909.3,847.8,763.7,7.0,0.0,7.0,9292.0,-9555.0,8408.0,-4485.0,-3.0,-1.0,8.0,3.0,0.0,0.0,7601.0,-14439.0,1346.0,603.0,-3.0,1.0,2.0,1.0
2022-05-13 14:40:19.742097-07:00,1072.1,693.8,1012.5,912.7,774.5,753.8,1533.8,1148.0,3472.2,3471.0,1105.1,918.6,1494.0,3468.6,1226.6,1141.0,3478.3,3478.3,1015.1,1335.0,1807.1,2433.5,1071.2,3391.2,3480.7,3479.5,671.7,787.7,1592.7,909.3,847.8,763.7,9.0,-6.0,1.0,9288.0,-9556.0,8411.0,-4485.0,-13.0,17.0,-1.0,4.0,-1.0,-1.0,7595.0,-14442.0,1346.0,603.0,-17.0,4.0,6.0,1.0
2022-05-13 14:40:19.743738-07:00,1070.3,690.5,1003.0,909.3,774.5,753.8,1533.8,1148.0,3466.1,3467.4,1095.6,918.6,1494.0,3468.6,1226.6,1141.0,3478.3,3478.3,1015.1,1335.0,1805.2,2435.6,1065.1,3368.4,3480.7,3479.5,671.7,787.7,1594.6,905.0,851.1,762.9,5.0,-1.0,-5.0,9284.0,-9554.0,8415.0,-4489.0,-2.0,7.0,8.0,5.0,4.0,-3.0,7594.0,-14442.0,1346.0,603.0,-5.0,2.0,6.0,1.0
2022-05-13 14:40:19.745349-07:00,1070.3,690.5,1003.0,909.3,773.6,743.0,1544.1,1141.9,3466.1,3467.4,1095.6,918.6,1493.0,3460.1,1231.9,1140.1,3480.7,3467.4,1014.2,1330.5,1805.2,2435.6,1065.1,3368.4,3478.3,3475.9,677.4,790.2,1594.6,905.0,851.1,762.9,9.0,-2.0,5.0,9281.0,-9557.0,8416.0,-4486.0,-7.0,-6.0,3.0,5.0,0.0,-4.0,7592.0,-14444.0,1346.0,603.0,-1.0,-3.0,2.0,1.0
2022-05-13 14:40:19.746376-07:00,1070.3,685.6,1015.1,914.4,773.6,743.0,1544.1,1154.2,3467.4,3478.3,1096.4,918.6,1493.0,3460.1,1231.9,1140.1,3472.2,3467.4,1014.2,1330.5,1800.3,2436.7,1070.3,3367.2,3478.3,3475.9,677.4,790.2,1594.6,915.2,850.3,752.9,7.0,-2.0,-3.0,9283.0,-9556.0,8416.0,-4487.0,-1.0,-5.0,-2.0,3.0,0.0,-1.0,7592.0,-14444.0,1346.0,603.0,1.0,2.0,1.0,1.0
2022-05-13 14:40:19.876635-07:00,1086.0,685.6,1015.1,914.4,781.9,744.7,1548.7,1154.2,3477.1,3478.3,1096.4,918.6,1488.4,3475.9,1223.9,1140.1,3472.2,3488.0,1015.1,1329.6,1800.3,2436.7,1070.3,3364.8,3478.3,3481.9,675.8,785.2,1594.6,915.2,850.3,738.1,12.0,-1.0,2.0,9282.0,-9556.0,8416.0,-4487.0,-5.0,2.0,0.0,10.0,2.0,0.0,7591.0,-14444.0,1346.0,603.0,-6.0,-9.0,-1.0,1.0
2022-05-13 14:40:19.878978-07:00,1086.0,691.3,1014.2,909.3,781.9,744.7,1548.7,1149.8,3477.1,3469.8,1099.9,920.3,1488.4,3475.9,1223.9,1138.4,3477.1,3488.0,1015.1,1329.6,1801.3,2435.6,1067.7,3364.8,3469.8,3481.9,675.8,785.2,1593.6,922.8,852.0,738.1,7.0,-4.0,1.0,9282.0,-9556.0,8416.0,-4487.0,5.0,7.0,5.0,7.0,-1.0,0.0,7591.0,-14444.0,1346.0,603.0,3.0,-1.0,3.0,1.0
