Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 14:44:36.413143-07:00,2109.8,620.5,1172.6,1347.6,933.0,1220.4,1259.6,1332.3,3438.2,3439.5,1695.7,1391.2,1437.8,3439.5,1129.6,1467.2,3440.7,3449.1,748.0,1370.3,927.9,553.8,1401.2,1798.4,3444.3,3437.0,785.2,936.4,1305.2,1379.4,1200.0,986.7,-6.0,-13.0,8.0,7686.0,12658.0,-4965.0,-4946.0,-21.0,7.0,-1.0,0.0,-11.0,13.0,10961.0,11094.0,4701.0,1770.0,-6.0,-4.0,5.0,1.0
2022-05-13 14:44:36.458081-07:00,2109.8,627.8,1171.8,1336.8,933.0,1220.4,1259.6,1330.5,3438.2,3433.4,1701.4,1389.4,1437.8,3439.5,1129.6,1470.9,3439.5,3449.1,748.0,1370.3,927.9,550.6,1397.6,1798.4,3428.6,3437.0,785.2,936.4,1292.7,1383.0,1196.5,986.7,-5.0,0.0,8.0,7685.0,12659.0,-4966.0,-4946.0,5.0,1.0,0.0,0.0,1.0,12.0,10963.0,11092.0,4701.0,1770.0,-19.0,0.0,8.0,1.0
2022-05-13 14:44:36.503785-07:00,2107.8,627.8,1171.8,1336.8,927.9,1220.4,1254.2,1330.5,3439.5,3433.4,1701.4,1389.4,1425.0,3440.7,1122.6,1470.9,3439.5,3435.8,744.7,1363.9,927.9,550.6,1397.6,1800.3,3428.6,3440.7,783.6,933.0,1292.7,1383.0,1196.5,988.5,9.0,0.0,20.0,7698.0,12654.0,-4960.0,-4944.0,-32.0,45.0,12.0,-1.0,-4.0,1.0,10970.0,11086.0,4695.0,1779.0,-22.0,15.0,22.0,1.0
2022-05-13 14:44:36.548557-07:00,2107.8,627.8,1180.6,1344.0,927.9,1220.4,1267.6,1324.1,3439.5,3435.8,1697.6,1391.2,1425.0,3440.7,1132.2,1470.0,3437.0,3438.2,744.7,1363.9,924.5,546.6,1399.4,1800.3,3441.9,3438.2,783.6,933.0,1296.3,1384.8,1199.1,988.5,-5.0,0.0,4.0,7726.0,12657.0,-4935.0,-4918.0,-36.0,89.0,-10.0,-2.0,0.0,15.0,10972.0,11081.0,4695.0,1791.0,-15.0,25.0,13.0,1.0
2022-05-13 14:44:36.637024-07:00,2108.8,617.3,1180.6,1344.0,921.1,1218.6,1267.6,1324.1,3439.5,3449.1,1697.6,1391.2,1435.0,3441.9,1132.2,1470.0,3437.0,3438.2,748.8,1369.4,924.5,546.6,1402.1,1794.5,3441.9,3438.2,779.4,933.0,1296.3,1384.8,1198.2,981.6,10.0,6.0,19.0,7754.0,12657.0,-4910.0,-4900.0,-123.0,97.0,-12.0,-6.0,5.0,-4.0,10983.0,11069.0,4692.0,1806.0,-129.0,5.0,35.0,1.0
2022-05-13 14:44:36.681951-07:00,2108.8,617.3,1184.1,1339.5,921.1,1218.6,1260.4,1324.1,3439.5,3449.1,1695.7,1393.9,1435.0,3441.9,1125.2,1462.6,3434.6,3437.0,748.8,1369.4,925.4,546.6,1402.1,1794.5,3435.8,3446.7,779.4,933.0,1296.3,1393.0,1198.2,981.6,-24.0,-12.0,0.0,7864.0,12632.0,-4815.0,-4884.0,-317.0,216.0,-63.0,-9.0,-9.0,17.0,11053.0,11000.0,4671.0,1859.0,-251.0,32.0,57.0,1.0
2022-05-13 14:44:36.811961-07:00,2112.8,618.9,1184.1,1339.5,915.2,1223.0,1260.4,1324.1,3441.9,3441.9,1695.7,1393.9,1435.0,3445.5,1125.2,1462.6,3434.6,3437.0,745.5,1364.8,925.4,546.6,1395.7,1794.5,3435.8,3446.7,783.6,936.4,1296.3,1393.0,1199.1,986.7,19.0,-13.0,20.0,7978.0,12595.0,-4740.0,-4866.0,-231.0,171.0,27.0,-3.0,-11.0,-10.0,11092.0,10962.0,4652.0,1893.0,-90.0,9.0,63.0,1.0
2022-05-13 14:44:36.819994-07:00,2112.8,618.9,1185.9,1338.6,915.2,1223.0,1256.0,1316.9,3441.9,3441.9,1699.5,1400.3,1435.0,3445.5,1126.1,1470.9,3431.0,3438.2,745.5,1364.8,925.4,548.2,1395.7,1794.5,3435.8,3440.7,783.6,936.4,1288.2,1382.1,1199.1,986.7,-15.0,-7.0,6.0,8089.0,12581.0,-4667.0,-4789.0,-195.0,297.0,43.0,17.0,-11.0,29.0,11112.0,10944.0,4635.0,1928.0,-75.0,40.0,58.0,1.0
2022-05-13 14:44:36.820685-07:00,2134.1,623.0,1185.9,1338.6,915.2,1218.6,1256.0,1316.9,3437.0,3428.6,1699.5,1400.3,1438.7,3439.5,1126.1,1470.9,3431.0,3438.2,741.4,1371.2,925.4,548.2,1401.2,1794.5,3435.8,3440.7,785.2,939.8,1288.2,1382.1,1192.9,983.3,-6.0,0.0,4.0,8164.0,12573.0,-4623.0,-4725.0,-80.0,174.0,50.0,5.0,0.0,12.0,11118.0,10933.0,4631.0,1961.0,-1.0,53.0,29.0,1.0
2022-05-13 14:44:36.918710-07:00,2134.1,623.0,1177.9,1338.6,915.2,1220.4,1279.2,1332.3,3437.0,3428.6,1692.9,1395.7,1438.7,3441.9,1134.9,1469.0,3437.0,3435.8,746.3,1371.2,927.1,552.2,1401.2,1794.5,3449.1,3449.1,776.9,939.8,1294.5,1386.6,1192.9,983.3,-1.0,-5.0,-6.0,8196.0,12579.0,-4606.0,-4671.0,-17.0,113.0,49.0,1.0,-5.0,7.0,11110.0,10935.0,4638.0,1983.0,-4.0,41.0,25.0,1.0
