Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 14:54:36.397151-07:00,2143.3,565.8,1118.2,1310.6,918.6,1160.3,1281.9,1334.1,3439.5,3441.9,1671.9,1363.9,1322.3,3437.0,1079.9,1462.6,3437.0,3441.9,738.9,1373.9,959.4,554.6,1266.7,1702.4,3438.2,3440.7,686.4,935.6,1283.7,1410.3,1245.3,985.9,1.0,-6.0,4.0,7100.0,10510.0,-8274.0,-6253.0,14.0,106.0,-82.0,13.0,-6.0,9.0,10465.0,10517.0,5898.0,3676.0,12.0,62.0,-28.0,1.0
2022-05-13 14:54:36.399616-07:00,2129.0,567.4,1119.1,1305.2,918.6,1160.3,1281.9,1334.1,3439.5,3437.0,1672.9,1362.1,1322.3,3437.0,1079.9,1462.6,3437.0,3441.9,738.9,1373.9,964.5,558.6,1274.7,1700.5,3438.2,3440.7,686.4,935.6,1280.1,1407.6,1246.2,984.2,4.0,10.0,13.0,7102.0,10546.0,-8245.0,-6229.0,6.0,123.0,-53.0,6.0,6.0,2.0,10451.0,10514.0,5925.0,3685.0,5.0,67.0,-19.0,1.0
2022-05-13 14:54:36.400133-07:00,2129.0,567.4,1119.1,1305.2,918.6,1156.8,1287.3,1330.5,3439.5,3437.0,1672.9,1362.1,1320.5,3432.2,1080.8,1465.4,3441.9,3435.8,738.1,1373.9,964.5,558.6,1274.7,1700.5,3447.9,3443.1,683.1,936.4,1280.1,1407.6,1246.2,984.2,1.0,-15.0,-8.0,7126.0,10580.0,-8203.0,-6200.0,54.0,152.0,-43.0,3.0,-6.0,-1.0,10437.0,10509.0,5950.0,3696.0,46.0,65.0,-18.0,1.0
2022-05-13 14:54:36.440423-07:00,2127.0,569.8,1126.1,1307.9,918.6,1156.8,1287.3,1330.5,3440.7,3435.8,1668.2,1363.9,1320.5,3432.2,1080.8,1465.4,3441.9,3435.8,738.1,1373.9,967.1,559.4,1270.3,1700.5,3447.9,3443.1,683.1,936.4,1281.9,1405.8,1237.3,983.3,0.0,-13.0,-12.0,7129.0,10619.0,-8177.0,-6163.0,41.0,72.0,-34.0,9.0,-3.0,-1.0,10417.0,10513.0,5975.0,3701.0,37.0,51.0,-13.0,1.0
2022-05-13 14:54:36.576675-07:00,2127.0,569.8,1126.1,1307.9,922.0,1159.4,1286.4,1336.8,3440.7,3435.8,1668.2,1363.9,1325.9,3432.2,1072.9,1455.2,3441.9,3439.5,735.6,1374.8,967.1,559.4,1270.3,1700.5,3451.6,3449.1,680.7,946.6,1281.9,1405.8,1237.3,983.3,-7.0,-6.0,-21.0,7125.0,10645.0,-8167.0,-6136.0,18.0,45.0,-4.0,0.0,-3.0,-7.0,10403.0,10519.0,5988.0,3704.0,23.0,14.0,-3.0,1.0
2022-05-13 14:54:36.578377-07:00,2134.1,564.2,1119.1,1302.5,922.0,1159.4,1286.4,1334.1,3440.7,3439.5,1664.4,1370.3,1325.9,3432.2,1072.9,1462.6,3443.1,3439.5,735.6,1374.8,962.8,558.6,1266.7,1703.3,3445.5,3449.1,680.7,946.6,1275.6,1408.5,1243.5,991.9,-4.0,-4.0,-15.0,7114.0,10653.0,-8171.0,-6129.0,12.0,-34.0,7.0,2.0,-1.0,-7.0,10402.0,10521.0,5988.0,3701.0,7.0,-18.0,0.0,1.0
2022-05-13 14:54:36.579097-07:00,2132.1,564.2,1119.1,1302.5,922.0,1155.0,1290.0,1334.1,3437.0,3439.5,1664.4,1370.3,1325.0,3443.1,1077.3,1462.6,3443.1,3440.7,739.7,1375.7,962.8,558.6,1266.7,1699.5,3445.5,3441.9,679.1,938.1,1275.6,1408.5,1243.5,982.5,0.0,0.0,6.0,7109.0,10644.0,-8182.0,-6137.0,-27.0,-22.0,25.0,5.0,-2.0,-2.0,10409.0,10522.0,5977.0,3696.0,-21.0,-32.0,14.0,1.0
2022-05-13 14:54:36.666705-07:00,2132.1,563.4,1116.5,1314.2,922.0,1155.0,1290.0,1328.7,3437.0,3440.7,1664.4,1363.0,1325.0,3443.1,1077.3,1465.4,3433.4,3440.7,739.7,1375.7,963.7,556.2,1267.6,1699.5,3437.0,3441.9,679.1,938.1,1278.3,1405.8,1239.9,982.5,-3.0,3.0,2.0,7110.0,10633.0,-8190.0,-6144.0,23.0,-54.0,17.0,8.0,0.0,8.0,10414.0,10522.0,5968.0,3692.0,9.0,-21.0,7.0,1.0
2022-05-13 14:54:36.668246-07:00,2125.0,563.4,1116.5,1314.2,918.6,1168.2,1278.3,1328.7,3454.0,3440.7,1664.4,1363.0,1316.9,3444.3,1074.7,1465.4,3433.4,3438.2,734.0,1383.0,963.7,556.2,1267.6,1699.5,3437.0,3444.3,683.1,934.7,1278.3,1405.8,1239.9,985.0,-2.0,2.0,17.0,7104.0,10623.0,-8202.0,-6152.0,-20.0,-9.0,16.0,7.0,-1.0,7.0,10418.0,10524.0,5963.0,3688.0,-13.0,-19.0,7.0,1.0
2022-05-13 14:54:36.842702-07:00,2125.0,571.4,1127.9,1311.5,918.6,1168.2,1278.3,1327.8,3454.0,3444.3,1671.9,1362.1,1316.9,3444.3,1074.7,1462.6,3444.3,3438.2,734.0,1383.0,956.8,557.0,1271.2,1699.5,3441.9,3444.3,683.1,934.7,1272.1,1404.9,1246.2,985.0,-2.0,3.0,6.0,7105.0,10622.0,-8204.0,-6151.0,43.0,5.0,-4.0,5.0,-2.0,3.0,10418.0,10525.0,5962.0,3686.0,25.0,8.0,-4.0,1.0
2022-05-13 14:54:36.843809-07:00,2129.0,571.4,1127.9,1311.5,926.2,1158.6,1279.2,1327.8,3443.1,3444.3,1671.9,1362.1,1317.8,3437.0,1080.8,1462.6,3444.3,3449.1,738.9,1363.9,956.8,557.0,1271.2,1695.7,3441.9,3440.7,685.6,925.4,1272.1,1404.9,1246.2,983.3,-3.0,-1.0,-4.0,7098.0,10627.0,-8208.0,-6145.0,5.0,3.0,5.0,6.0,-1.0,2.0,10413.0,10530.0,5964.0,3683.0,3.0,2.0,-1.0,1.0
2022-05-13 14:54:36.943156-07:00,2129.0,561.0,1122.6,1306.1,926.2,1158.6,1279.2,1344.9,3443.1,3445.5,1670.1,1367.6,1317.8,3437.0,1079.0,1456.2,3439.5,3439.5,738.9,1363.9,960.2,560.2,1270.3,1695.7,3454.0,3447.9,685.6,925.4,1277.4,1409.4,1243.5,983.3,-2.0,-2.0,-4.0,7095.0,10627.0,-8211.0,-6145.0,23.0,-28.0,12.0,4.0,0.0,1.0,10412.0,10531.0,5964.0,3682.0,16.0,-9.0,0.0,1.0
2022-05-13 14:54:36.944140-07:00,2129.0,563.4,1122.6,1306.1,925.4,1158.6,1279.2,1344.9,3433.4,3443.1,1670.1,1367.6,1313.3,3437.0,1079.0,1456.2,3439.5,3439.5,738.9,1363.9,960.2,560.2,1272.1,1694.8,3454.0,3447.9,676.6,933.0,1277.4,1409.4,1239.9,979.9,-3.0,0.0,4.0,7087.0,10623.0,-8218.0,-6150.0,-19.0,-17.0,15.0,4.0,0.0,2.0,10411.0,10534.0,5963.0,3679.0,-12.0,-18.0,6.0,1.0
2022-05-13 14:54:37.026110-07:00,2129.0,563.4,1120.0,1314.2,925.4,1158.6,1281.9,1337.7,3433.4,3443.1,1671.9,1360.3,1313.3,3437.0,1076.4,1462.6,3439.5,3435.8,738.9,1363.9,960.2,558.6,1272.1,1694.8,3440.7,3445.5,676.6,933.0,1279.2,1405.8,1239.9,979.9,0.0,7.0,3.0,7085.0,10617.0,-8226.0,-6152.0,25.0,-23.0,4.0,7.0,-1.0,4.0,10413.0,10535.0,5959.0,3675.0,20.0,-10.0,2.0,1.0
2022-05-13 14:54:37.027573-07:00,2123.0,565.0,1120.0,1314.2,928.8,1156.8,1281.9,1337.7,3449.1,3434.6,1671.9,1360.3,1320.5,3449.1,1076.4,1462.6,3439.5,3435.8,737.3,1374.8,960.2,558.6,1273.0,1701.4,3440.7,3445.5,684.0,934.7,1279.2,1405.8,1239.9,979.9,1.0,-8.0,7.0,7082.0,10613.0,-8229.0,-6159.0,3.0,-9.0,9.0,9.0,-5.0,3.0,10412.0,10537.0,5958.0,3673.0,1.0,-3.0,-1.0,1.0
2022-05-13 14:54:37.028560-07:00,2123.0,565.0,1119.1,1307.0,928.8,1156.8,1277.4,1322.3,3449.1,3434.6,1673.8,1364.8,1320.5,3449.1,1073.8,1459.8,3435.8,3435.8,737.3,1374.8,961.1,558.6,1273.0,1701.4,3435.8,3449.1,684.0,934.7,1278.3,1404.9,1239.9,979.9,-3.0,4.0,0.0,7080.0,10614.0,-8233.0,-6155.0,10.0,2.0,5.0,7.0,-2.0,6.0,10410.0,10539.0,5959.0,3672.0,12.0,6.0,1.0,1.0
2022-05-13 14:54:37.070474-07:00,2119.9,564.2,1120.9,1307.0,920.3,1158.6,1277.4,1322.3,3439.5,3449.1,1673.8,1364.8,1319.6,3438.2,1073.8,1459.8,3435.8,3435.8,738.9,1368.5,961.1,556.2,1273.0,1700.5,3435.8,3449.1,684.0,934.7,1278.3,1408.5,1245.3,973.9,-2.0,-3.0,0.0,7079.0,10613.0,-8234.0,-6155.0,9.0,-10.0,-2.0,5.0,-4.0,1.0,10410.0,10540.0,5959.0,3671.0,6.0,0.0,-3.0,1.0
2022-05-13 14:54:37.161405-07:00,2119.9,564.2,1120.9,1314.2,920.3,1158.6,1278.3,1319.6,3439.5,3449.1,1673.8,1365.7,1319.6,3440.7,1079.0,1450.6,3432.2,3440.7,735.6,1368.5,971.3,556.2,1273.0,1700.5,3443.1,3443.1,681.5,934.7,1280.1,1408.5,1245.3,973.9,1.0,1.0,0.0,7078.0,10614.0,-8234.0,-6155.0,3.0,-2.0,1.0,9.0,0.0,2.0,10410.0,10540.0,5959.0,3671.0,1.0,-1.0,0.0,1.0
2022-05-13 14:54:37.205934-07:00,2128.0,569.8,1119.1,1314.2,926.2,1158.6,1278.3,1319.6,3428.6,3439.5,1668.2,1365.7,1316.9,3440.7,1079.0,1450.6,3432.2,3440.7,735.6,1374.8,971.3,557.0,1265.8,1693.8,3443.1,3443.1,681.5,933.9,1280.1,1402.1,1242.6,982.5,-1.0,1.0,3.0,7079.0,10612.0,-8234.0,-6158.0,-10.0,-14.0,6.0,6.0,-2.0,3.0,10410.0,10540.0,5959.0,3671.0,-1.0,-5.0,0.0,1.0
2022-05-13 14:54:37.251696-07:00,2128.0,569.8,1119.1,1308.8,926.2,1155.0,1273.9,1330.5,3428.6,3439.5,1668.2,1368.5,1316.9,3449.1,1069.5,1463.5,3438.2,3433.4,734.0,1374.8,963.7,557.0,1265.8,1693.8,3444.3,3446.7,682.3,933.9,1283.7,1402.1,1242.6,982.5,-1.0,-1.0,9.0,7078.0,10611.0,-8235.0,-6159.0,2.0,-6.0,-9.0,7.0,-3.0,8.0,10410.0,10540.0,5959.0,3671.0,0.0,6.0,-8.0,1.0
