Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 15:05:45.724903-07:00,1886.0,529.0,1053.9,1277.4,871.3,1093.8,1194.7,1273.9,3441.9,3438.2,1427.7,1259.6,1272.1,3441.9,958.5,1372.1,3433.4,3439.5,720.0,1339.5,911.8,560.2,1220.4,1636.0,3449.1,3443.1,621.4,867.9,1224.8,1302.5,1114.7,960.2,-2.0,-4.0,2.0,3997.0,6211.0,-12120.0,-8185.0,0.0,-2.0,-7.0,-5.0,-2.0,-1.0,10659.0,10144.0,5870.0,4181.0,0.0,-4.0,-4.0,1.0
2022-05-13 15:05:45.815049-07:00,1886.0,534.6,1053.0,1267.6,871.3,1093.8,1194.7,1278.3,3441.9,3446.7,1425.0,1256.0,1272.1,3441.9,958.5,1367.6,3438.2,3439.5,720.0,1339.5,915.2,561.8,1223.9,1636.0,3445.5,3443.1,621.4,867.9,1224.8,1298.1,1119.1,960.2,-4.0,10.0,3.0,3996.0,6210.0,-12121.0,-8184.0,10.0,-11.0,9.0,-7.0,3.0,3.0,10660.0,10144.0,5868.0,4179.0,5.0,-12.0,1.0,1.0
2022-05-13 15:05:45.816834-07:00,1889.9,534.6,1053.0,1267.6,869.6,1101.7,1190.3,1278.3,3446.7,3446.7,1425.0,1256.0,1273.0,3438.2,954.3,1367.6,3438.2,3438.2,715.1,1339.5,915.2,561.8,1223.9,1636.0,3445.5,3443.1,621.4,869.6,1224.8,1298.1,1119.1,960.2,-2.0,-7.0,16.0,3991.0,6209.0,-12122.0,-8186.0,2.0,-6.0,-12.0,-3.0,-9.0,3.0,10660.0,10145.0,5867.0,4178.0,-3.0,0.0,-4.0,1.0
2022-05-13 15:05:45.861879-07:00,1889.9,526.6,1057.3,1277.4,869.6,1101.7,1194.7,1291.8,3446.7,3439.5,1419.5,1265.8,1273.0,3438.2,950.9,1373.0,3435.8,3432.2,715.1,1339.5,916.0,561.8,1223.0,1636.0,3443.1,3441.9,621.4,869.6,1222.2,1302.5,1110.4,960.2,-3.0,8.0,9.0,3990.0,6210.0,-12125.0,-8182.0,0.0,6.0,10.0,-7.0,8.0,4.0,10659.0,10146.0,5868.0,4177.0,3.0,-1.0,4.0,1.0
2022-05-13 15:05:45.906291-07:00,1886.9,528.2,1057.3,1277.4,869.6,1092.1,1194.7,1291.8,3435.8,3438.2,1419.5,1265.8,1273.0,3440.7,950.9,1373.0,3435.8,3432.2,725.8,1345.8,916.0,561.8,1216.8,1623.7,3443.1,3441.9,622.2,868.8,1222.2,1302.5,1106.0,959.4,-7.0,4.0,4.0,3991.0,6211.0,-12125.0,-8181.0,26.0,-1.0,-4.0,-12.0,0.0,6.0,10658.0,10147.0,5868.0,4177.0,10.0,1.0,-6.0,1.0
2022-05-13 15:05:45.996214-07:00,1886.9,528.2,1064.3,1273.9,869.6,1092.1,1195.6,1278.3,3435.8,3438.2,1424.1,1264.9,1273.0,3440.7,954.3,1375.7,3438.2,3438.2,725.8,1345.8,920.3,561.8,1216.8,1623.7,3441.9,3446.7,622.2,868.8,1231.9,1301.6,1106.0,959.4,2.0,-8.0,8.0,3990.0,6212.0,-12126.0,-8178.0,0.0,3.0,-1.0,-4.0,-3.0,-2.0,10657.0,10147.0,5869.0,4177.0,-1.0,4.0,1.0,1.0
2022-05-13 15:05:46.041501-07:00,1886.9,524.2,1064.3,1273.9,874.7,1100.8,1195.6,1278.3,3443.1,3449.1,1424.1,1264.9,1269.4,3439.5,954.3,1375.7,3438.2,3438.2,720.8,1344.0,920.3,561.8,1224.8,1634.1,3441.9,3446.7,629.5,872.1,1231.9,1301.6,1111.2,953.4,-2.0,5.0,0.0,3990.0,6213.0,-12127.0,-8176.0,1.0,3.0,1.0,-6.0,5.0,-3.0,10657.0,10148.0,5869.0,4176.0,-3.0,-2.0,2.0,1.0
2022-05-13 15:05:46.086469-07:00,1886.9,524.2,1062.5,1273.9,874.7,1100.8,1194.7,1274.7,3443.1,3449.1,1421.3,1264.9,1269.4,3439.5,957.7,1364.8,3434.6,3435.8,720.8,1344.0,916.9,555.4,1224.8,1634.1,3443.1,3449.1,629.5,872.1,1220.4,1305.2,1111.2,953.4,-3.0,0.0,7.0,3986.0,6212.0,-12128.0,-8177.0,3.0,-12.0,-1.0,-7.0,0.0,-1.0,10657.0,10148.0,5869.0,4176.0,-1.0,-7.0,0.0,1.0
2022-05-13 15:05:46.131515-07:00,1895.8,532.2,1056.5,1273.9,876.4,1090.3,1194.7,1274.7,3435.8,3435.8,1422.2,1264.9,1272.1,3450.4,957.7,1364.8,3434.6,3435.8,718.4,1346.7,916.9,557.8,1222.2,1632.2,3443.1,3449.1,627.0,864.6,1220.4,1304.3,1107.8,959.4,-5.0,2.0,11.0,3986.0,6211.0,-12128.0,-8179.0,-3.0,-10.0,5.0,-8.0,-1.0,5.0,10658.0,10149.0,5866.0,4174.0,-1.0,-6.0,2.0,1.0
2022-05-13 15:05:46.222568-07:00,1895.8,532.2,1056.5,1269.4,876.4,1097.3,1203.5,1289.1,3435.8,3435.8,1422.2,1262.2,1272.1,3449.1,955.1,1374.8,3435.8,3438.2,715.1,1346.7,919.4,557.8,1222.2,1632.2,3440.7,3433.4,622.2,864.6,1225.7,1304.3,1107.8,959.4,-4.0,2.0,11.0,3986.0,6211.0,-12128.0,-8178.0,10.0,-1.0,-7.0,-8.0,-2.0,4.0,10659.0,10149.0,5866.0,4173.0,7.0,-3.0,-5.0,1.0
2022-05-13 15:05:46.224210-07:00,1884.0,533.8,1064.3,1269.4,878.0,1097.3,1203.5,1289.1,3437.0,3441.9,1425.0,1262.2,1273.9,3449.1,955.1,1374.8,3435.8,3438.2,715.1,1347.6,919.4,559.4,1224.8,1636.9,3440.7,3433.4,622.2,866.3,1225.7,1300.7,1106.0,957.7,-6.0,-4.0,5.0,3987.0,6213.0,-12129.0,-8175.0,4.0,12.0,-1.0,-7.0,-4.0,3.0,10658.0,10150.0,5866.0,4173.0,3.0,3.0,1.0,1.0
2022-05-13 15:05:46.266824-07:00,1884.0,533.8,1064.3,1267.6,878.0,1086.8,1190.3,1273.0,3437.0,3441.9,1425.0,1264.0,1273.9,3443.1,956.0,1367.6,3440.7,3437.0,720.0,1347.6,917.7,559.4,1224.8,1636.9,3450.4,3449.1,631.1,866.3,1228.4,1300.7,1106.0,957.7,-4.0,3.0,-1.0,3989.0,6215.0,-12128.0,-8174.0,0.0,2.0,-2.0,-6.0,0.0,-2.0,10657.0,10150.0,5866.0,4173.0,5.0,2.0,-1.0,1.0
2022-05-13 15:05:46.310580-07:00,1885.0,537.8,1060.8,1267.6,874.7,1086.8,1190.3,1273.0,3449.1,3438.2,1422.2,1264.0,1269.4,3443.1,956.0,1367.6,3440.7,3437.0,720.0,1338.6,917.7,559.4,1222.2,1637.9,3450.4,3449.1,631.1,865.4,1228.4,1300.7,1115.6,955.1,0.0,-5.0,4.0,3988.0,6214.0,-12128.0,-8175.0,6.0,-11.0,-4.0,-7.0,-3.0,-4.0,10657.0,10150.0,5866.0,4173.0,2.0,-8.0,-2.0,1.0
2022-05-13 15:05:46.355554-07:00,1885.0,537.8,1060.8,1267.6,867.9,1088.6,1200.9,1275.6,3449.1,3438.2,1422.2,1254.2,1276.5,3440.7,952.6,1373.0,3438.2,3440.7,719.2,1346.7,911.8,559.4,1222.2,1637.9,3446.7,3433.4,625.4,868.8,1228.4,1300.7,1115.6,955.1,-5.0,0.0,5.0,3989.0,6212.0,-12129.0,-8174.0,3.0,-5.0,12.0,-8.0,-2.0,2.0,10658.0,10151.0,5864.0,4171.0,3.0,-9.0,5.0,1.0
2022-05-13 15:05:46.400370-07:00,1880.1,533.8,1058.2,1276.5,867.9,1088.6,1200.9,1275.6,3449.1,3438.2,1426.8,1263.1,1276.5,3440.7,952.6,1373.0,3438.2,3440.7,719.2,1346.7,911.8,562.6,1221.3,1642.6,3446.7,3433.4,625.4,868.8,1216.8,1299.8,1110.4,961.1,-7.0,0.0,11.0,3988.0,6213.0,-12129.0,-8174.0,2.0,-4.0,-11.0,-9.0,-2.0,4.0,10658.0,10151.0,5864.0,4171.0,0.0,2.0,-1.0,1.0
2022-05-13 15:05:46.491770-07:00,1880.1,533.8,1058.2,1276.5,874.7,1097.3,1197.4,1273.0,3449.1,3438.2,1426.8,1263.1,1272.1,3433.4,952.6,1366.6,3435.8,3440.7,717.5,1347.6,911.8,562.6,1221.3,1642.6,3440.7,3445.5,620.5,875.5,1216.8,1299.8,1110.4,961.1,-4.0,0.0,6.0,3990.0,6214.0,-12128.0,-8174.0,2.0,9.0,9.0,-7.0,-1.0,3.0,10658.0,10151.0,5864.0,4171.0,5.0,1.0,5.0,1.0
