Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 15:13:25.910964-07:00,1083.4,674.2,942.4,884.8,743.9,734.0,1483.8,1076.4,3468.6,3480.7,1048.7,848.6,1375.7,3478.3,1182.3,1077.3,3472.2,3473.4,1112.1,1484.7,2201.4,2585.3,1190.3,3499.0,3478.3,3474.6,627.0,736.5,1456.2,905.9,845.3,727.4,-4.0,-5.0,-13.0,11085.0,-11580.0,3352.0,-485.0,13.0,-20.0,-7.0,-4.0,3.0,-10.0,4677.0,-9871.0,-10314.0,6537.0,5.0,-13.0,-9.0,1.0
2022-05-13 15:13:25.914433-07:00,1083.4,666.0,941.5,877.2,743.9,734.0,1483.8,1076.4,3468.6,3478.3,1042.6,847.0,1375.7,3478.3,1182.3,1061.7,3475.9,3473.4,1112.1,1484.7,2213.7,2586.4,1194.7,3499.0,3481.9,3474.6,627.0,736.5,1439.6,891.5,837.7,727.4,0.0,-3.0,1.0,11091.0,-11577.0,3343.0,-476.0,-5.0,-27.0,-1.0,0.0,2.0,-4.0,4678.0,-9866.0,-10316.0,6542.0,3.0,-9.0,-10.0,1.0
2022-05-13 15:13:25.914938-07:00,1083.4,668.4,941.5,877.2,729.0,723.3,1476.4,1076.4,3475.9,3483.2,1042.6,847.0,1376.6,3469.8,1180.6,1061.7,3475.9,3479.5,1117.4,1482.9,2213.7,2586.4,1192.0,3495.3,3481.9,3481.9,635.9,757.1,1439.6,891.5,841.1,724.9,1.0,-1.0,8.0,11092.0,-11577.0,3339.0,-472.0,3.0,21.0,3.0,0.0,0.0,2.0,4678.0,-9865.0,-10316.0,6542.0,-5.0,4.0,2.0,1.0
2022-05-13 15:13:25.957067-07:00,1083.4,668.4,954.3,883.9,729.0,723.3,1477.3,1069.5,3475.9,3483.2,1049.6,848.6,1376.6,3469.8,1177.9,1062.5,3479.5,3481.9,1117.4,1482.9,2203.4,2588.5,1192.0,3495.3,3472.2,3468.6,635.9,757.1,1451.6,894.1,841.1,724.9,-1.0,-7.0,-8.0,11086.0,-11580.0,3347.0,-479.0,-17.0,26.0,8.0,2.0,1.0,-9.0,4674.0,-9867.0,-10319.0,6538.0,-14.0,6.0,11.0,1.0
2022-05-13 15:13:25.958178-07:00,1084.2,675.0,954.3,883.9,731.5,724.9,1477.3,1069.5,3464.9,3469.8,1049.6,848.6,1372.1,3477.1,1177.9,1062.5,3479.5,3481.9,1112.1,1485.6,2203.4,2588.5,1189.4,3486.8,3472.2,3468.6,640.8,729.9,1451.6,894.1,837.7,729.0,-2.0,-1.0,-11.0,11080.0,-11583.0,3354.0,-485.0,-16.0,8.0,0.0,1.0,6.0,-11.0,4670.0,-9869.0,-10321.0,6535.0,-17.0,-3.0,1.0,1.0
2022-05-13 15:13:26.001935-07:00,1084.2,675.0,947.5,885.6,731.5,724.9,1481.0,1073.8,3464.9,3469.8,1041.8,851.1,1372.1,3477.1,1173.5,1063.4,3472.2,3483.2,1112.1,1485.6,2195.2,2592.9,1189.4,3486.8,3479.5,3480.7,640.8,729.9,1451.6,895.7,837.7,729.0,-2.0,-1.0,-10.0,11079.0,-11585.0,3352.0,-482.0,10.0,-11.0,2.0,-5.0,7.0,-9.0,4669.0,-9870.0,-10322.0,6533.0,7.0,-11.0,-6.0,1.0
2022-05-13 15:13:26.136636-07:00,1080.8,670.9,947.5,885.6,734.0,727.4,1481.0,1073.8,3480.7,3473.4,1041.8,851.1,1379.4,3475.9,1173.5,1063.4,3472.2,3483.2,1113.0,1478.3,2195.2,2592.9,1191.2,3497.8,3479.5,3480.7,635.1,726.6,1451.6,895.7,838.6,728.2,0.0,-6.0,-2.0,11081.0,-11586.0,3346.0,-477.0,1.0,-18.0,0.0,-2.0,2.0,-6.0,4667.0,-9869.0,-10323.0,6535.0,7.0,-9.0,-7.0,1.0
2022-05-13 15:13:26.228260-07:00,1080.8,670.9,951.7,885.6,734.0,724.1,1477.3,1076.4,3480.7,3473.4,1040.1,844.4,1379.4,3473.4,1172.6,1064.3,3469.8,3478.3,1118.2,1478.3,2209.6,2585.3,1191.2,3497.8,3468.6,3478.3,640.8,726.6,1449.7,894.1,838.6,728.2,0.0,-4.0,-4.0,11082.0,-11585.0,3345.0,-475.0,-16.0,2.0,2.0,2.0,3.0,-6.0,4665.0,-9868.0,-10323.0,6536.0,-8.0,0.0,-1.0,1.0
2022-05-13 15:13:26.405529-07:00,1079.0,676.6,945.8,885.6,738.9,724.1,1477.3,1076.4,3472.2,3481.9,1045.2,844.4,1373.9,3473.4,1172.6,1064.3,3469.8,3478.3,1118.2,1488.4,2209.6,2587.4,1182.3,3497.8,3468.6,3478.3,640.8,732.3,1449.7,891.5,837.7,723.3,0.0,0.0,-4.0,11079.0,-11588.0,3345.0,-475.0,1.0,10.0,0.0,2.0,1.0,-5.0,4663.0,-9869.0,-10325.0,6534.0,-3.0,-4.0,2.0,1.0
2022-05-13 15:13:26.406639-07:00,1079.0,676.6,945.8,886.5,738.9,728.2,1481.9,1069.5,3472.2,3481.9,1045.2,844.4,1373.9,3478.3,1177.9,1061.7,3479.5,3471.0,1120.9,1488.4,2207.5,2587.4,1182.3,3497.8,3472.2,3478.3,632.7,732.3,1457.1,891.5,837.7,723.3,-1.0,-4.0,-8.0,11079.0,-11588.0,3346.0,-475.0,0.0,-3.0,0.0,0.0,6.0,-9.0,4663.0,-9869.0,-10325.0,6534.0,0.0,1.0,-1.0,1.0
