Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 15:15:40.267899-07:00,1829.4,537.0,997.9,1236.4,864.6,1112.1,1070.3,1114.7,3435.8,3438.2,1374.8,1231.9,1248.8,3439.5,914.4,1335.9,3449.1,3437.0,762.9,1320.5,949.2,563.4,1281.0,1606.8,3446.7,3444.3,619.7,871.3,1208.0,1281.9,1081.6,944.9,-5.0,-12.0,9.0,-675.0,174.0,-13421.0,-9371.0,-10.0,-10.0,-37.0,0.0,0.0,-4.0,10051.0,9205.0,7305.0,5415.0,0.0,12.0,-26.0,1.0
2022-05-13 15:15:40.447499-07:00,1834.3,539.4,997.9,1234.6,859.5,1112.1,1070.3,1114.7,3438.2,3440.7,1380.3,1239.1,1248.0,3439.5,914.4,1335.9,3449.1,3437.0,762.9,1316.9,948.3,561.0,1289.1,1608.7,3446.7,3444.3,619.7,865.4,1208.9,1283.7,1094.7,944.9,-3.0,-1.0,-6.0,-672.0,183.0,-13424.0,-9367.0,28.0,27.0,9.0,5.0,3.0,-5.0,10049.0,9202.0,7313.0,5414.0,13.0,15.0,-3.0,1.0
2022-05-13 15:15:40.537165-07:00,1834.3,539.4,997.9,1234.6,865.4,1109.5,1062.5,1113.9,3438.2,3440.7,1380.3,1239.1,1248.0,3440.7,918.6,1335.0,3435.8,3432.2,770.3,1322.3,948.3,561.0,1289.1,1608.7,3434.6,3441.9,614.1,870.5,1208.9,1283.7,1094.7,944.9,2.0,-6.0,-10.0,-667.0,185.0,-13423.0,-9369.0,-2.0,-9.0,-4.0,8.0,0.0,-12.0,10048.0,9201.0,7314.0,5415.0,-12.0,-2.0,0.0,1.0
2022-05-13 15:15:40.538352-07:00,1828.4,536.2,1003.0,1239.1,865.4,1109.5,1062.5,1113.9,3440.7,3435.8,1374.8,1230.2,1248.0,3440.7,918.6,1335.0,3435.8,3432.2,770.3,1322.3,950.0,568.2,1287.3,1605.8,3434.6,3441.9,614.1,870.5,1213.3,1281.0,1076.4,944.1,2.0,-7.0,5.0,-674.0,180.0,-13425.0,-9366.0,-13.0,-18.0,1.0,14.0,0.0,-4.0,10048.0,9202.0,7313.0,5414.0,-5.0,-12.0,-2.0,1.0
2022-05-13 15:15:40.582643-07:00,1828.4,536.2,1003.0,1239.1,857.9,1111.2,1063.4,1121.7,3440.7,3435.8,1374.8,1230.2,1249.7,3444.3,912.7,1335.9,3444.3,3449.1,762.9,1321.4,950.0,568.2,1287.3,1605.8,3440.7,3438.2,626.2,867.9,1213.3,1281.0,1076.4,944.1,-1.0,1.0,5.0,-672.0,175.0,-13424.0,-9367.0,11.0,-7.0,15.0,10.0,4.0,0.0,10050.0,9202.0,7311.0,5413.0,8.0,-7.0,6.0,1.0
2022-05-13 15:15:40.627843-07:00,1827.5,531.4,998.7,1246.2,857.9,1111.2,1063.4,1121.7,3439.5,3439.5,1383.0,1231.9,1249.7,3444.3,912.7,1335.9,3444.3,3449.1,762.9,1321.4,949.2,561.8,1289.1,1612.4,3440.7,3438.2,626.2,867.9,1216.0,1282.8,1080.8,949.2,-6.0,0.0,1.0,-665.0,179.0,-13427.0,-9364.0,13.0,27.0,-1.0,7.0,4.0,-1.0,10048.0,9202.0,7314.0,5414.0,5.0,16.0,0.0,1.0
2022-05-13 15:15:40.628602-07:00,1827.5,531.4,998.7,1246.2,857.9,1111.2,1063.4,1121.7,3439.5,3439.5,1383.0,1231.9,1249.7,3444.3,912.7,1335.9,3444.3,3449.1,762.9,1321.4,949.2,561.8,1289.1,1612.4,3440.7,3438.2,626.2,867.9,1216.0,1282.8,1080.8,949.2,-6.0,0.0,1.0,-665.0,179.0,-13427.0,-9364.0,13.0,27.0,-1.0,7.0,4.0,-1.0,10048.0,9202.0,7314.0,5414.0,5.0,16.0,0.0,1.0
2022-05-13 15:15:40.630548-07:00,1830.4,537.8,992.7,1242.6,862.9,1111.2,1059.9,1123.5,3435.8,3444.3,1383.0,1233.7,1245.3,3444.3,915.2,1331.4,3434.6,3439.5,767.0,1320.5,949.2,558.6,1282.8,1605.8,3437.0,3444.3,615.7,873.8,1210.6,1285.5,1079.0,954.3,0.0,2.0,2.0,-656.0,178.0,-13436.0,-9351.0,6.0,-10.0,-1.0,13.0,2.0,-1.0,10036.0,9204.0,7325.0,5417.0,4.0,-3.0,1.0,1.0
2022-05-13 15:15:40.631768-07:00,1830.4,534.6,990.2,1240.8,862.9,1111.2,1059.9,1113.0,3435.8,3444.3,1380.3,1236.4,1245.3,3444.3,915.2,1337.7,3437.0,3439.5,767.0,1320.5,951.7,565.0,1287.3,1605.8,3439.5,3444.3,615.7,873.8,1214.2,1281.0,1074.7,954.3,-4.0,-6.0,6.0,-655.0,177.0,-13437.0,-9351.0,13.0,-5.0,12.0,8.0,2.0,5.0,10036.0,9204.0,7325.0,5417.0,6.0,-3.0,3.0,1.0
2022-05-13 15:15:40.717628-07:00,1815.8,537.8,990.2,1240.8,865.4,1112.1,1066.9,1113.0,3428.6,3441.9,1380.3,1236.4,1247.1,3444.3,916.9,1337.7,3437.0,3443.1,772.0,1319.6,951.7,565.0,1286.4,1602.1,3439.5,3450.4,618.1,864.6,1214.2,1281.0,1081.6,945.8,-6.0,1.0,4.0,-654.0,175.0,-13439.0,-9348.0,-8.0,1.0,-1.0,8.0,1.0,0.0,10034.0,9206.0,7326.0,5415.0,4.0,1.0,-3.0,1.0
2022-05-13 15:15:40.762629-07:00,1815.8,537.8,996.2,1239.1,865.4,1112.1,1066.9,1112.1,3428.6,3441.9,1379.4,1233.7,1247.1,3444.3,916.9,1329.6,3435.8,3439.5,772.0,1319.6,950.0,569.8,1286.4,1602.1,3440.7,3438.2,618.1,864.6,1213.3,1281.0,1081.6,945.8,0.0,1.0,7.0,-654.0,175.0,-13441.0,-9344.0,16.0,5.0,-1.0,8.0,-1.0,-6.0,10033.0,9208.0,7326.0,5414.0,13.0,7.0,-5.0,1.0
2022-05-13 15:15:40.805032-07:00,1815.8,540.2,996.2,1239.1,860.4,1113.9,1066.9,1112.1,3441.9,3441.9,1379.4,1233.7,1249.7,3434.6,916.9,1329.6,3435.8,3439.5,768.7,1322.3,950.0,569.8,1281.9,1608.7,3440.7,3438.2,618.1,870.5,1213.3,1281.0,1080.8,939.8,-2.0,0.0,-5.0,-648.0,179.0,-13445.0,-9339.0,10.0,10.0,1.0,10.0,1.0,-4.0,10031.0,9207.0,7329.0,5416.0,9.0,9.0,-2.0,1.0
2022-05-13 15:15:40.896806-07:00,1815.8,540.2,994.5,1238.2,860.4,1113.9,1055.6,1121.7,3441.9,3441.9,1383.9,1238.2,1249.7,3434.6,924.5,1330.5,3434.6,3433.4,768.7,1322.3,949.2,565.0,1281.9,1608.7,3432.2,3435.8,618.1,870.5,1209.7,1285.5,1080.8,939.8,-2.0,-2.0,-3.0,-648.0,179.0,-13445.0,-9339.0,5.0,-8.0,5.0,10.0,2.0,-6.0,10031.0,9207.0,7329.0,5416.0,3.0,-2.0,-2.0,1.0
2022-05-13 15:15:41.033426-07:00,1825.5,537.0,994.5,1238.2,858.7,1107.8,1055.6,1121.7,3444.3,3428.6,1383.9,1238.2,1248.0,3433.4,924.5,1330.5,3434.6,3433.4,764.5,1331.4,949.2,565.0,1285.5,1604.9,3432.2,3435.8,617.3,869.6,1209.7,1285.5,1079.9,950.9,-2.0,-2.0,3.0,-650.0,178.0,-13445.0,-9339.0,0.0,-1.0,8.0,9.0,0.0,-2.0,10031.0,9207.0,7329.0,5416.0,0.0,-2.0,1.0,1.0
2022-05-13 15:15:41.034491-07:00,1825.5,537.0,993.6,1239.9,858.7,1099.9,1059.9,1117.4,3444.3,3428.6,1379.4,1239.1,1248.0,3443.1,918.6,1331.4,3444.3,3440.7,764.5,1331.4,951.7,561.0,1285.5,1604.9,3439.5,3439.5,619.7,869.6,1219.5,1289.1,1079.9,950.9,-5.0,2.0,7.0,-650.0,178.0,-13446.0,-9337.0,9.0,0.0,0.0,8.0,2.0,1.0,10031.0,9207.0,7329.0,5416.0,8.0,0.0,-1.0,1.0
2022-05-13 15:15:41.035477-07:00,1827.5,537.8,997.0,1239.9,862.9,1099.9,1059.9,1117.4,3433.4,3449.1,1387.5,1239.1,1243.5,3443.1,918.6,1331.4,3444.3,3440.7,764.5,1317.8,951.7,566.6,1289.1,1604.9,3439.5,3439.5,619.7,873.8,1219.5,1281.0,1078.2,947.5,-3.0,-3.0,6.0,-650.0,178.0,-13447.0,-9336.0,11.0,3.0,1.0,8.0,-3.0,-1.0,10031.0,9207.0,7329.0,5416.0,5.0,4.0,0.0,1.0
