Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 15:17:39.277597-07:00,2319.1,532.2,1270.3,1415.8,882.3,1181.5,1233.7,1293.6,3444.3,3439.5,1754.1,1377.5,1283.7,3438.2,1186.7,1553.4,3439.5,3433.4,755.4,1299.8,926.2,553.8,1267.6,1638.8,3444.3,3433.4,658.7,948.3,1210.6,1499.5,1374.8,944.9,1.0,-3.0,-3.0,-880.0,18.0,-13502.0,-9238.0,6.0,-10.0,6.0,0.0,-1.0,-11.0,9709.0,9234.0,7723.0,5411.0,-1.0,-2.0,0.0,1.0
2022-05-13 15:17:39.279086-07:00,2305.6,540.2,1270.3,1415.8,874.7,1185.0,1233.7,1293.6,3432.2,3446.7,1754.1,1377.5,1294.5,3438.2,1186.7,1553.4,3439.5,3433.4,752.1,1311.5,926.2,553.8,1274.7,1642.6,3444.3,3433.4,659.5,951.7,1210.6,1499.5,1375.7,936.4,-5.0,-1.0,2.0,-883.0,16.0,-13500.0,-9241.0,-4.0,-22.0,3.0,3.0,-3.0,0.0,9711.0,9233.0,7721.0,5411.0,-6.0,-7.0,-2.0,1.0
2022-05-13 15:17:39.322113-07:00,2305.6,540.2,1272.1,1409.4,874.7,1185.0,1239.9,1293.6,3432.2,3446.7,1761.8,1386.6,1294.5,3438.2,1180.6,1551.5,3440.7,3432.2,752.1,1311.5,927.1,556.2,1274.7,1642.6,3438.2,3449.1,659.5,951.7,1214.2,1496.7,1375.7,936.4,-3.0,-2.0,4.0,-887.0,13.0,-13500.0,-9241.0,-1.0,11.0,2.0,4.0,-1.0,-1.0,9711.0,9233.0,7721.0,5411.0,-1.0,3.0,2.0,1.0
2022-05-13 15:17:39.410665-07:00,2317.0,541.0,1272.1,1409.4,882.3,1184.1,1239.9,1293.6,3435.8,3444.3,1761.8,1386.6,1292.7,3440.7,1180.6,1551.5,3440.7,3432.2,750.5,1310.6,927.1,556.2,1263.1,1641.6,3438.2,3449.1,660.3,944.9,1214.2,1496.7,1373.0,952.6,2.0,3.0,-1.0,-886.0,14.0,-13500.0,-9241.0,-4.0,5.0,1.0,5.0,1.0,-2.0,9711.0,9233.0,7721.0,5411.0,-5.0,2.0,-2.0,1.0
2022-05-13 15:17:39.411734-07:00,2317.0,541.0,1276.5,1404.9,882.3,1184.1,1233.7,1292.7,3435.8,3444.3,1764.6,1380.3,1292.7,3440.7,1185.0,1539.4,3435.8,3433.4,750.5,1310.6,923.7,549.8,1263.1,1641.6,3446.7,3441.9,660.3,944.9,1214.2,1492.1,1373.0,952.6,-2.0,-7.0,1.0,-886.0,14.0,-13500.0,-9241.0,1.0,6.0,-5.0,4.0,-2.0,-5.0,9711.0,9233.0,7721.0,5411.0,-4.0,-1.0,0.0,1.0
2022-05-13 15:17:39.547852-07:00,2317.0,533.0,1268.5,1404.9,873.0,1178.8,1233.7,1292.7,3435.8,3445.5,1761.8,1380.3,1288.2,3441.9,1185.0,1539.4,3435.8,3433.4,748.0,1310.6,923.7,552.2,1259.6,1636.0,3446.7,3441.9,659.5,944.1,1214.2,1500.4,1378.5,942.4,-3.0,-1.0,1.0,-886.0,14.0,-13500.0,-9241.0,-4.0,-4.0,7.0,4.0,0.0,-4.0,9711.0,9233.0,7721.0,5411.0,2.0,-1.0,1.0,1.0
2022-05-13 15:17:39.591951-07:00,2317.0,533.0,1268.5,1404.9,873.0,1183.2,1235.5,1290.9,3435.8,3445.5,1761.8,1376.6,1288.2,3441.9,1187.6,1552.5,3441.9,3433.4,752.9,1310.6,921.1,552.2,1259.6,1636.0,3450.4,3440.7,654.6,944.1,1207.1,1500.4,1378.5,942.4,-6.0,0.0,3.0,-886.0,14.0,-13500.0,-9241.0,-6.0,-5.0,-7.0,1.0,0.0,-1.0,9711.0,9233.0,7721.0,5411.0,-4.0,0.0,-5.0,1.0
2022-05-13 15:17:39.593001-07:00,2319.1,539.4,1278.3,1404.9,881.4,1183.2,1235.5,1290.9,3438.2,3437.0,1756.0,1376.6,1286.4,3441.9,1187.6,1552.5,3441.9,3433.4,752.9,1311.5,921.1,553.0,1256.9,1634.1,3450.4,3440.7,654.6,947.5,1207.1,1494.0,1373.9,946.6,-5.0,-1.0,5.0,-886.0,14.0,-13500.0,-9241.0,8.0,-3.0,0.0,0.0,0.0,0.0,9711.0,9233.0,7721.0,5411.0,4.0,1.0,-2.0,1.0
2022-05-13 15:17:39.593976-07:00,2319.1,539.4,1278.3,1403.0,881.4,1184.1,1231.9,1290.9,3438.2,3437.0,1756.0,1387.5,1286.4,3445.5,1184.1,1549.7,3435.8,3437.0,749.6,1311.5,927.9,553.0,1256.9,1634.1,3438.2,3443.1,660.3,947.5,1213.3,1494.0,1373.9,946.6,-4.0,-2.0,0.0,-883.0,16.0,-13501.0,-9240.0,0.0,12.0,-1.0,4.0,-1.0,-3.0,9711.0,9233.0,7721.0,5411.0,4.0,2.0,-5.0,1.0
2022-05-13 15:17:39.682836-07:00,2321.2,540.2,1273.9,1403.0,875.5,1184.1,1231.9,1290.9,3447.9,3441.9,1762.7,1387.5,1289.1,3445.5,1184.1,1549.7,3435.8,3437.0,749.6,1316.9,927.9,551.4,1261.3,1636.0,3438.2,3443.1,660.3,948.3,1213.3,1497.7,1386.6,941.5,-1.0,-1.0,0.0,-883.0,16.0,-13502.0,-9238.0,1.0,3.0,-5.0,4.0,1.0,-9.0,9711.0,9233.0,7721.0,5410.0,-8.0,-1.0,-4.0,1.0
