Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 15:17:39.176748-07:00,1274.7,730.7,1141.9,1059.1,764.5,717.5,1630.3,1279.2,3483.2,3464.9,1198.2,968.8,1564.6,3473.4,1446.0,1303.4,3477.1,3467.4,1137.5,1481.0,2016.4,2633.0,1470.0,3500.2,3472.2,3473.4,712.6,801.9,1680.5,1100.8,1043.5,734.8,0.0,0.0,2.0,9895.0,-12917.0,607.0,1820.0,4.0,11.0,5.0,-5.0,5.0,-7.0,1934.0,-6544.0,-13374.0,6559.0,1.0,-2.0,2.0,1.0
2022-05-13 15:17:39.224704-07:00,1263.1,730.7,1140.1,1057.3,768.7,717.5,1630.3,1279.2,3478.3,3471.0,1204.4,964.5,1568.3,3473.4,1446.0,1303.4,3477.1,3467.4,1137.5,1478.3,2013.4,2626.5,1470.0,3495.3,3472.2,3473.4,712.6,797.7,1681.4,1099.9,1040.9,734.0,-1.0,2.0,-3.0,9896.0,-12916.0,609.0,1818.0,1.0,8.0,2.0,-3.0,10.0,-10.0,1934.0,-6544.0,-13374.0,6559.0,-3.0,-1.0,1.0,1.0
2022-05-13 15:17:39.269691-07:00,1263.1,730.7,1140.1,1057.3,771.1,725.8,1643.5,1280.1,3478.3,3471.0,1204.4,964.5,1564.6,3468.6,1455.2,1301.6,3477.1,3478.3,1132.2,1487.5,2013.4,2626.5,1470.0,3495.3,3479.5,3478.3,716.7,799.4,1681.4,1099.9,1040.9,734.0,1.0,0.0,-4.0,9894.0,-12918.0,608.0,1819.0,-5.0,12.0,4.0,-3.0,8.0,-12.0,1932.0,-6544.0,-13375.0,6556.0,-7.0,-1.0,2.0,1.0
2022-05-13 15:17:39.357727-07:00,1272.1,731.5,1145.4,1060.8,771.1,725.8,1643.5,1280.1,3472.2,3462.5,1204.4,964.5,1564.6,3468.6,1455.2,1301.6,3477.1,3478.3,1132.2,1487.5,2014.4,2608.0,1463.5,3496.6,3479.5,3478.3,716.7,799.4,1671.9,1100.8,1042.6,735.6,2.0,4.0,-6.0,9894.0,-12918.0,609.0,1818.0,-1.0,2.0,4.0,-2.0,9.0,-9.0,1932.0,-6544.0,-13375.0,6556.0,4.0,5.0,0.0,1.0
2022-05-13 15:17:39.402163-07:00,1272.1,731.5,1145.4,1060.8,772.0,724.9,1639.8,1281.9,3472.2,3462.5,1204.4,964.5,1564.6,3472.2,1458.9,1297.2,3477.1,3477.1,1130.5,1479.2,2014.4,2608.0,1463.5,3496.6,3467.4,3478.3,715.1,803.5,1671.9,1100.8,1042.6,735.6,-1.0,0.0,0.0,9894.0,-12918.0,609.0,1818.0,-5.0,-6.0,2.0,-3.0,6.0,-8.0,1932.0,-6544.0,-13375.0,6556.0,-2.0,-2.0,0.0,1.0
2022-05-13 15:17:39.447700-07:00,1270.3,722.5,1148.9,1057.3,772.0,724.9,1639.8,1281.9,3468.6,3463.7,1192.0,964.5,1564.6,3472.2,1458.9,1297.2,3477.1,3477.1,1130.5,1479.2,2017.4,2619.9,1462.6,3495.3,3467.4,3478.3,715.1,803.5,1680.5,1091.2,1030.6,735.6,-3.0,2.0,-4.0,9894.0,-12918.0,609.0,1817.0,6.0,10.0,6.0,-8.0,8.0,-9.0,1932.0,-6544.0,-13375.0,6556.0,-7.0,-4.0,3.0,1.0
2022-05-13 15:17:39.492703-07:00,1263.1,722.5,1148.9,1057.3,762.0,720.0,1631.3,1266.7,3467.4,3463.7,1192.0,964.5,1566.5,3471.0,1456.2,1297.2,3475.9,3475.9,1125.2,1485.6,2017.4,2619.9,1462.6,3485.6,3471.0,3489.2,725.8,801.9,1680.5,1091.2,1030.6,720.0,1.0,1.0,-6.0,9893.0,-12919.0,612.0,1814.0,-5.0,5.0,3.0,-2.0,11.0,-11.0,1932.0,-6544.0,-13375.0,6555.0,-2.0,-1.0,1.0,1.0
2022-05-13 15:17:39.584116-07:00,1263.1,728.2,1145.4,1056.5,762.0,720.0,1631.3,1258.7,3467.4,3467.4,1189.4,962.0,1566.5,3471.0,1456.2,1288.2,3477.1,3475.9,1125.2,1485.6,2012.4,2636.2,1466.3,3485.6,3479.5,3489.2,725.8,801.9,1682.4,1093.8,1039.2,720.0,1.0,3.0,-9.0,9893.0,-12919.0,612.0,1814.0,-7.0,-11.0,1.0,-4.0,12.0,-8.0,1932.0,-6544.0,-13375.0,6555.0,-2.0,-5.0,-4.0,1.0
2022-05-13 15:17:39.585319-07:00,1269.4,728.2,1145.4,1056.5,766.2,725.8,1636.9,1258.7,3469.8,3467.4,1189.4,962.0,1562.7,3473.4,1459.8,1288.2,3477.1,3480.7,1131.4,1477.3,2012.4,2636.2,1466.3,3491.7,3479.5,3478.3,717.5,805.2,1682.4,1093.8,1039.2,731.5,3.0,3.0,2.0,9892.0,-12919.0,610.0,1817.0,8.0,-5.0,2.0,-5.0,11.0,-5.0,1932.0,-6544.0,-13375.0,6555.0,8.0,-1.0,0.0,1.0
2022-05-13 15:17:39.627442-07:00,1269.4,737.3,1137.5,1053.0,766.2,725.8,1636.9,1278.3,3469.8,3462.5,1191.2,962.8,1562.7,3473.4,1459.8,1299.8,3488.0,3480.7,1131.4,1477.3,2011.4,2629.7,1461.7,3491.7,3484.4,3478.3,717.5,805.2,1680.5,1102.5,1043.5,731.5,0.0,-4.0,-4.0,9892.0,-12919.0,610.0,1816.0,-1.0,11.0,3.0,-3.0,5.0,-12.0,1932.0,-6544.0,-13375.0,6555.0,-2.0,0.0,4.0,1.0
