Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 15:26:15.522833-07:00,1958.8,576.2,1098.2,1290.0,877.2,1175.3,1301.6,1322.3,3440.7,3428.6,1526.4,1261.3,1255.1,3438.2,1015.1,1390.3,3439.5,3439.5,706.9,1326.8,929.6,565.0,1374.8,1621.8,3437.0,3450.4,646.5,959.4,1201.8,1365.7,1177.0,965.4,0.0,2.0,3.0,-4078.0,-4589.0,-12136.0,-9136.0,-8.0,-8.0,-5.0,3.0,-6.0,1.0,10169.0,8969.0,6994.0,5972.0,0.0,-1.0,-10.0,1.0
2022-05-13 15:26:15.569592-07:00,1958.8,576.2,1098.2,1292.7,877.2,1182.3,1310.6,1330.5,3440.7,3428.6,1526.4,1264.0,1255.1,3440.7,1009.9,1384.8,3434.6,3428.6,707.7,1326.8,925.4,565.0,1374.8,1621.8,3439.5,3440.7,643.2,959.4,1200.0,1365.7,1177.0,965.4,0.0,2.0,1.0,-4077.0,-4590.0,-12136.0,-9136.0,5.0,1.0,14.0,5.0,-1.0,0.0,10169.0,8969.0,6994.0,5972.0,4.0,2.0,0.0,1.0
2022-05-13 15:26:15.613075-07:00,1963.7,582.6,1099.0,1291.8,874.7,1182.3,1310.6,1330.5,3438.2,3439.5,1525.5,1265.8,1251.5,3440.7,1009.9,1384.8,3434.6,3428.6,707.7,1324.1,933.0,566.6,1368.5,1625.6,3439.5,3440.7,643.2,960.2,1208.0,1362.1,1173.5,971.3,5.0,6.0,-3.0,-4076.0,-4593.0,-12134.0,-9137.0,-5.0,-16.0,2.0,9.0,-1.0,3.0,10169.0,8969.0,6994.0,5973.0,-5.0,-7.0,0.0,1.0
2022-05-13 15:26:15.658091-07:00,1963.7,582.6,1099.0,1291.8,875.5,1174.4,1293.6,1324.1,3438.2,3439.5,1525.5,1265.8,1254.2,3435.8,1011.6,1397.6,3438.2,3432.2,708.5,1328.7,933.0,566.6,1368.5,1625.6,3441.9,3444.3,641.6,962.0,1208.0,1362.1,1173.5,971.3,1.0,4.0,4.0,-4082.0,-4597.0,-12132.0,-9135.0,-6.0,-16.0,4.0,2.0,0.0,6.0,10169.0,8970.0,6993.0,5972.0,-4.0,-11.0,-4.0,1.0
2022-05-13 15:26:15.703030-07:00,1952.9,573.8,1093.8,1297.2,875.5,1174.4,1293.6,1324.1,3438.2,3444.3,1525.5,1262.2,1254.2,3435.8,1011.6,1397.6,3438.2,3432.2,708.5,1328.7,922.8,556.2,1375.7,1627.5,3441.9,3444.3,641.6,962.0,1203.5,1383.0,1170.9,969.6,0.0,6.0,4.0,-4085.0,-4600.0,-12131.0,-9134.0,2.0,-10.0,5.0,4.0,-4.0,5.0,10169.0,8970.0,6993.0,5972.0,1.0,-4.0,-4.0,1.0
2022-05-13 15:26:15.749761-07:00,1952.9,573.8,1093.8,1297.2,874.7,1183.2,1301.6,1332.3,3438.2,3444.3,1525.5,1262.2,1258.7,3437.0,1019.4,1389.4,3437.0,3439.5,709.3,1326.8,922.8,556.2,1375.7,1627.5,3433.4,3437.0,650.5,961.1,1203.5,1383.0,1170.9,969.6,2.0,2.0,1.0,-4086.0,-4600.0,-12130.0,-9134.0,10.0,-8.0,3.0,6.0,-5.0,3.0,10169.0,8970.0,6993.0,5972.0,9.0,0.0,-8.0,1.0
2022-05-13 15:26:15.794921-07:00,1964.7,577.8,1099.9,1296.3,874.7,1183.2,1301.6,1332.3,3441.9,3445.5,1528.3,1264.0,1258.7,3437.0,1019.4,1389.4,3437.0,3439.5,709.3,1326.8,929.6,558.6,1374.8,1627.5,3433.4,3437.0,650.5,961.1,1201.8,1369.4,1170.0,965.4,3.0,2.0,2.0,-4085.0,-4601.0,-12132.0,-9132.0,-3.0,0.0,6.0,5.0,-4.0,3.0,10169.0,8971.0,6993.0,5971.0,2.0,-1.0,-3.0,1.0
2022-05-13 15:26:15.883077-07:00,1964.7,577.8,1099.9,1296.3,874.7,1173.5,1303.4,1331.4,3441.9,3445.5,1528.3,1264.0,1256.0,3438.2,1017.6,1391.2,3437.0,3435.8,706.9,1316.9,929.6,558.6,1374.8,1627.5,3439.5,3450.4,638.4,952.6,1201.8,1369.4,1170.0,965.4,0.0,9.0,0.0,-4085.0,-4602.0,-12131.0,-9133.0,4.0,-12.0,4.0,7.0,-3.0,3.0,10169.0,8971.0,6993.0,5971.0,6.0,-1.0,-3.0,1.0
2022-05-13 15:26:15.974989-07:00,1955.8,572.2,1092.9,1289.1,874.7,1173.5,1303.4,1331.4,3444.3,3445.5,1521.8,1264.0,1256.0,3438.2,1017.6,1387.5,3431.0,3435.8,706.9,1316.9,927.9,561.8,1377.5,1620.9,3432.2,3450.4,638.4,952.6,1200.9,1370.3,1172.6,969.6,0.0,4.0,5.0,-4086.0,-4604.0,-12131.0,-9131.0,0.0,2.0,-3.0,7.0,0.0,3.0,10169.0,8971.0,6993.0,5971.0,-1.0,-3.0,-4.0,1.0
2022-05-13 15:26:15.976022-07:00,1952.9,572.2,1092.9,1289.1,873.0,1182.3,1294.5,1331.4,3435.8,3445.5,1521.8,1264.0,1253.3,3441.9,1012.5,1387.5,3431.0,3434.6,706.0,1324.1,927.9,561.8,1377.5,1625.6,3432.2,3447.9,640.0,963.7,1200.9,1370.3,1172.6,964.5,1.0,6.0,2.0,-4086.0,-4605.0,-12132.0,-9130.0,14.0,-5.0,1.0,4.0,0.0,2.0,10168.0,8972.0,6994.0,5970.0,12.0,4.0,-2.0,1.0
