Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 15:28:50.408762-07:00,1882.0,548.2,1072.1,1271.2,873.8,1170.9,1244.4,1273.0,3443.1,3441.9,1444.2,1228.4,1245.3,3439.5,991.9,1365.7,3437.0,3444.3,705.2,1291.8,898.3,557.0,1375.7,1604.9,3441.9,3446.7,643.2,967.1,1188.5,1341.3,1158.6,953.4,2.0,-5.0,6.0,-4371.0,-6181.0,-12479.0,-7443.0,4.0,10.0,11.0,12.0,-8.0,3.0,8614.0,8419.0,9104.0,6363.0,2.0,3.0,-2.0,1.0
2022-05-13 15:28:50.453389-07:00,1879.1,548.2,1060.8,1285.5,873.8,1170.9,1244.4,1273.0,3441.9,3444.3,1450.6,1231.9,1245.3,3439.5,991.9,1365.7,3437.0,3444.3,705.2,1291.8,900.0,558.6,1369.4,1604.0,3441.9,3446.7,643.2,967.1,1191.2,1339.5,1158.6,956.8,0.0,3.0,0.0,-4370.0,-6181.0,-12479.0,-7444.0,-5.0,-9.0,-2.0,8.0,-6.0,6.0,8614.0,8419.0,9104.0,6363.0,-6.0,2.0,-3.0,1.0
2022-05-13 15:28:50.541301-07:00,1879.1,548.2,1060.8,1285.5,869.6,1177.9,1249.7,1271.2,3441.9,3444.3,1450.6,1231.9,1246.2,3444.3,985.9,1372.1,3438.2,3437.0,707.7,1293.6,900.0,558.6,1369.4,1604.0,3438.2,3458.9,645.7,964.5,1191.2,1339.5,1158.6,956.8,-3.0,4.0,5.0,-4371.0,-6182.0,-12478.0,-7444.0,-8.0,2.0,3.0,4.0,1.0,9.0,8614.0,8419.0,9104.0,6363.0,-4.0,0.0,-4.0,1.0
2022-05-13 15:28:50.586774-07:00,1880.1,549.8,1069.5,1276.5,869.6,1177.9,1249.7,1273.9,3445.5,3446.7,1440.5,1224.8,1246.2,3444.3,985.9,1372.1,3435.8,3437.0,707.7,1293.6,902.5,553.8,1373.0,1601.1,3445.5,3458.9,645.7,964.5,1194.7,1344.0,1148.0,956.0,-1.0,1.0,4.0,-4371.0,-6182.0,-12478.0,-7444.0,6.0,0.0,-4.0,5.0,-3.0,3.0,8614.0,8419.0,9104.0,6363.0,5.0,7.0,-8.0,1.0
2022-05-13 15:28:50.633008-07:00,1883.0,549.8,1069.5,1276.5,869.6,1177.9,1243.5,1273.9,3441.9,3446.7,1440.5,1224.8,1239.1,3441.9,979.0,1372.1,3435.8,3438.2,701.9,1296.3,902.5,553.8,1373.0,1598.3,3445.5,3445.5,642.4,959.4,1194.7,1344.0,1148.0,954.3,-1.0,7.0,0.0,-4371.0,-6182.0,-12478.0,-7444.0,6.0,-6.0,-6.0,7.0,4.0,4.0,8614.0,8418.0,9104.0,6362.0,1.0,6.0,-9.0,1.0
2022-05-13 15:28:50.678068-07:00,1883.0,553.8,1066.9,1283.7,869.6,1177.9,1243.5,1274.7,3441.9,3445.5,1446.0,1223.9,1239.1,3441.9,979.0,1369.4,3444.3,3438.2,701.9,1296.3,900.8,553.8,1374.8,1598.3,3445.5,3445.5,642.4,959.4,1192.0,1335.9,1148.9,954.3,-4.0,-1.0,3.0,-4371.0,-6182.0,-12478.0,-7444.0,11.0,1.0,-1.0,6.0,-7.0,5.0,8614.0,8418.0,9105.0,6363.0,6.0,10.0,-5.0,1.0
2022-05-13 15:28:50.721200-07:00,1876.2,553.8,1066.9,1283.7,871.3,1184.1,1246.2,1274.7,3439.5,3445.5,1446.0,1223.9,1243.5,3440.7,987.6,1369.4,3444.3,3434.6,698.7,1295.4,900.8,553.8,1374.8,1603.0,3445.5,3434.6,640.0,962.0,1192.0,1335.9,1148.9,959.4,-5.0,0.0,0.0,-4370.0,-6183.0,-12480.0,-7441.0,-1.0,-7.0,-6.0,6.0,-3.0,6.0,8612.0,8418.0,9107.0,6362.0,-2.0,4.0,-7.0,1.0
2022-05-13 15:28:50.768167-07:00,1876.2,552.2,1073.8,1273.9,871.3,1184.1,1246.2,1268.5,3439.5,3444.3,1446.0,1223.9,1243.5,3440.7,987.6,1363.0,3440.7,3434.6,698.7,1295.4,903.4,554.6,1375.7,1603.0,3449.1,3434.6,640.0,962.0,1197.4,1338.6,1150.6,959.4,-1.0,5.0,5.0,-4371.0,-6184.0,-12479.0,-7441.0,-2.0,-3.0,4.0,9.0,-1.0,1.0,8612.0,8418.0,9107.0,6362.0,-1.0,0.0,-1.0,1.0
2022-05-13 15:28:50.813410-07:00,1876.2,552.2,1073.8,1273.9,863.7,1175.3,1242.6,1268.5,3443.1,3444.3,1446.0,1223.9,1248.0,3444.3,985.9,1363.0,3440.7,3438.2,701.9,1294.5,903.4,554.6,1375.7,1602.1,3449.1,3449.1,642.4,968.8,1197.4,1338.6,1150.6,952.6,-2.0,6.0,6.0,-4372.0,-6186.0,-12479.0,-7438.0,11.0,-13.0,-1.0,8.0,0.0,5.0,8612.0,8417.0,9108.0,6361.0,5.0,-1.0,-7.0,1.0
2022-05-13 15:28:50.858519-07:00,1876.2,554.6,1068.6,1281.9,863.7,1175.3,1241.7,1269.4,3443.1,3445.5,1445.1,1225.7,1248.0,3444.3,982.5,1367.6,3438.2,3439.5,701.9,1294.5,902.5,558.6,1373.9,1602.1,3438.2,3441.9,642.4,968.8,1188.5,1338.6,1146.3,952.6,0.0,-3.0,4.0,-4373.0,-6187.0,-12479.0,-7438.0,3.0,3.0,5.0,10.0,-3.0,5.0,8612.0,8417.0,9108.0,6361.0,2.0,7.0,-1.0,1.0
2022-05-13 15:28:50.947581-07:00,1888.9,554.6,1068.6,1281.9,862.9,1173.5,1241.7,1269.4,3439.5,3445.5,1445.1,1225.7,1246.2,3439.5,982.5,1367.6,3438.2,3439.5,705.2,1300.7,902.5,558.6,1370.3,1600.2,3438.2,3441.9,640.8,970.5,1188.5,1338.6,1146.3,960.2,-4.0,2.0,1.0,-4373.0,-6187.0,-12479.0,-7437.0,-8.0,0.0,-3.0,6.0,4.0,6.0,8612.0,8417.0,9108.0,6361.0,-5.0,5.0,-6.0,1.0
2022-05-13 15:28:50.992279-07:00,1888.9,554.6,1072.9,1271.2,862.9,1173.5,1244.4,1270.3,3439.5,3445.5,1447.9,1223.9,1246.2,3439.5,985.9,1366.6,3434.6,3438.2,705.2,1300.7,902.5,556.2,1370.3,1600.2,3451.6,3443.1,640.8,970.5,1198.2,1338.6,1146.3,960.2,-4.0,12.0,1.0,-4373.0,-6189.0,-12480.0,-7434.0,11.0,-10.0,-6.0,4.0,2.0,3.0,8613.0,8417.0,9108.0,6361.0,4.0,2.0,-13.0,1.0
2022-05-13 15:28:51.083045-07:00,1886.0,546.6,1072.9,1271.2,872.1,1177.9,1244.4,1270.3,3438.2,3438.2,1447.9,1223.9,1246.2,3441.9,985.9,1366.6,3434.6,3438.2,705.2,1294.5,902.5,556.2,1375.7,1602.1,3451.6,3443.1,642.4,965.4,1198.2,1338.6,1148.0,962.8,-1.0,-3.0,4.0,-4374.0,-6188.0,-12482.0,-7430.0,20.0,2.0,0.0,5.0,-3.0,4.0,8613.0,8416.0,9110.0,6359.0,13.0,7.0,-6.0,1.0
2022-05-13 15:28:51.128751-07:00,1886.0,546.6,1070.3,1273.9,872.1,1177.9,1248.8,1266.7,3438.2,3438.2,1448.8,1229.3,1246.2,3441.9,982.5,1362.1,3439.5,3443.1,705.2,1294.5,899.1,555.4,1375.7,1602.1,3438.2,3451.6,642.4,965.4,1188.5,1338.6,1148.0,962.8,1.0,2.0,2.0,-4373.0,-6188.0,-12483.0,-7429.0,-12.0,-8.0,-5.0,8.0,1.0,5.0,8613.0,8415.0,9110.0,6359.0,-13.0,1.0,-9.0,1.0
2022-05-13 15:28:51.130382-07:00,1879.1,551.4,1071.2,1273.9,864.6,1182.3,1248.8,1266.7,3438.2,3439.5,1433.2,1229.3,1243.5,3446.7,982.5,1362.1,3439.5,3443.1,701.1,1290.0,899.1,553.8,1371.2,1602.1,3438.2,3451.6,644.0,962.8,1188.5,1335.9,1147.1,950.9,-2.0,5.0,3.0,-4373.0,-6188.0,-12483.0,-7429.0,7.0,-4.0,6.0,6.0,1.0,8.0,8613.0,8415.0,9110.0,6359.0,6.0,4.0,-2.0,1.0
2022-05-13 15:28:51.173972-07:00,1879.1,551.4,1071.2,1281.0,864.6,1177.9,1231.9,1269.4,3438.2,3439.5,1433.2,1234.6,1243.5,3439.5,984.2,1369.4,3433.4,3433.4,698.7,1290.0,906.7,553.8,1371.2,1602.1,3446.7,3439.5,640.0,962.8,1197.4,1335.9,1147.1,950.9,-3.0,4.0,6.0,-4373.0,-6188.0,-12483.0,-7429.0,-9.0,5.0,0.0,6.0,0.0,0.0,8613.0,8415.0,9110.0,6359.0,-6.0,3.0,-4.0,1.0
