Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 15:33:25.903465-07:00,2010.4,555.4,1039.2,1259.6,861.2,1112.1,1330.5,1439.6,3445.5,3438.2,1611.5,1223.9,1222.2,3439.5,1103.4,1405.8,3435.8,3437.0,681.5,1291.8,884.8,530.6,1300.7,1591.7,3440.7,3440.7,700.3,947.5,1180.6,1348.5,1184.1,947.5,-3.0,3.0,3.0,-6598.0,-7406.0,-10276.0,-8028.0,11.0,2.0,-5.0,9.0,-1.0,-8.0,7969.0,5915.0,9601.0,8819.0,9.0,0.0,-5.0,1.0
2022-05-13 15:33:25.906563-07:00,2027.4,563.4,1034.9,1259.6,862.1,1112.1,1330.5,1439.6,3443.1,3439.5,1609.6,1223.9,1222.2,3439.5,1103.4,1405.8,3435.8,3437.0,681.5,1291.8,884.8,533.0,1298.1,1588.0,3440.7,3440.7,700.3,949.2,1180.6,1344.9,1178.8,945.8,0.0,6.0,0.0,-6595.0,-7408.0,-10279.0,-8025.0,2.0,1.0,-2.0,9.0,1.0,-7.0,7968.0,5917.0,9603.0,8817.0,0.0,-6.0,-3.0,1.0
2022-05-13 15:33:26.083709-07:00,2027.4,563.4,1034.9,1265.8,857.9,1119.1,1335.0,1442.4,3443.1,3439.5,1609.6,1234.6,1223.9,3443.1,1110.4,1405.8,3431.0,3429.8,679.1,1289.1,884.8,533.0,1298.1,1588.0,3441.9,3433.4,701.1,939.0,1177.9,1344.9,1178.8,945.8,-2.0,4.0,4.0,-6596.0,-7408.0,-10279.0,-8025.0,1.0,-5.0,5.0,7.0,1.0,-8.0,7968.0,5917.0,9602.0,8817.0,-2.0,-10.0,-1.0,1.0
2022-05-13 15:33:26.308696-07:00,2008.4,557.0,1036.6,1257.8,857.9,1119.1,1335.0,1442.4,3446.7,3438.2,1608.7,1231.9,1223.9,3443.1,1110.4,1405.8,3431.0,3429.8,679.1,1289.1,884.8,535.4,1301.6,1595.5,3441.9,3433.4,701.1,939.0,1180.6,1343.1,1167.4,952.6,-2.0,0.0,7.0,-6596.0,-7407.0,-10279.0,-8025.0,-5.0,-5.0,-3.0,7.0,-1.0,-11.0,7971.0,5919.0,9600.0,8815.0,-1.0,-10.0,0.0,1.0
2022-05-13 15:33:26.310837-07:00,2008.4,557.0,1036.6,1257.8,852.8,1120.0,1324.1,1452.5,3446.7,3438.2,1608.7,1231.9,1223.9,3441.9,1108.6,1404.0,3449.1,3439.5,686.4,1293.6,884.8,535.4,1301.6,1595.5,3445.5,3441.9,699.5,945.8,1180.6,1343.1,1167.4,952.6,2.0,4.0,-2.0,-6596.0,-7407.0,-10278.0,-8025.0,-2.0,1.0,8.0,14.0,-5.0,-11.0,7972.0,5920.0,9599.0,8815.0,1.0,-14.0,2.0,1.0
2022-05-13 15:33:26.311934-07:00,2004.5,560.2,1034.9,1252.4,852.8,1120.0,1324.1,1452.5,3438.2,3441.9,1608.7,1235.5,1223.9,3441.9,1108.6,1404.0,3449.1,3439.5,686.4,1293.6,884.8,535.4,1300.7,1587.1,3445.5,3441.9,699.5,945.8,1182.3,1346.7,1177.9,954.3,-8.0,9.0,26.0,-6603.0,-7413.0,-10275.0,-8019.0,1.0,-35.0,-7.0,1.0,-2.0,1.0,7976.0,5924.0,9595.0,8812.0,-5.0,-19.0,-8.0,1.0
2022-05-13 15:33:26.400068-07:00,2004.5,560.2,1034.9,1252.4,857.0,1107.8,1324.1,1441.5,3438.2,3441.9,1608.7,1235.5,1223.0,3434.6,1111.2,1409.4,3435.8,3428.6,681.5,1293.6,884.8,535.4,1300.7,1587.1,3441.9,3435.8,702.8,946.6,1182.3,1346.7,1177.9,954.3,-5.0,6.0,13.0,-6605.0,-7407.0,-10278.0,-8019.0,41.0,21.0,-4.0,6.0,2.0,0.0,7976.0,5923.0,9600.0,8808.0,30.0,21.0,-8.0,1.0
2022-05-13 15:33:26.444687-07:00,2002.5,556.2,1053.9,1255.1,857.0,1107.8,1324.1,1434.1,3438.2,3441.9,1610.5,1239.1,1223.0,3434.6,1111.2,1407.6,3431.0,3428.6,681.5,1293.6,885.6,528.2,1303.4,1591.7,3449.1,3435.8,702.8,946.6,1182.3,1356.7,1181.5,956.8,1.0,1.0,-2.0,-6596.0,-7404.0,-10287.0,-8018.0,7.0,24.0,-13.0,9.0,-4.0,-16.0,7970.0,5921.0,9609.0,8805.0,5.0,16.0,-9.0,1.0
2022-05-13 15:33:26.446444-07:00,2009.4,556.2,1053.9,1255.1,856.2,1116.5,1325.9,1434.1,3441.9,3441.9,1610.5,1239.1,1223.0,3439.5,1107.8,1407.6,3431.0,3431.0,676.6,1292.7,885.6,528.2,1303.4,1593.6,3449.1,3441.9,697.0,945.8,1182.3,1356.7,1181.5,950.0,0.0,4.0,12.0,-6600.0,-7408.0,-10289.0,-8009.0,1.0,-18.0,-4.0,8.0,-2.0,-5.0,7974.0,5925.0,9609.0,8799.0,-1.0,-14.0,-5.0,1.0
2022-05-13 15:33:26.447712-07:00,2011.4,559.4,1045.2,1262.2,857.9,1121.7,1323.2,1433.2,3437.0,3444.3,1616.2,1231.0,1222.2,3443.1,1104.3,1409.4,3445.5,3443.1,683.1,1289.1,882.3,540.2,1300.7,1590.8,3445.5,3439.5,692.9,946.6,1178.8,1347.6,1180.6,950.9,-8.0,0.0,2.0,-6599.0,-7406.0,-10290.0,-8010.0,18.0,13.0,6.0,4.0,-3.0,-6.0,7973.0,5925.0,9609.0,8798.0,17.0,2.0,2.0,1.0
2022-05-13 15:33:26.448881-07:00,2013.4,557.0,1045.2,1262.2,853.7,1110.4,1328.7,1433.2,3435.8,3440.7,1616.2,1231.0,1220.4,3444.3,1109.5,1409.4,3445.5,3432.2,680.7,1291.8,882.3,540.2,1300.7,1590.8,3445.5,3438.2,697.0,949.2,1178.8,1347.6,1179.7,953.4,-7.0,13.0,-3.0,-6593.0,-7411.0,-10293.0,-8006.0,14.0,-1.0,4.0,1.0,0.0,-10.0,7970.0,5930.0,9614.0,8793.0,17.0,-7.0,-2.0,1.0
2022-05-13 15:33:26.548626-07:00,2013.4,557.0,1038.3,1252.4,853.7,1110.4,1327.8,1441.5,3435.8,3440.7,1606.8,1233.7,1220.4,3444.3,1108.6,1411.3,3444.3,3437.0,680.7,1291.8,883.9,530.6,1300.7,1590.8,3451.6,3437.0,697.0,949.2,1176.2,1344.9,1179.7,953.4,-4.0,5.0,2.0,-6595.0,-7413.0,-10293.0,-8003.0,13.0,-26.0,-2.0,5.0,0.0,-9.0,7972.0,5931.0,9615.0,8790.0,8.0,-15.0,-13.0,1.0
2022-05-13 15:33:26.765195-07:00,2008.4,550.6,1038.3,1252.4,858.7,1108.6,1327.8,1441.5,3438.2,3438.2,1606.8,1233.7,1228.4,3439.5,1108.6,1411.3,3444.3,3437.0,678.2,1290.9,883.9,530.6,1299.8,1588.0,3451.6,3437.0,697.9,945.8,1176.2,1344.9,1175.3,950.0,1.0,5.0,9.0,-6600.0,-7417.0,-10290.0,-7999.0,-1.0,-1.0,1.0,10.0,0.0,-2.0,7976.0,5933.0,9612.0,8788.0,4.0,-7.0,-2.0,1.0
2022-05-13 15:33:26.766334-07:00,2008.4,550.6,1034.9,1256.9,858.7,1108.6,1325.9,1443.3,3438.2,3438.2,1604.0,1236.4,1228.4,3439.5,1113.0,1407.6,3433.4,3441.9,678.2,1290.9,878.0,539.4,1299.8,1588.0,3440.7,3439.5,697.9,945.8,1182.3,1344.9,1175.3,950.0,-2.0,10.0,6.0,-6599.0,-7418.0,-10291.0,-7998.0,18.0,-6.0,2.0,9.0,0.0,-6.0,7976.0,5935.0,9613.0,8786.0,13.0,-1.0,-5.0,1.0
2022-05-13 15:33:26.767305-07:00,2012.4,551.4,1034.9,1256.9,866.3,1105.1,1325.9,1443.3,3444.3,3444.3,1604.0,1236.4,1221.3,3444.3,1113.0,1407.6,3433.4,3441.9,679.9,1288.2,878.0,539.4,1301.6,1593.6,3440.7,3439.5,698.7,944.1,1182.3,1344.9,1170.9,953.4,-4.0,6.0,6.0,-6599.0,-7417.0,-10292.0,-7996.0,13.0,10.0,-10.0,3.0,0.0,-4.0,7976.0,5935.0,9613.0,8786.0,8.0,7.0,-8.0,1.0
2022-05-13 15:33:26.768285-07:00,2012.4,551.4,1042.6,1258.7,866.3,1120.0,1322.3,1435.0,3444.3,3444.3,1614.3,1229.3,1221.3,3435.8,1106.0,1406.7,3431.0,3438.2,678.2,1288.2,885.6,537.8,1301.6,1593.6,3438.2,3446.7,698.7,944.1,1184.1,1346.7,1170.9,953.4,-7.0,5.0,-1.0,-6594.0,-7412.0,-10298.0,-7997.0,15.0,16.0,-4.0,2.0,-3.0,-10.0,7973.0,5934.0,9616.0,8786.0,13.0,15.0,-8.0,1.0
2022-05-13 15:33:26.769258-07:00,2003.5,555.4,1050.4,1258.7,857.0,1120.0,1322.3,1435.0,3451.6,3438.2,1603.0,1229.3,1222.2,3435.8,1106.0,1406.7,3431.0,3438.2,678.2,1293.6,885.6,530.6,1296.3,1589.9,3438.2,3446.7,698.7,946.6,1184.1,1346.7,1167.4,954.3,-10.0,2.0,-1.0,-6590.0,-7410.0,-10305.0,-7995.0,4.0,13.0,-14.0,2.0,-3.0,-8.0,7971.0,5932.0,9620.0,8785.0,1.0,6.0,-9.0,1.0
