Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 15:35:18.905094-07:00,1029.7,697.0,1069.5,943.2,805.2,734.0,1712.9,1164.7,3469.8,3457.6,1101.7,875.5,1288.2,3473.4,1238.2,1066.0,3469.8,3480.7,1126.1,1428.6,1948.9,2555.1,1298.1,3496.6,3473.4,3483.2,676.6,748.8,1463.5,894.1,841.9,739.7,2.0,1.0,8.0,9969.0,-11842.0,-2315.0,4844.0,3.0,-1.0,-5.0,-4.0,4.0,-3.0,1474.0,-4105.0,-13478.0,8231.0,3.0,6.0,-3.0,1.0
2022-05-13 15:35:18.906272-07:00,1041.8,699.5,1066.0,943.2,823.5,734.8,1712.9,1164.7,3472.2,3478.3,1106.0,875.5,1281.9,3462.5,1238.2,1066.0,3469.8,3480.7,1117.4,1424.1,1948.9,2548.7,1295.4,3486.8,3473.4,3483.2,672.5,745.5,1463.5,896.6,842.8,763.7,1.0,-3.0,4.0,9969.0,-11842.0,-2315.0,4844.0,1.0,6.0,-2.0,-3.0,6.0,-8.0,1474.0,-4105.0,-13478.0,8232.0,-3.0,2.0,2.0,1.0
2022-05-13 15:35:18.907425-07:00,1041.8,699.5,1066.0,954.3,823.5,735.6,1710.0,1163.8,3472.2,3478.3,1106.0,882.3,1281.9,3467.4,1243.5,1067.7,3477.1,3469.8,1123.5,1424.1,1964.7,2548.7,1295.4,3486.8,3471.0,3474.6,671.7,745.5,1471.8,896.6,842.8,763.7,0.0,-1.0,2.0,9967.0,-11844.0,-2315.0,4844.0,-6.0,-2.0,1.0,-5.0,2.0,-10.0,1474.0,-4105.0,-13479.0,8230.0,-4.0,7.0,1.0,1.0
2022-05-13 15:35:18.930027-07:00,1036.6,693.8,1083.4,954.3,811.0,735.6,1710.0,1163.8,3473.4,3474.6,1110.4,882.3,1291.8,3467.4,1243.5,1067.7,3477.1,3469.8,1123.5,1430.5,1964.7,2549.7,1294.5,3481.9,3471.0,3474.6,671.7,749.6,1471.8,883.9,804.4,738.9,0.0,-2.0,1.0,9967.0,-11844.0,-2315.0,4844.0,1.0,-3.0,0.0,-5.0,7.0,-8.0,1474.0,-4105.0,-13479.0,8230.0,0.0,2.0,-1.0,1.0
2022-05-13 15:35:18.930771-07:00,1036.6,693.8,1083.4,950.0,811.0,729.9,1718.6,1162.1,3473.4,3474.6,1110.4,878.0,1291.8,3467.4,1240.8,1060.8,3472.2,3468.6,1129.6,1430.5,1959.8,2549.7,1294.5,3481.9,3477.1,3473.4,675.0,749.6,1470.0,883.9,804.4,738.9,0.0,-3.0,2.0,9967.0,-11844.0,-2315.0,4844.0,-1.0,-4.0,-1.0,-4.0,1.0,-5.0,1474.0,-4105.0,-13479.0,8230.0,3.0,2.0,-1.0,1.0
2022-05-13 15:35:18.976546-07:00,1032.3,692.1,1069.5,950.0,813.5,729.9,1718.6,1162.1,3471.0,3473.4,1101.7,878.0,1286.4,3467.4,1240.8,1060.8,3472.2,3468.6,1129.6,1428.6,1959.8,2549.7,1291.8,3486.8,3477.1,3473.4,675.0,748.8,1470.0,895.7,841.1,743.9,0.0,0.0,4.0,9967.0,-11844.0,-2315.0,4844.0,0.0,-6.0,-2.0,-5.0,6.0,-9.0,1474.0,-4105.0,-13479.0,8230.0,3.0,-1.0,-3.0,1.0
2022-05-13 15:35:19.018916-07:00,1032.3,692.1,1069.5,952.6,810.2,742.2,1711.0,1162.1,3471.0,3473.4,1101.7,872.1,1289.1,3473.4,1248.0,1065.1,3464.9,3475.9,1122.6,1430.5,1946.9,2549.7,1291.8,3486.8,3483.2,3472.2,675.0,748.8,1470.9,895.7,841.1,743.9,0.0,-3.0,5.0,9967.0,-11844.0,-2315.0,4844.0,6.0,-4.0,-13.0,-7.0,2.0,-7.0,1474.0,-4105.0,-13479.0,8230.0,5.0,-2.0,-5.0,1.0
2022-05-13 15:35:19.108994-07:00,1038.3,700.3,1058.2,956.8,810.2,742.2,1711.0,1162.1,3483.2,3469.8,1105.1,877.2,1289.1,3473.4,1248.0,1065.1,3464.9,3475.9,1122.6,1430.5,1961.8,2560.5,1288.2,3491.7,3483.2,3472.2,675.0,748.8,1473.6,893.2,837.7,758.7,-5.0,-3.0,2.0,9968.0,-11843.0,-2318.0,4842.0,-21.0,1.0,4.0,-5.0,8.0,-5.0,1474.0,-4105.0,-13479.0,8229.0,-14.0,2.0,-1.0,1.0
2022-05-13 15:35:19.110862-07:00,1038.3,700.3,1058.2,956.8,807.7,730.7,1713.8,1167.4,3483.2,3469.8,1105.1,877.2,1297.2,3475.9,1241.7,1070.3,3479.5,3479.5,1116.5,1418.6,1961.8,2560.5,1288.2,3491.7,3478.3,3477.1,670.9,743.9,1473.6,893.2,837.7,758.7,4.0,3.0,3.0,9962.0,-11848.0,-2319.0,4843.0,-4.0,-5.0,1.0,-2.0,8.0,-8.0,1472.0,-4105.0,-13482.0,8225.0,-1.0,7.0,0.0,1.0
2022-05-13 15:35:19.198982-07:00,1034.0,688.9,1054.8,949.2,807.7,730.7,1713.8,1167.4,3477.1,3467.4,1105.1,868.8,1297.2,3475.9,1241.7,1070.3,3479.5,3479.5,1116.5,1418.6,1959.8,2547.6,1292.7,3507.5,3478.3,3477.1,670.9,743.9,1471.8,896.6,838.6,742.2,6.0,-2.0,5.0,9962.0,-11848.0,-2318.0,4842.0,-5.0,16.0,-10.0,0.0,4.0,-7.0,1474.0,-4106.0,-13482.0,8225.0,-4.0,10.0,1.0,1.0
