Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 15:40:50.563786-07:00,1877.2,533.8,1066.9,1239.1,841.9,1172.6,1396.7,1419.5,3441.9,3444.3,1451.6,1200.9,1202.7,3444.3,1047.8,1320.5,3428.6,3440.7,712.6,1384.8,908.4,537.8,1239.9,1567.4,3441.9,3450.4,647.3,922.8,1177.0,1325.0,1159.4,911.8,3.0,7.0,0.0,-6677.0,-10148.0,-9053.0,-6238.0,26.0,-14.0,-11.0,6.0,-1.0,0.0,9830.0,12392.0,-2202.0,-3660.0,7.0,-2.0,-4.0,1.0
2022-05-13 15:40:50.564926-07:00,1873.2,529.8,1066.9,1239.1,846.1,1173.5,1396.7,1419.5,3439.5,3444.3,1451.6,1200.9,1199.1,3445.5,1047.8,1320.5,3428.6,3440.7,712.6,1382.1,908.4,537.8,1233.7,1560.9,3441.9,3450.4,641.6,922.0,1177.0,1325.0,1156.8,909.3,-3.0,-4.0,10.0,-6685.0,-10145.0,-9053.0,-6235.0,-40.0,2.0,-4.0,0.0,-5.0,1.0,9835.0,12386.0,-2204.0,-3665.0,-28.0,-15.0,3.0,1.0
2022-05-13 15:40:50.654131-07:00,1873.2,529.8,1067.7,1226.6,846.1,1170.0,1404.0,1426.8,3439.5,3444.3,1449.7,1195.6,1199.1,3443.1,1041.8,1321.4,3441.9,3435.8,711.8,1382.1,911.0,537.0,1233.7,1560.9,3444.3,3441.9,640.0,922.0,1169.1,1317.8,1156.8,909.3,4.0,13.0,0.0,-6688.0,-10143.0,-9050.0,-6238.0,17.0,0.0,1.0,6.0,3.0,0.0,9838.0,12384.0,-2204.0,-3667.0,5.0,-4.0,-1.0,1.0
2022-05-13 15:40:50.655274-07:00,1871.3,537.0,1062.5,1226.6,845.3,1170.0,1404.0,1426.8,3445.5,3443.1,1453.4,1195.6,1202.7,3443.1,1041.8,1321.4,3441.9,3435.8,711.8,1378.5,911.0,535.4,1237.3,1567.4,3444.3,3441.9,640.0,924.5,1169.1,1323.2,1154.2,911.8,7.0,0.0,5.0,-6688.0,-10142.0,-9055.0,-6234.0,-12.0,3.0,-19.0,8.0,0.0,2.0,9840.0,12382.0,-2203.0,-3667.0,-21.0,-6.0,-4.0,1.0
2022-05-13 15:40:50.833297-07:00,1871.3,537.0,1062.5,1224.8,845.3,1171.8,1400.3,1417.6,3445.5,3443.1,1453.4,1203.5,1202.7,3434.6,1040.9,1325.9,3443.1,3434.6,712.6,1378.5,904.2,535.4,1237.3,1567.4,3437.0,3433.4,644.0,924.5,1165.6,1323.2,1154.2,911.8,5.0,6.0,6.0,-6694.0,-10138.0,-9052.0,-6238.0,-22.0,7.0,-1.0,5.0,-2.0,2.0,9845.0,12377.0,-2203.0,-3670.0,-15.0,-9.0,4.0,1.0
2022-05-13 15:40:50.835895-07:00,1874.2,529.0,1066.9,1224.8,842.8,1171.8,1400.3,1417.6,3445.5,3449.1,1447.0,1203.5,1208.9,3434.6,1040.9,1325.9,3443.1,3434.6,712.6,1378.5,904.2,533.0,1236.4,1559.9,3437.0,3433.4,644.0,922.8,1165.6,1325.0,1160.3,908.4,-1.0,1.0,9.0,-6701.0,-10132.0,-9050.0,-6243.0,-25.0,1.0,-7.0,4.0,-3.0,1.0,9853.0,12370.0,-2202.0,-3674.0,-26.0,-10.0,-1.0,1.0
2022-05-13 15:40:50.836891-07:00,1874.2,529.0,1066.9,1246.2,842.8,1170.9,1404.9,1411.3,3445.5,3449.1,1447.0,1202.7,1208.9,3440.7,1036.6,1325.0,3439.5,3449.1,711.8,1378.5,913.5,533.0,1236.4,1559.9,3441.9,3437.0,641.6,922.8,1163.8,1325.0,1160.3,908.4,-2.0,0.0,7.0,-6702.0,-10129.0,-9050.0,-6247.0,1.0,5.0,-1.0,5.0,-8.0,5.0,9856.0,12367.0,-2203.0,-3675.0,-2.0,-3.0,-1.0,1.0
2022-05-13 15:40:50.876913-07:00,1877.2,531.4,1062.5,1246.2,843.6,1170.9,1404.9,1411.3,3446.7,3438.2,1448.8,1202.7,1210.6,3440.7,1036.6,1325.0,3439.5,3449.1,711.8,1382.1,913.5,537.0,1234.6,1562.7,3441.9,3437.0,641.6,916.9,1163.8,1325.0,1152.4,916.9,4.0,4.0,5.0,-6700.0,-10130.0,-9053.0,-6244.0,-1.0,0.0,-7.0,7.0,1.0,1.0,9856.0,12367.0,-2203.0,-3675.0,-4.0,-6.0,-4.0,1.0
2022-05-13 15:40:50.922967-07:00,1877.2,531.4,1062.5,1231.9,843.6,1172.6,1404.9,1421.3,3446.7,3438.2,1448.8,1201.8,1206.2,3438.2,1047.0,1324.1,3432.2,3435.8,711.8,1380.3,908.4,537.0,1234.6,1562.7,3446.7,3438.2,645.7,922.8,1175.3,1325.0,1152.4,916.9,3.0,0.0,5.0,-6703.0,-10126.0,-9051.0,-6248.0,-18.0,9.0,7.0,5.0,-6.0,-1.0,9858.0,12364.0,-2203.0,-3678.0,-9.0,-6.0,6.0,1.0
2022-05-13 15:40:50.966834-07:00,1868.4,528.2,1066.9,1228.4,843.6,1172.6,1404.9,1421.3,3437.0,3439.5,1456.2,1201.8,1206.2,3438.2,1047.0,1324.1,3432.2,3435.8,711.8,1380.3,904.2,539.4,1235.5,1569.3,3446.7,3438.2,645.7,922.8,1169.1,1321.4,1161.2,907.6,2.0,7.0,4.0,-6703.0,-10129.0,-9052.0,-6244.0,18.0,-16.0,-13.0,6.0,0.0,2.0,9858.0,12364.0,-2203.0,-3678.0,5.0,-7.0,-9.0,1.0
