Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 15:40:50.482912-07:00,1031.4,651.4,1000.5,892.4,753.8,764.5,1572.1,1185.9,3471.0,3471.0,1113.0,861.2,1266.7,3463.7,1210.6,1044.4,3472.2,3480.7,1283.7,1553.4,2123.0,2676.6,1234.6,3488.0,3478.3,3478.3,700.3,778.6,1407.6,907.6,873.0,713.4,-3.0,7.0,3.0,9580.0,-13136.0,248.0,2010.0,4.0,9.0,-7.0,0.0,7.0,0.0,2055.0,-6350.0,-13351.0,6756.0,3.0,4.0,2.0,1.0
2022-05-13 15:40:50.570585-07:00,1031.4,651.4,1004.8,883.9,753.8,764.5,1572.1,1196.5,3471.0,3466.1,1113.9,852.8,1266.7,3463.7,1210.6,1051.3,3475.9,3480.7,1283.7,1553.4,2124.0,2679.9,1239.9,3488.0,3483.2,3478.3,700.3,778.6,1417.6,901.7,869.6,713.4,-4.0,4.0,5.0,9578.0,-13137.0,250.0,2012.0,-7.0,3.0,17.0,-3.0,5.0,-3.0,2055.0,-6350.0,-13351.0,6756.0,-6.0,-3.0,4.0,1.0
2022-05-13 15:40:50.572139-07:00,1033.2,666.8,1004.8,883.9,745.5,760.4,1568.3,1196.5,3474.6,3467.4,1113.9,852.8,1260.4,3469.8,1207.1,1051.3,3475.9,3469.8,1281.9,1553.4,2124.0,2679.9,1239.1,3492.9,3483.2,3474.6,693.8,776.9,1417.6,901.7,864.6,715.9,-4.0,7.0,2.0,9578.0,-13137.0,251.0,2012.0,3.0,-5.0,-11.0,-3.0,6.0,-3.0,2055.0,-6350.0,-13351.0,6756.0,-3.0,-4.0,-2.0,1.0
2022-05-13 15:40:50.616355-07:00,1033.2,666.8,1000.5,892.4,745.5,760.4,1573.9,1181.5,3474.6,3467.4,1112.1,856.2,1260.4,3469.8,1208.0,1047.0,3478.3,3467.4,1281.9,1553.4,2124.0,2665.7,1239.1,3492.9,3478.3,3478.3,693.8,776.9,1426.8,900.0,864.6,715.9,1.0,4.0,9.0,9578.0,-13137.0,249.0,2013.0,4.0,-3.0,-1.0,0.0,3.0,-5.0,2055.0,-6350.0,-13351.0,6756.0,12.0,-3.0,-2.0,1.0
2022-05-13 15:40:50.661345-07:00,1031.4,652.2,1000.5,892.4,752.1,762.0,1573.9,1181.5,3473.4,3471.0,1112.1,856.2,1270.3,3463.7,1208.0,1047.0,3478.3,3467.4,1285.5,1554.3,2124.0,2665.7,1237.3,3501.4,3478.3,3478.3,694.6,783.6,1426.8,900.0,865.4,715.9,0.0,6.0,8.0,9585.0,-13132.0,250.0,2013.0,15.0,2.0,-3.0,2.0,5.0,-2.0,2058.0,-6349.0,-13348.0,6762.0,15.0,3.0,2.0,1.0
2022-05-13 15:40:50.705923-07:00,1031.4,652.2,1000.5,896.6,752.1,762.0,1559.0,1196.5,3473.4,3471.0,1112.1,860.4,1270.3,3463.7,1206.2,1041.8,3471.0,3478.3,1285.5,1554.3,2126.0,2666.8,1237.3,3501.4,3472.2,3478.3,694.6,783.6,1426.8,905.9,865.4,715.9,-6.0,0.0,5.0,9585.0,-13132.0,250.0,2013.0,-2.0,4.0,-3.0,0.0,3.0,0.0,2058.0,-6349.0,-13348.0,6762.0,-3.0,3.0,1.0,1.0
2022-05-13 15:40:50.749321-07:00,1038.3,652.2,1000.5,896.6,752.9,762.9,1559.0,1196.5,3472.2,3471.0,1112.1,860.4,1265.8,3471.0,1206.2,1041.8,3471.0,3478.3,1278.3,1553.4,2126.0,2666.8,1231.0,3492.9,3472.2,3478.3,692.1,788.6,1426.8,905.9,861.2,716.7,-3.0,9.0,7.0,9584.0,-13132.0,252.0,2015.0,-4.0,-2.0,11.0,-7.0,7.0,-6.0,2058.0,-6349.0,-13348.0,6762.0,-6.0,-4.0,3.0,1.0
2022-05-13 15:40:50.841011-07:00,1038.3,652.2,1008.2,893.2,752.9,757.9,1574.9,1193.8,3472.2,3471.0,1109.5,862.9,1265.8,3468.6,1209.7,1045.2,3472.2,3478.3,1276.5,1553.4,2125.0,2675.5,1231.0,3492.9,3471.0,3480.7,696.2,788.6,1430.5,905.9,861.2,716.7,-4.0,1.0,1.0,9584.0,-13133.0,252.0,2015.0,-9.0,5.0,-5.0,-3.0,2.0,-5.0,2057.0,-6349.0,-13349.0,6760.0,-2.0,-1.0,0.0,1.0
2022-05-13 15:40:50.842069-07:00,1040.1,653.8,997.9,893.2,748.0,757.9,1574.9,1193.8,3467.4,3481.9,1109.5,862.9,1266.7,3468.6,1209.7,1045.2,3472.2,3478.3,1276.5,1556.2,2125.0,2666.8,1236.4,3507.5,3471.0,3480.7,696.2,784.4,1430.5,898.3,864.6,716.7,0.0,6.0,1.0,9584.0,-13133.0,251.0,2015.0,6.0,-10.0,4.0,1.0,5.0,-4.0,2058.0,-6349.0,-13348.0,6762.0,13.0,-4.0,-5.0,1.0
2022-05-13 15:40:50.930832-07:00,1040.1,653.8,997.9,887.3,748.0,757.9,1583.3,1195.6,3467.4,3481.9,1109.5,854.5,1266.7,3478.3,1207.1,1043.5,3483.2,3464.9,1271.2,1556.2,2120.9,2666.8,1236.4,3507.5,3479.5,3474.6,688.0,784.4,1428.6,898.3,864.6,716.7,-3.0,-2.0,10.0,9586.0,-13131.0,246.0,2020.0,14.0,-14.0,-11.0,0.0,2.0,-1.0,2059.0,-6348.0,-13347.0,6764.0,15.0,3.0,-2.0,1.0
2022-05-13 15:40:50.976263-07:00,1038.3,652.2,1011.6,887.3,746.3,757.9,1583.3,1195.6,3471.0,3463.7,1106.9,854.5,1259.6,3478.3,1207.1,1043.5,3483.2,3464.9,1271.2,1554.3,2120.9,2658.0,1236.4,3494.1,3479.5,3474.6,688.0,779.4,1428.6,909.3,854.5,711.8,0.0,7.0,9.0,9589.0,-13128.0,245.0,2022.0,-1.0,3.0,6.0,1.0,6.0,-1.0,2060.0,-6348.0,-13346.0,6766.0,-6.0,3.0,2.0,1.0
2022-05-13 15:40:51.021925-07:00,1038.3,652.2,1011.6,890.7,746.3,757.9,1568.3,1185.9,3471.0,3463.7,1106.9,849.5,1259.6,3472.2,1214.2,1044.4,3462.5,3477.1,1279.2,1554.3,2108.8,2658.0,1236.4,3494.1,3467.4,3473.4,699.5,779.4,1425.0,909.3,854.5,711.8,0.0,3.0,0.0,9587.0,-13129.0,245.0,2022.0,-6.0,-2.0,0.0,-3.0,7.0,-6.0,2059.0,-6348.0,-13347.0,6764.0,0.0,2.0,4.0,1.0
2022-05-13 15:40:51.065539-07:00,1035.7,647.3,1003.0,890.7,745.5,757.9,1568.3,1185.9,3471.0,3473.4,1107.8,849.5,1272.1,3472.2,1214.2,1044.4,3462.5,3477.1,1279.2,1557.1,2108.8,2662.4,1233.7,3500.2,3467.4,3473.4,699.5,782.7,1425.0,906.7,862.9,716.7,-4.0,5.0,5.0,9587.0,-13129.0,245.0,2022.0,4.0,-2.0,3.0,-1.0,4.0,-3.0,2059.0,-6348.0,-13347.0,6764.0,7.0,3.0,0.0,1.0
2022-05-13 15:40:51.109163-07:00,1035.7,647.3,1003.0,891.5,746.3,761.2,1565.5,1180.6,3471.0,3473.4,1107.8,859.5,1268.5,3478.3,1206.2,1045.2,3478.3,3479.5,1270.3,1553.4,2122.0,2662.4,1233.7,3500.2,3467.4,3468.6,697.9,779.4,1426.8,906.7,862.9,716.7,-1.0,4.0,4.0,9587.0,-13129.0,245.0,2022.0,6.0,-3.0,0.0,-1.0,1.0,0.0,2059.0,-6348.0,-13346.0,6765.0,5.0,3.0,-1.0,1.0
