Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 15:46:48.184195-07:00,1003.0,652.2,998.7,903.4,734.8,704.4,1579.6,1133.1,3472.2,3461.3,1054.8,830.2,1253.3,3475.9,1163.0,1062.5,3481.9,3469.8,1221.3,1479.2,2106.8,2655.8,1190.3,3495.3,3477.1,3471.0,679.1,755.4,1473.6,897.4,858.7,696.2,1.0,0.0,13.0,10959.0,-11991.0,1618.0,1384.0,-8.0,1.0,-1.0,0.0,3.0,-7.0,3703.0,-8073.0,-11684.0,7282.0,-4.0,3.0,4.0,1.0
2022-05-13 15:46:48.274021-07:00,1003.0,652.2,998.7,897.4,734.8,700.3,1597.4,1127.9,3472.2,3461.3,1054.8,832.7,1253.3,3479.5,1156.8,1061.7,3478.3,3475.9,1220.4,1479.2,2103.7,2655.8,1190.3,3495.3,3472.2,3467.4,683.1,755.4,1468.1,897.4,858.7,696.2,-1.0,-3.0,12.0,10959.0,-11992.0,1619.0,1383.0,0.0,9.0,1.0,-3.0,6.0,-7.0,3703.0,-8073.0,-11684.0,7282.0,-2.0,4.0,3.0,1.0
2022-05-13 15:46:48.321394-07:00,1003.0,656.2,997.0,899.1,735.6,700.3,1597.4,1127.9,3473.4,3469.8,1054.8,838.6,1248.0,3479.5,1156.8,1061.7,3478.3,3475.9,1220.4,1474.6,2108.8,2659.1,1200.0,3486.8,3472.2,3467.4,683.1,752.1,1471.8,895.7,854.5,702.8,1.0,-1.0,11.0,10957.0,-11994.0,1618.0,1384.0,-8.0,2.0,6.0,0.0,6.0,-12.0,3702.0,-8074.0,-11685.0,7281.0,4.0,1.0,2.0,1.0
2022-05-13 15:46:48.409069-07:00,1003.0,656.2,997.0,899.1,735.6,694.6,1596.4,1136.6,3473.4,3469.8,1054.8,838.6,1253.3,3464.9,1156.8,1066.0,3479.5,3472.2,1225.7,1484.7,2108.8,2659.1,1200.0,3486.8,3488.0,3474.6,679.9,751.3,1471.8,895.7,854.5,702.8,-2.0,0.0,8.0,10957.0,-11994.0,1618.0,1384.0,8.0,-2.0,-7.0,-2.0,6.0,-9.0,3702.0,-8073.0,-11684.0,7282.0,14.0,-3.0,-1.0,1.0
2022-05-13 15:46:48.411049-07:00,1009.9,646.5,997.9,903.4,735.6,694.6,1596.4,1136.6,3460.1,3477.1,1048.7,831.9,1253.3,3464.9,1156.8,1066.0,3479.5,3472.2,1225.7,1484.7,2114.9,2652.6,1191.2,3500.2,3488.0,3474.6,679.9,751.3,1473.6,905.9,855.3,698.7,2.0,-4.0,9.0,10957.0,-11994.0,1616.0,1387.0,-6.0,-13.0,3.0,1.0,8.0,-8.0,3704.0,-8072.0,-11682.0,7285.0,0.0,-3.0,-1.0,1.0
2022-05-13 15:46:48.453754-07:00,1009.9,646.5,997.9,903.4,736.5,698.7,1595.5,1132.2,3460.1,3477.1,1048.7,831.9,1255.1,3467.4,1161.2,1063.4,3474.6,3481.9,1221.3,1481.0,2114.9,2652.6,1191.2,3500.2,3477.1,3481.9,684.8,759.6,1473.6,905.9,855.3,698.7,4.0,-3.0,16.0,10956.0,-11995.0,1616.0,1386.0,0.0,10.0,-6.0,2.0,4.0,-7.0,3704.0,-8072.0,-11682.0,7285.0,1.0,8.0,1.0,1.0
2022-05-13 15:46:48.499723-07:00,1011.6,648.9,997.0,899.1,736.5,698.7,1595.5,1132.2,3471.0,3466.1,1049.6,828.5,1255.1,3467.4,1161.2,1063.4,3474.6,3481.9,1221.3,1481.0,2108.8,2633.0,1197.4,3490.5,3477.1,3481.9,684.8,759.6,1464.4,894.1,855.3,699.5,0.0,-2.0,10.0,10956.0,-11995.0,1616.0,1386.0,-8.0,8.0,4.0,0.0,9.0,-7.0,3704.0,-8072.0,-11682.0,7285.0,-5.0,5.0,3.0,1.0
2022-05-13 15:46:48.545492-07:00,1009.0,648.9,997.0,899.1,734.0,699.5,1596.4,1132.2,3475.9,3466.1,1049.6,828.5,1246.2,3468.6,1158.6,1055.6,3479.5,3479.5,1218.6,1470.0,2108.8,2633.0,1197.4,3495.3,3488.0,3483.2,679.9,758.7,1464.4,894.1,855.3,697.9,4.0,-3.0,13.0,10953.0,-11998.0,1618.0,1385.0,4.0,7.0,-3.0,0.0,8.0,-9.0,3704.0,-8073.0,-11683.0,7284.0,7.0,4.0,0.0,1.0
2022-05-13 15:46:48.589313-07:00,1009.0,654.6,991.9,911.0,734.0,699.5,1596.4,1135.7,3475.9,3480.7,1058.2,839.4,1246.2,3468.6,1158.6,1066.9,3473.4,3479.5,1218.6,1470.0,2097.7,2649.3,1195.6,3495.3,3480.7,3483.2,679.9,758.7,1463.5,896.6,852.8,697.9,0.0,-5.0,7.0,10953.0,-11998.0,1618.0,1385.0,-1.0,-9.0,1.0,-3.0,8.0,-11.0,3704.0,-8073.0,-11683.0,7284.0,5.0,2.0,-2.0,1.0
2022-05-13 15:46:48.634423-07:00,1010.8,654.6,991.9,911.0,737.3,706.0,1596.4,1135.7,3464.9,3480.7,1058.2,839.4,1255.1,3478.3,1158.6,1066.9,3473.4,3480.7,1225.7,1477.3,2097.7,2649.3,1195.6,3499.0,3480.7,3478.3,679.9,737.3,1463.5,896.6,852.8,701.9,2.0,-2.0,13.0,10953.0,-11998.0,1618.0,1385.0,1.0,-4.0,-3.0,0.0,4.0,-9.0,3704.0,-8073.0,-11683.0,7284.0,9.0,1.0,-2.0,1.0
