Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 15:48:31.791290-07:00,991.9,645.7,986.7,886.5,732.3,719.2,1617.1,1118.2,3474.6,3462.5,1091.2,834.4,1246.2,3471.0,1262.2,1081.6,3480.7,3472.2,1175.3,1459.8,2043.4,2600.4,1222.2,3486.8,3478.3,3488.0,685.6,740.6,1463.5,947.5,937.3,709.3,0.0,-2.0,19.0,10882.0,-12074.0,2047.0,235.0,-6.0,14.0,-7.0,-5.0,2.0,0.0,3706.0,-8388.0,-11594.0,7065.0,7.0,9.0,2.0,1.0
2022-05-13 15:48:31.880887-07:00,991.9,639.2,983.3,889.0,732.3,719.2,1617.1,1125.2,3474.6,3473.4,1090.3,838.6,1246.2,3471.0,1262.2,1086.8,3478.3,3472.2,1175.3,1459.8,2042.4,2617.8,1230.2,3486.8,3481.9,3488.0,685.6,740.6,1454.3,941.5,938.1,709.3,-5.0,-6.0,10.0,10884.0,-12072.0,2047.0,229.0,1.0,6.0,-8.0,-9.0,7.0,-4.0,3707.0,-8390.0,-11593.0,7064.0,-5.0,8.0,7.0,1.0
2022-05-13 15:48:31.924525-07:00,995.3,639.2,983.3,889.0,725.8,724.9,1620.9,1125.2,3473.4,3473.4,1090.3,838.6,1243.5,3475.9,1268.5,1086.8,3478.3,3480.7,1170.9,1454.3,2042.4,2617.8,1230.2,3486.8,3481.9,3479.5,676.6,736.5,1454.3,941.5,938.1,707.7,-3.0,-3.0,11.0,10885.0,-12071.0,2047.0,229.0,-7.0,7.0,-2.0,-6.0,6.0,-6.0,3707.0,-8390.0,-11593.0,7064.0,0.0,1.0,0.0,1.0
2022-05-13 15:48:31.968840-07:00,995.3,647.3,980.7,891.5,725.8,724.9,1620.9,1122.6,3473.4,3473.4,1089.5,836.1,1243.5,3475.9,1268.5,1090.3,3478.3,3480.7,1170.9,1454.3,2045.4,2595.0,1224.8,3486.8,3479.5,3479.5,676.6,736.5,1447.0,942.4,939.8,707.7,6.0,-2.0,14.0,10888.0,-12068.0,2047.0,228.0,11.0,-4.0,-2.0,0.0,6.0,-2.0,3710.0,-8389.0,-11592.0,7066.0,8.0,3.0,2.0,1.0
2022-05-13 15:48:32.013926-07:00,997.9,647.3,980.7,891.5,723.3,729.9,1615.2,1122.6,3473.4,3473.4,1089.5,836.1,1236.4,3462.5,1263.1,1090.3,3478.3,3473.4,1175.3,1451.6,2045.4,2595.0,1224.8,3497.8,3479.5,3478.3,673.3,738.9,1447.0,942.4,939.8,710.1,3.0,-6.0,19.0,10891.0,-12066.0,2045.0,227.0,-9.0,-5.0,7.0,-2.0,2.0,-2.0,3710.0,-8389.0,-11592.0,7066.0,0.0,-1.0,2.0,1.0
2022-05-13 15:48:32.059237-07:00,997.9,649.7,980.7,905.0,723.3,729.9,1615.2,1124.4,3473.4,3471.0,1088.6,838.6,1236.4,3462.5,1263.1,1087.7,3475.9,3473.4,1175.3,1451.6,2044.4,2616.7,1224.8,3497.8,3477.1,3478.3,673.3,738.9,1449.7,946.6,941.5,710.1,0.0,-5.0,15.0,10894.0,-12064.0,2045.0,225.0,-10.0,10.0,-1.0,-3.0,7.0,-2.0,3710.0,-8389.0,-11592.0,7066.0,-9.0,7.0,6.0,1.0
2022-05-13 15:48:32.194037-07:00,990.2,645.7,980.7,905.0,730.7,724.9,1605.8,1124.4,3474.6,3479.5,1088.6,838.6,1243.5,3475.9,1264.0,1087.7,3475.9,3473.4,1177.0,1453.4,2044.4,2616.7,1226.6,3492.9,3477.1,3471.0,680.7,735.6,1449.7,946.6,945.8,706.9,-2.0,-5.0,10.0,10895.0,-12063.0,2046.0,225.0,-7.0,6.0,5.0,-8.0,6.0,-7.0,3710.0,-8389.0,-11592.0,7066.0,-6.0,-1.0,5.0,1.0
2022-05-13 15:48:32.195955-07:00,990.2,645.7,983.3,881.4,730.7,724.9,1608.7,1132.2,3474.6,3479.5,1090.3,841.9,1243.5,3475.9,1259.6,1083.4,3467.4,3475.9,1177.0,1453.4,2043.4,2637.3,1226.6,3492.9,3469.8,3483.2,680.7,735.6,1453.4,942.4,945.8,706.9,3.0,0.0,11.0,10892.0,-12065.0,2045.0,225.0,-15.0,0.0,1.0,0.0,4.0,-7.0,3709.0,-8390.0,-11592.0,7065.0,-3.0,4.0,1.0,1.0
2022-05-13 15:48:32.239934-07:00,988.5,649.7,983.3,881.4,725.8,723.3,1608.7,1132.2,3464.9,3472.2,1090.3,841.9,1241.7,3469.8,1259.6,1083.4,3467.4,3475.9,1176.2,1453.4,2043.4,2637.3,1229.3,3492.9,3469.8,3483.2,679.9,738.9,1453.4,942.4,942.4,711.0,0.0,-6.0,13.0,10894.0,-12064.0,2043.0,225.0,3.0,-10.0,-7.0,-3.0,7.0,-8.0,3709.0,-8390.0,-11592.0,7065.0,2.0,6.0,3.0,1.0
2022-05-13 15:48:32.241703-07:00,988.5,649.7,976.5,886.5,725.8,723.3,1609.6,1116.5,3464.9,3472.2,1084.2,830.2,1241.7,3469.8,1259.6,1076.4,3462.5,3472.2,1176.2,1453.4,2043.4,2608.0,1229.3,3492.9,3471.0,3480.7,679.9,738.9,1453.4,943.2,942.4,711.0,1.0,-2.0,17.0,10894.0,-12064.0,2043.0,224.0,-12.0,12.0,-3.0,-4.0,5.0,-4.0,3708.0,-8390.0,-11593.0,7065.0,-1.0,4.0,2.0,1.0
2022-05-13 15:48:32.284886-07:00,1003.9,652.2,976.5,886.5,729.0,721.6,1609.6,1116.5,3458.9,3473.4,1084.2,830.2,1243.5,3475.9,1259.6,1076.4,3462.5,3472.2,1183.2,1453.4,2043.4,2608.0,1228.4,3481.9,3471.0,3480.7,679.9,736.5,1453.4,943.2,946.6,696.2,0.0,0.0,11.0,10895.0,-12063.0,2044.0,221.0,7.0,-1.0,2.0,-6.0,6.0,-5.0,3709.0,-8390.0,-11592.0,7064.0,8.0,6.0,4.0,1.0
2022-05-13 15:48:32.329884-07:00,1003.9,652.2,979.9,904.2,729.0,720.8,1604.0,1121.7,3458.9,3473.4,1086.0,831.1,1243.5,3481.9,1263.1,1079.9,3471.0,3475.9,1179.7,1453.4,2039.4,2613.4,1228.4,3481.9,3473.4,3483.2,679.1,736.5,1455.2,941.5,946.6,696.2,-1.0,-5.0,5.0,10894.0,-12064.0,2044.0,222.0,-10.0,2.0,-9.0,-6.0,7.0,-6.0,3708.0,-8390.0,-11593.0,7063.0,8.0,3.0,-1.0,1.0
2022-05-13 15:48:32.418761-07:00,993.6,653.8,975.6,904.2,730.7,720.8,1604.0,1121.7,3467.4,3469.8,1092.9,831.1,1242.6,3481.9,1263.1,1079.9,3471.0,3475.9,1179.7,1459.8,2039.4,2617.8,1220.4,3499.0,3473.4,3483.2,679.1,735.6,1455.2,941.5,943.2,697.0,1.0,2.0,8.0,10899.0,-12059.0,2044.0,222.0,14.0,-11.0,-3.0,-2.0,9.0,-4.0,3712.0,-8389.0,-11590.0,7068.0,7.0,-4.0,-3.0,1.0
2022-05-13 15:48:32.463852-07:00,993.6,653.8,975.6,889.0,730.7,720.0,1613.4,1127.9,3467.4,3469.8,1092.9,836.9,1242.6,3473.4,1253.3,1086.0,3472.2,3478.3,1177.9,1459.8,2047.4,2617.8,1220.4,3499.0,3474.6,3474.6,675.8,735.6,1455.2,941.5,943.2,697.0,3.0,-5.0,17.0,10900.0,-12059.0,2038.0,228.0,-7.0,-16.0,-4.0,-1.0,4.0,-6.0,3711.0,-8389.0,-11590.0,7068.0,2.0,-2.0,-4.0,1.0
2022-05-13 15:48:32.509273-07:00,1008.2,642.4,978.2,889.0,731.5,720.0,1613.4,1127.9,3467.4,3469.8,1088.6,836.9,1242.6,3473.4,1253.3,1086.0,3472.2,3478.3,1177.9,1463.5,2047.4,2614.5,1225.7,3486.8,3474.6,3474.6,675.8,731.5,1455.2,937.3,943.2,706.0,5.0,-3.0,18.0,10903.0,-12057.0,2033.0,232.0,0.0,-11.0,-9.0,-1.0,6.0,-8.0,3711.0,-8388.0,-11590.0,7069.0,5.0,1.0,-1.0,1.0
2022-05-13 15:48:32.554523-07:00,1008.2,642.4,978.2,889.0,731.5,720.8,1614.3,1118.2,3467.4,3469.8,1088.6,835.2,1242.6,3471.0,1263.1,1084.2,3483.2,3472.2,1160.3,1463.5,2048.4,2614.5,1225.7,3486.8,3480.7,3471.0,681.5,731.5,1454.3,937.3,943.2,706.0,0.0,-4.0,10.0,10906.0,-12055.0,2033.0,228.0,2.0,5.0,-11.0,-3.0,3.0,-5.0,3711.0,-8388.0,-11590.0,7069.0,2.0,9.0,3.0,1.0
2022-05-13 15:48:32.602641-07:00,992.7,648.9,981.6,885.6,729.9,720.8,1614.3,1118.2,3475.9,3468.6,1084.2,834.4,1240.8,3471.0,1263.1,1084.2,3483.2,3472.2,1160.3,1459.8,2047.4,2608.0,1226.6,3497.8,3480.7,3471.0,681.5,733.2,1451.6,943.2,941.5,700.3,3.0,1.0,9.0,10907.0,-12054.0,2032.0,227.0,0.0,1.0,-1.0,-3.0,10.0,-6.0,3711.0,-8388.0,-11590.0,7069.0,1.0,-1.0,-2.0,1.0
2022-05-13 15:48:32.644505-07:00,992.7,648.9,981.6,885.6,726.6,720.8,1606.8,1126.1,3475.9,3468.6,1084.2,834.4,1251.5,3468.6,1263.1,1083.4,3475.9,3474.6,1175.3,1463.5,2047.4,2608.0,1226.6,3497.8,3467.4,3477.1,675.0,739.7,1451.6,943.2,941.5,700.3,1.0,-3.0,9.0,10908.0,-12053.0,2029.0,229.0,-2.0,-15.0,-1.0,-2.0,6.0,-9.0,3711.0,-8389.0,-11590.0,7068.0,6.0,-3.0,-5.0,1.0
2022-05-13 15:48:32.689833-07:00,997.9,645.7,973.9,889.0,726.6,720.8,1606.8,1126.1,3480.7,3472.2,1083.4,839.4,1251.5,3468.6,1263.1,1083.4,3475.9,3474.6,1175.3,1463.5,2055.4,2612.3,1222.2,3494.1,3467.4,3477.1,675.0,739.7,1461.7,941.5,938.1,709.3,0.0,-6.0,14.0,10910.0,-12052.0,2026.0,228.0,5.0,-9.0,-11.0,-2.0,6.0,-5.0,3711.0,-8388.0,-11590.0,7069.0,5.0,-1.0,-2.0,1.0
2022-05-13 15:48:32.734743-07:00,997.9,645.7,973.9,889.0,723.3,722.5,1604.0,1124.4,3480.7,3472.2,1083.4,839.4,1249.7,3478.3,1258.7,1087.7,3488.0,3477.1,1177.9,1454.3,2055.4,2612.3,1222.2,3494.1,3475.9,3462.5,675.0,730.7,1461.7,941.5,938.1,709.3,5.0,-2.0,19.0,10912.0,-12050.0,2024.0,228.0,-11.0,2.0,0.0,-1.0,7.0,-5.0,3711.0,-8388.0,-11590.0,7069.0,-8.0,2.0,5.0,1.0
2022-05-13 15:48:32.781380-07:00,990.2,654.6,982.5,887.3,723.3,722.5,1604.0,1124.4,3468.6,3471.0,1082.5,835.2,1249.7,3478.3,1258.7,1087.7,3488.0,3477.1,1177.9,1454.3,2047.4,2609.1,1223.9,3491.7,3475.9,3462.5,675.0,730.7,1447.9,941.5,928.8,704.4,2.0,-1.0,9.0,10909.0,-12053.0,2026.0,225.0,-14.0,14.0,3.0,-4.0,7.0,-5.0,3711.0,-8389.0,-11591.0,7067.0,-9.0,8.0,4.0,1.0
2022-05-13 15:48:32.869519-07:00,985.9,654.6,982.5,887.3,724.9,725.8,1621.8,1114.7,3473.4,3471.0,1082.5,835.2,1234.6,3466.1,1259.6,1086.0,3468.6,3475.9,1167.4,1448.8,2047.4,2609.1,1223.9,3499.0,3477.1,3478.3,676.6,730.7,1447.9,941.5,928.8,711.0,-1.0,-1.0,5.0,10908.0,-12054.0,2028.0,223.0,-5.0,5.0,-5.0,-5.0,9.0,-7.0,3710.0,-8390.0,-11592.0,7066.0,-1.0,4.0,0.0,1.0
2022-05-13 15:48:32.914005-07:00,985.9,649.7,974.8,880.6,724.9,725.8,1621.8,1122.6,3473.4,3462.5,1089.5,833.6,1234.6,3466.1,1259.6,1088.6,3473.4,3475.9,1167.4,1448.8,2033.4,2605.8,1223.9,3499.0,3472.2,3478.3,676.6,730.7,1451.6,944.9,939.0,711.0,3.0,-3.0,5.0,10908.0,-12054.0,2028.0,223.0,1.0,-4.0,-5.0,-2.0,9.0,-7.0,3710.0,-8390.0,-11592.0,7066.0,-1.0,-1.0,-3.0,1.0
2022-05-13 15:48:32.959893-07:00,990.2,649.7,974.8,880.6,724.9,719.2,1609.6,1122.6,3468.6,3462.5,1089.5,833.6,1248.0,3471.0,1258.7,1088.6,3473.4,3475.9,1162.1,1452.5,2033.4,2605.8,1223.9,3492.9,3472.2,3477.1,675.0,738.9,1451.6,944.9,939.0,703.6,5.0,0.0,13.0,10907.0,-12055.0,2027.0,225.0,-15.0,-11.0,-1.0,-2.0,5.0,-8.0,3710.0,-8390.0,-11592.0,7066.0,-6.0,0.0,-4.0,1.0
2022-05-13 15:48:33.004590-07:00,990.2,646.5,980.7,881.4,724.9,719.2,1609.6,1119.1,3468.6,3475.9,1083.4,836.1,1248.0,3471.0,1258.7,1083.4,3477.1,3475.9,1162.1,1452.5,2038.4,2606.9,1226.6,3492.9,3480.7,3477.1,675.0,738.9,1436.9,940.7,940.7,703.6,4.0,-7.0,16.0,10902.0,-12059.0,2027.0,226.0,-6.0,5.0,-6.0,-3.0,5.0,-3.0,3709.0,-8390.0,-11592.0,7065.0,-6.0,3.0,0.0,1.0
