Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 15:50:11.443749-07:00,993.6,658.7,929.6,878.9,721.6,714.2,1574.9,1106.0,3480.7,3472.2,1001.3,832.7,1256.0,3467.4,1198.2,1063.4,3478.3,3474.6,1157.7,1439.6,2014.4,2598.3,1198.2,3499.0,3472.2,3474.6,641.6,811.9,1404.0,902.5,867.9,716.7,2.0,-1.0,10.0,10270.0,-12551.0,2285.0,-455.0,-2.0,1.0,-3.0,0.0,6.0,0.0,3614.0,-8991.0,-11583.0,6354.0,4.0,5.0,-2.0,1.0
2022-05-13 15:50:11.445348-07:00,993.6,657.9,916.9,874.7,721.6,714.2,1574.9,1099.0,3480.7,3472.2,1005.6,836.1,1256.0,3467.4,1198.2,1064.3,3468.6,3474.6,1157.7,1439.6,2007.4,2616.7,1198.2,3499.0,3475.9,3474.6,641.6,811.9,1409.4,894.1,873.8,716.7,-1.0,-6.0,15.0,10272.0,-12550.0,2285.0,-455.0,-5.0,-5.0,3.0,-3.0,1.0,0.0,3614.0,-8991.0,-11583.0,6354.0,-1.0,3.0,1.0,1.0
2022-05-13 15:50:11.446393-07:00,993.6,657.9,916.9,874.7,729.9,711.8,1571.1,1099.0,3467.4,3472.2,1005.6,836.1,1247.1,3474.6,1195.6,1064.3,3468.6,3473.4,1157.7,1426.8,2007.4,2616.7,1198.2,3486.8,3475.9,3478.3,637.6,811.9,1409.4,894.1,873.8,711.0,1.0,1.0,8.0,10274.0,-12548.0,2285.0,-454.0,-6.0,9.0,3.0,-3.0,4.0,-3.0,3614.0,-8991.0,-11583.0,6354.0,-1.0,3.0,3.0,1.0
2022-05-13 15:50:11.447446-07:00,993.6,659.5,931.3,869.6,729.9,711.8,1571.1,1106.0,3467.4,3469.8,1001.3,832.7,1247.1,3474.6,1195.6,1063.4,3469.8,3473.4,1157.7,1426.8,2008.4,2606.9,1204.4,3486.8,3477.1,3478.3,637.6,811.9,1404.0,896.6,867.1,711.0,0.0,-5.0,3.0,10274.0,-12548.0,2285.0,-454.0,-2.0,6.0,3.0,-2.0,4.0,-5.0,3614.0,-8991.0,-11583.0,6354.0,7.0,3.0,3.0,1.0
2022-05-13 15:50:11.486533-07:00,995.3,657.9,931.3,869.6,718.4,710.1,1571.1,1106.0,3468.6,3472.2,1001.3,832.7,1248.0,3464.9,1189.4,1063.4,3469.8,3478.3,1159.4,1437.8,2008.4,2606.9,1207.1,3490.5,3477.1,3474.6,640.0,801.0,1404.0,896.6,868.8,712.6,1.0,-1.0,8.0,10272.0,-12550.0,2285.0,-454.0,-16.0,3.0,2.0,0.0,4.0,-2.0,3614.0,-8991.0,-11583.0,6354.0,-8.0,2.0,1.0,1.0
2022-05-13 15:50:11.533887-07:00,995.3,657.9,926.2,868.8,718.4,710.1,1570.2,1106.9,3468.6,3472.2,997.0,833.6,1248.0,3464.9,1190.3,1062.5,3475.9,3475.9,1159.4,1437.8,2016.4,2605.8,1207.1,3490.5,3467.4,3475.9,640.0,801.0,1418.6,901.7,868.8,712.6,-1.0,-3.0,9.0,10272.0,-12550.0,2285.0,-454.0,6.0,-1.0,0.0,-4.0,4.0,-3.0,3614.0,-8991.0,-11583.0,6354.0,4.0,-1.0,2.0,1.0
2022-05-13 15:50:11.668431-07:00,1000.5,661.9,926.2,868.8,733.2,719.2,1570.2,1106.9,3460.1,3468.6,997.0,833.6,1253.3,3467.4,1190.3,1062.5,3475.9,3475.9,1155.0,1453.4,2016.4,2605.8,1195.6,3486.8,3467.4,3475.9,642.4,811.9,1418.6,901.7,869.6,701.9,-2.0,0.0,7.0,10270.0,-12551.0,2285.0,-454.0,-10.0,3.0,3.0,-3.0,3.0,-4.0,3614.0,-8991.0,-11583.0,6354.0,-6.0,0.0,2.0,1.0
2022-05-13 15:50:11.669145-07:00,1000.5,661.9,930.5,872.1,733.2,719.2,1573.9,1088.6,3460.1,3468.6,1001.3,831.1,1253.3,3467.4,1191.2,1063.4,3472.2,3481.9,1155.0,1453.4,2019.4,2602.6,1195.6,3486.8,3472.2,3477.1,642.4,811.9,1418.6,904.2,869.6,701.9,1.0,0.0,8.0,10270.0,-12551.0,2285.0,-454.0,5.0,8.0,-1.0,-3.0,7.0,-5.0,3615.0,-8991.0,-11582.0,6355.0,7.0,3.0,0.0,1.0
2022-05-13 15:50:11.669807-07:00,993.6,663.6,930.5,872.1,724.1,708.5,1573.9,1088.6,3478.3,3471.0,1001.3,831.1,1252.4,3471.0,1191.2,1063.4,3472.2,3481.9,1170.0,1445.1,2019.4,2602.6,1198.2,3495.3,3472.2,3477.1,645.7,802.7,1418.6,904.2,864.6,705.2,0.0,-3.0,7.0,10268.0,-12553.0,2285.0,-453.0,-11.0,-4.0,1.0,-1.0,6.0,-3.0,3615.0,-8991.0,-11582.0,6355.0,-1.0,0.0,1.0,1.0
2022-05-13 15:50:11.713624-07:00,993.6,663.6,929.6,865.4,724.1,708.5,1550.6,1106.0,3478.3,3471.0,1000.5,833.6,1252.4,3471.0,1189.4,1063.4,3473.4,3472.2,1170.0,1445.1,2013.4,2600.4,1198.2,3495.3,3473.4,3472.2,645.7,802.7,1414.9,898.3,864.6,705.2,1.0,-2.0,11.0,10268.0,-12553.0,2285.0,-453.0,0.0,-1.0,-1.0,-2.0,3.0,-4.0,3615.0,-8991.0,-11582.0,6355.0,3.0,1.0,0.0,1.0
2022-05-13 15:50:11.846827-07:00,1003.0,659.5,925.4,865.4,724.1,710.1,1550.6,1106.0,3469.8,3463.7,997.9,833.6,1254.2,3473.4,1189.4,1063.4,3473.4,3472.2,1160.3,1443.3,2013.4,2591.8,1201.8,3491.7,3473.4,3472.2,642.4,806.0,1414.9,895.7,866.3,725.8,0.0,0.0,8.0,10268.0,-12553.0,2285.0,-453.0,-2.0,1.0,2.0,-5.0,6.0,-3.0,3615.0,-8991.0,-11582.0,6355.0,2.0,6.0,2.0,1.0
2022-05-13 15:50:11.938177-07:00,1003.0,659.5,925.4,864.6,724.1,704.4,1563.7,1112.1,3469.8,3463.7,997.9,837.7,1254.2,3471.0,1185.9,1063.4,3478.3,3462.5,1153.3,1443.3,2013.4,2591.8,1201.8,3491.7,3475.9,3464.9,644.0,806.0,1415.8,895.7,866.3,725.8,-2.0,-4.0,9.0,10267.0,-12554.0,2285.0,-453.0,-4.0,0.0,2.0,-3.0,3.0,-2.0,3615.0,-8991.0,-11582.0,6355.0,1.0,3.0,-1.0,1.0
2022-05-13 15:50:12.073576-07:00,994.5,665.2,922.8,864.6,726.6,704.4,1563.7,1112.1,3473.4,3466.1,999.6,837.7,1248.8,3471.0,1185.9,1063.4,3478.3,3462.5,1153.3,1438.7,2013.4,2605.8,1194.7,3486.8,3475.9,3464.9,644.0,803.5,1415.8,899.1,836.9,713.4,0.0,0.0,8.0,10267.0,-12554.0,2285.0,-453.0,-2.0,-1.0,-4.0,0.0,8.0,-4.0,3615.0,-8991.0,-11582.0,6355.0,-1.0,0.0,-4.0,1.0
2022-05-13 15:50:12.074594-07:00,994.5,665.2,922.8,866.3,726.6,716.7,1573.9,1114.7,3473.4,3466.1,999.6,847.0,1248.8,3462.5,1188.5,1061.7,3475.9,3472.2,1148.0,1438.7,2015.4,2605.8,1194.7,3486.8,3472.2,3478.3,644.9,803.5,1417.6,899.1,836.9,713.4,0.0,-3.0,8.0,10267.0,-12554.0,2285.0,-453.0,-3.0,-3.0,-1.0,-2.0,3.0,-1.0,3615.0,-8991.0,-11582.0,6355.0,4.0,-1.0,0.0,1.0
2022-05-13 15:50:12.076004-07:00,983.3,660.3,932.2,866.3,729.0,716.7,1573.9,1114.7,3468.6,3472.2,1004.8,847.0,1253.3,3462.5,1188.5,1061.7,3475.9,3472.2,1148.0,1437.8,2015.4,2605.8,1193.8,3494.1,3472.2,3478.3,644.9,805.2,1417.6,898.3,863.7,704.4,0.0,0.0,14.0,10265.0,-12556.0,2285.0,-453.0,-14.0,3.0,1.0,-1.0,1.0,-1.0,3615.0,-8991.0,-11582.0,6355.0,-5.0,3.0,2.0,1.0
2022-05-13 15:50:12.077000-07:00,983.3,660.3,932.2,865.4,718.4,716.7,1559.9,1104.3,3468.6,3472.2,1004.8,834.4,1252.4,3474.6,1188.5,1067.7,3479.5,3469.8,1161.2,1440.5,2016.4,2605.8,1193.8,3494.1,3477.1,3467.4,645.7,806.9,1426.8,898.3,863.7,704.4,-2.0,-1.0,9.0,10265.0,-12556.0,2285.0,-453.0,0.0,1.0,3.0,-5.0,3.0,-5.0,3615.0,-8991.0,-11582.0,6355.0,3.0,2.0,2.0,1.0
2022-05-13 15:50:12.118774-07:00,996.2,653.8,941.5,865.4,718.4,716.7,1559.9,1104.3,3478.3,3471.0,993.6,832.7,1252.4,3474.6,1188.5,1067.7,3479.5,3469.8,1161.2,1440.5,2009.4,2599.3,1198.2,3497.8,3477.1,3467.4,645.7,806.9,1419.5,900.0,863.7,713.4,-2.0,-2.0,5.0,10261.0,-12558.0,2285.0,-452.0,-4.0,-2.0,1.0,-3.0,6.0,-3.0,3615.0,-8991.0,-11582.0,6355.0,6.0,-1.0,0.0,1.0
2022-05-13 15:50:12.119832-07:00,996.2,653.8,941.5,865.4,722.5,719.2,1570.2,1102.5,3478.3,3471.0,993.6,832.7,1247.1,3466.1,1190.3,1070.3,3479.5,3479.5,1142.7,1436.0,2009.4,2599.3,1198.2,3497.8,3475.9,3474.6,643.2,806.0,1419.5,900.0,863.7,713.4,1.0,0.0,10.0,10262.0,-12558.0,2284.0,-451.0,-3.0,-10.0,-4.0,-2.0,9.0,-3.0,3617.0,-8990.0,-11581.0,6358.0,-4.0,-4.0,-3.0,1.0
2022-05-13 15:50:12.163985-07:00,991.9,657.9,923.7,872.1,722.5,719.2,1570.2,1102.5,3467.4,3471.0,1000.5,831.1,1247.1,3466.1,1190.3,1070.3,3479.5,3479.5,1142.7,1436.0,2012.4,2596.1,1197.4,3489.2,3475.9,3474.6,643.2,806.0,1402.1,894.1,866.3,715.1,-1.0,-5.0,16.0,10261.0,-12559.0,2283.0,-449.0,7.0,-8.0,0.0,-3.0,5.0,-1.0,3617.0,-8990.0,-11581.0,6358.0,7.0,-1.0,0.0,1.0
2022-05-13 15:50:12.253387-07:00,991.9,657.9,923.7,872.1,723.3,709.3,1560.9,1093.8,3467.4,3471.0,1000.5,831.1,1254.2,3472.2,1189.4,1066.0,3479.5,3478.3,1163.0,1441.5,2012.4,2596.1,1197.4,3489.2,3473.4,3471.0,656.2,804.4,1402.1,894.1,866.3,715.1,-2.0,-3.0,16.0,10260.0,-12560.0,2284.0,-451.0,-11.0,12.0,2.0,0.0,4.0,-3.0,3617.0,-8990.0,-11581.0,6358.0,-6.0,2.0,5.0,1.0
