Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 15:53:35.433740-07:00,1950.9,640.0,962.8,1201.8,816.9,1222.2,1302.5,1368.5,3443.1,3441.9,1494.0,1236.4,1320.5,3450.4,939.8,1263.1,3434.6,3444.3,668.4,1436.0,939.0,524.2,1559.9,1588.9,3440.7,3441.9,728.2,997.9,1153.3,1267.6,1088.6,980.7,0.0,5.0,4.0,-9622.0,-11917.0,-3569.0,-4592.0,-7.0,6.0,5.0,6.0,5.0,7.0,11053.0,11399.0,-1838.0,-3597.0,2.0,5.0,-1.0,1.0
2022-05-13 15:53:35.435343-07:00,1948.9,640.0,962.8,1201.8,825.2,1223.0,1296.3,1368.5,3435.8,3441.9,1494.0,1236.4,1319.6,3439.5,934.7,1263.1,3434.6,3441.9,661.9,1433.2,939.0,524.2,1559.9,1590.8,3440.7,3437.0,734.0,1006.5,1153.3,1267.6,1088.6,980.7,-3.0,2.0,8.0,-9622.0,-11917.0,-3569.0,-4592.0,-1.0,-5.0,-5.0,5.0,0.0,11.0,11053.0,11399.0,-1838.0,-3597.0,0.0,3.0,-5.0,1.0
2022-05-13 15:53:35.523972-07:00,1948.9,633.5,965.4,1192.0,825.2,1223.0,1299.0,1375.7,3435.8,3440.7,1496.7,1229.3,1319.6,3439.5,926.2,1267.6,3444.3,3433.4,661.9,1433.2,939.0,524.2,1563.7,1590.8,3432.2,3443.1,734.0,1006.5,1155.0,1267.6,1098.2,980.7,-3.0,6.0,7.0,-9622.0,-11918.0,-3569.0,-4592.0,6.0,-5.0,3.0,6.0,1.0,10.0,11053.0,11399.0,-1838.0,-3597.0,5.0,8.0,-3.0,1.0
2022-05-13 15:53:35.525100-07:00,1949.9,644.0,965.4,1192.0,815.2,1216.8,1299.0,1375.7,3439.5,3444.3,1496.7,1229.3,1312.4,3444.3,926.2,1267.6,3444.3,3433.4,670.1,1427.7,939.0,524.2,1561.8,1597.4,3432.2,3443.1,729.9,1004.8,1155.0,1267.6,1089.5,973.1,-3.0,1.0,10.0,-9624.0,-11915.0,-3569.0,-4594.0,-10.0,10.0,1.0,3.0,1.0,13.0,11054.0,11398.0,-1838.0,-3597.0,-6.0,9.0,-3.0,1.0
2022-05-13 15:53:35.794564-07:00,1949.9,644.0,967.9,1203.5,815.2,1216.8,1299.0,1374.8,3439.5,3444.3,1498.6,1232.8,1312.4,3444.3,931.3,1269.4,3433.4,3439.5,670.1,1427.7,941.5,520.3,1561.8,1597.4,3437.0,3434.6,729.9,1004.8,1155.9,1265.8,1089.5,973.1,-2.0,3.0,4.0,-9625.0,-11915.0,-3568.0,-4593.0,9.0,-12.0,-5.0,3.0,2.0,10.0,11054.0,11398.0,-1838.0,-3597.0,2.0,2.0,-7.0,1.0
2022-05-13 15:53:35.837966-07:00,1952.9,635.1,967.9,1203.5,816.9,1217.7,1299.0,1374.8,3428.6,3446.7,1498.6,1232.8,1317.8,3438.2,931.3,1269.4,3433.4,3439.5,666.0,1436.0,941.5,520.3,1565.5,1588.0,3437.0,3434.6,724.9,1000.5,1155.9,1265.8,1092.9,971.3,0.0,3.0,13.0,-9624.0,-11917.0,-3567.0,-4591.0,-6.0,-9.0,4.0,1.0,5.0,8.0,11054.0,11398.0,-1838.0,-3597.0,-6.0,0.0,-4.0,1.0
2022-05-13 15:53:36.021672-07:00,1952.9,635.1,967.1,1198.2,816.9,1217.7,1295.4,1373.0,3428.6,3446.7,1498.6,1226.6,1317.8,3438.2,933.0,1266.7,3438.2,3433.4,666.0,1436.0,953.4,522.6,1565.5,1588.0,3435.8,3446.7,724.9,1000.5,1153.3,1267.6,1092.9,971.3,-6.0,5.0,10.0,-9628.0,-11913.0,-3565.0,-4592.0,1.0,-3.0,-1.0,5.0,-2.0,14.0,11057.0,11396.0,-1837.0,-3598.0,1.0,6.0,-4.0,1.0
2022-05-13 15:53:36.063390-07:00,1961.8,640.0,968.8,1198.2,816.0,1217.7,1295.4,1373.0,3428.6,3440.7,1493.0,1226.6,1316.0,3435.8,933.0,1266.7,3438.2,3433.4,666.0,1431.4,953.4,521.0,1565.5,1593.6,3435.8,3446.7,726.6,1001.3,1153.3,1274.7,1091.2,980.7,-1.0,0.0,9.0,-9624.0,-11917.0,-3567.0,-4591.0,10.0,1.0,-5.0,4.0,1.0,10.0,11056.0,11397.0,-1836.0,-3599.0,1.0,8.0,-7.0,1.0
2022-05-13 15:53:36.065870-07:00,1961.8,640.0,968.8,1204.4,816.0,1213.3,1304.3,1363.9,3428.6,3440.7,1493.0,1235.5,1316.0,3437.0,936.4,1270.3,3439.5,3440.7,664.4,1431.4,939.8,521.0,1565.5,1593.6,3443.1,3450.4,732.3,1001.3,1151.5,1274.7,1091.2,980.7,-1.0,4.0,0.0,-9624.0,-11914.0,-3569.0,-4595.0,-15.0,14.0,5.0,4.0,2.0,9.0,11056.0,11396.0,-1836.0,-3599.0,-11.0,4.0,0.0,1.0
2022-05-13 15:53:36.067075-07:00,1954.8,644.0,967.1,1198.2,815.2,1216.0,1299.0,1365.7,3438.2,3445.5,1498.6,1230.2,1321.4,3438.2,930.5,1273.0,3438.2,3437.0,659.5,1436.0,940.7,522.6,1559.9,1608.7,3445.5,3439.5,728.2,1003.0,1156.8,1265.8,1090.3,978.2,-2.0,7.0,5.0,-9631.0,-11912.0,-3563.0,-4592.0,3.0,-1.0,-7.0,3.0,4.0,6.0,11057.0,11395.0,-1836.0,-3599.0,0.0,3.0,-6.0,1.0
