Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 15:55:33.002506-07:00,2316.0,631.9,1003.9,1205.3,824.4,1214.2,1216.8,1284.6,3438.2,3440.7,1663.4,1309.7,1265.8,3449.1,1185.9,1520.8,3435.8,3435.8,719.2,1403.0,911.8,511.5,1388.5,1670.1,3446.7,3444.3,705.2,996.2,1223.9,1494.9,1356.7,990.2,0.0,-1.0,15.0,-8555.0,-13018.0,-3333.0,-3830.0,-2.0,6.0,-8.0,7.0,1.0,5.0,10734.0,12072.0,-970.0,-2556.0,2.0,6.0,-4.0,1.0
2022-05-13 15:55:33.004945-07:00,2316.0,631.9,1003.9,1205.3,824.4,1214.2,1216.8,1284.6,3438.2,3440.7,1663.4,1309.7,1265.8,3449.1,1185.9,1520.8,3435.8,3435.8,719.2,1403.0,911.8,511.5,1388.5,1670.1,3446.7,3444.3,705.2,996.2,1223.9,1494.9,1356.7,990.2,0.0,-1.0,15.0,-8555.0,-13018.0,-3333.0,-3830.0,-2.0,6.0,-8.0,7.0,1.0,5.0,10734.0,12072.0,-970.0,-2556.0,2.0,6.0,-4.0,1.0
2022-05-13 15:55:33.094283-07:00,2322.2,627.8,1015.1,1206.2,825.2,1216.8,1228.4,1288.2,3444.3,3437.0,1664.4,1312.4,1269.4,3438.2,1200.9,1519.0,3444.3,3438.2,711.8,1404.9,914.4,517.1,1390.3,1680.5,3451.6,3449.1,706.9,1004.8,1227.5,1500.4,1356.7,991.9,-7.0,0.0,13.0,-8556.0,-13019.0,-3331.0,-3828.0,-1.0,-2.0,-7.0,6.0,3.0,8.0,10734.0,12072.0,-970.0,-2556.0,1.0,3.0,-2.0,1.0
2022-05-13 15:55:33.140259-07:00,2308.7,627.8,1015.1,1206.2,817.7,1209.7,1230.2,1288.2,3446.7,3437.0,1664.4,1312.4,1267.6,3449.1,1189.4,1519.0,3444.3,3444.3,717.5,1400.3,914.4,517.1,1390.3,1677.6,3451.6,3450.4,701.9,997.0,1227.5,1500.4,1356.7,988.5,-2.0,0.0,9.0,-8556.0,-13018.0,-3332.0,-3829.0,-9.0,13.0,-3.0,7.0,2.0,8.0,10734.0,12072.0,-970.0,-2556.0,5.0,5.0,4.0,1.0
2022-05-13 15:55:33.407385-07:00,2308.7,630.3,1015.9,1211.5,817.7,1209.7,1230.2,1289.1,3446.7,3433.4,1665.3,1309.7,1267.6,3449.1,1189.4,1520.8,3439.5,3444.3,717.5,1400.3,908.4,519.5,1382.1,1677.6,3449.1,3450.4,701.9,997.0,1216.8,1492.1,1358.5,988.5,-1.0,-4.0,9.0,-8556.0,-13018.0,-3332.0,-3829.0,7.0,-8.0,-1.0,6.0,1.0,7.0,10734.0,12072.0,-970.0,-2556.0,3.0,-2.0,0.0,1.0
2022-05-13 15:55:33.409559-07:00,2307.7,635.1,1014.2,1214.2,825.2,1213.3,1223.9,1282.8,3443.1,3435.8,1680.5,1317.8,1259.6,3440.7,1181.5,1530.1,3439.5,3439.5,713.4,1395.7,910.1,520.3,1384.8,1671.0,3441.9,3443.1,706.9,1002.2,1223.9,1498.6,1354.9,985.0,-1.0,0.0,10.0,-8556.0,-13019.0,-3331.0,-3827.0,-2.0,12.0,5.0,4.0,3.0,8.0,10734.0,12072.0,-970.0,-2556.0,-2.0,3.0,4.0,1.0
2022-05-13 15:55:33.410234-07:00,2307.7,635.1,1014.2,1214.2,825.2,1213.3,1223.9,1282.8,3443.1,3435.8,1680.5,1317.8,1259.6,3440.7,1181.5,1530.1,3439.5,3439.5,713.4,1395.7,910.1,520.3,1384.8,1671.0,3441.9,3443.1,706.9,1002.2,1223.9,1498.6,1354.9,985.0,-1.0,0.0,10.0,-8556.0,-13019.0,-3331.0,-3827.0,-2.0,12.0,5.0,4.0,3.0,8.0,10734.0,12072.0,-970.0,-2556.0,-2.0,3.0,4.0,1.0
2022-05-13 15:55:33.454324-07:00,2312.9,624.6,1014.2,1208.9,823.5,1207.1,1229.3,1286.4,3444.3,3447.9,1671.0,1309.7,1266.7,3437.0,1182.3,1525.5,3439.5,3432.2,715.1,1404.0,916.0,518.7,1399.4,1677.6,3438.2,3445.5,701.9,997.9,1220.4,1488.4,1356.7,992.7,-1.0,1.0,13.0,-8556.0,-13018.0,-3331.0,-3828.0,-5.0,-3.0,5.0,11.0,0.0,7.0,10734.0,12072.0,-970.0,-2556.0,0.0,-4.0,6.0,1.0
2022-05-13 15:55:33.455353-07:00,2312.9,624.6,1015.1,1210.6,823.5,1207.1,1223.9,1284.6,3444.3,3447.9,1669.1,1317.8,1266.7,3437.0,1186.7,1522.7,3428.6,3438.2,715.1,1404.0,911.8,517.9,1399.4,1677.6,3439.5,3445.5,701.9,997.9,1222.2,1492.1,1356.7,992.7,-2.0,-1.0,14.0,-8556.0,-13018.0,-3331.0,-3828.0,3.0,-9.0,2.0,7.0,1.0,13.0,10734.0,12072.0,-970.0,-2556.0,-1.0,-6.0,3.0,1.0
2022-05-13 15:55:33.457947-07:00,2304.5,627.0,1010.8,1206.2,816.0,1213.3,1232.8,1282.8,3440.7,3441.9,1664.4,1310.6,1267.6,3443.1,1185.0,1521.8,3438.2,3431.0,713.4,1403.0,905.9,517.9,1387.5,1677.6,3439.5,3449.1,697.0,1001.3,1216.8,1486.6,1351.2,988.5,-3.0,-1.0,16.0,-8555.0,-13019.0,-3331.0,-3827.0,5.0,1.0,2.0,5.0,2.0,12.0,10734.0,12073.0,-968.0,-2553.0,0.0,-3.0,2.0,1.0
2022-05-13 15:55:33.679002-07:00,2304.5,627.0,1010.8,1203.5,816.0,1216.8,1224.8,1290.9,3440.7,3441.9,1664.4,1309.7,1267.6,3445.5,1179.7,1520.8,3438.2,3438.2,715.1,1403.0,910.1,517.9,1387.5,1677.6,3451.6,3439.5,704.4,1001.3,1222.2,1486.6,1351.2,988.5,-5.0,4.0,12.0,-8555.0,-13019.0,-3331.0,-3827.0,0.0,3.0,2.0,7.0,5.0,9.0,10734.0,12073.0,-968.0,-2553.0,-1.0,3.0,-1.0,1.0
2022-05-13 15:55:33.769145-07:00,2307.7,631.9,1007.3,1203.5,814.4,1216.8,1224.8,1290.9,3439.5,3433.4,1670.1,1309.7,1272.1,3445.5,1179.7,1520.8,3438.2,3438.2,715.1,1404.0,910.1,518.7,1382.1,1671.9,3451.6,3439.5,704.4,993.6,1222.2,1494.0,1354.0,986.7,-2.0,-1.0,2.0,-8555.0,-13019.0,-3331.0,-3827.0,6.0,8.0,2.0,5.0,4.0,9.0,10734.0,12073.0,-968.0,-2553.0,2.0,3.0,0.0,1.0
2022-05-13 15:55:33.770195-07:00,2307.7,631.9,1007.3,1206.2,816.0,1214.2,1221.3,1286.4,3439.5,3433.4,1670.1,1311.5,1269.4,3435.8,1177.9,1518.0,3443.1,3438.2,713.4,1401.2,911.8,518.7,1382.1,1671.9,3438.2,3443.1,705.2,997.0,1228.4,1494.0,1354.0,986.7,0.0,-1.0,11.0,-8556.0,-13019.0,-3331.0,-3827.0,-3.0,-10.0,0.0,9.0,3.0,7.0,10734.0,12073.0,-968.0,-2553.0,-2.0,-8.0,-1.0,1.0
2022-05-13 15:55:33.771173-07:00,2311.8,628.6,1014.2,1206.2,816.0,1214.2,1221.3,1286.4,3447.9,3446.7,1664.4,1307.0,1269.4,3435.8,1177.9,1518.0,3443.1,3438.2,713.4,1401.2,909.3,523.4,1386.6,1673.8,3438.2,3443.1,705.2,997.0,1228.4,1494.0,1349.4,986.7,-5.0,2.0,17.0,-8556.0,-13020.0,-3329.0,-3825.0,-1.0,-8.0,10.0,8.0,5.0,13.0,10734.0,12073.0,-968.0,-2553.0,-2.0,-3.0,3.0,1.0
2022-05-13 15:55:33.772168-07:00,2311.8,628.6,1014.2,1206.2,823.5,1216.8,1224.8,1286.4,3447.9,3446.7,1664.4,1307.0,1268.5,3446.7,1191.2,1522.7,3437.0,3438.2,719.2,1397.6,909.3,523.4,1386.6,1673.8,3449.1,3446.7,700.3,996.2,1228.4,1494.0,1349.4,986.7,0.0,-2.0,15.0,-8556.0,-13020.0,-3329.0,-3825.0,1.0,3.0,-1.0,11.0,4.0,12.0,10734.0,12073.0,-968.0,-2553.0,0.0,4.0,-3.0,1.0
2022-05-13 15:55:33.813889-07:00,2307.7,627.0,1015.9,1205.3,823.5,1216.8,1224.8,1286.4,3441.9,3435.8,1659.6,1311.5,1268.5,3446.7,1191.2,1522.7,3437.0,3438.2,719.2,1397.6,911.0,518.7,1382.1,1672.9,3449.1,3446.7,700.3,996.2,1223.0,1492.1,1353.1,988.5,-1.0,0.0,9.0,-8554.0,-13021.0,-3330.0,-3826.0,1.0,8.0,-2.0,6.0,3.0,10.0,10734.0,12073.0,-968.0,-2553.0,-2.0,5.0,-1.0,1.0
2022-05-13 15:55:33.815168-07:00,2307.7,627.0,1015.9,1205.3,823.5,1216.8,1224.8,1286.4,3441.9,3435.8,1659.6,1311.5,1268.5,3446.7,1191.2,1522.7,3437.0,3438.2,719.2,1397.6,911.0,518.7,1382.1,1672.9,3449.1,3446.7,700.3,996.2,1223.0,1492.1,1353.1,988.5,-1.0,0.0,9.0,-8554.0,-13021.0,-3330.0,-3826.0,1.0,8.0,-2.0,6.0,3.0,10.0,10734.0,12073.0,-968.0,-2553.0,-2.0,5.0,-1.0,1.0
