Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 16:00:22.307413-07:00,2056.4,550.6,1007.3,1202.7,810.2,1126.1,1270.3,1312.4,3438.2,3441.9,1419.5,1193.8,1214.2,3441.9,1028.8,1326.8,3434.6,3443.1,690.5,1373.0,890.7,527.4,1269.4,1556.2,3435.8,3441.9,657.9,907.6,1172.6,1272.1,1117.4,960.2,-2.0,2.0,-4.0,-8959.0,-13467.0,-1950.0,-1737.0,3.0,-8.0,15.0,1.0,1.0,-7.0,10372.0,12297.0,-1775.0,-2544.0,4.0,-12.0,7.0,1.0
2022-05-13 16:00:22.308557-07:00,2055.4,552.2,1007.3,1202.7,804.4,1127.9,1270.3,1312.4,3434.6,3443.1,1419.5,1193.8,1219.5,3443.1,1028.8,1326.8,3434.6,3443.1,696.2,1376.6,890.7,527.4,1267.6,1552.5,3435.8,3441.9,658.7,912.7,1172.6,1272.1,1110.4,950.9,1.0,0.0,-2.0,-8956.0,-13470.0,-1945.0,-1730.0,3.0,-22.0,5.0,2.0,0.0,-6.0,10371.0,12297.0,-1779.0,-2548.0,4.0,-16.0,0.0,1.0
2022-05-13 16:00:22.441666-07:00,2055.4,552.2,1015.1,1204.4,804.4,1120.0,1270.3,1317.8,3434.6,3443.1,1419.5,1193.8,1219.5,3439.5,1027.1,1328.7,3440.7,3439.5,699.5,1376.6,892.4,530.6,1267.6,1552.5,3444.3,3443.1,658.7,912.7,1180.6,1266.7,1110.4,950.9,-2.0,-3.0,0.0,-8957.0,-13471.0,-1942.0,-1726.0,7.0,-10.0,8.0,0.0,-1.0,-3.0,10371.0,12296.0,-1782.0,-2550.0,5.0,-8.0,10.0,1.0
2022-05-13 16:00:22.486893-07:00,2051.4,556.2,1005.6,1204.4,812.7,1120.0,1270.3,1317.8,3438.2,3435.8,1418.6,1193.8,1217.7,3439.5,1027.1,1328.7,3440.7,3439.5,699.5,1374.8,892.4,529.8,1270.3,1560.9,3444.3,3443.1,658.7,910.1,1180.6,1272.1,1118.2,963.7,-7.0,8.0,0.0,-8957.0,-13471.0,-1936.0,-1728.0,-8.0,-1.0,13.0,-2.0,-1.0,-2.0,10371.0,12296.0,-1786.0,-2549.0,-6.0,-6.0,10.0,1.0
2022-05-13 16:00:22.488123-07:00,2051.4,556.2,1005.6,1201.8,812.7,1127.0,1277.4,1320.5,3438.2,3435.8,1418.6,1200.9,1217.7,3444.3,1024.5,1329.6,3439.5,3444.3,694.6,1374.8,895.7,529.8,1270.3,1560.9,3443.1,3454.0,654.6,910.1,1178.8,1272.1,1118.2,963.7,3.0,-4.0,-2.0,-8956.0,-13471.0,-1942.0,-1724.0,16.0,0.0,-5.0,4.0,0.0,-8.0,10371.0,12296.0,-1784.0,-2551.0,5.0,3.0,-4.0,1.0
2022-05-13 16:00:22.489892-07:00,2060.5,550.6,998.7,1197.4,816.0,1131.4,1268.5,1325.0,3443.1,3443.1,1422.2,1210.6,1213.3,3441.9,1026.3,1316.9,3441.9,3438.2,696.2,1373.9,883.1,525.8,1267.6,1553.4,3441.9,3439.5,660.3,913.5,1177.9,1266.7,1113.9,964.5,-7.0,0.0,-3.0,-8967.0,-13463.0,-1952.0,-1725.0,-23.0,7.0,-17.0,-1.0,0.0,-1.0,10382.0,12285.0,-1781.0,-2559.0,-19.0,-7.0,-10.0,1.0
2022-05-13 16:00:22.490952-07:00,2054.4,545.0,1015.1,1190.3,818.5,1121.7,1273.9,1317.8,3440.7,3445.5,1410.3,1198.2,1209.7,3440.7,1025.4,1316.9,3440.7,3438.2,685.6,1371.2,894.9,527.4,1268.5,1558.1,3440.7,3445.5,659.5,910.1,1175.3,1268.5,1114.7,959.4,1.0,4.0,-1.0,-8962.0,-13466.0,-1953.0,-1719.0,26.0,-14.0,-10.0,3.0,0.0,-8.0,10381.0,12286.0,-1777.0,-2562.0,10.0,-8.0,-14.0,1.0
2022-05-13 16:00:22.531574-07:00,4.0,2.0,1.0,-8970.0,-13465.0,-1943.0,-1703.0,-14.0,-31.0,6.0,5.0,2.0,-13.0,10385.0,12279.0,-1782.0,-2575.0,-18.0,-16.0,1.0,1.0,1.0,8.0,4.0,-8977.0,-13462.0,-1938.0,-1697.0,-17.0,-10.0,-2.0,1.0,1.0,-1.0,10391.0,12274.0,-1783.0,-2579.0,-12.0,-9.0,-5.0,1.0,-4.0,1.0,-1.0,10390.0,12274.0,-1782.0,-2582.0,2.0,2.0,-14.0,1.0
2022-05-13 16:00:22.715258-07:00,2055.4,553.0,1003.9,1208.9,820.2,1127.9,1270.3,1314.2,3441.9,3444.3,1419.5,1200.9,1212.4,3440.7,1023.7,1324.1,3439.5,3449.1,697.0,1369.4,891.5,525.0,1268.5,1559.9,3450.4,3445.5,656.2,909.3,1172.6,1273.0,1114.7,961.1,-5.0,9.0,5.0,-8977.0,-13462.0,-1937.0,-1696.0,7.0,-8.0,-16.0,0.0,-1.0,-6.0,10389.0,12275.0,-1779.0,-2584.0,12.0,11.0,-8.0,1.0
2022-05-13 16:00:22.716879-07:00,2064.5,553.0,1003.9,1208.9,810.2,1126.1,1267.6,1314.2,3439.5,3444.3,1419.5,1200.9,1211.5,3439.5,1023.7,1324.1,3439.5,3439.5,695.4,1373.0,891.5,525.0,1268.5,1559.9,3450.4,3449.1,657.9,906.7,1172.6,1273.0,1114.7,955.1,1.0,1.0,4.0,-8975.0,-13463.0,-1941.0,-1694.0,13.0,7.0,-5.0,-4.0,-2.0,-5.0,10387.0,12277.0,-1777.0,-2581.0,14.0,11.0,-4.0,1.0
