Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 16:00:22.225113-07:00,1021.1,663.6,951.7,898.3,940.7,701.1,1603.0,1148.0,3464.9,3473.4,1018.5,830.2,1322.3,3468.6,1225.7,1047.8,3464.9,3468.6,1188.5,1452.5,1976.6,2623.2,1298.1,3483.2,3478.3,3479.5,693.8,798.5,1368.5,926.2,925.4,737.3,9.0,8.0,-5.0,9510.0,-13039.0,-1012.0,2640.0,326.0,-8.0,26.0,5.0,1.0,0.0,2979.0,-8826.0,-12186.0,5759.0,310.0,-9.0,-18.0,1.0
2022-05-13 16:00:22.268769-07:00,1021.1,673.3,951.7,898.3,942.4,701.1,1603.0,1148.0,3472.2,3462.5,1024.5,830.2,1325.9,3468.6,1225.7,1047.8,3464.9,3468.6,1188.5,1451.6,1976.6,2626.5,1298.1,3485.6,3478.3,3479.5,693.8,796.9,1368.5,935.6,918.6,728.2,5.0,-5.0,2.0,9653.0,-12934.0,-955.0,2655.0,502.0,69.0,73.0,-6.0,1.0,0.0,3072.0,-8791.0,-12128.0,5885.0,453.0,-10.0,-9.0,1.0
2022-05-13 16:00:22.314886-07:00,1021.1,673.3,951.7,898.3,942.4,705.2,1619.0,1155.9,3472.2,3462.5,1024.5,829.4,1325.9,3479.5,1228.4,1042.6,3483.2,3472.2,1180.6,1451.6,1982.6,2626.5,1298.1,3485.6,3477.1,3468.6,697.9,796.9,1372.1,935.6,918.6,728.2,1.0,-14.0,3.0,9797.0,-12832.0,-867.0,2651.0,381.0,129.0,107.0,-2.0,-11.0,0.0,3161.0,-8756.0,-12068.0,6011.0,344.0,-8.0,-5.0,1.0
2022-05-13 16:00:22.360762-07:00,1014.2,672.5,956.0,898.3,945.8,705.2,1619.0,1155.9,3471.0,3468.6,1026.3,829.4,1324.1,3479.5,1228.4,1042.6,3483.2,3472.2,1180.6,1448.8,1982.6,2629.7,1296.3,3494.1,3477.1,3468.6,697.9,796.0,1372.1,927.9,917.7,745.5,-7.0,41.0,-16.0,9888.0,-12770.0,-784.0,2642.0,108.0,83.0,61.0,-3.0,8.0,10.0,3216.0,-8736.0,-12030.0,6087.0,91.0,-2.0,6.0,1.0
2022-05-13 16:00:22.403179-07:00,1014.2,672.5,956.0,901.7,943.2,700.3,1603.0,1141.0,3471.0,3468.6,1026.3,828.5,1323.2,3462.5,1223.9,1044.4,3479.5,3473.4,1179.7,1468.1,1982.6,2629.7,1296.3,3494.1,3479.5,3469.8,686.4,797.7,1367.6,927.9,917.7,745.5,3.0,-1.0,-1.0,9867.0,-12788.0,-766.0,2638.0,-80.0,12.0,34.0,-1.0,-4.0,2.0,3203.0,-8742.0,-12037.0,6071.0,-69.0,5.0,12.0,1.0
2022-05-13 16:00:22.449130-07:00,1020.2,679.9,950.9,919.4,943.2,700.3,1603.0,1141.0,3474.6,3462.5,1027.1,826.9,1323.2,3462.5,1223.9,1044.4,3479.5,3473.4,1179.7,1468.1,1988.5,2631.9,1307.0,3495.3,3479.5,3469.8,686.4,797.7,1366.6,927.1,903.4,742.2,9.0,8.0,-14.0,9845.0,-12804.0,-769.0,2640.0,-66.0,-21.0,-14.0,5.0,0.0,1.0,3188.0,-8748.0,-12046.0,6052.0,-66.0,9.0,2.0,1.0
2022-05-13 16:00:22.494296-07:00,1020.2,679.9,950.9,919.4,948.3,714.2,1596.4,1148.0,3474.6,3462.5,1027.1,826.9,1329.6,3460.1,1227.5,1040.9,3479.5,3473.4,1180.6,1454.3,1988.5,2631.9,1307.0,3495.3,3478.3,3474.6,689.7,796.0,1366.6,927.1,903.4,742.2,14.0,-5.0,-3.0,9827.0,-12815.0,-789.0,2647.0,-35.0,-29.0,-11.0,4.0,1.0,-2.0,3176.0,-8753.0,-12054.0,6036.0,-41.0,1.0,-2.0,1.0
2022-05-13 16:00:22.538784-07:00,1009.0,668.4,960.2,898.3,948.3,714.2,1596.4,1148.0,3464.9,3473.4,1028.8,829.4,1329.6,3460.1,1227.5,1040.9,3479.5,3473.4,1180.6,1454.3,1979.6,2624.3,1307.0,3494.1,3478.3,3474.6,689.7,796.0,1369.4,927.9,911.8,729.9,1.0,6.0,-9.0,9817.0,-12822.0,-796.0,2649.0,-47.0,-22.0,-18.0,0.0,0.0,2.0,3168.0,-8756.0,-12060.0,6025.0,-46.0,-2.0,-6.0,1.0
2022-05-13 16:00:22.584115-07:00,1009.0,668.4,960.2,898.3,952.6,704.4,1588.9,1146.3,3464.9,3473.4,1028.8,829.4,1323.2,3464.9,1221.3,1041.8,3479.5,3477.1,1179.7,1445.1,1979.6,2624.3,1307.0,3494.1,3473.4,3478.3,685.6,791.0,1369.4,927.9,911.8,729.9,1.0,-1.0,-2.0,9804.0,-12830.0,-806.0,2654.0,-25.0,-22.0,-4.0,0.0,-2.0,2.0,3159.0,-8759.0,-12066.0,6012.0,-21.0,-5.0,-7.0,1.0
2022-05-13 16:00:22.629925-07:00,1015.9,678.2,950.0,900.8,952.6,704.4,1588.9,1140.1,3472.2,3467.4,1022.8,826.0,1323.2,3464.9,1221.3,1040.1,3469.8,3477.1,1179.7,1445.1,1981.6,2629.7,1304.3,3489.2,3475.9,3478.3,685.6,791.0,1368.5,926.2,915.2,741.4,5.0,-2.0,-1.0,9794.0,-12836.0,-818.0,2658.0,-28.0,-19.0,-12.0,2.0,-6.0,2.0,3151.0,-8761.0,-12072.0,6001.0,-33.0,-7.0,-7.0,1.0
