Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 13:20:11.188293-07:00,1223.0,845.3,1119.1,987.6,905.9,831.1,1743.5,1309.7,3461.3,3478.3,1028.0,847.8,1510.6,3473.4,1217.7,1224.8,3471.0,3480.7,1626.5,2107.8,2635.1,3495.3,1742.6,3485.6,3473.4,3467.4,624.6,837.7,1624.7,1028.8,953.4,927.9,-4.0,21.0,10.0,10426.0,-12587.0,1069.0,413.0,0.0,37.0,-18.0,-4.0,-10.0,2.0,7985.0,-14259.0,1156.0,84.0,-13.0,24.0,19.0,1.0
2022-05-23 13:20:11.277647-07:00,1223.0,845.3,1116.5,991.0,905.9,825.2,1737.8,1316.9,3461.3,3478.3,1031.4,849.5,1510.6,3469.8,1232.8,1220.4,3467.4,3483.2,1628.4,2107.8,2630.8,3489.2,1742.6,3485.6,3473.4,3480.7,627.8,837.7,1628.4,1021.1,953.4,927.9,0.0,19.0,0.0,10421.0,-12590.0,1078.0,401.0,-41.0,30.0,24.0,1.0,-10.0,-4.0,7981.0,-14261.0,1166.0,80.0,-29.0,13.0,13.0,1.0
2022-05-23 13:20:11.307004-07:00,1224.8,843.6,1127.0,991.0,916.0,825.2,1737.8,1316.9,3475.9,3467.4,1032.3,849.5,1515.3,3469.8,1232.8,1220.4,3467.4,3483.2,1628.4,2098.7,2630.8,3486.8,1736.8,3486.8,3473.4,3480.7,627.8,830.2,1628.4,1029.7,953.4,911.8,3.0,31.0,-3.0,10414.0,-12595.0,1084.0,399.0,4.0,-2.0,-15.0,4.0,-5.0,1.0,7977.0,-14263.0,1169.0,79.0,1.0,11.0,-1.0,1.0
2022-05-23 13:20:11.307960-07:00,1224.8,843.6,1127.0,989.3,916.0,827.7,1746.4,1296.3,3475.9,3467.4,1032.3,847.8,1515.3,3471.0,1230.2,1219.5,3474.6,3473.4,1625.6,2098.7,2636.2,3486.8,1736.8,3486.8,3467.4,3477.1,626.2,830.2,1631.3,1029.7,953.4,911.8,5.0,12.0,9.0,10413.0,-12597.0,1078.0,402.0,28.0,-3.0,9.0,3.0,-12.0,-4.0,7975.0,-14264.0,1167.0,77.0,7.0,1.0,-14.0,1.0
2022-05-23 13:20:11.337594-07:00,1216.8,847.8,1118.2,989.3,909.3,827.7,1746.4,1296.3,3467.4,3469.8,1028.0,847.8,1518.0,3471.0,1230.2,1219.5,3474.6,3473.4,1625.6,2101.7,2636.2,3490.5,1733.0,3492.9,3467.4,3477.1,626.2,833.6,1631.3,1023.7,945.8,918.6,-2.0,34.0,4.0,10429.0,-12584.0,1080.0,397.0,18.0,-2.0,-18.0,2.0,-9.0,1.0,7994.0,-14254.0,1161.0,72.0,32.0,-5.0,-16.0,1.0
2022-05-23 13:20:11.338625-07:00,1216.8,847.8,1118.2,991.9,909.3,821.0,1717.7,1318.7,3467.4,3469.8,1028.0,852.0,1518.0,3469.8,1220.4,1219.5,3468.6,3468.6,1619.0,2101.7,2639.5,3490.5,1733.0,3492.9,3480.7,3462.5,627.0,833.6,1622.8,1023.7,945.8,918.6,0.0,20.0,5.0,10431.0,-12583.0,1068.0,396.0,-9.0,-20.0,-16.0,3.0,-12.0,1.0,7993.0,-14255.0,1154.0,71.0,-4.0,-12.0,-14.0,1.0
2022-05-23 13:20:11.366994-07:00,1222.2,841.9,1120.9,991.9,904.2,821.0,1717.7,1318.7,3468.6,3463.7,1034.0,852.0,1515.3,3469.8,1220.4,1219.5,3468.6,3468.6,1619.0,2099.7,2639.5,3497.8,1738.7,3490.5,3480.7,3462.5,627.0,831.9,1622.8,1021.9,946.6,927.1,2.0,22.0,13.0,10428.0,-12586.0,1057.0,403.0,0.0,-17.0,-16.0,5.0,-10.0,4.0,7991.0,-14257.0,1146.0,74.0,2.0,-14.0,-14.0,1.0
2022-05-23 13:20:11.426988-07:00,1222.2,841.9,1120.9,994.5,901.7,824.4,1711.9,1307.0,3468.6,3463.7,1034.0,850.3,1520.8,3478.3,1225.7,1220.4,3474.6,3469.8,1620.9,2100.7,2636.2,3497.8,1738.7,3490.5,3467.4,3475.9,625.4,832.7,1621.8,1021.9,946.6,927.1,-3.0,18.0,6.0,10429.0,-12586.0,1050.0,405.0,-12.0,-19.0,2.0,4.0,-12.0,3.0,7992.0,-14257.0,1141.0,79.0,-5.0,-17.0,-2.0,1.0
2022-05-23 13:20:11.457179-07:00,1213.3,844.4,1112.1,988.5,901.7,824.4,1711.9,1307.0,3467.4,3472.2,1035.7,852.0,1520.8,3478.3,1225.7,1220.4,3474.6,3469.8,1620.9,2100.7,2635.1,3486.8,1736.8,3486.8,3467.4,3475.9,625.4,832.7,1626.5,1021.9,945.8,925.4,0.0,27.0,13.0,10423.0,-12591.0,1047.0,408.0,-21.0,5.0,-18.0,3.0,-14.0,2.0,7985.0,-14261.0,1140.0,82.0,-15.0,4.0,-4.0,1.0
2022-05-23 13:20:11.517652-07:00,1213.3,844.4,1112.1,988.5,913.5,816.0,1728.2,1302.5,3467.4,3472.2,1035.7,852.0,1515.3,3469.8,1229.3,1221.3,3467.4,3474.6,1625.6,2090.6,2635.1,3486.8,1736.8,3486.8,3474.6,3467.4,627.0,832.7,1626.5,1021.9,945.8,925.4,-8.0,11.0,6.0,10420.0,-12595.0,1042.0,400.0,1.0,8.0,-23.0,-4.0,-17.0,5.0,7981.0,-14263.0,1140.0,81.0,-6.0,7.0,0.0,1.0
