Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 13:29:46.507312-07:00,2294.2,665.2,1206.2,1521.8,1068.6,1447.0,1211.5,1373.0,3432.2,3431.0,1535.7,1422.2,1477.3,3429.8,1095.6,1627.5,3427.4,3429.8,798.5,1442.4,1017.6,597.9,1519.0,1810.0,3428.6,3424.9,706.9,1135.7,1323.2,1500.4,1216.0,991.9,-4.0,11.0,-1.0,8594.0,13527.0,2798.0,1940.0,26.0,-13.0,23.0,-10.0,-3.0,0.0,9833.0,9074.0,7446.0,5829.0,22.0,18.0,-2.0,1.0
2022-05-23 13:29:46.566102-07:00,2294.2,665.2,1206.2,1519.0,1068.6,1443.3,1200.0,1372.1,3432.2,3431.0,1535.7,1420.4,1477.3,3427.4,1088.6,1625.6,3431.0,3422.5,803.5,1442.4,1020.2,597.9,1519.0,1810.0,3418.9,3418.9,703.6,1135.7,1322.3,1500.4,1216.0,991.9,2.0,0.0,-4.0,8602.0,13523.0,2793.0,1942.0,-69.0,-8.0,-7.0,-1.0,-10.0,-2.0,9835.0,9069.0,7446.0,5832.0,-52.0,-8.0,3.0,1.0
2022-05-23 13:29:46.627071-07:00,2300.4,679.1,1200.0,1519.0,1068.6,1443.3,1200.0,1372.1,3429.8,3427.4,1536.6,1420.4,1471.8,3427.4,1088.6,1625.6,3431.0,3422.5,803.5,1433.2,1020.2,599.6,1540.3,1816.8,3418.9,3418.9,703.6,1123.5,1322.3,1507.8,1209.7,1000.5,8.0,3.0,12.0,8616.0,13514.0,2795.0,1941.0,-20.0,-7.0,-8.0,0.0,-1.0,6.0,9845.0,9063.0,7438.0,5836.0,-7.0,-7.0,6.0,1.0
2022-05-23 13:29:46.660152-07:00,2300.4,679.1,1200.0,1517.1,1077.3,1425.9,1211.5,1378.5,3429.8,3427.4,1536.6,1424.1,1479.2,3431.0,1098.2,1622.8,3424.9,3426.2,798.5,1433.2,1014.2,599.6,1540.3,1816.8,3429.8,3429.8,706.0,1127.0,1326.8,1507.8,1209.7,1000.5,13.0,10.0,15.0,8636.0,13500.0,2794.0,1951.0,-44.0,26.0,-19.0,5.0,-11.0,4.0,9849.0,9059.0,7434.0,5841.0,-44.0,-8.0,5.0,1.0
2022-05-23 13:29:46.746222-07:00,2292.1,661.9,1208.9,1506.9,1077.3,1425.9,1211.5,1378.5,3431.0,3422.5,1533.8,1431.4,1479.2,3431.0,1098.2,1622.8,3424.9,3426.2,798.5,1433.2,1016.8,597.1,1532.9,1810.0,3429.8,3429.8,706.0,1127.0,1320.5,1507.8,1211.5,1000.5,4.0,2.0,9.0,8634.0,13502.0,2791.0,1948.0,32.0,-22.0,18.0,0.0,-6.0,2.0,9854.0,9053.0,7431.0,5845.0,15.0,2.0,-4.0,1.0
2022-05-23 13:29:46.775967-07:00,2292.1,661.9,1208.9,1506.9,1072.1,1422.2,1208.0,1375.7,3431.0,3422.5,1533.8,1431.4,1471.8,3431.0,1090.3,1615.2,3429.8,3421.3,802.7,1435.0,1016.8,597.1,1532.9,1810.0,3432.2,3423.7,697.9,1127.0,1320.5,1507.8,1211.5,1000.5,3.0,-1.0,11.0,8644.0,13497.0,2783.0,1946.0,-49.0,-8.0,0.0,-1.0,-9.0,0.0,9858.0,9049.0,7428.0,5847.0,-40.0,-7.0,2.0,1.0
2022-05-23 13:29:46.806282-07:00,2294.2,662.7,1202.7,1516.2,1072.1,1422.2,1208.0,1375.7,3429.8,3427.4,1524.5,1422.2,1471.8,3431.0,1090.3,1615.2,3429.8,3421.3,802.7,1435.0,1018.5,597.9,1533.8,1811.9,3432.2,3423.7,697.9,1127.0,1334.1,1501.4,1206.2,994.5,3.0,12.0,18.0,8656.0,13490.0,2784.0,1949.0,-10.0,12.0,-21.0,-1.0,-4.0,6.0,9863.0,9044.0,7425.0,5851.0,3.0,5.0,-2.0,1.0
2022-05-23 13:29:46.866124-07:00,2294.2,662.7,1202.7,1516.2,1070.3,1427.7,1205.3,1370.3,3429.8,3427.4,1524.5,1422.2,1467.2,3421.3,1096.4,1620.9,3429.8,3423.7,796.9,1441.5,1018.5,597.9,1533.8,1811.9,3434.6,3418.9,700.3,1113.9,1334.1,1501.4,1206.2,994.5,3.0,-5.0,14.0,8658.0,13484.0,2801.0,1953.0,20.0,31.0,-26.0,-2.0,-9.0,3.0,9861.0,9042.0,7428.0,5853.0,10.0,25.0,-4.0,1.0
2022-05-23 13:29:46.927010-07:00,2290.0,662.7,1210.6,1514.3,1070.3,1427.7,1205.3,1365.7,3431.0,3429.8,1533.8,1424.1,1467.2,3421.3,1096.4,1623.7,3421.3,3423.7,796.9,1441.5,1020.2,597.9,1518.0,1807.1,3429.8,3418.9,700.3,1113.9,1322.3,1499.5,1213.3,1001.3,9.0,3.0,0.0,8663.0,13478.0,2813.0,1953.0,-45.0,2.0,-44.0,2.0,-7.0,-10.0,9860.0,9037.0,7433.0,5858.0,-38.0,5.0,-11.0,1.0
2022-05-23 13:29:46.956279-07:00,2293.1,662.7,1210.6,1514.3,1069.5,1441.5,1193.8,1365.7,3422.5,3429.8,1533.8,1424.1,1472.7,3424.9,1090.3,1623.7,3421.3,3418.9,800.2,1432.3,1020.2,597.9,1518.0,1802.3,3429.8,3423.7,706.0,1119.1,1322.3,1499.5,1213.3,998.7,0.0,-8.0,5.0,8672.0,13471.0,2820.0,1950.0,-9.0,-8.0,1.0,-1.0,-10.0,0.0,9867.0,9029.0,7431.0,5861.0,-22.0,-13.0,2.0,1.0
2022-05-23 13:29:47.045997-07:00,2293.1,664.4,1192.9,1513.4,1069.5,1441.5,1193.8,1363.9,3422.5,3423.7,1529.2,1425.9,1472.7,3424.9,1090.3,1616.2,3418.9,3418.9,800.2,1432.3,1019.4,594.7,1524.5,1802.3,3423.7,3423.7,706.0,1119.1,1315.1,1498.6,1203.5,998.7,4.0,0.0,8.0,8681.0,13468.0,2807.0,1952.0,-31.0,-14.0,28.0,-4.0,-11.0,-7.0,9875.0,9026.0,7421.0,5863.0,-19.0,-17.0,17.0,1.0
2022-05-23 13:29:47.106316-07:00,2274.5,664.4,1192.9,1513.4,1079.0,1417.6,1195.6,1363.9,3418.9,3423.7,1529.2,1425.9,1480.1,3421.3,1085.1,1616.2,3418.9,3424.9,800.2,1441.5,1019.4,594.7,1524.5,1811.0,3423.7,3432.2,711.0,1122.6,1315.1,1498.6,1203.5,1000.5,0.0,8.0,4.0,8692.0,13462.0,2800.0,1956.0,-41.0,-13.0,5.0,-7.0,-7.0,4.0,9883.0,9026.0,7410.0,5865.0,-31.0,-20.0,8.0,1.0
2022-05-23 13:29:47.107280-07:00,2274.5,666.8,1202.7,1514.3,1079.0,1417.6,1195.6,1363.9,3418.9,3421.3,1533.8,1425.9,1480.1,3421.3,1085.1,1627.5,3426.2,3424.9,800.2,1441.5,1024.5,599.6,1515.3,1811.0,3432.2,3432.2,711.0,1122.6,1329.6,1499.5,1204.4,1000.5,3.0,0.0,18.0,8709.0,13453.0,2793.0,1950.0,-32.0,-18.0,-7.0,-1.0,-8.0,7.0,9895.0,9019.0,7399.0,5868.0,-31.0,-14.0,-5.0,1.0
2022-05-23 13:29:47.166174-07:00,2286.9,668.4,1202.7,1514.3,1068.6,1419.5,1201.8,1363.9,3423.7,3426.2,1533.8,1425.9,1479.2,3427.4,1096.4,1627.5,3426.2,3421.3,805.2,1433.2,1024.5,599.6,1514.3,1811.0,3432.2,3439.5,713.4,1111.2,1329.6,1499.5,1208.9,1001.3,6.0,-5.0,21.0,8719.0,13447.0,2789.0,1952.0,2.0,7.0,11.0,-3.0,-13.0,7.0,9901.0,9014.0,7395.0,5870.0,-6.0,2.0,7.0,1.0
2022-05-23 13:29:47.227014-07:00,2286.9,668.4,1203.5,1526.4,1068.6,1419.5,1196.5,1369.4,3423.7,3426.2,1537.6,1429.5,1479.2,3427.4,1086.8,1614.3,3424.9,3424.9,805.2,1433.2,1015.1,597.9,1514.3,1811.0,3428.6,3432.2,713.4,1111.2,1326.8,1505.1,1208.9,1001.3,-5.0,1.0,6.0,8718.0,13447.0,2786.0,1965.0,-1.0,18.0,24.0,-6.0,-10.0,3.0,9898.0,9018.0,7392.0,5874.0,-4.0,9.0,14.0,1.0
2022-05-23 13:29:47.285990-07:00,2282.8,670.9,1203.5,1526.4,1072.1,1414.9,1196.5,1369.4,3422.5,3432.2,1537.6,1429.5,1478.3,3421.3,1086.8,1614.3,3424.9,3424.9,801.0,1436.0,1015.1,597.9,1510.6,1810.0,3428.6,3432.2,705.2,1114.7,1326.8,1505.1,1214.2,1001.3,6.0,10.0,9.0,8719.0,13446.0,2782.0,1968.0,-11.0,5.0,6.0,-3.0,-7.0,-2.0,9896.0,9019.0,7390.0,5878.0,-6.0,11.0,7.0,1.0
2022-05-23 13:29:47.316158-07:00,2282.8,670.9,1207.1,1518.0,1072.1,1414.9,1199.1,1365.7,3422.5,3432.2,1524.5,1416.7,1478.3,3421.3,1090.3,1619.9,3422.5,3429.8,801.0,1436.0,1015.9,593.9,1510.6,1810.0,3424.9,3431.0,705.2,1114.7,1328.7,1499.5,1214.2,1001.3,10.0,-5.0,9.0,8724.0,13443.0,2780.0,1970.0,-4.0,3.0,-6.0,7.0,-10.0,0.0,9898.0,9017.0,7389.0,5879.0,-6.0,0.0,-3.0,1.0
2022-05-23 13:29:47.376209-07:00,2291.0,666.8,1207.1,1518.0,1069.5,1408.5,1199.1,1365.7,3422.5,3420.1,1524.5,1416.7,1473.6,3417.7,1090.3,1619.9,3422.5,3429.8,803.5,1436.9,1015.9,593.9,1509.7,1811.0,3424.9,3431.0,698.7,1106.9,1328.7,1499.5,1221.3,995.3,15.0,6.0,11.0,8724.0,13444.0,2775.0,1970.0,8.0,-16.0,8.0,3.0,-2.0,-3.0,9898.0,9017.0,7389.0,5879.0,-1.0,-4.0,3.0,1.0
2022-05-23 13:29:47.406677-07:00,2291.0,666.8,1193.8,1522.7,1069.5,1408.5,1199.1,1363.0,3422.5,3420.1,1530.1,1427.7,1473.6,3417.7,1093.8,1627.5,3426.2,3423.7,803.5,1436.9,1015.9,599.6,1509.7,1811.0,3424.9,3432.2,698.7,1106.9,1329.6,1506.0,1221.3,995.3,2.0,6.0,13.0,8731.0,13440.0,2773.0,1973.0,-27.0,4.0,10.0,0.0,-9.0,4.0,9902.0,9013.0,7386.0,5883.0,-27.0,-1.0,1.0,1.0
2022-05-23 13:29:47.466462-07:00,2282.8,662.7,1197.4,1522.7,1072.1,1404.0,1199.1,1363.0,3418.9,3418.9,1532.0,1427.7,1481.0,3424.9,1093.8,1627.5,3426.2,3423.7,801.0,1446.0,1015.9,600.4,1507.8,1819.7,3424.9,3432.2,704.4,1111.2,1329.6,1500.4,1208.9,1004.8,-6.0,2.0,13.0,8732.0,13437.0,2777.0,1979.0,-6.0,38.0,-12.0,-14.0,-14.0,0.0,9903.0,9009.0,7386.0,5886.0,-8.0,18.0,7.0,1.0
2022-05-23 13:29:47.526283-07:00,2282.8,662.7,1197.4,1513.4,1072.1,1403.0,1199.1,1366.6,3418.9,3418.9,1532.0,1428.6,1481.0,3429.8,1091.2,1618.1,3432.2,3418.9,805.2,1446.0,1025.4,600.4,1507.8,1819.7,3432.2,3434.6,704.4,1111.2,1325.9,1500.4,1208.9,1004.8,1.0,2.0,6.0,8734.0,13432.0,2792.0,1987.0,-7.0,22.0,-27.0,-1.0,-13.0,2.0,9900.0,9006.0,7391.0,5891.0,-2.0,16.0,-2.0,1.0
2022-05-23 13:29:47.585996-07:00,2278.6,673.3,1199.1,1513.4,1064.3,1403.0,1199.1,1366.6,3431.0,3427.4,1530.1,1428.6,1472.7,3429.8,1091.2,1618.1,3432.2,3418.9,805.2,1456.2,1025.4,598.7,1501.4,1808.1,3432.2,3434.6,704.4,1106.0,1325.9,1505.1,1208.0,1004.8,8.0,-8.0,19.0,8736.0,13428.0,2807.0,1985.0,-10.0,31.0,-24.0,-3.0,-11.0,-2.0,9898.0,9004.0,7394.0,5894.0,1.0,15.0,7.0,1.0
2022-05-23 13:29:47.616004-07:00,2278.6,673.3,1199.1,1519.0,1064.3,1411.3,1203.5,1368.5,3431.0,3427.4,1530.1,1417.6,1472.7,3428.6,1093.8,1619.9,3427.4,3420.1,797.7,1456.2,1016.8,598.7,1501.4,1808.1,3431.0,3426.2,699.5,1106.0,1327.8,1505.1,1208.0,1004.8,2.0,10.0,-1.0,8742.0,13419.0,2816.0,2001.0,-40.0,16.0,-6.0,4.0,-2.0,7.0,9897.0,9002.0,7392.0,5901.0,-26.0,1.0,6.0,1.0
2022-05-23 13:29:47.676186-07:00,2283.8,666.0,1194.7,1519.0,1065.1,1411.3,1203.5,1368.5,3429.8,3428.6,1518.0,1417.6,1481.9,3428.6,1093.8,1619.9,3427.4,3420.1,797.7,1435.0,1016.8,600.4,1494.0,1803.2,3431.0,3426.2,699.5,1111.2,1327.8,1499.5,1229.3,998.7,8.0,-4.0,18.0,8747.0,13418.0,2812.0,1994.0,15.0,-25.0,9.0,-1.0,-10.0,-1.0,9900.0,8998.0,7390.0,5903.0,5.0,-5.0,1.0,1.0
2022-05-23 13:29:47.736032-07:00,2283.8,666.0,1194.7,1506.9,1077.3,1400.3,1194.7,1359.4,3429.8,3428.6,1518.0,1424.1,1476.4,3429.8,1086.8,1616.2,3422.5,3421.3,803.5,1428.6,1017.6,600.4,1494.0,1803.2,3421.3,3420.1,706.9,1102.5,1319.6,1499.5,1229.3,998.7,4.0,2.0,15.0,8744.0,13423.0,2797.0,1995.0,-6.0,-19.0,42.0,0.0,-9.0,1.0,9899.0,9000.0,7388.0,5905.0,4.0,-1.0,15.0,1.0
