Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 13:29:46.483707-07:00,1356.7,874.7,1038.3,973.1,871.3,929.6,1681.4,1259.6,3472.2,3473.4,1099.0,861.2,1451.6,3471.0,1209.7,1198.2,3483.2,3475.9,1495.8,2045.4,2673.3,3499.0,1845.0,3486.8,3469.8,3475.9,636.7,885.6,1777.2,1022.8,946.6,865.4,-2.0,-3.0,-5.0,9209.0,-13503.0,552.0,992.0,32.0,51.0,38.0,-7.0,-16.0,13.0,6543.0,-13760.0,5677.0,-2016.0,42.0,-3.0,15.0,1.0
2022-05-23 13:29:46.574156-07:00,1356.7,874.7,1033.2,967.1,871.3,929.6,1675.7,1250.6,3472.2,3473.4,1111.2,867.1,1451.6,3471.0,1215.1,1190.3,3468.6,3478.3,1495.8,2045.4,2681.0,3492.9,1845.0,3486.8,3475.9,3473.4,636.7,885.6,1779.1,1021.1,946.6,865.4,-8.0,8.0,32.0,9198.0,-13511.0,537.0,998.0,-60.0,-60.0,-72.0,-1.0,2.0,9.0,6534.0,-13761.0,5685.0,-2011.0,-45.0,19.0,6.0,1.0
2022-05-23 13:29:46.575552-07:00,1345.8,878.9,1033.2,967.1,872.1,916.9,1675.7,1250.6,3461.3,3460.1,1111.2,867.1,1449.7,3463.7,1215.1,1190.3,3468.6,3478.3,1487.5,2041.4,2681.0,3492.9,1841.1,3480.7,3475.9,3473.4,636.7,871.3,1779.1,1021.1,947.5,871.3,-3.0,6.0,-4.0,9189.0,-13519.0,507.0,988.0,-8.0,-18.0,-104.0,-2.0,2.0,12.0,6533.0,-13760.0,5689.0,-2012.0,-3.0,6.0,6.0,1.0
2022-05-23 13:29:46.634453-07:00,1345.8,878.9,1034.9,962.8,872.1,916.9,1690.0,1257.8,3461.3,3460.1,1097.3,860.4,1449.7,3463.7,1214.2,1195.6,3478.3,3469.8,1487.5,2041.4,2667.8,3486.8,1841.1,3480.7,3477.1,3477.1,636.7,871.3,1779.1,1021.9,947.5,871.3,7.0,10.0,17.0,9190.0,-13519.0,472.0,986.0,-11.0,-20.0,-27.0,-3.0,1.0,0.0,6535.0,-13759.0,5689.0,-2013.0,3.0,-7.0,3.0,1.0
2022-05-23 13:29:46.693779-07:00,1354.0,878.0,1034.9,962.8,858.7,914.4,1690.0,1257.8,3462.5,3468.6,1097.3,860.4,1448.8,3468.6,1214.2,1195.6,3478.3,3469.8,1483.8,2046.4,2667.8,3486.8,1837.2,3488.0,3477.1,3477.1,631.1,878.9,1779.1,1021.9,945.8,867.9,8.0,29.0,8.0,9192.0,-13518.0,476.0,987.0,45.0,-2.0,22.0,-9.0,-3.0,11.0,6546.0,-13752.0,5693.0,-2014.0,23.0,1.0,19.0,1.0
2022-05-23 13:29:46.724046-07:00,1354.0,878.0,1031.4,961.1,858.7,914.4,1695.7,1262.2,3462.5,3468.6,1092.9,860.4,1448.8,3468.6,1212.4,1198.2,3471.0,3474.6,1483.8,2046.4,2675.5,3495.3,1837.2,3488.0,3474.6,3469.8,631.1,878.9,1775.2,1017.6,945.8,867.9,0.0,22.0,0.0,9182.0,-13525.0,464.0,991.0,-60.0,-46.0,-36.0,-8.0,-4.0,5.0,6523.0,-13763.0,5697.0,-2004.0,-86.0,4.0,8.0,1.0
2022-05-23 13:29:46.783463-07:00,1346.7,875.5,1033.2,961.1,869.6,916.9,1695.7,1262.2,3471.0,3466.1,1090.3,860.4,1445.1,3464.9,1212.4,1198.2,3471.0,3474.6,1498.6,2046.4,2675.5,3489.2,1831.3,3492.9,3474.6,3469.8,635.1,876.4,1775.2,1016.8,944.9,877.2,2.0,-5.0,13.0,9155.0,-13545.0,434.0,984.0,-68.0,16.0,-74.0,-11.0,-13.0,4.0,6491.0,-13778.0,5700.0,-1992.0,-42.0,3.0,-8.0,1.0
2022-05-23 13:29:46.873268-07:00,1346.7,875.5,1033.2,962.8,869.6,905.9,1686.2,1245.3,3471.0,3466.1,1090.3,862.1,1445.1,3468.6,1206.2,1196.5,3480.7,3468.6,1490.3,2046.4,2678.8,3489.2,1831.3,3492.9,3474.6,3478.3,634.3,876.4,1780.1,1016.8,944.9,877.2,-7.0,-8.0,-7.0,9162.0,-13542.0,436.0,953.0,30.0,89.0,25.0,-11.0,2.0,-10.0,6497.0,-13777.0,5694.0,-1998.0,16.0,-3.0,-19.0,1.0
2022-05-23 13:29:46.904007-07:00,1354.0,878.9,1038.3,962.8,862.9,905.9,1686.2,1245.3,3468.6,3461.3,1093.8,862.1,1444.2,3468.6,1206.2,1196.5,3480.7,3468.6,1490.3,2049.4,2678.8,3492.9,1826.5,3488.0,3474.6,3478.3,634.3,874.7,1780.1,1015.1,939.0,852.8,6.0,10.0,4.0,9139.0,-13556.0,499.0,947.0,-96.0,53.0,126.0,0.0,-17.0,7.0,6478.0,-13786.0,5697.0,-1991.0,-68.0,7.0,14.0,1.0
2022-05-23 13:29:46.963809-07:00,1354.0,878.9,1038.3,957.7,862.9,908.4,1665.3,1256.9,3468.6,3461.3,1093.8,865.4,1444.2,3467.4,1204.4,1187.6,3467.4,3469.8,1498.6,2049.4,2683.2,3492.9,1826.5,3488.0,3467.4,3471.0,637.6,874.7,1781.0,1015.1,939.0,852.8,14.0,17.0,7.0,9118.0,-13570.0,512.0,949.0,2.0,2.0,-41.0,5.0,-9.0,2.0,6468.0,-13789.0,5702.0,-1986.0,41.0,9.0,2.0,1.0
