Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 13:31:29.766747-07:00,1281.9,835.2,1188.5,1066.9,972.2,1216.8,1902.6,1409.4,3480.7,3461.3,1103.4,892.4,1541.3,3463.7,1356.7,1287.3,3469.8,3474.6,1539.4,2142.2,2655.8,3485.6,1911.5,3489.2,3462.5,3477.1,702.8,916.0,1706.2,1066.0,1007.3,843.6,0.0,4.0,36.0,9546.0,-13289.0,835.0,17.0,-2.0,-13.0,-18.0,-1.0,-7.0,11.0,6924.0,-13300.0,6021.0,-2712.0,-11.0,2.0,-6.0,1.0
2022-05-23 13:31:29.826972-07:00,1281.9,835.2,1188.5,1066.9,979.0,1208.0,1901.6,1405.8,3480.7,3461.3,1103.4,892.4,1534.8,3472.2,1352.1,1290.9,3471.0,3481.9,1535.7,2136.1,2655.8,3485.6,1911.5,3489.2,3460.1,3475.9,687.2,908.4,1706.2,1066.0,1007.3,843.6,-16.0,1.0,13.0,9564.0,-13277.0,833.0,-4.0,43.0,65.0,-32.0,-13.0,-6.0,7.0,6927.0,-13296.0,6022.0,-2719.0,19.0,18.0,1.0,1.0
2022-05-23 13:31:29.828011-07:00,1282.8,836.9,1199.1,1059.1,979.0,1208.0,1901.6,1404.0,3469.8,3475.9,1104.3,884.8,1534.8,3472.2,1352.1,1291.8,3480.7,3481.9,1535.7,2136.1,2652.6,3480.7,1920.3,3488.0,3467.4,3475.9,687.2,908.4,1692.9,1060.8,1016.8,851.1,-3.0,6.0,15.0,9578.0,-13266.0,847.0,-27.0,45.0,73.0,-10.0,-9.0,-7.0,6.0,6929.0,-13293.0,6024.0,-2726.0,34.0,13.0,3.0,1.0
2022-05-23 13:31:29.857253-07:00,1289.1,836.9,1199.1,1059.1,980.7,1208.0,1888.9,1404.0,3466.1,3475.9,1104.3,884.8,1537.6,3469.8,1355.8,1291.8,3480.7,3463.7,1537.6,2142.2,2652.6,3480.7,1920.3,3489.2,3467.4,3478.3,692.1,919.4,1692.9,1060.8,1016.8,848.6,11.0,13.0,51.0,9618.0,-13236.0,858.0,-69.0,195.0,107.0,-67.0,0.0,-10.0,8.0,6953.0,-13277.0,6022.0,-2746.0,105.0,35.0,0.0,1.0
2022-05-23 13:31:29.916275-07:00,1289.1,836.9,1202.7,1068.6,980.7,1208.0,1888.9,1399.4,3466.1,3455.2,1103.4,877.2,1537.6,3469.8,1355.8,1288.2,3467.4,3463.7,1537.6,2142.2,2648.2,3488.0,1912.4,3489.2,3469.8,3478.3,692.1,919.4,1702.4,1065.1,1016.8,848.6,-3.0,15.0,-5.0,9738.0,-13148.0,850.0,-171.0,316.0,183.0,-157.0,-5.0,6.0,1.0,7003.0,-13244.0,6016.0,-2792.0,123.0,52.0,-24.0,1.0
2022-05-23 13:31:29.976397-07:00,1293.6,836.9,1202.7,1068.6,967.9,1204.4,1908.5,1399.4,3480.7,3455.2,1103.4,877.2,1529.2,3467.4,1354.0,1288.2,3467.4,3469.8,1536.6,2125.0,2648.2,3488.0,1912.4,3491.7,3469.8,3467.4,694.6,922.0,1702.4,1065.1,1016.8,847.8,-1.0,-22.0,20.0,9761.0,-13128.0,873.0,-260.0,14.0,196.0,-19.0,4.0,-25.0,10.0,6996.0,-13241.0,6023.0,-2808.0,4.0,42.0,18.0,1.0
2022-05-23 13:31:30.036442-07:00,1293.6,858.7,1200.9,1062.5,967.9,1204.4,1908.5,1413.1,3480.7,3478.3,1105.1,874.7,1529.2,3467.4,1354.0,1297.2,3472.2,3469.8,1536.6,2125.0,2648.2,3499.0,1917.4,3491.7,3480.7,3467.4,694.6,922.0,1707.2,1064.3,1015.1,847.8,5.0,11.0,0.0,9777.0,-13111.0,918.0,-323.0,55.0,176.0,-1.0,5.0,3.0,-3.0,7004.0,-13228.0,6037.0,-2821.0,17.0,29.0,27.0,1.0
2022-05-23 13:31:30.038701-07:00,1299.8,858.7,1200.9,1062.5,974.8,1205.3,1896.7,1413.1,3471.0,3478.3,1105.1,874.7,1537.6,3478.3,1348.5,1297.2,3472.2,3478.3,1534.8,2139.2,2648.2,3499.0,1917.4,3484.4,3480.7,3478.3,698.7,923.7,1707.2,1064.3,1015.1,856.2,-10.0,10.0,-12.0,9766.0,-13116.0,948.0,-367.0,-51.0,68.0,-28.0,-5.0,-2.0,-1.0,6991.0,-13228.0,6052.0,-2820.0,-51.0,17.0,21.0,1.0
2022-05-23 13:31:30.095993-07:00,1299.8,825.2,1210.6,1062.5,974.8,1205.3,1881.1,1404.9,3471.0,3464.9,1105.1,886.5,1537.6,3478.3,1350.3,1282.8,3478.3,3475.9,1534.8,2139.2,2651.5,3485.6,1927.2,3484.4,3472.2,3475.9,698.7,923.7,1707.2,1061.7,1011.6,856.2,-12.0,-1.0,-1.0,9764.0,-13116.0,950.0,-398.0,64.0,77.0,-35.0,-12.0,-7.0,1.0,6990.0,-13228.0,6053.0,-2821.0,62.0,-4.0,-18.0,1.0
2022-05-23 13:31:30.156414-07:00,1301.6,837.7,1210.6,1062.5,973.9,1212.4,1881.1,1404.9,3473.4,3460.1,1105.1,886.5,1535.7,3462.5,1350.3,1282.8,3478.3,3475.9,1529.2,2132.1,2651.5,3485.6,1924.3,3492.9,3472.2,3475.9,697.0,920.3,1707.2,1061.7,1013.3,872.1,-21.0,10.0,0.0,9784.0,-13100.0,957.0,-417.0,20.0,8.0,-17.0,-9.0,-15.0,11.0,7010.0,-13220.0,6042.0,-2833.0,23.0,-7.0,-10.0,1.0
