Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 13:33:53.255820-07:00,1307.9,882.3,1164.7,1000.5,878.9,867.1,1810.0,1373.0,3467.4,3468.6,1098.2,873.0,1562.7,3471.0,1293.6,1255.1,3483.2,3478.3,1479.2,2074.5,2586.4,3488.0,1801.3,3485.6,3477.1,3467.4,648.1,887.3,1749.3,1056.5,991.0,905.9,-6.0,-12.0,-2.0,9961.0,-12929.0,399.0,1379.0,118.0,19.0,-12.0,-5.0,-4.0,-2.0,6970.0,-12357.0,7317.0,-3690.0,93.0,13.0,2.0,1.0
2022-05-23 13:33:53.525875-07:00,1307.9,878.0,1154.2,986.7,878.9,867.1,1810.0,1388.5,3467.4,3475.9,1101.7,867.1,1562.7,3471.0,1293.6,1240.8,3478.3,3478.3,1479.2,2074.5,2626.5,3490.5,1809.0,3485.6,3472.2,3467.4,648.1,887.3,1744.5,1043.5,1000.5,905.9,3.0,17.0,19.0,9970.0,-12920.0,421.0,1387.0,-14.0,51.0,43.0,-2.0,0.0,9.0,6983.0,-12347.0,7318.0,-3697.0,-2.0,5.0,13.0,1.0
2022-05-23 13:33:53.527484-07:00,1306.1,876.4,1154.2,986.7,866.3,861.2,1814.9,1388.5,3468.6,3468.6,1101.7,867.1,1557.1,3463.7,1296.3,1240.8,3478.3,3478.3,1479.2,2075.5,2626.5,3490.5,1802.3,3486.8,3472.2,3467.4,648.1,900.0,1744.5,1043.5,994.5,900.0,1.0,6.0,18.0,9964.0,-12927.0,438.0,1366.0,-15.0,79.0,-26.0,-5.0,-2.0,6.0,6972.0,-12349.0,7324.0,-3700.0,-21.0,23.0,-7.0,1.0
2022-05-23 13:33:53.528247-07:00,1306.1,876.4,1162.1,1001.3,866.3,861.2,1800.3,1381.2,3468.6,3468.6,1093.8,871.3,1557.1,3463.7,1292.7,1247.1,3479.5,3471.0,1479.2,2075.5,2608.0,3495.3,1802.3,3486.8,3474.6,3468.6,648.1,900.0,1747.3,1047.8,994.5,900.0,1.0,-4.0,2.0,9957.0,-12934.0,455.0,1337.0,-31.0,46.0,7.0,-2.0,-3.0,2.0,6957.0,-12354.0,7331.0,-3699.0,-42.0,14.0,3.0,1.0
2022-05-23 13:33:53.529430-07:00,1310.6,878.0,1162.1,1001.3,864.6,865.4,1800.3,1381.2,3466.1,3473.4,1093.8,871.3,1564.6,3468.6,1292.7,1247.1,3479.5,3471.0,1478.3,2087.6,2608.0,3495.3,1808.1,3483.2,3474.6,3468.6,653.8,886.5,1747.3,1047.8,993.6,904.2,3.0,3.0,16.0,9943.0,-12945.0,468.0,1334.0,0.0,5.0,6.0,0.0,-11.0,10.0,6943.0,-12361.0,7335.0,-3691.0,-12.0,0.0,5.0,1.0
2022-05-23 13:33:53.530500-07:00,1310.6,878.0,1151.5,996.2,864.6,865.4,1795.5,1366.6,3466.1,3473.4,1092.9,873.8,1564.6,3468.6,1289.1,1246.2,3469.8,3468.6,1478.3,2087.6,2599.3,3492.9,1808.1,3483.2,3472.2,3468.6,653.8,886.5,1749.3,1043.5,993.6,904.2,16.0,5.0,19.0,9949.0,-12941.0,469.0,1327.0,0.0,48.0,-6.0,-5.0,7.0,-4.0,6943.0,-12362.0,7332.0,-3693.0,-12.0,-1.0,-20.0,1.0
2022-05-23 13:33:53.616266-07:00,1299.0,890.7,1149.8,997.0,869.6,860.4,1805.2,1344.0,3462.5,3468.6,1097.3,873.8,1567.4,3462.5,1296.3,1242.6,3464.9,3468.6,1480.1,2076.5,2604.8,3491.7,1811.0,3488.0,3468.6,3473.4,648.9,886.5,1757.0,1041.8,992.7,904.2,5.0,2.0,0.0,9915.0,-12968.0,495.0,1311.0,-12.0,-30.0,-3.0,3.0,-2.0,3.0,6907.0,-12380.0,7346.0,-3676.0,-15.0,-10.0,-8.0,1.0
2022-05-23 13:33:53.735749-07:00,1299.0,890.7,1149.8,1000.5,869.6,852.8,1782.9,1369.4,3462.5,3468.6,1097.3,872.1,1567.4,3467.4,1288.2,1239.1,3469.8,3463.7,1479.2,2076.5,2592.9,3491.7,1811.0,3488.0,3468.6,3466.1,642.4,886.5,1734.9,1041.8,992.7,904.2,0.0,4.0,17.0,9912.0,-12970.0,482.0,1323.0,4.0,-56.0,-32.0,3.0,-13.0,13.0,6906.0,-12382.0,7345.0,-3673.0,3.0,-4.0,-6.0,1.0
2022-05-23 13:33:53.766386-07:00,1305.2,876.4,1155.9,1000.5,868.8,852.8,1782.9,1369.4,3467.4,3455.2,1083.4,872.1,1561.8,3467.4,1288.2,1239.1,3469.8,3463.7,1479.2,2075.5,2592.9,3490.5,1804.2,3485.6,3468.6,3466.1,642.4,883.1,1734.9,1039.2,994.5,902.5,1.0,2.0,18.0,9918.0,-12966.0,456.0,1323.0,2.0,1.0,-47.0,-7.0,3.0,0.0,6904.0,-12384.0,7343.0,-3673.0,-19.0,8.0,-14.0,1.0
2022-05-23 13:33:53.767138-07:00,1305.2,876.4,1155.9,1001.3,868.8,863.7,1790.7,1387.5,3467.4,3455.2,1083.4,871.3,1561.8,3467.4,1290.9,1246.2,3471.0,3471.0,1475.5,2075.5,2606.9,3490.5,1804.2,3485.6,3469.8,3469.8,648.1,883.1,1745.4,1039.2,994.5,902.5,-3.0,-16.0,13.0,9906.0,-12975.0,470.0,1314.0,-48.0,39.0,46.0,-3.0,-16.0,7.0,6891.0,-12390.0,7349.0,-3664.0,-38.0,5.0,21.0,1.0
