Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 13:35:48.904041-07:00,1238.2,791.0,1124.4,991.9,979.0,919.4,1651.1,1248.0,3468.6,3467.4,1114.7,884.8,1516.2,3472.2,1333.2,1260.4,3475.9,3468.6,1507.8,2055.4,2629.7,3494.1,1774.3,3480.7,3473.4,3472.2,666.0,886.5,1762.7,1052.2,1034.9,873.0,42.0,13.0,-49.0,10042.0,-12775.0,-248.0,2081.0,14.0,-1.0,-82.0,23.0,23.0,-52.0,6537.0,-11929.0,7748.0,-4836.0,-69.0,35.0,-43.0,1.0
2022-05-23 13:35:48.933742-07:00,1238.2,786.9,1121.7,997.9,979.0,919.4,1651.1,1247.1,3468.6,3475.9,1111.2,880.6,1516.2,3472.2,1333.2,1254.2,3469.8,3468.6,1507.8,2055.4,2636.2,3489.2,1784.9,3480.7,3471.0,3472.2,666.0,886.5,1781.0,1055.6,1034.0,873.0,27.0,-43.0,-23.0,10041.0,-12780.0,-282.0,2050.0,-33.0,6.0,-87.0,29.0,-13.0,-27.0,6510.0,-11950.0,7741.0,-4831.0,-7.0,-21.0,-32.0,1.0
2022-05-23 13:35:48.964440-07:00,1239.9,781.1,1121.7,997.9,971.3,926.2,1648.3,1247.1,3463.7,3469.8,1111.2,880.6,1506.9,3467.4,1315.1,1254.2,3469.8,3468.6,1503.2,2057.4,2636.2,3489.2,1777.2,3486.8,3471.0,3468.6,666.8,891.5,1781.0,1055.6,1028.8,871.3,-40.0,-20.0,-10.0,10065.0,-12762.0,-299.0,2048.0,98.0,-48.0,-13.0,-24.0,-20.0,11.0,6541.0,-11949.0,7715.0,-4834.0,115.0,-62.0,-15.0,1.0
2022-05-23 13:35:48.965307-07:00,1239.9,781.1,1118.2,990.2,971.3,926.2,1646.4,1252.4,3463.7,3469.8,1106.0,873.8,1506.9,3467.4,1312.4,1247.1,3472.2,3468.6,1503.2,2057.4,2628.6,3489.2,1777.2,3486.8,3471.0,3474.6,666.8,891.5,1764.6,1052.2,1028.8,871.3,-6.0,38.0,12.0,10122.0,-12709.0,-320.0,2090.0,233.0,-128.0,4.0,-18.0,19.0,-12.0,6600.0,-11925.0,7687.0,-4855.0,190.0,-29.0,-4.0,1.0
2022-05-23 13:35:48.966243-07:00,1247.1,782.7,1118.2,990.2,973.1,925.4,1646.4,1252.4,3474.6,3464.9,1106.0,873.8,1505.1,3464.9,1312.4,1247.1,3472.2,3468.6,1508.8,2051.4,2628.6,3489.2,1774.3,3479.5,3471.0,3474.6,663.6,889.8,1764.6,1052.2,1021.9,884.8,4.0,-11.0,-29.0,10166.0,-12673.0,-344.0,2088.0,23.0,11.0,-96.0,4.0,0.0,-30.0,6628.0,-11912.0,7674.0,-4869.0,-8.0,4.0,5.0,1.0
2022-05-23 13:35:49.054546-07:00,1247.1,782.7,1100.8,985.0,973.1,925.4,1636.0,1248.0,3474.6,3464.9,1097.3,878.9,1505.1,3464.9,1306.1,1247.1,3474.6,3471.0,1508.8,2051.4,2633.0,3488.0,1774.3,3479.5,3469.8,3466.1,663.6,889.8,1775.2,1053.0,1021.9,884.8,8.0,-31.0,-49.0,10172.0,-12671.0,-363.0,2069.0,34.0,17.0,-11.0,11.0,2.0,-33.0,6627.0,-11912.0,7681.0,-4861.0,86.0,-36.0,64.0,1.0
2022-05-23 13:35:49.144433-07:00,1245.3,785.2,1100.8,985.0,977.3,922.0,1636.0,1248.0,3460.1,3463.7,1097.3,878.9,1507.8,3464.9,1306.1,1247.1,3474.6,3471.0,1511.5,2057.4,2633.0,3488.0,1765.6,3481.9,3469.8,3466.1,665.2,886.5,1775.2,1053.0,1025.4,828.5,41.0,10.0,-5.0,10197.0,-12647.0,-350.0,2097.0,135.0,-64.0,100.0,19.0,14.0,-18.0,6691.0,-11878.0,7678.0,-4860.0,205.0,-67.0,86.0,1.0
2022-05-23 13:35:49.146625-07:00,1245.3,785.2,1113.9,991.0,977.3,919.4,1647.3,1246.2,3460.1,3463.7,1095.6,871.3,1507.8,3466.1,1299.0,1246.2,3462.5,3474.6,1515.3,2057.4,2634.1,3481.9,1765.6,3481.9,3466.1,3466.1,679.1,886.5,1770.4,1046.1,1025.4,828.5,19.0,-33.0,15.0,10222.0,-12622.0,-314.0,2130.0,45.0,-13.0,101.0,28.0,-30.0,20.0,6764.0,-11846.0,7668.0,-4855.0,164.0,-101.0,99.0,1.0
2022-05-23 13:35:49.203886-07:00,1242.6,793.5,1111.2,991.0,972.2,919.4,1647.3,1246.2,3464.9,3473.4,1105.1,871.3,1515.3,3466.1,1299.0,1246.2,3462.5,3474.6,1515.3,2055.4,2634.1,3495.3,1768.5,3489.2,3466.1,3466.1,679.1,886.5,1770.4,1054.8,1023.7,867.1,27.0,6.0,31.0,10251.0,-12590.0,-295.0,2179.0,121.0,-97.0,121.0,34.0,-2.0,46.0,6859.0,-11803.0,7659.0,-4839.0,160.0,-99.0,115.0,1.0
2022-05-23 13:35:49.264197-07:00,1242.6,793.5,1111.2,985.9,972.2,924.5,1639.8,1244.4,3464.9,3473.4,1105.1,874.7,1515.3,3457.6,1299.0,1250.6,3478.3,3471.0,1503.2,2055.4,2629.7,3495.3,1768.5,3489.2,3471.0,3467.4,657.9,886.5,1774.3,1054.8,1023.7,867.1,51.0,76.0,66.0,10248.0,-12583.0,-281.0,2237.0,-92.0,-39.0,72.0,30.0,31.0,43.0,6905.0,-11783.0,7664.0,-4815.0,-84.0,-15.0,8.0,1.0
