Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 13:44:59.360306-07:00,2038.4,608.4,1141.0,1430.5,1185.0,1185.0,1222.2,1470.9,3422.5,3423.7,1460.8,1358.5,1484.7,3429.8,1040.1,1549.7,3423.7,3417.7,864.6,1505.1,1054.8,612.5,1258.7,1716.7,3427.4,3427.4,707.7,981.6,1259.6,1488.4,1196.5,1053.9,-4.0,-12.0,9.0,6596.0,7794.0,10568.0,7246.0,-9.0,-1.0,17.0,-2.0,-1.0,-7.0,1353.0,782.0,10890.0,12141.0,-5.0,-5.0,10.0,1.0
2022-05-23 13:44:59.420393-07:00,2032.4,621.4,1149.8,1430.5,1198.2,1185.0,1222.2,1470.9,3418.9,3427.4,1458.9,1358.5,1491.2,3429.8,1040.1,1549.7,3423.7,3417.7,864.6,1503.2,1054.8,612.5,1262.2,1717.7,3427.4,3427.4,707.7,983.3,1259.6,1493.0,1192.9,1056.5,-13.0,-16.0,11.0,6596.0,7795.0,10565.0,7250.0,-9.0,3.0,-6.0,-5.0,-5.0,0.0,1352.0,782.0,10890.0,12141.0,-7.0,1.0,4.0,1.0
2022-05-23 13:44:59.450229-07:00,2032.4,621.4,1149.8,1434.1,1198.2,1196.5,1217.7,1476.4,3418.9,3427.4,1458.9,1359.4,1491.2,3429.8,1037.5,1542.2,3418.9,3417.7,864.6,1503.2,1053.9,612.5,1262.2,1717.7,3428.6,3427.4,709.3,983.3,1244.4,1493.0,1192.9,1056.5,-10.0,-12.0,6.0,6592.0,7796.0,10568.0,7248.0,14.0,15.0,2.0,-3.0,0.0,-1.0,1350.0,781.0,10892.0,12139.0,11.0,15.0,1.0,1.0
2022-05-23 13:44:59.510805-07:00,2031.4,614.1,1145.4,1434.1,1187.6,1196.5,1217.7,1476.4,3429.8,3423.7,1458.9,1359.4,1485.6,3429.8,1037.5,1542.2,3418.9,3417.7,864.6,1494.0,1053.9,605.2,1260.4,1715.8,3428.6,3427.4,709.3,975.6,1244.4,1486.6,1192.0,1059.9,3.0,-4.0,12.0,6590.0,7798.0,10567.0,7248.0,4.0,-3.0,9.0,4.0,2.0,-9.0,1349.0,779.0,10892.0,12139.0,-2.0,5.0,3.0,1.0
2022-05-23 13:44:59.570136-07:00,2031.4,614.1,1145.4,1424.1,1187.6,1194.7,1218.6,1473.6,3429.8,3423.7,1458.9,1360.3,1485.6,3432.2,1035.7,1543.1,3429.8,3422.5,867.1,1494.0,1047.8,605.2,1260.4,1715.8,3429.8,3424.9,703.6,975.6,1247.1,1486.6,1192.0,1059.9,-6.0,-13.0,8.0,6590.0,7798.0,10567.0,7249.0,1.0,-9.0,1.0,0.0,-3.0,-3.0,1349.0,779.0,10892.0,12139.0,-6.0,1.0,0.0,1.0
2022-05-23 13:44:59.600633-07:00,2034.4,612.5,1143.6,1422.2,1190.3,1194.7,1218.6,1473.6,3429.8,3416.5,1458.9,1368.5,1487.5,3432.2,1035.7,1543.1,3429.8,3422.5,867.1,1498.6,1054.8,618.1,1251.5,1726.3,3429.8,3424.9,703.6,976.5,1241.7,1488.4,1189.4,1058.2,-11.0,-16.0,16.0,6592.0,7799.0,10566.0,7247.0,-9.0,-2.0,-5.0,-3.0,-6.0,2.0,1349.0,779.0,10892.0,12139.0,-5.0,7.0,0.0,1.0
2022-05-23 13:44:59.660051-07:00,2034.4,612.5,1143.6,1422.2,1185.9,1190.3,1220.4,1478.3,3429.8,3416.5,1458.9,1368.5,1496.7,3431.0,1034.9,1548.7,3432.2,3422.5,866.3,1503.2,1054.8,618.1,1251.5,1726.3,3431.0,3428.6,719.2,973.1,1241.7,1488.4,1189.4,1058.2,-11.0,-16.0,13.0,6588.0,7797.0,10568.0,7249.0,5.0,23.0,6.0,-8.0,-2.0,2.0,1345.0,775.0,10895.0,12138.0,6.0,11.0,-1.0,1.0
2022-05-23 13:44:59.720165-07:00,2033.4,611.7,1146.3,1426.8,1185.9,1190.3,1220.4,1478.3,3434.6,3424.9,1457.1,1360.3,1496.7,3431.0,1034.9,1548.7,3432.2,3422.5,866.3,1503.2,1052.2,609.2,1257.8,1720.5,3431.0,3428.6,719.2,973.1,1245.3,1484.7,1192.0,1051.3,-7.0,-10.0,7.0,6580.0,7796.0,10574.0,7249.0,24.0,15.0,-7.0,-3.0,0.0,-5.0,1340.0,770.0,10899.0,12135.0,12.0,20.0,-4.0,1.0
2022-05-23 13:44:59.749997-07:00,2033.4,611.7,1146.3,1426.8,1189.4,1203.5,1216.0,1468.1,3434.6,3424.9,1457.1,1360.3,1483.8,3427.4,1036.6,1536.6,3422.5,3428.6,869.6,1490.3,1052.2,609.2,1257.8,1720.5,3422.5,3434.6,701.1,982.5,1245.3,1484.7,1192.0,1051.3,-4.0,-13.0,7.0,6578.0,7794.0,10577.0,7249.0,5.0,7.0,5.0,-2.0,0.0,-7.0,1337.0,767.0,10899.0,12135.0,1.0,6.0,-4.0,1.0
2022-05-23 13:44:59.810382-07:00,2036.4,608.4,1139.2,1426.8,1189.4,1203.5,1216.0,1468.1,3422.5,3423.7,1458.9,1364.8,1483.8,3427.4,1036.6,1536.6,3422.5,3428.6,869.6,1490.3,1050.4,609.2,1259.6,1719.6,3422.5,3434.6,701.1,982.5,1245.3,1489.3,1201.8,1054.8,-10.0,-16.0,13.0,6576.0,7793.0,10578.0,7250.0,-1.0,7.0,-8.0,-4.0,-1.0,3.0,1337.0,767.0,10899.0,12135.0,-2.0,8.0,-4.0,1.0
