Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 13:49:12.744825-07:00,1892.8,607.6,1199.1,1376.6,1156.8,1252.4,1383.0,1707.2,3417.7,3423.7,1524.5,1306.1,1480.1,3429.8,1043.5,1488.4,3429.8,3422.5,785.2,1551.5,994.5,637.6,1239.1,1803.2,3433.4,3428.6,677.4,1009.0,1270.3,1427.7,1175.3,1087.7,-12.0,7.0,9.0,7946.0,8807.0,8846.0,7033.0,-9.0,75.0,-51.0,-15.0,-3.0,2.0,-1479.0,-2210.0,9866.0,12807.0,-6.0,10.0,-11.0,1.0
2022-05-23 13:49:12.805204-07:00,1892.8,607.6,1199.1,1376.6,1157.7,1246.2,1374.8,1699.5,3417.7,3423.7,1524.5,1306.1,1489.3,3420.1,1034.9,1482.9,3422.5,3418.9,794.4,1559.0,994.5,637.6,1239.1,1803.2,3423.7,3431.0,680.7,1015.1,1270.3,1427.7,1175.3,1087.7,-26.0,-7.0,-5.0,7940.0,8790.0,8867.0,7035.0,24.0,12.0,3.0,-31.0,-1.0,0.0,-1471.0,-2220.0,9865.0,12807.0,23.0,-2.0,-11.0,1.0
2022-05-23 13:49:12.864451-07:00,1894.8,604.4,1202.7,1373.9,1157.7,1246.2,1374.8,1699.5,3423.7,3432.2,1522.7,1308.8,1489.3,3420.1,1034.9,1482.9,3422.5,3418.9,794.4,1559.0,991.9,631.9,1231.0,1796.5,3423.7,3431.0,680.7,1015.1,1271.2,1426.8,1174.4,1087.7,-27.0,3.0,-4.0,7937.0,8788.0,8876.0,7031.0,-23.0,8.0,-4.0,-31.0,-3.0,-8.0,-1459.0,-2229.0,9868.0,12805.0,-14.0,-18.0,-10.0,1.0
2022-05-23 13:49:12.954914-07:00,1894.8,604.4,1202.7,1373.9,1156.8,1240.8,1372.1,1696.7,3423.7,3432.2,1522.7,1308.8,1481.0,3428.6,1040.1,1481.9,3409.3,3434.6,788.6,1560.9,991.9,631.9,1231.0,1796.5,3428.6,3428.6,679.1,1012.5,1271.2,1426.8,1174.4,1087.7,-1.0,-1.0,19.0,7949.0,8781.0,8873.0,7029.0,8.0,-26.0,3.0,-3.0,-8.0,-6.0,-1451.0,-2227.0,9864.0,12809.0,5.0,-10.0,-6.0,1.0
2022-05-23 13:49:12.986415-07:00,1899.7,604.4,1202.7,1378.5,1156.8,1240.8,1372.1,1696.7,3429.8,3432.2,1518.0,1311.5,1481.0,3428.6,1040.1,1481.9,3409.3,3434.6,788.6,1560.9,995.3,635.1,1246.2,1794.5,3428.6,3428.6,679.1,1012.5,1274.7,1422.2,1174.4,1090.3,13.0,27.0,20.0,7945.0,8770.0,8893.0,7023.0,52.0,105.0,-149.0,19.0,-2.0,3.0,-1441.0,-2233.0,9875.0,12800.0,57.0,-4.0,-50.0,1.0
2022-05-23 13:49:13.014392-07:00,1898.7,604.4,1202.7,1378.5,1155.9,1231.9,1355.8,1693.8,3429.8,3432.2,1518.0,1311.5,1488.4,3418.9,1041.8,1490.3,3418.9,3418.9,788.6,1557.1,995.3,635.1,1246.2,1796.5,3432.2,3431.0,682.3,1013.3,1274.7,1422.2,1174.4,1094.7,6.0,-22.0,8.0,7940.0,8739.0,8964.0,6977.0,105.0,-17.0,-124.0,11.0,1.0,5.0,-1423.0,-2246.0,9891.0,12788.0,50.0,2.0,-40.0,1.0
2022-05-23 13:49:13.045359-07:00,1898.7,606.0,1200.0,1367.6,1155.9,1231.9,1355.8,1683.3,3429.8,3429.8,1517.1,1313.3,1488.4,3418.9,1041.8,1484.7,3429.8,3418.9,788.6,1557.1,999.6,630.3,1235.5,1796.5,3437.0,3431.0,682.3,1013.3,1267.6,1426.8,1178.8,1094.7,-5.0,-3.0,9.0,7943.0,8738.0,8971.0,6965.0,-64.0,-4.0,84.0,4.0,-9.0,0.0,-1420.0,-2238.0,9890.0,12791.0,-37.0,-30.0,28.0,1.0
2022-05-23 13:49:13.134680-07:00,1887.9,606.0,1200.0,1367.6,1164.7,1245.3,1356.7,1683.3,3428.6,3429.8,1517.1,1313.3,1484.7,3418.9,1036.6,1484.7,3429.8,3422.5,787.7,1554.3,999.6,630.3,1235.5,1796.5,3437.0,3414.1,670.9,1009.9,1267.6,1426.8,1178.8,1085.1,1.0,21.0,17.0,7942.0,8752.0,8944.0,6984.0,9.0,-9.0,5.0,4.0,-3.0,0.0,-1418.0,-2227.0,9890.0,12793.0,17.0,-10.0,-6.0,1.0
2022-05-23 13:49:13.164366-07:00,1887.9,603.6,1208.9,1375.7,1164.7,1245.3,1356.7,1667.2,3428.6,3439.5,1521.8,1314.2,1484.7,3418.9,1036.6,1484.7,3418.9,3422.5,787.7,1554.3,990.2,630.3,1239.9,1796.5,3428.6,3414.1,670.9,1009.9,1273.9,1426.8,1177.9,1085.1,0.0,-5.0,17.0,7941.0,8752.0,8948.0,6978.0,6.0,-18.0,1.0,4.0,-6.0,4.0,-1411.0,-2232.0,9893.0,12790.0,1.0,-2.0,-13.0,1.0
2022-05-23 13:49:13.224892-07:00,1884.0,603.6,1208.9,1375.7,1160.3,1239.1,1342.2,1667.2,3427.4,3439.5,1521.8,1314.2,1478.3,3434.6,1034.9,1484.7,3418.9,3416.5,784.4,1551.5,990.2,630.3,1239.9,1792.6,3428.6,3428.6,685.6,1005.6,1273.9,1426.8,1177.9,1092.9,-7.0,5.0,13.0,7947.0,8753.0,8939.0,6983.0,-14.0,-11.0,14.0,0.0,-6.0,3.0,-1411.0,-2231.0,9890.0,12793.0,-13.0,-7.0,2.0,1.0
2022-05-23 13:49:13.255135-07:00,1884.0,614.1,1197.4,1363.0,1160.3,1239.1,1356.7,1672.9,3427.4,3423.7,1510.6,1304.3,1478.3,3434.6,1042.6,1477.3,3421.3,3424.9,784.4,1551.5,989.3,627.8,1231.0,1792.6,3424.9,3429.8,685.6,1005.6,1272.1,1424.1,1177.9,1092.9,-7.0,5.0,24.0,7953.0,8750.0,8936.0,6982.0,5.0,26.0,-33.0,-13.0,-5.0,-4.0,-1408.0,-2233.0,9890.0,12793.0,-4.0,0.0,-10.0,1.0
2022-05-23 13:49:13.314156-07:00,1887.9,598.7,1197.4,1363.0,1150.6,1239.1,1356.7,1672.9,3418.9,3429.8,1510.6,1304.3,1483.8,3423.7,1042.6,1477.3,3421.3,3424.9,781.9,1561.8,989.3,627.8,1234.6,1798.4,3424.9,3429.8,688.0,1010.8,1272.1,1424.1,1177.9,1088.6,-16.0,-6.0,17.0,7950.0,8732.0,8951.0,6989.0,16.0,56.0,11.0,-7.0,-10.0,9.0,-1410.0,-2241.0,9892.0,12790.0,20.0,29.0,7.0,1.0
2022-05-23 13:49:13.344602-07:00,1887.9,598.7,1202.7,1367.6,1150.6,1239.1,1350.3,1667.2,3418.9,3429.8,1510.6,1310.6,1483.8,3423.7,1042.6,1483.8,3417.7,3426.2,781.9,1561.8,994.5,628.6,1234.6,1798.4,3429.8,3428.6,688.0,1010.8,1279.2,1422.2,1177.9,1088.6,-5.0,4.0,2.0,7935.0,8729.0,8957.0,7004.0,-1.0,26.0,23.0,-8.0,-4.0,0.0,-1420.0,-2249.0,9897.0,12783.0,16.0,20.0,11.0,1.0
2022-05-23 13:49:13.405476-07:00,1890.9,601.2,1202.7,1367.6,1161.2,1231.0,1350.3,1667.2,3418.9,3423.7,1510.6,1310.6,1484.7,3418.9,1042.6,1483.8,3417.7,3426.2,786.9,1572.1,994.5,628.6,1236.4,1790.7,3429.8,3428.6,682.3,1011.6,1279.2,1422.2,1172.6,1086.8,-1.0,-1.0,11.0,7927.0,8725.0,8965.0,7007.0,14.0,29.0,-25.0,1.0,-1.0,0.0,-1425.0,-2257.0,9898.0,12780.0,-3.0,23.0,-6.0,1.0
2022-05-23 13:49:13.464397-07:00,1890.9,601.2,1201.8,1375.7,1161.2,1231.0,1347.6,1659.6,3418.9,3423.7,1510.6,1307.9,1484.7,3418.9,1034.9,1471.8,3420.1,3422.5,786.9,1572.1,994.5,631.9,1236.4,1790.7,3431.0,3418.9,682.3,1011.6,1266.7,1428.6,1172.6,1086.8,6.0,-1.0,8.0,7920.0,8726.0,8972.0,7005.0,19.0,10.0,20.0,7.0,-4.0,-2.0,-1430.0,-2260.0,9898.0,12779.0,1.0,8.0,12.0,1.0
2022-05-23 13:49:13.494925-07:00,1888.9,596.3,1201.8,1375.7,1161.2,1231.0,1347.6,1659.6,3417.7,3431.0,1510.6,1307.9,1484.7,3429.8,1034.9,1471.8,3420.1,3422.5,774.5,1547.8,994.5,631.9,1222.2,1787.8,3431.0,3418.9,679.1,1010.8,1266.7,1428.6,1182.3,1089.5,19.0,13.0,10.0,7918.0,8732.0,8960.0,7016.0,-22.0,-10.0,27.0,4.0,1.0,-13.0,-1435.0,-2256.0,9896.0,12781.0,-15.0,-7.0,6.0,1.0
2022-05-23 13:49:13.555089-07:00,1888.9,596.3,1201.8,1369.4,1161.2,1225.7,1342.2,1670.1,3417.7,3431.0,1512.5,1301.6,1484.7,3429.8,1046.1,1481.0,3420.1,3418.9,793.5,1547.8,985.9,630.3,1222.2,1787.8,3428.6,3424.9,681.5,1010.8,1270.3,1426.8,1182.3,1089.5,-11.0,0.0,12.0,7914.0,8727.0,8962.0,7023.0,3.0,24.0,-24.0,-3.0,-5.0,3.0,-1437.0,-2256.0,9893.0,12783.0,0.0,11.0,-9.0,1.0
2022-05-23 13:49:13.614766-07:00,1889.9,605.2,1194.7,1369.4,1168.2,1225.7,1342.2,1670.1,3423.7,3429.8,1505.1,1301.6,1492.1,3429.8,1046.1,1481.0,3420.1,3418.9,793.5,1554.3,985.9,629.5,1226.6,1811.0,3428.6,3424.9,681.5,1000.5,1270.3,1422.2,1178.8,1088.6,-3.0,10.0,12.0,7914.0,8727.0,8966.0,7018.0,8.0,7.0,10.0,-8.0,-5.0,-4.0,-1438.0,-2261.0,9893.0,12782.0,7.0,4.0,1.0,1.0
2022-05-23 13:49:13.644410-07:00,1889.9,605.2,1194.7,1367.6,1168.2,1223.9,1356.7,1664.4,3423.7,3429.8,1505.1,1308.8,1492.1,3429.8,1042.6,1481.0,3424.9,3412.9,781.1,1554.3,995.3,629.5,1226.6,1811.0,3431.0,3416.5,677.4,1000.5,1272.1,1422.2,1178.8,1088.6,-9.0,-1.0,12.0,7911.0,8714.0,8978.0,7022.0,13.0,45.0,-53.0,-4.0,-1.0,9.0,-1439.0,-2265.0,9892.0,12783.0,-8.0,17.0,-9.0,1.0
2022-05-23 13:49:13.705038-07:00,1888.9,604.4,1195.6,1367.6,1165.6,1223.9,1356.7,1664.4,3426.2,3416.5,1506.9,1308.8,1493.0,3429.8,1042.6,1481.0,3424.9,3412.9,781.1,1558.1,995.3,629.5,1223.9,1799.4,3431.0,3416.5,677.4,1007.3,1272.1,1414.9,1176.2,1086.8,-6.0,-11.0,4.0,7902.0,8706.0,8995.0,7021.0,23.0,29.0,13.0,-2.0,-8.0,-5.0,-1443.0,-2273.0,9893.0,12779.0,18.0,21.0,4.0,1.0
2022-05-23 13:49:13.765241-07:00,1888.9,604.4,1195.6,1383.0,1165.6,1231.9,1338.6,1670.1,3426.2,3416.5,1506.9,1310.6,1493.0,3422.5,1029.7,1487.5,3409.3,3418.9,782.7,1558.1,991.0,629.5,1223.9,1799.4,3418.9,3418.9,681.5,1007.3,1274.7,1414.9,1176.2,1086.8,1.0,14.0,4.0,7897.0,8709.0,8990.0,7029.0,-16.0,-7.0,10.0,1.0,1.0,-4.0,-1446.0,-2272.0,9894.0,12778.0,-11.0,4.0,5.0,1.0
2022-05-23 13:49:13.795078-07:00,1892.8,608.4,1197.4,1376.6,1157.7,1231.9,1338.6,1670.1,3427.4,3415.3,1510.6,1300.7,1484.7,3422.5,1029.7,1487.5,3409.3,3418.9,782.7,1559.9,986.7,634.3,1229.3,1782.9,3418.9,3418.9,681.5,1006.5,1268.5,1420.4,1171.8,1086.8,-1.0,-5.0,11.0,7900.0,8704.0,8994.0,7027.0,22.0,11.0,-23.0,2.0,-3.0,0.0,-1447.0,-2272.0,9893.0,12779.0,3.0,10.0,-8.0,1.0
2022-05-23 13:49:13.855331-07:00,1892.8,608.4,1197.4,1376.6,1160.3,1239.1,1348.5,1659.6,3427.4,3415.3,1510.6,1300.7,1484.7,3435.8,1033.2,1481.9,3422.5,3423.7,787.7,1559.9,986.7,634.3,1229.3,1782.9,3423.7,3423.7,683.1,1001.3,1268.5,1420.4,1171.8,1086.8,8.0,8.0,14.0,7898.0,8707.0,8992.0,7028.0,-6.0,-2.0,17.0,3.0,-2.0,-8.0,-1449.0,-2275.0,9893.0,12779.0,4.0,2.0,8.0,1.0
2022-05-23 13:49:13.945230-07:00,1885.0,588.3,1198.2,1372.1,1160.3,1239.1,1348.5,1659.6,3422.5,3432.2,1503.2,1305.2,1484.7,3435.8,1033.2,1481.9,3422.5,3423.7,787.7,1559.9,993.6,623.8,1227.5,1795.5,3423.7,3423.7,683.1,1001.3,1273.0,1413.1,1181.5,1086.8,-1.0,0.0,13.0,7900.0,8697.0,8997.0,7031.0,4.0,20.0,-33.0,0.0,-3.0,4.0,-1449.0,-2276.0,9890.0,12780.0,-9.0,10.0,-12.0,1.0
2022-05-23 13:49:13.946115-07:00,1885.0,588.3,1198.2,1372.1,1166.5,1232.8,1343.1,1661.5,3422.5,3432.2,1503.2,1305.2,1487.5,3423.7,1038.3,1474.6,3432.2,3429.8,786.1,1551.5,993.6,623.8,1227.5,1795.5,3441.9,3444.3,679.1,1003.0,1273.0,1413.1,1181.5,1086.8,-5.0,-5.0,9.0,7899.0,8688.0,9004.0,7035.0,0.0,18.0,4.0,0.0,-6.0,4.0,-1452.0,-2280.0,9889.0,12780.0,1.0,14.0,6.0,1.0
2022-05-23 13:49:14.005321-07:00,1880.1,608.4,1189.4,1358.5,1166.5,1232.8,1343.1,1661.5,3428.6,3429.8,1500.4,1306.1,1487.5,3423.7,1038.3,1474.6,3432.2,3429.8,786.1,1551.5,988.5,627.0,1231.9,1803.2,3441.9,3444.3,679.1,1003.0,1268.5,1412.2,1172.6,1093.8,1.0,20.0,11.0,7893.0,8686.0,9010.0,7038.0,10.0,34.0,-26.0,-4.0,2.0,-3.0,-1453.0,-2283.0,9890.0,12779.0,0.0,7.0,-3.0,1.0
2022-05-23 13:49:14.064753-07:00,1880.1,608.4,1189.4,1358.5,1161.2,1231.9,1346.7,1656.8,3428.6,3429.8,1500.4,1306.1,1486.6,3424.9,1037.5,1487.5,3418.9,3423.7,788.6,1559.9,988.5,627.0,1231.9,1803.2,3427.4,3429.8,686.4,1008.2,1268.5,1412.2,1172.6,1093.8,-7.0,-13.0,9.0,7893.0,8673.0,9021.0,7039.0,9.0,16.0,0.0,0.0,-3.0,4.0,-1456.0,-2287.0,9889.0,12779.0,6.0,15.0,0.0,1.0
2022-05-23 13:49:14.094795-07:00,1892.8,602.8,1196.5,1365.7,1161.2,1231.9,1346.7,1653.0,3418.9,3426.2,1507.8,1310.6,1486.6,3424.9,1037.5,1478.3,3423.7,3423.7,788.6,1559.9,986.7,626.2,1229.3,1786.8,3432.2,3429.8,686.4,1008.2,1272.1,1421.3,1175.3,1085.1,-1.0,18.0,0.0,7887.0,8679.0,9018.0,7040.0,-1.0,9.0,1.0,-5.0,3.0,-8.0,-1459.0,-2289.0,9892.0,12776.0,0.0,0.0,2.0,1.0
2022-05-23 13:49:14.184708-07:00,1892.8,602.8,1196.5,1365.7,1162.1,1222.2,1334.1,1653.0,3422.5,3426.2,1507.8,1310.6,1486.6,3422.5,1034.0,1478.3,3423.7,3422.5,786.9,1555.3,986.7,626.2,1229.3,1786.8,3432.2,3422.5,687.2,1002.2,1272.1,1421.3,1175.3,1092.9,-8.0,-15.0,6.0,7897.0,8670.0,9019.0,7041.0,-21.0,-10.0,-13.0,-1.0,-10.0,-2.0,-1459.0,-2287.0,9885.0,12782.0,-23.0,-13.0,-5.0,1.0
2022-05-23 13:49:14.214735-07:00,1892.8,602.0,1195.6,1367.6,1162.1,1222.2,1334.1,1663.4,3422.5,3423.7,1513.4,1307.0,1486.6,3422.5,1034.0,1479.2,3426.2,3422.5,786.9,1555.3,991.9,627.0,1229.3,1786.8,3437.0,3422.5,687.2,1002.2,1277.4,1419.5,1178.8,1092.9,5.0,12.0,15.0,7900.0,8679.0,9015.0,7031.0,5.0,-11.0,-10.0,2.0,3.0,-8.0,-1456.0,-2283.0,9886.0,12782.0,-6.0,-7.0,-6.0,1.0
